time,price,signal
2018-11-16 00:00:00,5753.4,sell
2018-11-21 00:00:00,4558.86,sell
2018-11-22 00:00:00,4661.07,sell
2019-04-04 00:00:00,4932.6,buy
2019-05-13 00:00:00,6967.31,buy
2019-06-24 00:00:00,10906.07,buy
2019-06-28 00:00:00,11329.99,buy
2019-09-26 00:00:00,8430.05,sell
2019-10-28 00:00:00,9529.93,buy
2020-01-16 00:00:00,8821.41,buy
2020-03-14 00:00:00,5578.6,sell
2020-03-15 00:00:00,5172.06,sell
2020-07-29 00:00:00,10906.27,buy
2020-10-23 00:00:00,12968.52,buy
2020-11-07 00:00:00,15579.92,buy
2021-01-04 00:00:00,33000.05,buy
2021-04-24 00:00:00,51125.14,sell
2021-05-21 00:00:00,40526.64,sell
2021-12-06 00:00:00,49396.33,sell
2022-05-11 00:00:00,31017.1,sell
2022-06-15 00:00:00,22136.41,sell
2022-11-10 00:00:00,15922.81,sell
2023-01-14 00:00:00,19930.01,buy
2023-01-18 00:00:00,21134.81,buy
2023-06-23 00:00:00,29884.92,buy
2023-08-19 00:00:00,26054.0,sell
2023-10-18 00:00:00,28395.91,buy
2023-10-22 00:00:00,29909.8,buy
2023-10-25 00:00:00,33922.73,buy
2024-01-10 00:00:00,46110.0,buy
2024-03-01 00:00:00,61130.98,buy
2024-03-06 00:00:00,63724.01,buy
2024-08-07 00:00:00,56022.01,sell
2024-11-08 00:00:00,75857.89,buy
2024-11-12 00:00:00,88647.99,buy
