time,price,signal
2019-08-29 08:00:00,0.002,sell
2019-09-18 00:00:00,0.003,buy
2019-09-18 12:00:00,0.003,buy
2019-09-18 16:00:00,0.003,buy
2019-09-25 00:00:00,0.002,sell
2019-09-30 16:00:00,0.002,buy
2019-10-01 08:00:00,0.002,buy
2019-10-13 16:00:00,0.002,buy
2019-10-17 20:00:00,0.003,buy
2019-10-23 20:00:00,0.002,sell
2019-11-07 20:00:00,0.003,buy
2019-11-22 16:00:00,0.002,sell
2019-12-14 20:00:00,0.002,sell
2020-01-03 00:00:00,0.002,sell
2020-01-15 00:00:00,0.002,buy
2020-01-27 20:00:00,0.002,buy
2020-02-05 08:00:00,0.003,buy
2020-02-08 12:00:00,0.003,buy
2020-02-08 16:00:00,0.003,buy
2020-02-08 20:00:00,0.003,buy
2020-02-09 12:00:00,0.003,buy
2020-02-26 08:00:00,0.002,sell
2020-02-27 00:00:00,0.002,sell
2020-03-12 16:00:00,0.002,sell
2020-04-07 08:00:00,0.002,buy
2020-04-21 00:00:00,0.002,sell
2020-04-26 16:00:00,0.002,buy
2020-04-27 04:00:00,0.002,buy
2020-05-10 08:00:00,0.003,sell
2020-06-02 04:00:00,0.003,buy
2020-06-09 08:00:00,0.003,sell
2020-06-12 00:00:00,0.002,sell
2020-07-07 00:00:00,0.003,buy
2020-07-07 08:00:00,0.003,buy
2020-07-07 12:00:00,0.003,buy
2020-07-08 04:00:00,0.004,buy
2020-07-08 08:00:00,0.004,buy
2020-07-09 04:00:00,0.004,buy
2020-07-18 08:00:00,0.003,buy
2020-08-01 16:00:00,0.004,buy
2020-09-02 16:00:00,0.003,sell
2020-09-03 20:00:00,0.003,sell
2020-09-21 16:00:00,0.003,sell
2020-09-22 04:00:00,0.003,sell
2020-10-21 20:00:00,0.003,buy
2020-10-26 08:00:00,0.003,buy
2020-11-06 16:00:00,0.003,buy
2020-11-16 20:00:00,0.003,buy
2020-11-21 08:00:00,0.003,buy
2020-11-21 20:00:00,0.004,buy
2020-11-24 04:00:00,0.004,buy
2020-11-24 12:00:00,0.004,buy
2020-12-17 04:00:00,0.003,buy
2020-12-17 16:00:00,0.004,buy
2020-12-17 20:00:00,0.004,buy
2020-12-20 16:00:00,0.004,buy
2020-12-21 08:00:00,0.005,buy
2021-01-02 04:00:00,0.007,buy
2021-01-02 08:00:00,0.007,buy
2021-01-02 12:00:00,0.007,buy
2021-01-02 20:00:00,0.012,buy
2021-01-03 00:00:00,0.011,buy
2021-01-11 20:00:00,0.008,sell
2021-01-28 12:00:00,0.013,buy
2021-01-28 20:00:00,0.022,buy
2021-02-15 08:00:00,0.055,sell
2021-02-23 16:00:00,0.047,sell
2021-03-08 12:00:00,0.056,buy
2021-03-09 04:00:00,0.059,buy
2021-03-14 04:00:00,0.063,buy
2021-03-23 12:00:00,0.054,sell
2021-03-25 04:00:00,0.051,sell
2021-04-01 16:00:00,0.059,buy
2021-04-06 20:00:00,0.062,buy
2021-04-07 08:00:00,0.061,buy
2021-04-11 16:00:00,0.071,buy
2021-04-14 00:00:00,0.094,buy
2021-04-14 08:00:00,0.129,buy
2021-04-16 00:00:00,0.182,buy
2021-04-16 08:00:00,0.246,buy
2021-04-16 20:00:00,0.344,buy
2021-05-04 16:00:00,0.529,buy
2021-05-04 20:00:00,0.569,buy
2021-05-05 08:00:00,0.66,buy
2021-06-02 04:00:00,0.378,buy
2021-06-02 16:00:00,0.42,buy
2021-06-20 16:00:00,0.271,sell
2021-06-21 12:00:00,0.235,sell
2021-06-21 16:00:00,0.224,sell
2021-07-26 08:00:00,0.219,buy
2021-08-07 08:00:00,0.213,buy
2021-08-07 16:00:00,0.238,buy
2021-08-07 20:00:00,0.246,buy
2021-08-08 08:00:00,0.265,buy
2021-09-02 08:00:00,0.3,buy
2021-09-07 16:00:00,0.252,sell
2021-09-07 20:00:00,0.247,sell
2021-09-17 12:00:00,0.24,buy
2021-09-20 16:00:00,0.214,sell
2021-10-05 04:00:00,0.242,buy
2021-10-05 20:00:00,0.257,buy
2021-10-18 16:00:00,0.255,buy
2021-10-27 16:00:00,0.243,sell
2021-10-28 12:00:00,0.296,buy
2021-11-08 16:00:00,0.28,buy
2021-11-11 04:00:00,0.261,sell
2021-11-16 16:00:00,0.241,sell
2021-11-17 08:00:00,0.237,sell
2021-11-26 16:00:00,0.203,sell
2021-12-04 12:00:00,0.159,sell
2021-12-14 16:00:00,0.189,buy
2021-12-24 00:00:00,0.185,buy
2022-01-06 00:00:00,0.159,sell
2022-01-14 12:00:00,0.188,buy
2022-01-22 12:00:00,0.128,sell
2022-02-07 20:00:00,0.168,buy
