time,price,signal,label
2021-04-20,31.471,buy,1.0
2021-04-24,37.389,buy,1.0
2021-05-21,44.42,sell,3.0
2021-05-25,31.416,sell,3.0
2021-08-17,62.016,buy,1.0
2021-08-18,64.123,buy,1.0
2021-09-01,108.27,buy,1.0
2021-09-08,173.46,buy,1.0
2021-09-09,191.02,buy,2.0
2021-11-05,247.07,buy,2.0
2022-01-26,94.67,sell,3.0
2022-11-07,32.62,buy,2.0
2022-11-10,14.08,sell,3.0
2022-12-31,9.9,sell,4.0
2023-01-11,16.2,buy,1.0
2023-01-16,22.89,buy,1.0
2023-06-11,15.61,sell,4.0
2023-06-12,15.55,sell,4.0
2023-07-15,26.67,buy,2.0
2023-10-03,23.37,buy,1.0
2023-10-25,30.17,buy,1.0
2023-11-03,40.23,buy,1.0
2023-12-22,93.84,buy,1.0
2024-03-17,182.05,buy,1.0
2024-04-15,151.25,sell,3.0
2024-08-07,144.4,sell,3.0
2024-11-08,196.35,buy,1.0
2024-11-12,222.13,buy,1.0
