time,price,signal,label
1997-09-23,0.272,buy,1.0
1997-09-24,0.288,buy,1.0
1997-11-06,0.39,sell,3.0
1997-11-07,0.385,sell,3.0
1998-06-04,0.404,sell,3.0
1998-06-09,0.397,sell,3.0
1998-11-13,0.452,sell,3.0
1998-11-17,0.463,sell,3.0
1999-02-08,0.351,buy,1.0
1999-02-09,0.355,buy,1.0
1999-03-01,0.354,buy,1.0
1999-04-13,0.382,sell,3.0
1999-05-11,0.338,buy,1.0
1999-05-17,0.331,buy,1.0
2000-02-16,1.086,sell,3.0
2000-02-17,1.06,sell,3.0
2000-04-21,1.497,sell,4.0
2000-04-24,1.442,sell,4.0
2000-05-31,1.601,sell,3.0
2000-06-01,1.598,sell,3.0
2000-11-22,1.895,sell,4.0
2000-11-23,2.024,sell,3.0
2000-11-24,2.06,sell,3.0
2000-11-27,2.025,sell,3.0
2000-11-29,2.079,sell,3.0
2001-03-07,1.952,sell,3.0
2001-04-25,1.978,sell,3.0
2001-06-07,1.741,buy,1.0
2001-06-08,1.754,buy,1.0
2001-07-24,2.005,sell,4.0
2001-08-02,2.105,sell,4.0
2001-08-03,2.101,sell,4.0
2001-09-19,2.031,buy,1.0
2001-09-21,2.003,buy,1.0
2001-09-24,1.988,buy,1.0
2001-09-27,1.939,buy,1.0
2001-10-24,2.329,sell,3.0
2001-10-25,2.297,sell,3.0
2001-10-26,2.235,sell,3.0
2002-04-25,2.145,buy,1.0
2002-06-25,2.382,sell,3.0
2002-06-26,2.382,sell,3.0
2002-06-27,2.374,sell,3.0
2002-08-19,2.227,buy,1.0
2002-08-20,2.239,buy,1.0
2003-03-31,2.331,sell,3.0
2003-04-01,2.328,sell,3.0
2003-06-05,1.464,buy,2.0
2003-06-06,1.317,buy,2.0
2003-06-09,1.185,buy,2.0
2003-06-10,1.067,buy,2.0
2003-06-11,1.08,buy,2.0
2003-08-13,0.895,sell,4.0
2003-08-28,0.985,sell,3.0
2003-10-31,0.821,buy,1.0
2003-11-07,0.741,buy,1.0
2003-11-10,0.744,buy,1.0
