time,price,signal
2011-07-06 00:00:00,2.066,sell
2011-07-07 00:00:00,2.03,sell
2011-08-10 00:00:00,1.738,buy
2011-09-06 00:00:00,1.611,buy
2011-09-07 00:00:00,1.647,buy
2011-10-21 00:00:00,1.342,buy
2011-10-24 00:00:00,1.36,buy
2011-12-01 00:00:00,1.388,buy
2011-12-15 00:00:00,1.226,buy
2012-02-14 00:00:00,1.475,sell
2012-02-15 00:00:00,1.476,sell
2012-02-16 00:00:00,1.499,sell
2012-02-17 00:00:00,1.479,sell
2012-03-05 00:00:00,1.851,sell
2012-09-05 00:00:00,2.154,sell
2012-09-06 00:00:00,2.129,sell
2012-09-11 00:00:00,2.312,sell
2012-09-12 00:00:00,2.309,sell
2012-11-14 00:00:00,1.971,buy
2012-12-26 00:00:00,2.234,sell
2013-02-21 00:00:00,2.579,sell
2013-02-22 00:00:00,2.502,sell
2013-05-03 00:00:00,2.033,buy
2013-05-22 00:00:00,2.539,sell
2013-05-23 00:00:00,2.497,sell
2013-06-25 00:00:00,1.935,buy
2013-06-26 00:00:00,2.014,buy
2013-07-19 00:00:00,2.257,sell
2013-07-23 00:00:00,2.478,sell
2013-07-24 00:00:00,2.493,sell
2013-09-13 00:00:00,3.079,sell
2013-10-08 00:00:00,4.007,sell
2013-10-09 00:00:00,3.999,sell
2013-11-28 00:00:00,3.548,sell
2013-12-12 00:00:00,3.849,sell
2014-02-26 00:00:00,3.284,buy
2014-02-27 00:00:00,3.099,buy
2014-02-28 00:00:00,3.165,buy
2014-04-29 00:00:00,2.663,buy
2014-06-06 00:00:00,2.911,sell
2014-08-13 00:00:00,3.103,sell
2014-08-14 00:00:00,3.049,sell
2015-01-22 00:00:00,3.163,sell
2015-03-03 00:00:00,3.817,sell
2015-03-04 00:00:00,3.878,sell
2015-03-05 00:00:00,3.954,sell
2015-03-06 00:00:00,3.84,sell
2015-04-07 00:00:00,4.753,sell
2015-04-08 00:00:00,4.696,sell
2015-04-14 00:00:00,5.019,sell
2015-04-15 00:00:00,4.753,sell
2015-05-20 00:00:00,5.38,sell
2015-06-15 00:00:00,5.38,sell
2015-06-23 00:00:00,5.715,sell
2015-06-24 00:00:00,6.192,sell
2015-06-25 00:00:00,5.795,sell
2015-08-20 00:00:00,4.523,sell
2015-08-21 00:00:00,4.405,sell
2015-08-24 00:00:00,3.963,sell
2015-10-20 00:00:00,4.687,sell
2015-10-21 00:00:00,4.382,sell
2015-10-26 00:00:00,4.885,sell
2016-01-06 00:00:00,4.218,buy
2016-01-08 00:00:00,3.734,buy
2016-01-11 00:00:00,3.361,buy
2016-01-12 00:00:00,3.364,buy
2016-03-22 00:00:00,3.281,sell
2016-05-19 00:00:00,3.452,sell
2016-05-20 00:00:00,3.452,sell
2016-05-23 00:00:00,3.171,sell
2016-05-24 00:00:00,3.037,buy
2016-05-25 00:00:00,2.96,buy
2016-05-26 00:00:00,2.925,buy
2016-05-27 00:00:00,2.902,buy
2016-05-30 00:00:00,2.929,buy
2016-08-02 00:00:00,2.991,buy
2016-09-30 00:00:00,3.471,sell
2016-10-12 00:00:00,3.717,sell
2017-01-25 00:00:00,3.729,buy
2017-03-08 00:00:00,3.963,sell
2017-03-10 00:00:00,4.148,sell
2017-03-13 00:00:00,4.133,sell
2017-03-14 00:00:00,4.033,sell
2017-03-31 00:00:00,3.817,buy
2017-04-05 00:00:00,3.894,buy
2017-04-13 00:00:00,3.74,buy
2017-04-19 00:00:00,3.452,buy
2017-04-20 00:00:00,3.425,buy
2017-04-21 00:00:00,3.441,buy
2017-05-24 00:00:00,3.087,buy
2017-05-25 00:00:00,3.114,buy
2017-06-02 00:00:00,3.01,buy
2017-07-18 00:00:00,3.198,sell
2017-07-19 00:00:00,3.17,sell
2017-07-20 00:00:00,3.16,sell
2017-08-14 00:00:00,3.073,buy
2017-09-21 00:00:00,3.276,sell
2017-10-10 00:00:00,3.468,sell
2017-10-11 00:00:00,3.43,sell
2017-12-27 00:00:00,3.478,buy
2017-12-29 00:00:00,3.449,buy
2018-02-07 00:00:00,2.958,buy
2018-03-26 00:00:00,2.996,buy
2018-05-18 00:00:00,3.015,buy
2018-05-31 00:00:00,2.929,buy
2018-06-19 00:00:00,2.447,buy
2018-06-20 00:00:00,2.457,buy
2018-06-21 00:00:00,2.341,buy
2018-06-22 00:00:00,2.341,buy
2018-06-25 00:00:00,2.312,buy
2018-09-03 00:00:00,2.081,buy
2018-09-04 00:00:00,2.1,buy
2018-09-05 00:00:00,2.1,buy
2018-10-12 00:00:00,1.724,buy
2018-10-15 00:00:00,1.696,buy
2018-10-16 00:00:00,1.667,buy
2018-10-17 00:00:00,1.705,buy
2018-11-14 00:00:00,2.081,sell
2018-11-15 00:00:00,2.1,sell
2019-02-19 00:00:00,2.543,sell
2019-02-20 00:00:00,2.534,sell
2019-02-21 00:00:00,2.447,sell
2019-02-26 00:00:00,2.697,sell
2019-08-07 00:00:00,2.563,buy
2019-08-08 00:00:00,2.572,buy
2019-08-27 00:00:00,2.89,sell
2019-09-27 00:00:00,2.697,buy
2019-12-09 00:00:00,2.9,sell
2019-12-11 00:00:00,2.986,sell
2019-12-12 00:00:00,3.141,sell
2019-12-13 00:00:00,3.131,sell
2019-12-16 00:00:00,3.381,sell
2019-12-17 00:00:00,3.574,sell
2019-12-18 00:00:00,3.574,sell
2019-12-19 00:00:00,3.507,sell
2020-01-20 00:00:00,3.854,sell
2020-01-21 00:00:00,3.757,sell
2020-02-24 00:00:00,5.655,sell
