time,price,signal
2019-01-23 13:30:00,7.611,sell
2019-01-28 14:30:00,7.386,buy
2019-01-28 14:45:00,7.355,buy
2019-01-28 15:00:00,7.378,buy
2019-01-29 15:00:00,7.513,sell
2019-01-30 09:45:00,7.453,sell
2019-02-11 10:30:00,7.476,sell
2019-02-11 13:45:00,7.513,sell
2019-02-15 10:00:00,7.393,buy
2019-02-15 10:30:00,7.363,buy
2019-02-15 10:45:00,7.34,buy
2019-02-15 11:00:00,7.355,buy
2019-02-18 10:00:00,7.303,buy
2019-02-22 10:00:00,7.242,buy
2019-02-22 10:15:00,7.235,buy
2019-02-22 10:30:00,7.25,buy
2019-02-25 10:45:00,7.318,sell
2019-02-25 13:30:00,7.378,sell
2019-02-27 15:00:00,7.303,buy
2019-02-28 09:45:00,7.288,buy
2019-02-28 10:00:00,7.318,buy
2019-03-04 10:00:00,7.401,sell
2019-03-04 10:15:00,7.393,sell
2019-03-04 10:45:00,7.431,sell
2019-03-04 11:00:00,7.431,sell
2019-03-05 13:30:00,7.37,buy
2019-03-05 14:15:00,7.333,buy
2019-03-05 14:30:00,7.318,buy
2019-03-05 14:45:00,7.348,buy
2019-03-07 10:00:00,7.423,sell
2019-03-07 10:15:00,7.416,sell
2019-03-12 10:00:00,7.348,sell
2019-03-12 13:15:00,7.386,sell
2019-03-12 13:30:00,7.393,sell
2019-03-12 13:45:00,7.378,sell
2019-03-15 11:15:00,7.37,sell
2019-03-18 10:00:00,7.431,sell
2019-03-18 10:15:00,7.476,sell
2019-03-18 10:30:00,7.491,sell
2019-03-18 10:45:00,7.468,sell
2019-03-20 13:45:00,7.438,buy
2019-03-25 10:00:00,7.551,sell
2019-03-25 10:15:00,7.544,sell
2019-03-25 10:45:00,7.574,sell
2019-03-25 11:00:00,7.596,sell
2019-03-25 11:15:00,7.679,sell
2019-03-25 11:30:00,7.672,sell
2019-03-25 13:15:00,7.732,sell
2019-03-25 13:30:00,7.747,sell
2019-03-25 13:45:00,7.724,sell
2019-03-27 15:00:00,7.378,buy
2019-03-29 11:15:00,7.438,sell
2019-03-29 11:30:00,7.416,sell
2019-04-01 10:00:00,7.529,sell
2019-04-01 10:15:00,7.521,sell
2019-04-10 13:30:00,7.566,sell
2019-04-10 14:00:00,7.589,sell
2019-04-10 14:15:00,7.619,sell
2019-04-10 14:30:00,7.626,sell
2019-04-10 14:45:00,7.589,sell
2019-04-12 10:45:00,7.521,buy
2019-04-16 10:30:00,7.529,buy
2019-04-16 10:45:00,7.521,buy
2019-04-16 11:00:00,7.536,buy
2019-04-19 11:30:00,7.626,sell
2019-04-19 13:15:00,7.619,sell
2019-04-19 13:30:00,7.611,sell
2019-04-19 14:30:00,7.657,sell
2019-04-19 15:00:00,7.694,sell
2019-04-22 09:45:00,7.672,sell
2019-04-22 11:00:00,7.754,sell
2019-04-22 11:15:00,7.754,sell
2019-04-23 10:45:00,7.634,buy
2019-04-24 10:45:00,7.581,buy
2019-04-24 11:00:00,7.589,buy
2019-04-24 13:15:00,7.574,buy
2019-04-25 14:30:00,7.491,buy
2019-04-25 14:45:00,7.498,buy
2019-04-26 10:00:00,7.476,buy
2019-04-29 14:00:00,7.551,sell
2019-04-30 14:45:00,7.581,sell
2019-05-06 10:30:00,7.483,buy
2019-05-08 10:00:00,7.431,buy
2019-05-09 10:15:00,7.318,buy
2019-05-09 10:30:00,7.325,buy
2019-05-10 14:15:00,7.431,sell
2019-05-10 14:30:00,7.438,sell
2019-05-10 14:45:00,7.438,sell
2019-05-15 14:00:00,7.581,sell
2019-05-15 14:15:00,7.589,sell
2019-05-15 14:30:00,7.574,sell
2019-05-17 10:00:00,7.604,sell
2019-05-20 10:00:00,7.529,buy
2019-05-20 10:15:00,7.566,buy
2019-05-24 10:15:00,7.641,buy
2019-05-27 10:30:00,7.551,buy
2019-05-27 10:45:00,7.574,buy
2019-05-29 11:30:00,7.83,sell
2019-05-29 13:15:00,7.935,sell
2019-05-29 13:30:00,7.958,sell
2019-05-29 13:45:00,7.958,sell
2019-05-29 14:00:00,7.935,sell
2019-06-06 15:00:00,7.882,buy
2019-06-12 15:00:00,8.025,sell
2019-06-17 10:00:00,7.92,buy
2019-06-18 10:45:00,8.01,sell
2019-06-18 11:15:00,8.04,sell
2019-06-18 14:45:00,8.131,sell
2019-06-19 09:45:00,8.176,sell
2019-06-21 13:15:00,8.04,buy
2019-06-28 11:00:00,7.988,buy
2019-06-28 11:15:00,8.003,buy
2019-07-01 10:15:00,8.161,sell
2019-07-01 10:30:00,8.108,sell
2019-07-03 10:15:00,8.221,sell
2019-07-03 10:30:00,8.274,sell
2019-07-03 10:45:00,8.289,sell
2019-07-03 11:00:00,8.259,sell
2019-07-15 10:15:00,8.079,buy
2019-07-17 11:15:00,7.938,buy
2019-07-22 11:00:00,8.001,sell
2019-07-22 14:00:00,8.032,sell
2019-07-29 10:00:00,8.205,sell
2019-07-29 10:15:00,8.158,sell
2019-07-29 10:45:00,8.197,sell
2019-08-01 10:00:00,8.079,buy
2019-08-01 10:15:00,8.103,buy
2019-08-01 11:00:00,8.072,buy
2019-08-06 10:00:00,7.938,buy
2019-08-06 10:15:00,7.961,buy
2019-08-08 10:00:00,8.174,sell
2019-08-08 10:15:00,8.174,sell
2019-08-08 10:30:00,8.189,sell
2019-08-08 10:45:00,8.205,sell
2019-08-08 11:00:00,8.213,sell
2019-08-12 09:45:00,8.166,buy
2019-08-14 15:00:00,8.001,buy
2019-08-15 09:45:00,7.922,buy
2019-08-15 10:00:00,7.946,buy
2019-08-15 10:15:00,7.899,buy
2019-08-15 10:30:00,7.883,buy
2019-08-15 10:45:00,7.899,buy
2019-08-15 13:15:00,7.773,buy
2019-08-23 11:30:00,7.891,sell
2019-08-23 13:15:00,7.867,sell
2019-08-27 10:45:00,7.969,sell
2019-08-27 11:00:00,7.954,sell
2019-08-30 14:15:00,7.93,buy
2019-08-30 14:45:00,7.938,buy
2019-09-03 11:00:00,7.844,buy
2019-09-05 11:00:00,7.891,sell
2019-09-06 11:15:00,7.938,sell
2019-09-10 11:00:00,7.93,buy
2019-09-12 13:45:00,8.016,sell
2019-09-12 14:15:00,8.072,sell
2019-09-12 14:30:00,8.072,sell
2019-09-12 14:45:00,8.095,sell
2019-09-12 15:00:00,8.079,sell
2019-09-16 10:00:00,8.111,sell
2019-09-20 11:00:00,8.252,sell
2019-09-25 10:30:00,8.205,sell
2019-09-25 10:45:00,8.205,sell
2019-09-25 11:00:00,8.174,sell
2019-09-27 13:30:00,8.119,buy
2019-09-27 13:45:00,8.119,buy
2019-09-30 10:00:00,8.056,buy
2019-10-09 14:00:00,8.095,buy
2019-10-09 14:15:00,8.111,buy
2019-10-11 10:15:00,8.292,sell
2019-10-11 10:30:00,8.284,sell
2019-10-21 13:15:00,8.15,sell
2019-10-22 11:30:00,8.205,sell
2019-10-24 10:15:00,8.127,buy
2019-10-24 10:30:00,8.127,buy
2019-10-24 11:00:00,8.095,buy
