time,price,signal,label
1997-04-07,1.213,sell,4.0
1997-04-08,1.171,sell,4.0
1997-04-21,1.368,sell,4.0
1997-04-22,1.405,sell,3.0
1997-04-23,1.382,sell,4.0
1997-05-06,1.636,sell,3.0
1997-05-07,1.624,sell,3.0
1997-06-27,1.583,sell,4.0
1997-07-03,1.633,sell,3.0
1997-09-23,1.38,buy,1.0
1997-09-24,1.455,buy,2.0
1997-10-22,1.58,sell,3.0
1997-10-28,1.58,sell,3.0
1997-12-12,1.604,sell,4.0
1997-12-16,1.691,sell,3.0
1997-12-17,1.639,sell,4.0
1998-02-24,1.552,buy,2.0
1998-02-25,1.548,buy,2.0
1998-02-26,1.568,buy,2.0
1998-03-03,1.515,buy,2.0
1998-04-13,1.634,sell,3.0
1998-04-14,1.607,sell,4.0
1998-06-15,1.879,sell,4.0
1998-06-16,1.854,sell,4.0
1998-06-17,1.9,sell,4.0
1998-06-18,1.965,sell,4.0
1998-06-19,2.016,sell,4.0
1998-06-22,1.976,sell,4.0
1998-10-06,2.574,sell,4.0
1998-10-07,2.623,sell,4.0
1998-10-08,2.684,sell,4.0
1998-10-09,2.597,sell,4.0
1998-10-16,2.695,sell,4.0
1998-12-02,2.529,buy,2.0
1998-12-03,2.52,buy,2.0
1998-12-04,2.523,buy,2.0
1999-02-01,1.766,buy,1.0
1999-04-29,1.769,buy,1.0
1999-06-25,2.273,sell,3.0
1999-08-23,2.62,sell,3.0
2000-05-11,2.253,buy,1.0
2000-08-03,2.764,sell,3.0
2000-09-01,2.577,buy,2.0
2000-09-04,2.608,buy,2.0
2000-09-06,2.423,buy,1.0
2000-09-07,2.48,buy,2.0
2000-11-14,2.567,sell,3.0
2000-11-15,2.559,sell,4.0
2000-11-17,2.633,sell,3.0
2000-11-20,2.647,sell,3.0
2001-04-26,2.566,buy,2.0
2001-04-27,2.584,buy,2.0
2001-07-27,2.544,buy,2.0
2001-07-30,2.419,buy,2.0
2001-07-31,2.345,buy,2.0
2001-08-01,2.425,buy,2.0
2001-08-07,2.316,buy,2.0
2001-10-12,2.096,buy,2.0
2001-10-19,1.941,buy,1.0
2001-10-22,1.799,buy,1.0
2001-10-23,1.979,buy,1.0
2002-01-18,1.772,buy,1.0
2002-01-21,1.675,buy,1.0
2002-01-22,1.612,buy,1.0
2002-01-23,1.762,buy,2.0
2002-03-08,2.015,sell,4.0
2002-03-12,2.091,sell,4.0
2002-03-14,2.152,sell,3.0
2002-05-15,1.999,buy,2.0
2002-05-17,1.908,buy,2.0
2002-05-20,1.887,buy,2.0
2002-05-21,1.952,buy,2.0
2002-09-10,1.876,buy,2.0
2002-09-11,1.837,buy,2.0
2002-09-12,1.851,buy,2.0
2002-11-22,1.595,buy,2.0
2003-01-03,1.442,buy,1.0
2003-01-06,1.447,buy,1.0
2003-04-15,1.653,sell,3.0
2003-04-16,1.601,sell,3.0
2003-06-11,1.657,sell,3.0
2003-06-12,1.64,sell,3.0
2003-08-21,1.43,buy,2.0
2003-08-22,1.43,buy,2.0
2003-08-26,1.421,buy,2.0
2003-10-31,1.33,buy,2.0
2003-12-22,1.328,buy,1.0
2004-02-03,1.512,sell,4.0
2004-02-04,1.547,sell,4.0
2004-02-05,1.569,sell,4.0
2004-02-06,1.589,sell,4.0
2004-02-09,1.623,sell,4.0
2004-02-10,1.603,sell,4.0
2004-02-19,1.794,sell,4.0
2004-03-02,1.865,sell,4.0
2004-03-30,1.957,sell,4.0
