time,price,signal
2012-08-24 00:00:00,2.009,sell
2012-08-27 00:00:00,1.98,sell
2012-09-12 00:00:00,2.17,sell
2012-09-13 00:00:00,2.13,sell
2012-10-18 00:00:00,2.48,sell
2012-10-24 00:00:00,2.64,sell
2012-10-25 00:00:00,2.69,sell
2012-10-26 00:00:00,2.72,sell
2012-11-13 00:00:00,2.13,buy
2012-11-14 00:00:00,2.15,buy
2013-01-29 00:00:00,1.8,buy
2013-03-28 00:00:00,1.61,buy
2013-04-08 00:00:00,1.58,buy
2013-04-26 00:00:00,1.96,sell
2013-04-29 00:00:00,1.91,sell
2013-06-06 00:00:00,2.1,sell
2013-06-07 00:00:00,2.029,sell
2013-07-30 00:00:00,2.05,sell
2013-07-31 00:00:00,2.05,sell
2013-08-01 00:00:00,2.009,sell
2013-08-22 00:00:00,2.2,sell
2013-08-23 00:00:00,2.19,sell
2013-08-26 00:00:00,2.21,sell
2013-08-27 00:00:00,2.2,sell
2013-09-05 00:00:00,2.34,sell
2013-09-06 00:00:00,2.33,sell
2013-10-08 00:00:00,2.09,buy
2013-11-18 00:00:00,2.17,sell
2013-11-29 00:00:00,2.35,sell
2013-12-02 00:00:00,2.28,sell
2013-12-04 00:00:00,2.4,sell
2014-01-20 00:00:00,3.1,sell
2014-01-21 00:00:00,2.98,sell
2014-02-18 00:00:00,3.43,sell
2014-02-19 00:00:00,3.57,sell
2014-02-20 00:00:00,3.78,sell
2014-02-21 00:00:00,3.62,sell
2014-03-27 00:00:00,3.05,buy
2014-03-28 00:00:00,3.25,buy
2014-05-09 00:00:00,2.24,buy
2014-05-12 00:00:00,2.27,buy
2014-06-09 00:00:00,2.49,sell
2014-06-10 00:00:00,2.47,sell
2014-06-13 00:00:00,2.61,sell
2014-07-24 00:00:00,2.26,buy
2014-10-03 00:00:00,1.87,buy
2014-10-24 00:00:00,1.8,buy
2014-10-28 00:00:00,1.75,buy
2014-12-02 00:00:00,1.57,buy
2014-12-03 00:00:00,1.47,buy
2014-12-04 00:00:00,1.47,buy
2014-12-05 00:00:00,1.44,buy
2014-12-08 00:00:00,1.35,buy
2014-12-09 00:00:00,1.43,buy
2015-03-04 00:00:00,1.4,sell
2015-03-09 00:00:00,1.59,sell
2015-03-10 00:00:00,1.53,sell
2015-03-26 00:00:00,1.72,sell
2015-03-31 00:00:00,1.89,sell
2015-04-01 00:00:00,2.01,sell
2015-04-02 00:00:00,1.96,sell
2015-04-09 00:00:00,2.01,sell
2015-05-15 00:00:00,2.18,sell
2015-05-18 00:00:00,2.13,sell
2015-06-30 00:00:00,1.57,buy
2015-07-03 00:00:00,1.44,buy
2015-07-06 00:00:00,1.34,buy
2015-07-07 00:00:00,1.24,buy
2015-07-08 00:00:00,0.92,buy
2015-07-09 00:00:00,1.35,buy
2015-08-25 00:00:00,1.0,buy
2015-08-26 00:00:00,0.97,buy
2015-08-27 00:00:00,1.01,buy
2015-12-08 00:00:00,1.43,sell
2015-12-09 00:00:00,1.47,sell
2015-12-10 00:00:00,1.48,sell
2015-12-11 00:00:00,1.51,sell
2015-12-15 00:00:00,1.57,sell
2016-01-07 00:00:00,1.23,buy
2016-01-08 00:00:00,1.26,buy
2016-01-11 00:00:00,1.22,buy
2016-01-12 00:00:00,1.26,buy
2016-03-31 00:00:00,1.33,buy
2016-04-22 00:00:00,1.2,buy
2016-04-26 00:00:00,1.12,buy
2016-04-27 00:00:00,1.08,buy
2016-04-28 00:00:00,1.07,buy
2016-04-29 00:00:00,1.08,buy
2016-08-31 00:00:00,0.67,buy
2016-10-07 00:00:00,0.7,sell
2016-10-14 00:00:00,0.51,buy
2016-10-17 00:00:00,0.495,buy
2016-10-18 00:00:00,0.5,buy
2016-10-19 00:00:00,0.51,buy
2017-02-16 00:00:00,0.43,sell
2017-02-17 00:00:00,0.415,sell
2017-03-27 00:00:00,0.345,buy
2017-06-09 00:00:00,0.395,sell
2017-06-12 00:00:00,0.39,sell
2017-09-05 00:00:00,0.36,sell
2017-09-06 00:00:00,0.35,sell
2017-09-08 00:00:00,0.39,sell
2017-09-11 00:00:00,0.38,sell
2017-09-15 00:00:00,0.435,sell
2017-09-18 00:00:00,0.455,sell
2017-09-19 00:00:00,0.435,sell
2017-12-12 00:00:00,0.275,buy
2017-12-13 00:00:00,0.275,buy
2018-01-05 00:00:00,0.305,sell
2018-01-22 00:00:00,0.32,sell
2018-02-08 00:00:00,0.275,buy
2018-03-26 00:00:00,0.27,buy
2018-04-09 00:00:00,0.255,buy
2018-06-28 00:00:00,0.233,buy
2018-06-29 00:00:00,0.24,buy
2018-07-11 00:00:00,0.218,buy
2018-07-12 00:00:00,0.211,buy
2018-07-13 00:00:00,0.185,buy
2018-07-16 00:00:00,0.182,buy
2018-07-17 00:00:00,0.181,buy
2018-07-18 00:00:00,0.175,buy
2018-07-23 00:00:00,0.153,buy
2018-10-03 00:00:00,0.094,buy
2018-10-04 00:00:00,0.105,buy
2018-11-20 00:00:00,0.162,sell
2018-11-21 00:00:00,0.171,sell
2018-11-22 00:00:00,0.169,sell
2018-11-23 00:00:00,0.163,sell
2019-01-02 00:00:00,0.146,buy
2019-06-12 00:00:00,0.108,buy
2019-10-10 00:00:00,0.22,sell
2019-10-11 00:00:00,0.195,sell
2019-10-14 00:00:00,0.178,sell
2020-03-24 00:00:00,0.046,buy
2020-07-09 00:00:00,0.057,sell
2020-07-10 00:00:00,0.05,sell
2020-10-29 00:00:00,0.05,buy
2020-12-09 00:00:00,0.066,sell
2021-01-13 00:00:00,0.09,sell
2021-03-25 00:00:00,0.16,sell
2021-03-26 00:00:00,0.159,sell
2021-03-29 00:00:00,0.16,sell
2021-06-24 00:00:00,0.137,buy
2021-07-02 00:00:00,0.137,buy
2021-07-07 00:00:00,0.125,buy
2021-08-10 00:00:00,0.11,buy
2021-10-18 00:00:00,0.147,sell
2021-10-19 00:00:00,0.159,sell
2021-10-20 00:00:00,0.146,sell
2022-02-14 00:00:00,0.144,sell
2022-03-14 00:00:00,0.1,buy
2022-03-15 00:00:00,0.109,buy
2022-05-06 00:00:00,0.197,sell
2022-05-10 00:00:00,0.189,sell
2022-07-15 00:00:00,0.149,buy
2022-07-18 00:00:00,0.139,buy
2022-07-19 00:00:00,0.159,buy
2022-07-28 00:00:00,0.138,buy
2022-08-04 00:00:00,0.121,buy
2022-10-27 00:00:00,0.104,buy
2022-12-19 00:00:00,0.071,buy
2022-12-20 00:00:00,0.068,buy
2022-12-23 00:00:00,0.067,buy
2022-12-29 00:00:00,0.057,buy
2023-05-03 00:00:00,0.057,sell
2023-08-25 00:00:00,0.056,sell
2023-08-29 00:00:00,0.068,sell
2023-09-04 00:00:00,0.068,sell
2023-09-05 00:00:00,0.067,sell
2023-11-29 00:00:00,0.056,buy
2024-01-03 00:00:00,0.088,sell
2024-01-04 00:00:00,0.092,sell
2024-01-05 00:00:00,0.099,sell
2024-01-09 00:00:00,0.095,sell
2024-05-27 00:00:00,0.09,sell
2024-08-21 00:00:00,0.138,sell
2024-08-22 00:00:00,0.175,sell
2024-08-23 00:00:00,0.16,sell
2024-08-26 00:00:00,0.171,sell
2024-08-27 00:00:00,0.154,sell
2024-12-27 00:00:00,0.25,sell
2024-12-30 00:00:00,0.28,sell
2024-12-31 00:00:00,0.231,sell
