time,price,signal
2002-05-02 00:00:00,10.18,sell
2002-05-03 00:00:00,9.97,sell
2002-07-16 00:00:00,8.53,buy
2002-11-14 00:00:00,9.75,sell
2002-11-15 00:00:00,10.05,sell
2002-11-18 00:00:00,10.44,sell
2002-11-19 00:00:00,10.29,sell
2002-11-20 00:00:00,10.23,sell
2002-12-05 00:00:00,10.93,sell
2003-02-10 00:00:00,9.92,buy
2003-02-21 00:00:00,9.64,buy
2003-02-25 00:00:00,9.32,buy
2003-04-01 00:00:00,11.5,sell
2003-04-02 00:00:00,11.51,sell
2003-04-03 00:00:00,11.42,sell
2003-06-20 00:00:00,11.5,buy
2003-06-23 00:00:00,11.35,buy
2003-06-24 00:00:00,11.27,buy
2003-08-04 00:00:00,10.4,buy
2003-08-05 00:00:00,10.96,buy
2003-09-25 00:00:00,10.96,buy
2003-10-15 00:00:00,11.59,sell
2003-10-22 00:00:00,11.87,sell
2003-11-05 00:00:00,13.07,sell
2003-11-06 00:00:00,13.0,sell
2003-11-07 00:00:00,12.99,sell
2004-01-05 00:00:00,13.37,sell
2004-01-12 00:00:00,13.87,sell
2004-01-13 00:00:00,14.0,sell
2004-01-14 00:00:00,14.11,sell
2004-01-15 00:00:00,14.33,sell
2004-01-16 00:00:00,14.36,sell
2004-01-20 00:00:00,14.5,sell
2004-02-17 00:00:00,14.25,buy
2004-02-19 00:00:00,13.91,buy
2004-02-20 00:00:00,13.73,buy
2004-02-23 00:00:00,13.7,buy
2004-03-23 00:00:00,13.12,buy
2004-03-24 00:00:00,13.35,buy
2004-04-27 00:00:00,13.7,buy
2004-05-04 00:00:00,13.23,buy
2004-05-06 00:00:00,13.1,buy
2004-07-23 00:00:00,12.2,buy
2004-07-26 00:00:00,12.16,buy
2004-07-27 00:00:00,12.33,buy
2004-08-26 00:00:00,12.11,buy
2004-08-27 00:00:00,12.04,buy
2004-08-30 00:00:00,12.01,buy
2004-08-31 00:00:00,12.2,buy
2009-09-17 00:00:00,64.7,sell
2009-09-18 00:00:00,64.7,sell
2009-09-21 00:00:00,67.07,sell
2009-09-22 00:00:00,66.41,sell
2010-07-27 00:00:00,77.64,sell
2010-09-02 00:00:00,80.87,sell
2010-10-01 00:00:00,83.18,sell
2010-10-19 00:00:00,84.42,sell
2010-10-22 00:00:00,85.93,sell
2010-10-25 00:00:00,86.59,sell
2010-10-26 00:00:00,86.5,sell
2010-11-05 00:00:00,89.92,sell
2011-01-10 00:00:00,85.93,buy
2011-01-11 00:00:00,87.47,buy
2011-02-10 00:00:00,91.11,sell
2011-02-14 00:00:00,91.14,sell
2011-03-24 00:00:00,95.01,sell
2011-03-25 00:00:00,95.86,sell
2011-03-28 00:00:00,95.06,sell
2011-03-31 00:00:00,99.19,sell
2011-04-01 00:00:00,100.52,sell
2011-04-04 00:00:00,102.24,sell
2011-04-05 00:00:00,102.18,sell
2011-05-13 00:00:00,34.24,buy
2011-05-16 00:00:00,34.55,buy
2011-05-17 00:00:00,34.38,buy
2011-06-13 00:00:00,32.85,buy
2011-10-24 00:00:00,36.42,sell
2011-10-25 00:00:00,35.91,sell
2012-01-31 00:00:00,36.05,buy
2012-04-20 00:00:00,38.59,sell
2012-04-26 00:00:00,39.15,sell
2012-08-27 00:00:00,40.26,sell
2012-09-14 00:00:00,41.15,sell
2012-10-02 00:00:00,42.18,sell
2012-10-08 00:00:00,43.0,sell
2012-10-17 00:00:00,44.23,sell
2012-12-03 00:00:00,44.62,sell
2012-12-24 00:00:00,43.23,buy
2013-01-23 00:00:00,45.45,sell
2013-02-01 00:00:00,47.19,sell
2013-02-04 00:00:00,46.27,sell
2013-02-07 00:00:00,47.51,sell
2013-02-11 00:00:00,49.3,sell
2013-02-12 00:00:00,48.19,sell
2013-03-08 00:00:00,50.64,sell
2013-07-15 00:00:00,54.53,sell
2013-07-16 00:00:00,54.01,sell
2013-10-03 00:00:00,54.56,sell
2013-10-14 00:00:00,56.1,sell
2013-10-15 00:00:00,55.68,sell
2013-10-17 00:00:00,56.84,sell
2013-10-18 00:00:00,56.94,sell
2013-12-16 00:00:00,57.07,buy
2014-03-19 00:00:00,58.02,sell
2014-04-08 00:00:00,56.04,buy
2014-06-06 00:00:00,57.81,sell
2014-07-28 00:00:00,54.72,buy
2014-08-01 00:00:00,54.36,buy
2014-09-12 00:00:00,53.98,buy
2014-09-15 00:00:00,53.99,buy
2014-12-09 00:00:00,58.26,sell
2015-03-17 00:00:00,62.08,sell
2015-03-19 00:00:00,61.98,sell
2015-05-15 00:00:00,63.1,sell
2015-05-19 00:00:00,64.79,sell
2015-05-20 00:00:00,64.78,sell
2015-06-19 00:00:00,66.73,sell
2015-07-31 00:00:00,71.36,sell
2015-08-04 00:00:00,72.0,sell
2015-08-25 00:00:00,66.81,buy
2015-08-26 00:00:00,67.23,buy
2015-08-27 00:00:00,67.96,buy
2015-09-28 00:00:00,72.5,sell
2015-09-30 00:00:00,73.47,sell
2015-10-01 00:00:00,73.39,sell
2015-10-06 00:00:00,74.51,sell
2015-12-11 00:00:00,69.94,buy
2015-12-14 00:00:00,69.83,buy
2015-12-15 00:00:00,69.66,buy
2016-01-14 00:00:00,66.9,buy
2016-01-21 00:00:00,64.99,buy
2016-02-11 00:00:00,66.72,sell
2016-03-31 00:00:00,71.1,sell
2016-06-16 00:00:00,69.56,buy
2016-08-03 00:00:00,73.87,sell
2016-08-04 00:00:00,74.08,sell
2016-08-17 00:00:00,79.84,sell
2016-12-08 00:00:00,86.25,sell
2016-12-09 00:00:00,86.19,sell
2016-12-12 00:00:00,87.91,sell
2016-12-13 00:00:00,87.38,sell
2017-01-27 00:00:00,88.97,sell
2017-02-06 00:00:00,91.16,sell
2017-02-07 00:00:00,91.3,sell
2017-02-09 00:00:00,92.86,sell
2017-02-10 00:00:00,92.99,sell
2017-04-28 00:00:00,96.97,sell
2017-06-05 00:00:00,98.33,sell
2017-09-08 00:00:00,94.32,buy
2017-12-14 00:00:00,89.8,buy
2018-01-24 00:00:00,93.41,sell
2018-02-09 00:00:00,86.88,buy
2018-04-11 00:00:00,79.79,buy
2018-06-11 00:00:00,83.48,sell
2018-06-22 00:00:00,26.48,buy
2018-06-25 00:00:00,26.61,buy
2018-06-26 00:00:00,26.41,buy
2018-09-26 00:00:00,29.53,buy
2018-10-05 00:00:00,28.71,buy
2018-10-08 00:00:00,28.85,buy
2018-10-11 00:00:00,27.32,buy
2018-10-12 00:00:00,27.2,buy
2018-10-15 00:00:00,27.36,buy
2018-10-25 00:00:00,26.57,buy
2018-12-18 00:00:00,26.79,buy
2018-12-21 00:00:00,25.55,buy
2018-12-24 00:00:00,24.8,buy
2018-12-26 00:00:00,25.92,buy
2019-01-16 00:00:00,27.87,sell
2019-01-22 00:00:00,28.42,sell
2019-02-14 00:00:00,31.12,sell
2019-05-01 00:00:00,33.85,sell
2019-05-02 00:00:00,33.86,sell
2019-07-02 00:00:00,37.62,sell
2019-07-03 00:00:00,37.94,sell
2019-07-05 00:00:00,37.98,sell
2019-09-05 00:00:00,41.13,sell
2019-09-06 00:00:00,41.31,sell
2019-11-29 00:00:00,41.97,sell
2020-01-17 00:00:00,45.17,sell
2020-01-21 00:00:00,45.15,sell
2020-02-14 00:00:00,47.68,sell
2020-03-02 00:00:00,42.49,buy
2020-03-10 00:00:00,37.83,buy
2020-03-13 00:00:00,32.77,buy
2020-03-17 00:00:00,30.22,buy
2020-05-27 00:00:00,29.92,sell
2020-05-28 00:00:00,29.04,sell
2020-06-08 00:00:00,35.65,sell
2020-09-21 00:00:00,28.89,buy
2020-09-22 00:00:00,29.0,buy
2020-09-23 00:00:00,27.93,buy
2020-09-24 00:00:00,28.14,buy
2020-11-11 00:00:00,34.73,sell
2021-01-28 00:00:00,31.95,buy
2021-03-09 00:00:00,36.74,sell
2021-03-16 00:00:00,37.86,sell
2021-06-21 00:00:00,37.9,buy
2021-08-09 00:00:00,40.54,sell
2021-08-12 00:00:00,41.66,sell
2021-09-03 00:00:00,39.43,buy
2021-09-07 00:00:00,39.0,buy
2021-09-08 00:00:00,39.97,buy
2021-10-15 00:00:00,42.47,sell
2022-01-11 00:00:00,46.37,sell
2022-01-12 00:00:00,46.47,sell
2022-01-18 00:00:00,46.59,sell
2022-06-17 00:00:00,43.4,buy
2022-08-15 00:00:00,46.99,sell
2022-08-16 00:00:00,47.51,sell
2022-08-17 00:00:00,47.52,sell
2022-10-28 00:00:00,56.68,sell
2022-10-31 00:00:00,57.5,sell
2022-11-01 00:00:00,55.44,sell
2022-12-05 00:00:00,59.17,sell
2023-04-19 00:00:00,72.13,sell
2023-05-01 00:00:00,75.9,sell
2023-05-02 00:00:00,76.03,sell
2023-07-18 00:00:00,80.84,sell
2023-07-19 00:00:00,80.25,sell
2023-09-19 00:00:00,81.2,sell
2023-09-20 00:00:00,81.32,sell
2023-10-18 00:00:00,85.45,sell
2023-12-15 00:00:00,73.42,buy
2023-12-18 00:00:00,74.65,buy
2024-01-22 00:00:00,80.47,sell
2024-02-01 00:00:00,82.09,sell
2024-02-16 00:00:00,86.11,sell
2024-03-12 00:00:00,90.92,sell
2024-03-13 00:00:00,91.0,sell
2024-05-07 00:00:00,98.21,sell
2024-05-08 00:00:00,98.93,sell
2024-05-09 00:00:00,99.63,sell
2024-06-17 00:00:00,99.21,buy
2024-08-22 00:00:00,106.51,sell
2024-08-23 00:00:00,109.02,sell
2024-08-26 00:00:00,109.49,sell
2024-08-27 00:00:00,110.68,sell
2024-11-01 00:00:00,96.02,buy
2024-11-04 00:00:00,95.0,buy
2024-11-05 00:00:00,96.5,buy
2024-12-17 00:00:00,90.53,buy
2024-12-19 00:00:00,88.99,buy
2025-02-18 00:00:00,88.33,buy
