time,price,signal
2010-09-20 00:00:00,41.55,sell
2010-09-21 00:00:00,41.54,sell
2010-09-22 00:00:00,42.26,sell
2010-09-23 00:00:00,42.43,sell
2010-10-04 00:00:00,44.39,sell
2010-11-15 00:00:00,44.24,buy
2010-12-15 00:00:00,46.1,sell
2010-12-17 00:00:00,50.32,sell
2010-12-20 00:00:00,48.69,sell
2011-01-19 00:00:00,50.2,sell
2011-01-21 00:00:00,51.04,sell
2011-01-26 00:00:00,52.35,sell
2011-02-18 00:00:00,53.61,sell
2011-03-18 00:00:00,50.25,buy
2011-07-01 00:00:00,60.87,sell
2011-07-05 00:00:00,61.75,sell
2011-07-06 00:00:00,62.1,sell
2011-08-09 00:00:00,54.89,buy
2011-08-11 00:00:00,54.0,buy
2011-08-19 00:00:00,47.44,buy
2011-08-22 00:00:00,48.5,buy
2011-10-31 00:00:00,60.26,sell
2012-01-25 00:00:00,57.19,sell
2012-01-26 00:00:00,56.92,sell
2012-03-06 00:00:00,59.46,sell
2012-03-14 00:00:00,62.61,sell
2012-03-15 00:00:00,63.63,sell
2012-03-16 00:00:00,63.22,sell
2012-03-27 00:00:00,65.46,sell
2012-04-17 00:00:00,64.18,buy
2012-05-08 00:00:00,59.34,buy
2012-05-09 00:00:00,59.22,buy
2012-05-10 00:00:00,58.7,buy
2012-05-11 00:00:00,58.61,buy
2012-09-10 00:00:00,64.02,sell
2012-09-11 00:00:00,64.88,sell
2012-09-12 00:00:00,65.17,sell
2012-09-13 00:00:00,65.8,sell
2012-09-14 00:00:00,65.89,sell
2012-10-01 00:00:00,69.95,sell
2012-10-02 00:00:00,70.25,sell
2012-10-03 00:00:00,70.48,sell
2012-10-04 00:00:00,71.39,sell
2012-10-05 00:00:00,70.74,sell
2012-12-06 00:00:00,69.8,sell
2013-02-04 00:00:00,72.82,sell
2013-03-08 00:00:00,78.35,sell
2013-03-11 00:00:00,78.3,sell
2013-07-01 00:00:00,72.1,buy
2013-07-02 00:00:00,72.12,buy
2013-07-03 00:00:00,72.68,buy
2013-09-18 00:00:00,77.79,sell
2013-09-19 00:00:00,77.55,sell
2013-10-09 00:00:00,70.28,buy
2013-10-10 00:00:00,71.26,buy
2013-11-14 00:00:00,77.06,sell
2013-12-12 00:00:00,74.08,buy
2014-03-17 00:00:00,83.39,buy
2014-06-05 00:00:00,83.58,sell
2014-06-06 00:00:00,83.53,sell
2014-07-01 00:00:00,81.25,buy
2014-07-11 00:00:00,79.77,buy
2015-02-02 00:00:00,85.83,buy
2015-06-09 00:00:00,94.94,buy
2015-06-26 00:00:00,99.0,sell
2015-08-11 00:00:00,103.58,sell
2015-08-24 00:00:00,92.67,buy
2015-08-25 00:00:00,92.14,buy
2015-08-26 00:00:00,95.04,buy
2015-10-09 00:00:00,104.78,sell
2015-10-12 00:00:00,105.05,sell
2016-01-08 00:00:00,98.2,buy
2016-03-16 00:00:00,107.59,sell
2016-03-28 00:00:00,114.17,sell
2016-03-29 00:00:00,115.26,sell
2016-03-30 00:00:00,115.37,sell
2016-05-25 00:00:00,118.55,sell
2016-06-27 00:00:00,110.47,buy
2016-06-28 00:00:00,110.56,buy
2016-06-29 00:00:00,111.76,buy
2016-09-30 00:00:00,122.17,sell
2016-10-03 00:00:00,120.86,sell
2016-12-14 00:00:00,123.65,sell
2017-02-17 00:00:00,121.23,sell
2017-07-21 00:00:00,128.83,sell
2017-09-08 00:00:00,133.72,sell
2017-09-11 00:00:00,136.23,sell
2017-09-12 00:00:00,136.22,sell
2017-09-13 00:00:00,134.78,sell
2017-10-30 00:00:00,143.29,sell
2017-12-11 00:00:00,150.69,sell
2018-01-05 00:00:00,157.67,sell
2018-01-08 00:00:00,158.93,sell
2018-01-09 00:00:00,159.46,sell
2018-01-10 00:00:00,158.9,sell
2018-02-09 00:00:00,153.84,buy
2018-06-06 00:00:00,162.71,sell
