time,price,signal
1985-08-27 00:00:00,19.57,sell
1985-08-28 00:00:00,20.18,sell
1985-08-29 00:00:00,20.08,sell
1985-08-30 00:00:00,20.18,sell
1985-09-18 00:00:00,18.95,buy
1985-10-17 00:00:00,20.7,sell
1985-10-18 00:00:00,20.8,sell
1985-10-21 00:00:00,20.8,sell
1985-10-22 00:00:00,21.42,sell
1985-10-23 00:00:00,21.32,sell
1985-11-06 00:00:00,22.55,sell
1986-01-16 00:00:00,26.38,sell
1986-01-20 00:00:00,27.51,sell
1986-02-24 00:00:00,32.36,sell
1986-03-06 00:00:00,23.85,buy
1986-03-07 00:00:00,24.68,buy
1986-04-21 00:00:00,26.14,sell
1986-04-22 00:00:00,26.14,sell
1986-04-23 00:00:00,26.24,sell
1986-05-27 00:00:00,28.3,sell
1986-05-28 00:00:00,28.72,sell
1986-05-29 00:00:00,28.09,sell
1986-07-02 00:00:00,28.82,sell
1986-07-03 00:00:00,28.82,sell
1986-07-07 00:00:00,26.64,sell
1986-08-07 00:00:00,26.22,buy
1986-08-08 00:00:00,26.95,buy
1986-09-12 00:00:00,24.63,buy
1986-09-15 00:00:00,24.84,buy
1986-09-16 00:00:00,23.48,buy
1986-09-17 00:00:00,23.48,buy
1986-09-18 00:00:00,23.9,buy
1986-10-30 00:00:00,21.71,buy
1986-10-31 00:00:00,21.81,buy
1986-11-03 00:00:00,21.29,buy
1986-11-04 00:00:00,20.87,buy
1986-11-05 00:00:00,19.73,buy
1986-11-06 00:00:00,21.19,buy
1986-12-23 00:00:00,20.13,buy
1986-12-24 00:00:00,20.86,buy
1987-01-28 00:00:00,26.0,sell
1987-01-29 00:00:00,27.04,sell
1987-01-30 00:00:00,26.52,sell
1987-02-03 00:00:00,13.73,sell
1987-02-04 00:00:00,13.63,buy
1987-02-05 00:00:00,13.21,buy
1987-02-06 00:00:00,13.0,buy
1987-03-05 00:00:00,11.89,buy
1987-05-07 00:00:00,9.57,buy
1987-05-13 00:00:00,9.3,buy
1987-06-15 00:00:00,11.63,sell
1987-07-31 00:00:00,11.84,sell
1987-08-07 00:00:00,12.68,sell
1987-08-14 00:00:00,13.69,sell
1987-08-26 00:00:00,15.38,sell
1987-08-27 00:00:00,14.96,sell
1987-10-20 00:00:00,9.55,buy
1987-10-21 00:00:00,11.03,buy
1987-10-27 00:00:00,9.55,buy
1987-12-03 00:00:00,13.22,sell
1988-03-09 00:00:00,13.06,sell
1988-03-10 00:00:00,12.53,sell
1988-03-21 00:00:00,13.81,sell
1988-03-22 00:00:00,13.81,sell
1988-04-20 00:00:00,13.17,buy
1988-05-12 00:00:00,11.93,buy
1988-06-29 00:00:00,11.5,buy
1988-07-07 00:00:00,10.97,buy
1989-02-01 00:00:00,13.03,sell
1989-02-02 00:00:00,12.81,sell
1989-02-08 00:00:00,13.79,sell
1989-02-09 00:00:00,13.9,sell
1989-02-10 00:00:00,13.68,sell
1989-03-31 00:00:00,14.83,sell
1989-04-03 00:00:00,14.29,sell
1989-04-10 00:00:00,15.48,sell
1989-04-11 00:00:00,15.48,sell
1989-04-12 00:00:00,15.48,sell
1989-04-19 00:00:00,16.68,sell
1989-04-20 00:00:00,16.47,sell
1989-05-26 00:00:00,13.68,buy
1989-08-23 00:00:00,15.61,sell
1989-10-06 00:00:00,19.35,sell
1989-10-09 00:00:00,18.8,sell
1989-10-10 00:00:00,18.14,sell
1989-12-14 00:00:00,15.24,buy
1989-12-19 00:00:00,15.13,buy
1990-05-14 00:00:00,13.27,sell
1990-05-15 00:00:00,13.72,sell
1990-05-16 00:00:00,13.61,sell
1990-07-23 00:00:00,15.17,sell
1990-08-07 00:00:00,13.27,buy
1990-08-08 00:00:00,14.5,buy
1990-09-28 00:00:00,12.0,buy
1990-10-30 00:00:00,13.34,sell
1990-11-20 00:00:00,14.67,sell
1990-11-21 00:00:00,14.67,sell
1990-11-23 00:00:00,14.67,sell
1991-01-29 00:00:00,18.84,sell
1991-02-06 00:00:00,22.11,sell
1991-02-07 00:00:00,20.76,sell
1991-03-21 00:00:00,20.27,buy
1991-04-17 00:00:00,24.35,sell
1991-04-18 00:00:00,23.78,sell
1991-05-16 00:00:00,21.03,buy
1991-06-20 00:00:00,19.44,buy
1991-07-30 00:00:00,21.83,sell
1991-07-31 00:00:00,22.17,sell
1991-08-01 00:00:00,21.94,sell
1991-11-01 00:00:00,25.91,sell
1991-11-04 00:00:00,25.68,sell
1991-12-17 00:00:00,26.11,sell
1991-12-31 00:00:00,27.37,sell
1992-01-09 00:00:00,29.55,sell
1992-03-18 00:00:00,25.39,buy
1992-03-19 00:00:00,25.28,buy
1992-03-20 00:00:00,25.62,buy
1992-04-06 00:00:00,24.59,buy
1992-06-02 00:00:00,27.45,sell
1992-06-04 00:00:00,26.99,sell
1992-07-02 00:00:00,28.72,sell
1992-12-02 00:00:00,29.74,sell
1993-04-15 00:00:00,35.89,sell
1993-04-16 00:00:00,35.19,sell
1993-06-16 00:00:00,29.81,buy
1993-06-17 00:00:00,27.0,buy
1993-06-18 00:00:00,27.94,buy
1993-06-21 00:00:00,27.35,buy
1993-08-13 00:00:00,29.32,sell
1993-08-18 00:00:00,30.96,sell
1993-08-19 00:00:00,31.08,sell
1993-09-16 00:00:00,29.08,buy
1994-02-02 00:00:00,27.3,sell
1994-02-03 00:00:00,27.3,sell
1994-02-04 00:00:00,26.36,sell
1994-03-21 00:00:00,29.28,sell
1994-03-22 00:00:00,29.05,sell
1994-04-20 00:00:00,27.39,buy
1994-05-06 00:00:00,29.52,sell
1994-09-16 00:00:00,32.58,buy
1994-09-19 00:00:00,32.58,buy
1994-09-21 00:00:00,31.98,buy
