time,price,signal
2002-01-08 00:00:00,31.21,buy
2002-01-09 00:00:00,31.37,buy
2002-01-10 00:00:00,32.53,buy
2002-02-14 00:00:00,36.82,sell
2002-02-15 00:00:00,35.8,sell
2002-03-12 00:00:00,32.97,buy
2002-04-09 00:00:00,35.52,sell
2002-04-10 00:00:00,35.9,sell
2002-04-11 00:00:00,35.25,sell
2002-06-14 00:00:00,34.18,buy
2002-07-11 00:00:00,31.33,buy
2002-07-12 00:00:00,30.73,buy
2002-07-15 00:00:00,30.1,buy
2002-07-16 00:00:00,30.5,buy
2002-07-22 00:00:00,22.7,buy
2002-07-23 00:00:00,23.94,buy
2002-07-24 00:00:00,25.44,buy
2002-09-06 00:00:00,26.2,buy
2002-09-09 00:00:00,26.5,buy
2002-10-07 00:00:00,22.56,buy
2002-10-08 00:00:00,23.16,buy
2003-01-23 00:00:00,27.08,buy
2003-01-27 00:00:00,26.09,buy
2003-01-28 00:00:00,26.78,buy
2003-01-31 00:00:00,25.25,buy
2003-03-21 00:00:00,26.53,sell
2003-03-24 00:00:00,24.99,sell
2003-05-23 00:00:00,26.56,sell
2003-05-28 00:00:00,26.9,sell
2003-07-11 00:00:00,25.97,buy
2003-09-05 00:00:00,27.88,sell
2004-06-30 00:00:00,30.45,buy
2004-07-01 00:00:00,30.41,buy
2004-07-02 00:00:00,30.33,buy
2004-09-23 00:00:00,32.62,sell
2004-09-27 00:00:00,32.75,sell
2004-10-04 00:00:00,33.9,sell
2004-10-05 00:00:00,33.59,sell
2004-10-15 00:00:00,27.06,buy
2004-10-18 00:00:00,28.82,buy
2004-12-13 00:00:00,31.5,sell
2004-12-22 00:00:00,32.01,sell
2007-10-18 00:00:00,27.94,buy
2007-10-19 00:00:00,27.45,buy
2007-10-22 00:00:00,27.6,buy
2007-10-23 00:00:00,27.03,buy
2007-10-24 00:00:00,25.97,buy
2007-10-25 00:00:00,25.62,buy
2007-10-26 00:00:00,26.44,buy
2007-12-28 00:00:00,24.26,buy
2007-12-31 00:00:00,24.19,buy
2008-05-13 00:00:00,26.09,sell
2008-07-01 00:00:00,24.38,buy
2008-09-04 00:00:00,26.75,sell
2009-02-05 00:00:00,18.73,buy
2009-02-06 00:00:00,17.95,buy
2009-02-09 00:00:00,17.9,buy
2009-02-10 00:00:00,17.5,buy
2009-03-24 00:00:00,17.44,sell
2009-04-30 00:00:00,22.48,sell
2009-05-01 00:00:00,21.39,sell
2009-07-28 00:00:00,22.6,sell
2009-07-30 00:00:00,22.9,sell
2009-08-13 00:00:00,24.47,sell
2009-09-25 00:00:00,24.87,sell
2009-09-28 00:00:00,24.87,sell
2009-10-29 00:00:00,22.67,buy
2009-10-30 00:00:00,22.31,buy
2009-11-02 00:00:00,22.33,buy
2009-11-03 00:00:00,22.58,buy
2010-02-05 00:00:00,23.1,sell
2010-03-15 00:00:00,25.32,sell
2010-03-16 00:00:00,25.49,sell
2010-03-17 00:00:00,25.64,sell
2010-04-23 00:00:00,26.51,sell
2010-04-26 00:00:00,26.44,sell
2010-10-19 00:00:00,26.87,sell
2010-10-22 00:00:00,27.39,sell
2010-10-25 00:00:00,27.51,sell
2010-10-28 00:00:00,28.31,sell
2010-10-29 00:00:00,28.16,sell
2011-01-10 00:00:00,28.95,buy
2011-02-17 00:00:00,31.41,sell
2011-02-18 00:00:00,31.62,sell
2011-02-22 00:00:00,31.27,sell
2011-04-20 00:00:00,29.59,buy
2011-05-24 00:00:00,28.07,buy
2011-07-08 00:00:00,28.8,sell
2011-07-21 00:00:00,27.66,buy
2011-08-09 00:00:00,26.17,buy
2011-10-24 00:00:00,31.32,sell
2011-10-25 00:00:00,30.54,sell
2012-02-02 00:00:00,34.67,sell
2012-02-03 00:00:00,34.78,sell
2012-02-06 00:00:00,34.95,sell
2012-02-07 00:00:00,35.2,sell
2012-02-08 00:00:00,35.22,sell
2012-03-16 00:00:00,36.09,sell
2012-04-30 00:00:00,37.56,sell
2012-05-18 00:00:00,33.84,buy
2012-05-21 00:00:00,34.1,buy
2012-09-14 00:00:00,37.29,sell
2012-09-17 00:00:00,37.17,sell
2012-10-25 00:00:00,35.29,buy
2012-12-17 00:00:00,35.45,buy
2013-02-04 00:00:00,37.7,sell
2013-02-05 00:00:00,37.96,sell
2013-02-06 00:00:00,38.14,sell
2013-02-07 00:00:00,38.01,sell
2013-03-18 00:00:00,39.59,sell
2013-03-21 00:00:00,40.23,sell
2013-04-12 00:00:00,42.26,sell
2013-05-06 00:00:00,43.89,sell
2013-05-07 00:00:00,43.99,sell
2013-05-08 00:00:00,44.35,sell
2013-05-09 00:00:00,44.35,sell
2013-06-05 00:00:00,42.59,buy
2013-06-06 00:00:00,43.16,buy
2013-10-18 00:00:00,47.01,sell
2013-10-21 00:00:00,46.97,sell
2013-10-23 00:00:00,47.75,sell
2013-12-04 00:00:00,45.64,buy
2013-12-05 00:00:00,46.09,buy
2014-01-10 00:00:00,48.06,sell
2014-01-13 00:00:00,47.67,sell
2014-01-15 00:00:00,48.71,sell
2014-01-16 00:00:00,48.78,sell
2014-02-05 00:00:00,44.74,buy
2014-03-07 00:00:00,47.04,sell
2014-04-03 00:00:00,48.0,sell
2014-04-08 00:00:00,43.59,buy
2014-04-09 00:00:00,44.28,buy
2014-04-11 00:00:00,44.38,buy
2014-10-30 00:00:00,47.06,sell
2014-11-03 00:00:00,47.93,sell
2014-11-04 00:00:00,47.91,sell
2014-12-08 00:00:00,48.84,sell
2014-12-09 00:00:00,48.47,sell
2015-01-22 00:00:00,46.17,buy
2015-02-18 00:00:00,48.34,sell
2015-02-19 00:00:00,48.5,sell
2015-04-27 00:00:00,48.53,sell
2015-05-21 00:00:00,49.18,sell
2015-08-24 00:00:00,43.09,buy
2015-08-25 00:00:00,42.62,buy
2015-08-26 00:00:00,43.3,buy
2015-09-30 00:00:00,41.28,buy
2015-10-21 00:00:00,43.12,sell
2015-12-21 00:00:00,40.31,buy
2015-12-22 00:00:00,40.51,buy
2016-01-12 00:00:00,37.88,buy
2016-02-19 00:00:00,39.43,sell
2016-03-14 00:00:00,42.45,sell
