time,price,signal
2000-11-22 00:00:00,32.13,buy
2000-11-24 00:00:00,35.06,buy
2001-04-04 00:00:00,6.0,buy
2001-06-15 00:00:00,7.51,buy
2001-06-19 00:00:00,6.35,buy
2001-08-09 00:00:00,6.53,buy
2001-08-10 00:00:00,5.97,buy
2001-08-13 00:00:00,5.85,buy
2001-08-14 00:00:00,5.83,buy
2001-08-15 00:00:00,5.1,buy
2001-08-16 00:00:00,5.2,buy
2001-08-20 00:00:00,4.31,buy
2001-11-14 00:00:00,5.73,sell
2001-11-15 00:00:00,5.85,sell
2001-11-16 00:00:00,5.45,sell
2001-12-17 00:00:00,5.24,buy
2002-01-17 00:00:00,4.76,buy
2002-01-23 00:00:00,4.06,buy
2002-04-30 00:00:00,2.29,buy
2002-05-01 00:00:00,2.02,buy
2002-05-02 00:00:00,2.13,buy
2002-06-20 00:00:00,1.09,buy
2002-06-21 00:00:00,1.05,buy
2002-06-24 00:00:00,0.96,buy
2002-10-04 00:00:00,0.71,buy
2002-10-07 00:00:00,0.67,buy
2002-10-08 00:00:00,0.73,buy
2002-11-20 00:00:00,1.51,sell
2002-11-21 00:00:00,2.2,sell
2002-11-22 00:00:00,2.2,sell
2002-11-25 00:00:00,2.07,sell
2003-01-27 00:00:00,1.31,buy
2003-01-28 00:00:00,1.36,buy
2003-04-22 00:00:00,2.02,sell
2003-04-23 00:00:00,2.74,sell
2003-04-24 00:00:00,2.17,sell
2003-05-06 00:00:00,3.27,sell
2003-06-09 00:00:00,4.14,sell
2003-06-11 00:00:00,5.03,sell
2003-06-12 00:00:00,5.12,sell
2003-06-13 00:00:00,5.1,sell
2003-08-04 00:00:00,3.88,buy
2003-08-05 00:00:00,3.41,buy
2003-08-06 00:00:00,3.25,buy
2003-08-07 00:00:00,3.75,buy
2003-09-04 00:00:00,4.88,sell
2003-09-05 00:00:00,4.65,sell
2003-09-18 00:00:00,5.1,sell
2003-10-22 00:00:00,5.88,sell
2003-10-31 00:00:00,7.9,sell
2003-11-03 00:00:00,9.31,sell
2003-11-04 00:00:00,9.42,sell
2003-11-05 00:00:00,9.1,sell
2003-11-10 00:00:00,11.04,sell
2003-11-11 00:00:00,10.44,sell
2004-01-08 00:00:00,13.0,sell
2004-01-09 00:00:00,13.23,sell
2004-01-12 00:00:00,13.88,sell
2004-01-13 00:00:00,13.53,sell
2004-01-15 00:00:00,14.59,sell
2004-02-05 00:00:00,14.5,buy
2004-03-24 00:00:00,12.3,buy
2004-03-25 00:00:00,13.3,buy
2004-05-03 00:00:00,12.28,buy
2004-05-26 00:00:00,14.85,sell
2004-05-27 00:00:00,14.86,sell
2004-06-02 00:00:00,15.75,sell
2004-07-01 00:00:00,17.68,sell
2009-09-17 00:00:00,17.79,sell
2009-09-18 00:00:00,17.79,sell
2009-09-21 00:00:00,19.21,sell
2009-09-22 00:00:00,19.61,sell
2009-09-23 00:00:00,19.39,sell
2009-10-15 00:00:00,22.04,sell
2009-10-16 00:00:00,21.8,sell
2010-01-07 00:00:00,26.39,sell
2010-03-02 00:00:00,27.45,sell
2010-03-03 00:00:00,28.12,sell
2010-03-04 00:00:00,28.27,sell
2010-03-05 00:00:00,29.2,sell
2010-03-08 00:00:00,29.45,sell
2010-03-09 00:00:00,30.41,sell
2010-03-10 00:00:00,31.27,sell
2010-03-11 00:00:00,31.41,sell
2010-03-12 00:00:00,31.94,sell
2010-04-12 00:00:00,33.51,sell
2010-04-13 00:00:00,33.46,sell
2010-04-19 00:00:00,32.47,sell
2010-04-30 00:00:00,38.83,sell
2010-05-03 00:00:00,39.76,sell
2010-05-04 00:00:00,38.39,sell
2010-06-14 00:00:00,43.68,sell
2010-06-16 00:00:00,45.13,sell
2010-08-03 00:00:00,38.51,buy
2010-10-07 00:00:00,45.42,buy
2010-10-08 00:00:00,45.93,buy
2010-10-29 00:00:00,51.67,sell
2010-11-01 00:00:00,50.8,sell
2011-01-19 00:00:00,51.51,sell
2011-02-11 00:00:00,41.43,buy
2011-02-14 00:00:00,42.1,buy
2011-04-26 00:00:00,40.36,sell
2011-06-13 00:00:00,29.39,buy
2011-06-14 00:00:00,29.54,buy
2011-07-29 00:00:00,24.22,buy
2011-08-01 00:00:00,23.76,buy
2011-08-02 00:00:00,23.03,buy
2011-08-03 00:00:00,23.62,buy
2011-10-28 00:00:00,28.29,sell
2011-10-31 00:00:00,26.94,sell
2012-02-10 00:00:00,38.43,sell
2012-02-13 00:00:00,38.57,sell
2012-02-14 00:00:00,38.48,sell
2012-07-30 00:00:00,35.82,sell
2012-07-31 00:00:00,35.18,sell
2012-12-12 00:00:00,39.97,sell
2012-12-13 00:00:00,39.09,sell
2013-02-04 00:00:00,41.36,sell
2013-03-13 00:00:00,34.66,buy
2013-03-14 00:00:00,34.66,buy
2013-04-26 00:00:00,42.61,sell
2013-04-29 00:00:00,43.03,sell
2013-04-30 00:00:00,43.91,sell
2013-05-01 00:00:00,43.64,sell
2013-06-06 00:00:00,44.56,buy
2013-06-13 00:00:00,42.64,buy
2013-07-12 00:00:00,44.92,sell
2013-07-15 00:00:00,44.69,sell
2013-07-29 00:00:00,46.75,sell
2013-09-10 00:00:00,49.43,sell
2013-09-11 00:00:00,50.12,sell
2013-09-12 00:00:00,50.57,sell
2013-09-13 00:00:00,51.27,sell
2013-09-16 00:00:00,51.37,sell
2013-10-25 00:00:00,45.88,buy
2014-02-07 00:00:00,56.64,sell
2014-02-10 00:00:00,58.02,sell
2014-02-11 00:00:00,59.78,sell
2014-02-12 00:00:00,59.14,sell
2014-04-08 00:00:00,54.45,buy
2014-06-09 00:00:00,58.13,sell
2014-06-10 00:00:00,58.11,sell
2014-06-11 00:00:00,58.3,sell
2014-09-15 00:00:00,61.35,sell
2014-09-19 00:00:00,62.42,sell
2014-10-17 00:00:00,53.84,buy
2014-12-17 00:00:00,61.48,buy
2015-02-13 00:00:00,68.77,sell
2015-02-17 00:00:00,70.36,sell
2015-02-18 00:00:00,70.29,sell
2015-02-19 00:00:00,71.56,sell
2015-02-20 00:00:00,71.62,sell
2015-04-22 00:00:00,76.02,sell
2015-04-23 00:00:00,76.27,sell
2015-04-24 00:00:00,75.74,sell
2015-04-28 00:00:00,76.07,sell
2015-06-10 00:00:00,74.61,buy
2015-08-03 00:00:00,75.75,sell
2015-08-21 00:00:00,68.05,buy
2015-08-24 00:00:00,66.52,buy
2015-08-25 00:00:00,65.69,buy
2015-08-26 00:00:00,68.17,buy
2015-09-29 00:00:00,67.49,buy
2015-10-29 00:00:00,61.11,buy
2015-10-30 00:00:00,60.82,buy
2015-11-02 00:00:00,61.78,buy
2015-12-10 00:00:00,53.7,buy
2015-12-14 00:00:00,51.07,buy
2015-12-15 00:00:00,51.76,buy
2016-01-08 00:00:00,48.1,buy
2016-01-11 00:00:00,45.46,buy
2016-01-12 00:00:00,46.88,buy
2016-01-19 00:00:00,45.45,buy
2016-04-12 00:00:00,50.54,buy
2016-04-13 00:00:00,51.79,buy
2016-05-27 00:00:00,54.2,sell
2016-05-31 00:00:00,54.58,sell
2016-07-29 00:00:00,50.53,buy
2016-08-01 00:00:00,50.6,buy
2016-08-29 00:00:00,55.04,sell
2016-10-05 00:00:00,55.98,sell
2016-10-06 00:00:00,54.86,sell
2016-10-25 00:00:00,59.07,sell
2016-10-26 00:00:00,67.7,sell
2016-10-27 00:00:00,68.81,sell
2016-10-28 00:00:00,69.91,sell
2016-10-31 00:00:00,69.47,sell
2017-04-03 00:00:00,58.1,buy
2017-04-04 00:00:00,59.3,buy
2017-05-09 00:00:00,50.4,buy
2017-10-02 00:00:00,50.0,sell
2017-10-03 00:00:00,50.5,sell
2017-10-04 00:00:00,50.5,sell
2017-10-05 00:00:00,50.78,sell
2017-10-26 00:00:00,53.34,sell
2017-12-18 00:00:00,65.67,sell
2017-12-19 00:00:00,66.82,sell
2017-12-20 00:00:00,66.63,sell
2017-12-21 00:00:00,65.84,sell
2018-03-09 00:00:00,76.07,sell
2018-03-12 00:00:00,74.97,sell
2018-05-10 00:00:00,76.36,sell
2018-05-11 00:00:00,76.3,sell
2018-06-18 00:00:00,82.58,sell
2018-08-02 00:00:00,74.28,buy
2018-09-11 00:00:00,76.9,sell
2018-10-03 00:00:00,69.79,buy
2018-10-05 00:00:00,66.24,buy
2018-10-08 00:00:00,65.38,buy
2018-10-09 00:00:00,64.93,buy
2018-10-11 00:00:00,61.34,buy
2018-10-12 00:00:00,63.0,buy
2018-10-31 00:00:00,72.25,sell
2018-11-01 00:00:00,72.29,sell
2018-11-02 00:00:00,71.76,sell
2018-12-20 00:00:00,62.3,buy
2018-12-21 00:00:00,59.8,buy
2018-12-24 00:00:00,58.33,buy
2018-12-26 00:00:00,60.98,buy
2019-02-05 00:00:00,68.17,sell
2019-02-06 00:00:00,67.51,sell
2019-02-13 00:00:00,70.37,sell
2019-02-14 00:00:00,70.78,sell
2019-02-15 00:00:00,70.09,sell
2019-03-14 00:00:00,72.71,sell
2019-04-15 00:00:00,76.65,sell
2019-08-01 00:00:00,90.11,sell
2019-08-02 00:00:00,88.32,sell
2019-09-06 00:00:00,91.82,sell
2019-11-11 00:00:00,85.19,buy
2020-01-09 00:00:00,93.19,sell
2020-01-10 00:00:00,93.53,sell
2020-01-13 00:00:00,94.68,sell
2020-01-14 00:00:00,93.93,sell
2020-02-18 00:00:00,100.96,sell
2020-02-19 00:00:00,102.56,sell
2020-02-20 00:00:00,101.47,sell
2020-03-02 00:00:00,90.91,buy
2020-03-10 00:00:00,86.15,buy
2020-07-06 00:00:00,112.61,sell
2020-07-07 00:00:00,110.98,sell
2020-08-12 00:00:00,107.0,buy
2020-08-31 00:00:00,116.43,sell
