time,price,signal,label
2014-08-19,33.0,sell,3.0
2014-08-20,32.9,sell,3.0
2014-08-21,33.16,sell,3.0
2014-08-22,33.12,sell,3.0
2014-10-15,28.42,buy,1.0
2014-11-07,32.59,sell,4.0
2014-11-10,32.75,sell,4.0
2014-11-25,34.92,sell,4.0
2015-02-18,37.94,sell,3.0
2015-02-19,37.79,sell,3.0
2015-03-13,35.95,buy,1.0
2015-05-12,36.93,buy,2.0
2015-07-01,34.65,buy,2.0
2015-08-04,39.1,sell,4.0
2015-08-05,39.72,sell,4.0
2015-08-06,39.33,sell,4.0
2015-11-05,46.26,sell,3.0
2015-11-06,43.62,sell,3.0
2016-01-08,39.66,buy,2.0
2016-01-11,39.84,buy,2.0
2016-01-14,37.81,buy,2.0
2016-01-15,37.09,buy,2.0
2016-01-19,37.23,buy,2.0
2016-02-12,34.31,buy,1.0
2016-05-02,38.43,buy,1.0
2016-05-03,38.34,buy,1.0
2016-05-04,40.66,buy,2.0
2016-06-27,39.36,buy,1.0
2016-06-28,39.64,buy,1.0
2016-07-21,42.37,sell,4.0
2016-08-04,44.3,sell,4.0
2016-08-05,44.73,sell,4.0
2016-08-08,44.99,sell,4.0
2016-08-10,45.7,sell,4.0
2016-09-23,46.28,sell,3.0
2016-11-15,49.2,sell,4.0
2016-11-16,50.65,sell,4.0
2016-11-17,51.96,sell,4.0
2016-11-18,51.43,sell,4.0
2017-02-08,57.16,sell,4.0
2017-02-09,58.3,sell,3.0
2017-02-10,58.71,sell,3.0
2017-02-13,59.26,sell,3.0
2017-02-14,59.38,sell,3.0
2017-04-27,59.81,sell,4.0
2017-06-26,64.65,sell,3.0
2017-10-03,68.85,sell,4.0
2017-10-04,69.7,sell,3.0
2018-01-08,73.05,sell,4.0
2018-02-09,69.14,buy,2.0
2018-05-03,74.5,sell,4.0
2018-05-10,78.21,sell,4.0
2018-06-06,85.05,sell,3.0
2018-06-07,84.67,sell,4.0
2018-06-08,84.71,sell,4.0
2018-07-19,87.38,sell,4.0
2018-08-29,88.35,sell,3.0
2018-09-12,88.98,sell,3.0
2018-10-05,85.67,buy,2.0
2018-10-08,83.75,buy,2.0
2018-10-09,84.47,buy,2.0
2018-10-10,81.35,buy,1.0
2018-10-11,80.37,buy,1.0
2018-10-12,82.37,buy,1.0
2018-12-21,77.31,buy,1.0
2018-12-24,75.33,buy,1.0
2018-12-26,79.67,buy,2.0
2019-02-06,85.39,sell,4.0
2019-02-07,91.08,sell,4.0
2019-02-08,90.31,sell,4.0
2019-02-11,90.51,sell,4.0
2019-02-12,92.72,sell,4.0
2019-02-13,92.71,sell,4.0
2019-04-12,107.0,sell,3.0
2019-04-15,108.14,sell,3.0
2019-04-16,107.68,sell,3.0
2019-07-02,112.73,sell,4.0
2019-10-31,127.91,sell,4.0
2019-11-04,131.8,sell,4.0
2019-11-05,135.81,sell,4.0
2019-11-06,132.96,sell,4.0
2019-12-23,142.87,sell,3.0
2020-01-21,136.08,buy,2.0
2020-01-22,136.58,buy,2.0
2020-02-03,132.89,buy,2.0
2020-02-28,114.22,buy,2.0
2020-03-02,119.98,buy,2.0
2020-03-10,104.09,buy,2.0
2020-03-13,101.3,buy,2.0
2020-06-08,128.29,sell,3.0
2020-06-09,124.41,sell,3.0
2020-10-01,123.5,sell,4.0
2020-10-02,123.49,sell,4.0
2020-10-05,125.88,sell,4.0
2020-10-06,123.07,sell,4.0
2021-02-05,150.97,sell,4.0
2021-02-08,150.39,sell,4.0
2021-02-09,151.56,sell,4.0
2021-02-11,156.91,sell,4.0
2021-03-29,165.06,sell,4.0
2021-05-12,163.48,buy,1.0
2021-05-13,168.53,buy,2.0
2021-08-05,190.62,sell,4.0
2021-08-06,190.05,sell,4.0
2021-08-12,197.91,sell,3.0
2021-09-20,187.8,buy,2.0
2021-09-21,187.76,buy,2.0
2021-09-22,189.63,buy,2.0
2021-10-07,177.46,buy,2.0
2021-11-17,195.24,sell,3.0
2021-11-18,195.23,sell,3.0
2021-11-26,191.16,sell,4.0
2022-01-24,185.15,buy,2.0
2022-02-24,171.3,buy,2.0
2022-07-21,171.25,sell,3.0
2022-07-22,170.1,sell,4.0
2022-07-29,181.53,sell,3.0
2022-08-01,181.51,sell,3.0
2022-09-28,161.46,buy,2.0
2022-11-11,184.35,sell,4.0
2023-01-17,197.62,sell,4.0
2023-01-18,198.09,sell,4.0
2023-02-14,208.09,sell,3.0
2023-02-16,214.25,sell,3.0
2023-02-17,213.93,sell,3.0
2023-03-13,188.42,buy,2.0
2023-03-14,191.3,buy,2.0
2023-04-20,164.68,buy,1.0
2023-04-21,163.13,buy,1.0
2023-04-24,165.94,buy,1.0
2023-07-03,183.22,sell,4.0
2023-07-11,188.14,sell,4.0
2023-07-12,186.54,sell,4.0
2023-08-04,197.87,sell,4.0
2023-08-08,202.68,sell,4.0
2023-08-09,201.59,sell,4.0
2023-09-27,198.69,buy,1.0
2023-09-28,202.88,buy,2.0
2023-11-15,218.92,sell,4.0
2023-12-19,223.95,sell,4.0
2024-02-08,243.96,sell,4.0
2024-02-09,245.23,sell,4.0
2024-02-12,242.0,sell,4.0
2024-03-28,255.78,sell,3.0
2024-04-18,235.7,buy,2.0
2024-04-19,235.78,buy,2.0
2024-05-02,218.41,buy,1.0
2024-05-03,219.56,buy,2.0
2024-06-24,231.61,sell,3.0
2024-07-17,236.98,sell,3.0
2024-08-06,208.45,buy,1.0
2024-10-31,188.23,buy,2.0
2024-11-01,188.38,buy,2.0
2024-11-04,191.1,buy,2.0
