time,price,signal,label
2012-02-17,62.85,sell,4.0
2012-02-21,62.7,sell,4.0
2012-05-10,67.7,sell,3.0
2012-05-11,67.49,sell,4.0
2012-05-14,66.23,sell,4.0
2012-06-20,69.4,sell,4.0
2012-06-21,67.44,sell,4.0
2012-07-03,72.21,sell,4.0
2012-07-30,77.46,sell,4.0
2012-07-31,76.92,sell,4.0
2012-08-02,78.3,sell,3.0
2012-08-06,77.59,sell,4.0
2012-09-14,82.54,sell,3.0
2012-09-17,80.74,sell,3.0
2012-10-22,78.17,sell,3.0
2012-11-07,69.47,buy,2.0
2012-11-08,68.26,buy,2.0
2012-11-09,68.72,buy,2.0
2012-11-12,69.0,buy,1.0
2013-01-02,78.1,sell,4.0
2013-01-03,77.98,sell,4.0
2013-01-29,81.5,sell,4.0
2013-03-19,100.38,sell,4.0
2013-03-20,105.77,sell,3.0
2013-03-21,102.36,sell,4.0
2013-05-09,110.13,sell,4.0
2013-05-10,110.06,sell,4.0
2013-05-15,114.53,sell,4.0
2013-07-01,122.22,sell,4.0
2013-07-05,127.38,sell,3.0
2013-08-05,130.15,sell,3.0
2013-09-12,128.28,sell,4.0
2013-09-19,133.23,sell,4.0
2014-02-24,123.58,buy,2.0
2014-02-25,121.34,buy,2.0
2014-02-26,121.25,buy,2.0
2014-03-28,122.41,buy,2.0
2014-04-29,137.15,sell,4.0
2014-04-30,135.53,sell,4.0
2014-06-03,147.22,sell,4.0
2014-06-04,147.48,sell,4.0
2014-06-30,158.38,sell,3.0
2014-07-01,160.4,sell,3.0
2014-07-02,162.0,sell,3.0
2014-07-03,162.42,sell,3.0
2014-07-07,160.67,sell,3.0
2014-08-01,152.26,buy,2.0
2014-08-04,157.1,buy,2.0
2014-08-08,152.04,buy,1.0
2014-09-17,162.19,sell,3.0
2014-10-02,148.85,buy,2.0
2014-10-03,152.67,buy,2.0
2015-03-13,191.13,sell,3.0
2015-07-16,183.06,sell,3.0
2015-07-17,185.67,sell,3.0
2015-07-20,187.51,sell,3.0
2015-07-21,185.27,sell,4.0
2015-08-25,171.29,buy,1.0
2015-08-26,177.6,buy,2.0
2015-09-30,175.43,buy,1.0
2015-12-04,184.53,buy,2.0
2016-01-14,172.31,buy,2.0
2016-01-19,167.38,buy,1.0
2016-03-18,201.0,sell,4.0
2016-03-21,202.68,sell,4.0
2016-03-22,204.1,sell,4.0
2016-07-11,239.87,sell,4.0
2016-07-12,238.45,sell,4.0
2016-08-10,254.07,sell,4.0
2016-08-15,260.51,sell,4.0
2016-09-07,277.56,sell,3.0
2016-09-08,268.66,sell,3.0
2016-10-12,256.89,buy,1.0
2016-10-13,256.4,buy,2.0
2016-10-27,244.1,buy,1.0
2016-10-28,249.25,buy,1.0
2017-01-18,303.69,sell,4.0
2017-01-27,323.55,sell,4.0
2017-04-07,330.65,sell,4.0
2017-06-01,346.39,sell,3.0
2017-06-02,353.03,sell,3.0
2017-06-05,344.43,sell,3.0
2017-07-28,370.26,sell,4.0
2017-07-31,391.91,sell,3.0
2017-08-01,387.42,sell,3.0
2017-08-02,385.54,sell,3.0
2017-10-24,340.26,buy,2.0
2017-10-25,344.91,buy,2.0
2017-10-27,319.76,buy,1.0
2017-10-30,323.98,buy,2.0
2017-11-28,325.89,buy,1.0
2018-03-26,312.18,buy,2.0
2018-04-30,271.29,buy,2.0
2018-05-01,279.4,buy,2.0
2018-06-15,297.2,sell,4.0
2018-06-18,295.25,sell,4.0
2018-07-26,286.91,buy,1.0
2018-09-14,318.13,sell,3.0
2018-09-19,329.79,sell,3.0
2018-09-20,329.99,sell,3.0
2018-10-12,308.74,buy,1.0
2018-12-21,283.93,buy,1.0
2018-12-24,273.52,buy,1.0
2018-12-26,285.7,buy,1.0
