time,price,signal
2016-01-14 00:00:00,42.62,buy
2016-02-18 00:00:00,53.59,sell
2016-02-19 00:00:00,52.97,sell
2016-02-26 00:00:00,56.13,sell
2016-05-12 00:00:00,53.27,buy
2016-05-13 00:00:00,50.4,buy
2016-05-16 00:00:00,50.14,buy
2016-05-17 00:00:00,49.38,buy
2016-05-18 00:00:00,49.23,buy
2016-08-16 00:00:00,68.13,sell
2016-09-07 00:00:00,61.98,buy
2016-09-09 00:00:00,58.37,buy
2016-09-12 00:00:00,59.37,buy
2016-10-18 00:00:00,56.24,buy
2016-11-15 00:00:00,60.73,sell
2016-12-19 00:00:00,53.75,buy
2017-02-06 00:00:00,46.22,buy
2017-02-07 00:00:00,44.99,buy
2017-02-08 00:00:00,49.03,buy
2017-03-29 00:00:00,59.52,sell
2017-03-30 00:00:00,59.68,sell
2017-03-31 00:00:00,59.73,sell
2017-04-27 00:00:00,60.45,sell
2017-05-26 00:00:00,67.21,buy
2017-06-01 00:00:00,70.99,sell
2017-06-02 00:00:00,71.1,sell
2017-06-05 00:00:00,71.92,sell
2017-07-25 00:00:00,65.5,buy
2017-10-03 00:00:00,68.79,sell
2018-01-22 00:00:00,86.31,sell
2018-01-23 00:00:00,88.07,sell
2018-01-24 00:00:00,86.58,sell
2018-02-05 00:00:00,94.9,sell
2018-02-06 00:00:00,95.0,sell
2018-05-22 00:00:00,102.29,sell
2018-05-29 00:00:00,107.45,sell
2018-05-31 00:00:00,113.16,sell
2018-06-01 00:00:00,115.11,sell
2018-06-04 00:00:00,117.66,sell
2018-06-05 00:00:00,119.28,sell
2018-06-06 00:00:00,119.85,sell
2018-10-31 00:00:00,127.17,sell
2018-11-01 00:00:00,131.72,sell
2018-11-02 00:00:00,131.69,sell
2019-02-04 00:00:00,139.53,sell
2019-02-05 00:00:00,139.35,sell
2019-04-12 00:00:00,151.62,sell
2019-04-15 00:00:00,152.45,sell
2019-04-16 00:00:00,151.28,sell
2019-05-14 00:00:00,144.83,buy
2019-06-11 00:00:00,167.72,sell
2019-06-12 00:00:00,172.3,sell
2019-06-13 00:00:00,176.19,sell
