time,price,signal,label
1998-01-12,16.06,buy,2.0
1998-02-25,15.44,buy,1.0
1998-02-26,15.38,buy,1.0
1998-02-27,15.38,buy,2.0
1998-04-23,18.69,sell,4.0
1998-04-24,18.81,sell,4.0
1998-04-27,18.62,sell,4.0
1998-04-29,19.19,sell,4.0
1998-07-29,20.56,buy,2.0
1998-08-05,19.19,buy,2.0
1998-08-06,19.44,buy,2.0
1998-09-01,16.69,buy,1.0
1998-09-02,16.56,buy,1.0
1998-09-03,17.19,buy,2.0
1998-10-09,15.13,buy,1.0
1998-11-23,18.5,sell,3.0
1999-01-12,18.62,sell,4.0
1999-01-19,19.75,sell,4.0
1999-01-20,19.5,sell,4.0
1999-02-10,22.0,sell,3.0
1999-02-11,22.31,sell,3.0
1999-02-12,22.12,sell,3.0
1999-05-11,24.19,sell,4.0
1999-06-02,26.81,sell,3.0
1999-06-03,27.31,sell,3.0
1999-06-04,27.25,sell,3.0
1999-06-07,26.94,sell,3.0
1999-10-27,24.25,buy,1.0
1999-11-02,29.19,sell,4.0
1999-11-03,29.56,sell,4.0
1999-11-04,30.94,sell,3.0
1999-11-05,30.75,sell,3.0
2000-01-14,31.12,sell,4.0
2000-01-27,33.0,sell,4.0
2000-03-07,36.88,sell,4.0
2000-03-20,38.0,sell,4.0
2000-04-18,56.0,sell,4.0
2000-04-19,55.06,sell,4.0
2000-04-20,53.63,sell,4.0
2000-05-15,66.5,sell,3.0
2000-05-16,69.75,sell,3.0
2000-05-17,67.87,sell,3.0
2000-07-12,97.62,sell,4.0
2000-07-13,98.87,sell,4.0
2000-07-14,103.94,sell,4.0
2000-07-17,107.0,sell,4.0
2000-07-18,102.94,sell,4.0
2000-09-05,129.75,sell,3.0
2000-09-19,104.89,buy,1.0
2000-12-26,130.88,sell,3.0
2001-01-03,34.91,buy,2.0
2001-01-04,28.5,buy,2.0
2001-01-05,27.86,buy,2.0
2001-01-08,28.94,buy,2.0
2001-03-09,23.58,buy,2.0
2001-03-13,21.62,buy,2.0
2001-03-14,22.22,buy,2.0
2001-04-11,22.93,sell,4.0
2001-04-18,25.0,sell,4.0
2001-04-20,25.8,sell,4.0
2001-04-25,29.0,sell,4.0
2001-04-26,29.56,sell,4.0
2001-04-27,29.72,sell,4.0
2001-05-01,30.88,sell,4.0
2001-06-04,32.25,sell,4.0
2001-08-06,30.96,buy,2.0
2001-08-07,30.74,buy,2.0
2001-09-19,28.1,buy,1.0
2001-09-20,26.85,buy,1.0
2001-09-21,24.5,buy,1.0
2001-09-24,25.5,buy,1.0
2001-09-25,27.12,buy,1.0
2001-12-19,34.27,sell,4.0
2002-03-13,39.14,sell,4.0
2002-03-14,40.21,sell,4.0
2002-03-15,40.62,sell,4.0
2002-03-18,39.85,sell,4.0
2002-04-10,43.74,sell,4.0
2002-04-11,44.5,sell,3.0
2002-04-12,42.94,sell,4.0
2002-05-03,47.46,sell,3.0
2002-05-23,42.48,buy,1.0
2002-05-24,42.48,buy,1.0
2002-06-10,91.89,sell,3.0
2002-06-11,45.7,sell,3.0
2002-07-11,35.65,buy,2.0
2002-07-24,30.78,buy,2.0
2002-09-05,27.12,buy,1.0
2002-09-26,31.5,sell,3.0
2002-09-27,31.26,sell,3.0
2003-01-28,27.25,buy,2.0
2003-01-31,26.89,buy,2.0
2003-03-26,29.24,sell,4.0
2003-07-24,29.74,buy,2.0
2003-09-05,30.18,sell,4.0
2003-10-24,34.16,sell,4.0
2003-10-27,33.4,sell,4.0
2003-11-18,35.27,sell,4.0
2003-12-22,34.91,buy,1.0
2004-01-15,38.39,sell,4.0
2004-01-16,38.4,sell,4.0
2004-01-28,41.25,sell,3.0
2004-01-29,41.58,sell,3.0
2004-02-02,42.2,sell,3.0
2004-04-26,42.51,sell,4.0
2004-06-02,43.92,sell,3.0
2004-06-29,41.88,buy,2.0
2004-06-30,42.48,buy,2.0
2004-07-22,42.04,buy,2.0
2004-07-28,40.85,buy,2.0
2004-09-02,43.41,sell,4.0
2004-09-30,44.11,sell,4.0
2004-10-01,44.0,sell,4.0
2004-11-04,45.0,sell,4.0
2004-11-05,45.38,sell,4.0
2004-11-08,45.05,sell,4.0
2004-12-10,48.07,sell,4.0
2007-09-18,55.93,sell,3.0
2007-09-19,56.24,sell,3.0
2007-09-20,56.0,sell,3.0
2007-10-30,53.14,buy,1.0
2007-10-31,53.18,buy,2.0
2008-01-07,51.65,buy,2.0
2008-04-30,50.18,sell,3.0
2008-06-25,48.24,buy,1.0
2008-07-18,51.7,sell,4.0
2008-07-21,51.35,sell,4.0
2008-07-23,54.12,sell,3.0
2008-07-24,52.52,sell,4.0
2008-10-07,46.47,buy,2.0
2008-10-08,46.21,buy,2.0
2008-10-10,40.38,buy,1.0
2008-10-13,42.63,buy,1.0
2008-11-05,46.27,sell,3.0
2009-03-02,44.97,buy,2.0
2009-03-03,45.15,buy,2.0
2009-03-04,46.29,buy,2.0
2009-04-20,50.5,sell,3.0
2009-04-21,53.43,sell,3.0
2009-04-22,52.47,sell,3.0
2009-04-23,50.37,sell,4.0
2009-09-22,53.22,buy,2.0
2009-10-15,55.6,sell,4.0
2009-10-20,56.63,sell,4.0
2009-11-17,58.96,sell,4.0
2009-12-16,61.78,sell,3.0
2010-05-10,54.93,buy,2.0
2010-05-21,52.25,buy,2.0
2010-05-24,51.84,buy,2.0
2010-05-25,51.48,buy,2.0
2010-07-23,44.71,buy,1.0
2010-07-26,45.65,buy,1.0
2010-08-25,45.38,buy,2.0
2010-08-27,44.65,buy,1.0
2010-09-01,44.92,buy,1.0
2010-09-21,49.06,sell,4.0
