time,price,signal
2013-08-27 00:00:00,6.58,sell
2013-09-12 00:00:00,7.88,sell
2013-12-10 00:00:00,5.65,buy
2013-12-12 00:00:00,4.89,buy
2013-12-13 00:00:00,5.7,buy
2014-01-03 00:00:00,6.92,sell
2014-01-06 00:00:00,7.05,sell
2014-01-07 00:00:00,7.54,sell
2014-01-08 00:00:00,7.25,sell
2014-02-04 00:00:00,6.74,buy
2014-03-28 00:00:00,7.22,buy
2014-03-31 00:00:00,7.36,buy
2014-07-03 00:00:00,9.36,sell
2014-07-07 00:00:00,9.25,sell
2014-07-15 00:00:00,9.41,sell
2014-07-22 00:00:00,11.59,sell
2014-07-23 00:00:00,11.34,sell
2014-07-24 00:00:00,11.61,sell
2014-08-19 00:00:00,13.43,sell
2014-09-12 00:00:00,16.79,sell
2014-10-03 00:00:00,12.51,buy
2014-10-06 00:00:00,11.35,buy
2014-10-07 00:00:00,11.66,buy
2014-12-19 00:00:00,14.08,sell
2014-12-23 00:00:00,14.4,sell
2015-02-04 00:00:00,13.3,sell
2015-05-07 00:00:00,10.92,buy
2015-05-08 00:00:00,10.25,buy
2015-05-11 00:00:00,10.58,buy
2015-06-29 00:00:00,7.85,buy
2015-06-30 00:00:00,7.61,buy
2015-07-01 00:00:00,7.61,buy
2015-07-02 00:00:00,7.61,buy
2015-07-09 00:00:00,5.87,buy
2015-07-10 00:00:00,5.98,buy
2015-09-28 00:00:00,3.62,buy
2015-09-29 00:00:00,3.54,buy
2015-09-30 00:00:00,3.7,buy
2015-11-05 00:00:00,2.3,buy
2015-11-06 00:00:00,2.19,buy
2015-12-17 00:00:00,3.16,sell
2015-12-18 00:00:00,3.02,sell
2015-12-22 00:00:00,3.54,sell
2016-01-15 00:00:00,2.19,buy
2016-01-19 00:00:00,2.18,buy
2016-02-11 00:00:00,1.83,buy
2016-02-12 00:00:00,1.95,buy
2016-03-04 00:00:00,3.05,sell
2016-03-08 00:00:00,2.92,sell
2016-05-05 00:00:00,2.08,buy
2016-05-09 00:00:00,1.93,buy
2016-05-10 00:00:00,1.94,buy
2016-06-07 00:00:00,2.23,sell
2016-09-15 00:00:00,1.67,buy
2016-09-16 00:00:00,1.44,buy
2016-09-19 00:00:00,1.48,buy
2016-09-20 00:00:00,1.4,buy
2016-09-21 00:00:00,1.48,buy
2016-09-26 00:00:00,1.2,buy
2016-09-27 00:00:00,1.2,buy
2016-12-07 00:00:00,1.32,sell
2016-12-08 00:00:00,1.34,sell
2016-12-09 00:00:00,1.32,sell
2016-12-29 00:00:00,0.97,buy
2016-12-30 00:00:00,1.01,buy
2017-01-18 00:00:00,1.89,sell
2017-01-19 00:00:00,1.78,sell
2017-02-27 00:00:00,1.9,sell
2017-02-28 00:00:00,1.79,sell
2017-05-12 00:00:00,0.82,buy
2017-05-15 00:00:00,0.77,buy
2017-05-16 00:00:00,0.76,buy
2017-05-17 00:00:00,0.71,buy
2017-05-18 00:00:00,0.7,buy
2017-07-26 00:00:00,1.01,sell
2017-07-27 00:00:00,0.95,sell
2017-09-06 00:00:00,1.11,sell
2017-09-07 00:00:00,1.3,sell
2017-09-08 00:00:00,1.3,sell
2017-09-11 00:00:00,1.25,sell
2017-09-18 00:00:00,1.51,sell
2017-10-19 00:00:00,1.29,buy
2017-11-09 00:00:00,1.83,sell
2017-11-10 00:00:00,1.97,sell
2017-11-13 00:00:00,2.32,sell
2017-11-14 00:00:00,2.37,sell
2017-11-15 00:00:00,2.61,sell
2017-11-16 00:00:00,2.78,sell
2017-11-17 00:00:00,2.77,sell
2018-01-19 00:00:00,1.95,buy
2018-01-22 00:00:00,1.97,buy
2018-02-08 00:00:00,2.28,sell
2018-02-14 00:00:00,2.67,sell
2018-03-02 00:00:00,3.43,sell
2018-03-05 00:00:00,3.71,sell
2018-03-06 00:00:00,3.85,sell
2018-03-07 00:00:00,3.92,sell
2018-03-08 00:00:00,3.79,sell
2018-05-17 00:00:00,5.53,sell
2018-07-30 00:00:00,5.68,buy
2018-07-31 00:00:00,5.95,buy
2018-09-18 00:00:00,4.36,buy
2018-12-26 00:00:00,4.99,buy
2019-01-16 00:00:00,6.68,sell
2019-01-17 00:00:00,6.82,sell
2019-01-18 00:00:00,6.53,sell
2019-02-26 00:00:00,8.09,sell
2019-02-28 00:00:00,9.07,sell
2019-03-01 00:00:00,9.1,sell
2019-03-04 00:00:00,8.78,sell
2019-05-02 00:00:00,12.93,sell
2019-05-03 00:00:00,13.83,sell
2019-05-06 00:00:00,13.75,sell
2019-05-07 00:00:00,14.21,sell
2019-05-08 00:00:00,13.93,sell
2019-05-30 00:00:00,15.77,sell
2019-06-14 00:00:00,17.33,sell
2019-06-19 00:00:00,18.63,sell
2019-08-01 00:00:00,30.1,sell
2019-08-02 00:00:00,29.12,sell
2019-08-05 00:00:00,27.45,sell
2019-09-09 00:00:00,23.8,buy
2019-09-10 00:00:00,23.28,buy
2019-11-27 00:00:00,23.04,sell
2019-11-29 00:00:00,21.87,sell
2019-12-04 00:00:00,24.27,sell
2019-12-05 00:00:00,23.37,sell
2020-01-03 00:00:00,29.29,sell
2020-01-06 00:00:00,29.66,sell
2020-01-09 00:00:00,31.59,sell
2020-02-05 00:00:00,36.91,sell
2020-02-06 00:00:00,38.39,sell
2020-02-07 00:00:00,38.05,sell
2020-02-13 00:00:00,41.34,sell
2020-02-20 00:00:00,58.74,sell
2020-02-21 00:00:00,59.09,sell
2020-02-24 00:00:00,55.26,sell
2020-03-13 00:00:00,32.86,buy
2020-03-16 00:00:00,27.45,buy
2020-03-17 00:00:00,29.28,buy
2020-03-19 00:00:00,26.25,buy
2020-05-08 00:00:00,57.28,sell
2020-05-11 00:00:00,59.58,sell
2020-05-12 00:00:00,59.27,sell
2020-06-18 00:00:00,45.72,buy
2020-07-09 00:00:00,55.8,sell
2020-07-10 00:00:00,55.43,sell
2020-07-21 00:00:00,61.1,sell
2020-08-06 00:00:00,71.37,sell
2020-10-01 00:00:00,89.51,sell
2020-10-02 00:00:00,90.43,sell
2020-10-05 00:00:00,98.05,sell
2020-10-06 00:00:00,98.57,sell
2020-10-07 00:00:00,107.82,sell
2020-10-08 00:00:00,105.5,sell
