time,price,signal
1994-11-01 00:00:00,20.49,buy
1994-11-02 00:00:00,20.41,buy
1994-11-03 00:00:00,20.14,buy
1994-11-04 00:00:00,20.14,buy
1994-11-07 00:00:00,20.06,buy
1994-12-14 00:00:00,20.06,sell
1994-12-16 00:00:00,21.02,sell
1994-12-19 00:00:00,21.19,sell
1994-12-20 00:00:00,20.93,sell
1995-01-24 00:00:00,19.26,buy
1995-02-06 00:00:00,18.19,buy
1995-05-08 00:00:00,20.54,sell
1995-05-09 00:00:00,20.82,sell
1995-05-10 00:00:00,21.18,sell
1995-05-11 00:00:00,21.0,sell
1995-06-30 00:00:00,20.56,buy
1995-08-23 00:00:00,21.02,buy
1995-08-24 00:00:00,21.3,buy
1995-09-15 00:00:00,22.68,sell
1995-09-18 00:00:00,22.5,sell
1995-09-20 00:00:00,22.77,sell
1995-11-16 00:00:00,21.84,sell
1995-11-20 00:00:00,22.22,sell
1995-11-21 00:00:00,22.22,sell
1995-11-28 00:00:00,22.97,sell
1996-01-05 00:00:00,22.36,buy
1996-01-08 00:00:00,22.17,buy
1996-01-09 00:00:00,22.26,buy
1996-02-14 00:00:00,24.65,sell
1996-02-15 00:00:00,24.46,sell
1996-06-17 00:00:00,25.59,sell
1996-06-18 00:00:00,25.59,sell
1996-08-05 00:00:00,27.84,sell
1996-08-06 00:00:00,27.74,sell
1996-08-07 00:00:00,27.64,sell
1996-09-04 00:00:00,28.23,sell
1996-09-27 00:00:00,28.71,sell
1996-09-30 00:00:00,28.71,sell
1996-10-02 00:00:00,28.91,sell
1996-10-04 00:00:00,29.41,sell
1996-10-07 00:00:00,29.11,sell
1996-11-07 00:00:00,31.03,sell
1996-11-11 00:00:00,31.63,sell
1996-11-12 00:00:00,32.03,sell
1996-11-13 00:00:00,32.13,sell
1996-11-14 00:00:00,32.13,sell
1996-12-04 00:00:00,33.44,sell
1996-12-10 00:00:00,34.55,sell
1996-12-11 00:00:00,34.55,sell
1997-02-14 00:00:00,36.39,sell
1997-02-18 00:00:00,36.8,sell
1997-02-19 00:00:00,37.21,sell
1997-02-20 00:00:00,37.11,sell
1997-03-10 00:00:00,39.26,sell
1997-04-24 00:00:00,35.12,buy
1997-05-19 00:00:00,37.71,sell
1997-05-20 00:00:00,37.51,sell
1997-05-22 00:00:00,37.92,sell
1997-07-01 00:00:00,39.91,sell
1997-07-02 00:00:00,40.27,sell
1997-07-03 00:00:00,40.12,sell
1997-07-09 00:00:00,40.96,sell
1997-07-11 00:00:00,42.01,sell
1997-07-14 00:00:00,41.95,sell
1997-08-29 00:00:00,40.9,buy
1997-09-29 00:00:00,44.86,sell
1997-09-30 00:00:00,46.4,sell
1997-10-01 00:00:00,46.62,sell
1997-10-02 00:00:00,46.3,sell
1997-10-28 00:00:00,42.58,buy
1997-10-29 00:00:00,43.16,buy
1998-01-20 00:00:00,43.85,sell
1998-02-20 00:00:00,42.08,buy
1998-02-23 00:00:00,42.46,buy
1998-03-02 00:00:00,40.74,buy
1998-03-03 00:00:00,41.12,buy
1998-03-23 00:00:00,42.67,sell
1998-03-26 00:00:00,44.18,sell
1998-03-27 00:00:00,43.85,sell
1998-04-27 00:00:00,42.11,buy
1998-05-21 00:00:00,41.73,buy
1998-05-22 00:00:00,42.11,buy
1998-06-19 00:00:00,40.65,buy
1998-06-22 00:00:00,40.43,buy
1998-06-23 00:00:00,39.88,buy
1998-06-24 00:00:00,39.87,buy
1998-07-28 00:00:00,37.06,buy
1998-07-29 00:00:00,36.84,buy
1998-07-30 00:00:00,37.06,buy
1998-07-31 00:00:00,37.06,buy
1998-09-02 00:00:00,33.91,buy
1998-09-03 00:00:00,33.64,buy
1998-09-04 00:00:00,33.36,buy
1998-09-08 00:00:00,33.25,buy
1998-09-23 00:00:00,39.5,sell
1998-09-24 00:00:00,39.67,sell
1999-03-22 00:00:00,38.16,sell
1999-04-16 00:00:00,41.65,sell
1999-04-19 00:00:00,42.23,sell
1999-04-20 00:00:00,42.06,sell
1999-04-21 00:00:00,42.52,sell
1999-04-22 00:00:00,43.16,sell
1999-04-23 00:00:00,42.29,sell
1999-06-28 00:00:00,42.88,buy
1999-07-09 00:00:00,42.35,buy
1999-12-31 00:00:00,41.86,sell
2000-02-11 00:00:00,39.72,buy
2000-02-14 00:00:00,39.35,buy
2000-02-15 00:00:00,39.41,buy
2000-02-16 00:00:00,39.1,buy
2000-02-17 00:00:00,38.86,buy
2000-02-18 00:00:00,38.92,buy
2000-04-10 00:00:00,42.88,sell
2000-04-11 00:00:00,42.81,sell
2000-04-12 00:00:00,43.37,sell
2000-04-13 00:00:00,43.88,sell
2000-04-14 00:00:00,43.81,sell
2000-05-25 00:00:00,44.75,buy
2000-05-26 00:00:00,44.56,buy
2000-05-30 00:00:00,44.44,buy
2000-05-31 00:00:00,44.62,buy
2000-06-15 00:00:00,47.38,sell
2000-08-02 00:00:00,51.19,sell
2000-08-03 00:00:00,50.38,sell
2000-08-31 00:00:00,48.0,buy
2000-12-01 00:00:00,50.31,sell
2000-12-06 00:00:00,52.75,sell
2000-12-07 00:00:00,52.62,sell
2000-12-11 00:00:00,54.0,sell
2000-12-12 00:00:00,54.25,sell
2000-12-29 00:00:00,55.31,sell
2001-01-03 00:00:00,27.38,buy
2001-01-04 00:00:00,27.19,buy
2001-01-05 00:00:00,26.69,buy
2001-02-23 00:00:00,24.85,buy
2001-02-26 00:00:00,25.46,buy
2001-06-12 00:00:00,27.98,sell
2001-06-13 00:00:00,28.0,sell
2001-06-14 00:00:00,28.09,sell
2001-06-15 00:00:00,28.46,sell
2001-06-18 00:00:00,28.6,sell
2001-06-19 00:00:00,28.62,sell
2001-08-16 00:00:00,29.22,sell
2001-08-17 00:00:00,29.3,sell
2001-08-21 00:00:00,30.2,sell
2001-08-22 00:00:00,30.35,sell
2001-08-23 00:00:00,30.04,sell
2001-09-24 00:00:00,27.78,buy
2001-09-25 00:00:00,27.91,buy
2001-10-22 00:00:00,25.25,buy
2001-10-23 00:00:00,25.75,buy
2001-11-16 00:00:00,27.61,sell
2001-11-29 00:00:00,28.57,sell
2001-12-03 00:00:00,28.69,sell
2002-01-17 00:00:00,27.36,buy
2002-01-18 00:00:00,27.2,buy
2002-01-22 00:00:00,27.52,buy
2002-02-07 00:00:00,26.02,buy
2002-02-08 00:00:00,26.1,buy
2002-03-05 00:00:00,28.4,sell
2002-03-06 00:00:00,28.63,sell
2002-03-07 00:00:00,28.6,sell
2002-03-08 00:00:00,28.7,sell
2002-04-09 00:00:00,30.27,sell
2002-04-10 00:00:00,30.72,sell
2002-04-11 00:00:00,30.47,sell
2002-04-15 00:00:00,30.4,sell
2002-05-30 00:00:00,29.48,sell
2002-06-19 00:00:00,28.25,buy
2002-07-11 00:00:00,26.5,buy
2002-07-12 00:00:00,26.35,buy
2002-07-15 00:00:00,26.12,buy
2002-07-16 00:00:00,26.4,buy
2002-07-18 00:00:00,25.05,buy
2002-07-19 00:00:00,24.27,buy
2002-07-22 00:00:00,23.65,buy
2002-07-23 00:00:00,23.04,buy
2002-07-24 00:00:00,23.45,buy
2002-09-19 00:00:00,24.63,buy
2002-09-20 00:00:00,25.06,buy
2002-11-13 00:00:00,24.63,sell
2002-11-25 00:00:00,26.09,sell
2002-12-19 00:00:00,23.87,buy
2002-12-20 00:00:00,24.03,buy
2003-04-21 00:00:00,26.45,sell
2003-04-22 00:00:00,26.65,sell
2003-04-23 00:00:00,26.74,sell
2003-07-31 00:00:00,27.9,sell
2003-08-04 00:00:00,28.35,sell
2003-08-05 00:00:00,28.46,sell
2003-08-06 00:00:00,28.48,sell
2004-01-21 00:00:00,28.45,buy
2004-01-22 00:00:00,28.44,buy
2004-03-04 00:00:00,30.6,sell
2004-04-14 00:00:00,27.42,buy
2004-05-28 00:00:00,29.44,sell
2004-06-01 00:00:00,29.2,sell
2004-08-27 00:00:00,32.27,sell
2004-12-13 00:00:00,35.9,sell
2007-09-18 00:00:00,41.35,sell
2007-09-19 00:00:00,42.05,sell
2007-09-20 00:00:00,41.52,sell
2007-09-21 00:00:00,41.78,sell
2007-10-22 00:00:00,39.67,buy
2007-11-21 00:00:00,35.83,buy
2008-07-24 00:00:00,41.29,sell
2008-10-10 00:00:00,41.0,buy
2008-11-21 00:00:00,25.35,buy
2009-07-10 00:00:00,19.26,buy
2009-07-13 00:00:00,20.27,buy
2009-07-31 00:00:00,24.0,sell
2009-08-03 00:00:00,24.44,sell
2009-08-04 00:00:00,26.09,sell
2009-08-05 00:00:00,27.61,sell
2009-08-06 00:00:00,28.01,sell
2009-08-07 00:00:00,30.05,sell
2009-08-10 00:00:00,28.99,sell
2009-09-22 00:00:00,32.86,sell
2009-09-23 00:00:00,31.25,sell
2009-11-17 00:00:00,32.1,sell
2009-12-29 00:00:00,35.09,sell
2010-02-17 00:00:00,34.6,sell
2010-02-18 00:00:00,35.07,sell
2010-02-19 00:00:00,35.46,sell
2010-02-22 00:00:00,35.92,sell
2010-02-23 00:00:00,35.7,sell
2010-03-17 00:00:00,39.91,sell
2010-03-18 00:00:00,39.64,sell
2010-04-07 00:00:00,40.63,sell
2010-04-12 00:00:00,41.97,sell
2010-04-14 00:00:00,43.09,sell
2010-04-19 00:00:00,41.15,sell
2010-04-26 00:00:00,45.26,sell
2010-04-27 00:00:00,43.7,sell
2010-04-30 00:00:00,45.27,sell
2010-09-07 00:00:00,48.21,sell
2010-10-19 00:00:00,50.24,sell
2010-10-21 00:00:00,51.51,sell
2010-10-22 00:00:00,50.83,sell
2011-01-28 00:00:00,52.89,sell
2011-02-01 00:00:00,54.6,sell
2011-02-02 00:00:00,54.8,sell
2011-04-04 00:00:00,56.31,sell
2011-04-27 00:00:00,59.26,sell
2011-04-28 00:00:00,59.43,sell
2011-04-29 00:00:00,59.74,sell
2011-07-07 00:00:00,62.82,sell
2011-07-08 00:00:00,62.83,sell
2011-07-11 00:00:00,62.03,sell
2011-08-05 00:00:00,55.66,buy
2011-08-08 00:00:00,51.95,buy
2011-08-09 00:00:00,57.27,buy
2011-09-21 00:00:00,52.33,buy
2011-09-22 00:00:00,51.33,buy
2011-09-23 00:00:00,53.13,buy
2011-10-28 00:00:00,58.75,sell
2011-11-25 00:00:00,52.63,buy
2012-01-30 00:00:00,59.3,sell
2012-02-23 00:00:00,57.6,buy
2012-03-14 00:00:00,60.44,sell
2012-03-15 00:00:00,59.55,sell
2012-08-08 00:00:00,60.83,buy
2012-08-09 00:00:00,60.25,buy
2012-08-10 00:00:00,60.2,buy
2012-09-21 00:00:00,57.43,buy
2012-09-24 00:00:00,57.74,buy
2012-09-26 00:00:00,57.38,buy
2012-11-05 00:00:00,58.56,sell
2013-02-01 00:00:00,54.73,buy
2013-02-04 00:00:00,54.46,buy
2013-02-05 00:00:00,54.16,buy
2013-02-06 00:00:00,55.23,buy
2013-04-09 00:00:00,58.31,sell
2013-04-10 00:00:00,58.35,sell
2013-05-22 00:00:00,59.13,sell
2013-06-21 00:00:00,54.73,buy
2013-08-01 00:00:00,55.66,buy
2013-08-02 00:00:00,54.95,buy
2013-08-05 00:00:00,54.89,buy
2013-08-06 00:00:00,54.74,buy
2013-09-10 00:00:00,54.4,sell
2013-09-11 00:00:00,54.91,sell
2013-09-12 00:00:00,54.72,sell
2013-09-19 00:00:00,56.31,sell
2013-12-10 00:00:00,54.0,sell
2013-12-11 00:00:00,53.14,sell
2014-01-13 00:00:00,53.22,sell
2014-02-07 00:00:00,56.87,sell
2014-02-10 00:00:00,57.6,sell
2014-02-11 00:00:00,58.03,sell
2014-02-12 00:00:00,58.21,sell
2014-03-25 00:00:00,57.83,buy
2014-04-09 00:00:00,60.03,sell
2014-05-08 00:00:00,61.72,sell
2014-06-30 00:00:00,63.0,sell
2014-07-25 00:00:00,64.84,sell
2014-09-11 00:00:00,64.69,buy
2014-09-15 00:00:00,62.09,buy
2014-09-16 00:00:00,62.51,buy
2014-09-17 00:00:00,62.29,buy
2014-10-13 00:00:00,65.56,sell
2014-10-14 00:00:00,66.72,sell
2014-10-15 00:00:00,67.03,sell
2014-10-16 00:00:00,66.28,sell
2014-12-11 00:00:00,72.28,sell
2015-01-13 00:00:00,77.09,sell
2015-06-08 00:00:00,71.14,buy
2015-06-09 00:00:00,70.74,buy
2015-06-10 00:00:00,70.89,buy
2015-08-18 00:00:00,77.71,sell
2015-08-26 00:00:00,71.29,buy
2015-10-01 00:00:00,75.27,sell
2015-10-05 00:00:00,76.42,sell
2016-01-21 00:00:00,76.44,buy
2016-01-22 00:00:00,77.72,buy
