time,price,signal,label
1994-11-01,20.49,buy,2.0
1994-11-02,20.41,buy,2.0
1994-11-03,20.14,buy,2.0
1994-11-04,20.14,buy,2.0
1994-11-07,20.06,buy,2.0
1994-12-14,20.06,sell,3.0
1994-12-16,21.02,sell,3.0
1994-12-19,21.19,sell,3.0
1994-12-20,20.93,sell,3.0
1995-01-24,19.26,buy,2.0
1995-02-06,18.19,buy,1.0
1995-05-08,20.54,sell,4.0
1995-05-09,20.82,sell,4.0
1995-05-10,21.18,sell,3.0
1995-05-11,21.0,sell,4.0
1995-06-30,20.56,buy,1.0
1995-08-23,21.02,buy,1.0
1995-08-24,21.3,buy,1.0
1995-09-15,22.68,sell,3.0
1995-09-18,22.5,sell,3.0
1995-09-20,22.77,sell,3.0
1995-11-16,21.84,sell,4.0
1995-11-20,22.22,sell,4.0
1995-11-21,22.22,sell,4.0
1995-11-28,22.97,sell,3.0
1996-01-05,22.36,buy,1.0
1996-01-08,22.17,buy,1.0
1996-01-09,22.26,buy,1.0
1996-02-14,24.65,sell,4.0
1996-02-15,24.46,sell,4.0
1996-06-17,25.59,sell,4.0
1996-06-18,25.59,sell,4.0
1996-08-05,27.84,sell,4.0
1996-08-06,27.74,sell,4.0
1996-08-07,27.64,sell,4.0
1996-09-04,28.23,sell,4.0
1996-09-27,28.71,sell,4.0
1996-09-30,28.71,sell,4.0
1996-10-02,28.91,sell,4.0
1996-10-04,29.41,sell,4.0
1996-10-07,29.11,sell,4.0
1996-11-07,31.03,sell,4.0
1996-11-11,31.63,sell,4.0
1996-11-12,32.03,sell,4.0
1996-11-13,32.13,sell,4.0
1996-11-14,32.13,sell,4.0
1996-12-04,33.44,sell,4.0
1996-12-10,34.55,sell,4.0
1996-12-11,34.55,sell,4.0
1997-02-14,36.39,sell,4.0
1997-02-18,36.8,sell,4.0
1997-02-19,37.21,sell,3.0
1997-02-20,37.11,sell,3.0
1997-03-10,39.26,sell,3.0
1997-04-24,35.12,buy,1.0
1997-05-19,37.71,sell,4.0
1997-05-20,37.51,sell,4.0
1997-05-22,37.92,sell,4.0
1997-07-01,39.91,sell,4.0
1997-07-02,40.27,sell,4.0
1997-07-03,40.12,sell,4.0
1997-07-09,40.96,sell,4.0
1997-07-11,42.01,sell,4.0
1997-07-14,41.95,sell,4.0
