time,price,signal,label
1983-01-06,22.9,sell,3.0
1983-01-07,22.31,sell,3.0
1983-06-22,25.32,sell,4.0
1983-06-23,25.01,sell,4.0
1983-06-24,24.11,sell,4.0
1983-10-31,22.88,buy,1.0
1983-11-01,23.41,buy,2.0
1983-12-13,24.69,sell,3.0
1984-02-07,21.07,buy,1.0
1984-03-21,26.16,sell,3.0
1984-03-22,26.0,sell,3.0
1984-06-19,21.83,buy,2.0
1984-07-26,19.31,buy,1.0
1984-07-27,19.31,buy,1.0
1984-07-30,18.68,buy,1.0
1984-07-31,18.68,buy,1.0
1984-08-01,19.46,buy,1.0
1984-10-12,19.89,buy,2.0
1984-11-07,20.37,sell,3.0
1984-11-28,18.32,buy,2.0
1984-11-29,18.4,buy,2.0
1985-02-01,19.94,sell,4.0
1985-04-24,20.91,sell,3.0
1985-04-25,20.82,sell,3.0
1985-06-20,18.96,buy,2.0
1985-06-21,19.38,buy,2.0
1985-09-16,18.07,buy,2.0
1985-09-17,17.56,buy,2.0
1985-09-18,17.65,buy,2.0
1985-09-19,17.65,buy,2.0
1986-01-28,16.73,buy,2.0
1986-01-29,16.56,buy,2.0
1986-01-30,16.73,buy,2.0
1986-02-14,15.52,buy,1.0
1986-05-07,14.42,buy,2.0
1986-07-16,14.32,buy,2.0
1986-07-22,13.43,buy,2.0
1986-07-24,12.72,buy,1.0
1986-08-18,14.5,sell,4.0
1986-08-19,14.14,sell,4.0
1986-08-26,16.02,sell,3.0
1986-08-27,15.93,sell,3.0
1986-09-08,16.38,sell,3.0
1986-10-29,15.3,buy,1.0
1986-11-13,17.37,sell,4.0
1986-11-14,18.27,sell,3.0
1986-11-17,18.0,sell,4.0
1987-01-12,22.27,sell,4.0
1987-01-13,21.63,sell,4.0
1987-01-14,21.72,sell,4.0
1987-02-05,24.63,sell,3.0
1987-02-06,24.36,sell,3.0
1987-03-18,25.94,sell,3.0
1987-03-19,25.66,sell,3.0
1987-04-24,23.55,buy,1.0
1987-04-27,23.65,buy,1.0
1987-05-11,28.14,sell,3.0
1987-06-30,28.06,sell,4.0
1987-07-08,29.99,sell,4.0
1987-07-09,30.27,sell,3.0
1987-07-10,30.55,sell,3.0
1987-07-13,30.82,sell,3.0
1987-10-15,26.09,buy,2.0
1987-10-16,24.05,buy,2.0
1987-10-19,18.67,buy,1.0
1987-10-20,19.32,buy,1.0
1987-10-21,20.71,buy,2.0
1987-12-24,20.53,sell,3.0
1987-12-28,19.87,sell,4.0
1988-03-22,25.79,sell,3.0
1988-05-11,23.81,buy,2.0
1988-05-12,24.47,buy,2.0
1988-08-31,20.47,buy,2.0
1988-10-21,21.53,sell,3.0
1988-10-24,20.66,sell,4.0
1988-12-08,21.15,sell,4.0
1989-01-12,22.61,sell,4.0
1989-01-19,23.19,sell,3.0
1989-03-08,24.18,sell,3.0
1989-06-29,26.15,sell,4.0
1989-06-30,26.15,sell,4.0
1989-08-03,28.92,sell,4.0
1989-08-25,31.48,sell,3.0
1989-08-29,31.38,sell,3.0
1989-11-16,30.99,sell,4.0
1989-11-17,31.38,sell,4.0
1989-11-20,31.48,sell,4.0
1989-12-13,34.78,sell,3.0
1989-12-14,34.78,sell,3.0
1990-01-18,32.48,buy,1.0
1990-01-23,31.88,buy,1.0
1990-02-08,36.48,sell,3.0
1990-02-09,36.88,sell,3.0
1990-02-12,36.58,sell,3.0
1990-05-14,38.39,sell,3.0
1990-05-15,38.19,sell,3.0
1990-07-17,40.31,sell,4.0
1990-07-20,41.83,sell,4.0
1990-07-23,41.42,sell,4.0
1990-07-25,43.04,sell,4.0
1990-08-24,42.03,buy,1.0
1990-09-19,46.39,sell,3.0
1990-10-02,41.82,buy,2.0
1990-10-17,37.76,buy,2.0
1991-01-09,34.3,buy,1.0
1991-01-10,33.89,buy,1.0
1991-01-11,33.59,buy,1.0
1991-01-14,33.59,buy,1.0
1991-03-27,38.46,buy,2.0
1991-04-04,35.49,buy,2.0
1991-06-05,36.73,sell,3.0
1991-06-21,32.29,buy,2.0
1991-07-22,33.63,sell,3.0
1991-11-26,25.63,buy,2.0
1991-11-27,25.21,buy,2.0
1991-11-29,25.0,buy,2.0
1991-12-17,23.12,buy,1.0
1991-12-19,21.55,buy,1.0
1991-12-20,21.65,buy,1.0
1991-12-23,22.7,buy,1.0
1992-03-20,20.9,buy,2.0
1992-03-25,20.06,buy,2.0
1992-05-04,22.59,sell,4.0
1992-05-06,22.91,sell,4.0
1992-05-08,23.44,sell,4.0
1992-06-26,22.26,buy,1.0
1992-07-27,26.09,sell,4.0
1992-07-29,27.16,sell,4.0
1992-08-31,29.83,sell,3.0
1993-01-08,22.83,buy,1.0
1993-01-11,23.15,buy,1.0
1993-01-12,23.15,buy,1.0
1993-02-02,26.29,sell,4.0
1993-02-08,29.1,sell,4.0
1993-02-09,28.02,sell,4.0
1993-02-22,31.37,sell,4.0
1993-02-23,30.4,sell,4.0
1993-06-02,37.71,sell,3.0
1993-06-03,38.26,sell,3.0
1993-06-04,37.38,sell,3.0
1993-09-10,32.43,buy,2.0
1993-09-13,32.65,buy,2.0
1993-09-14,33.31,buy,2.0
1993-09-20,30.11,buy,1.0
1993-09-21,29.89,buy,1.0
1993-09-22,29.89,buy,1.0
1993-10-25,29.89,buy,2.0
1993-12-30,28.68,sell,3.0
1994-01-06,30.12,sell,3.0
1994-01-07,29.57,sell,3.0
1994-06-21,31.28,sell,3.0
1994-06-22,31.16,sell,3.0
1994-08-05,29.36,buy,2.0
1994-08-09,28.45,buy,2.0
1994-08-10,28.0,buy,2.0
1994-08-11,27.66,buy,2.0
1994-08-12,28.23,buy,2.0
1994-10-31,33.71,sell,3.0
1994-11-01,33.48,sell,3.0
1994-11-02,33.37,sell,3.0
1995-01-20,32.81,sell,4.0
1995-04-20,35.46,sell,4.0
1995-04-21,35.81,sell,3.0
1995-04-24,36.5,sell,3.0
1995-04-25,36.15,sell,3.0
1995-06-22,33.83,buy,2.0
1995-06-26,33.01,buy,1.0
1995-06-27,33.71,buy,2.0
1995-07-26,37.43,sell,4.0
1995-07-27,36.97,sell,4.0
1995-09-05,41.29,sell,3.0
1995-09-06,40.7,sell,3.0
1995-12-08,43.41,sell,4.0
1995-12-12,44.46,sell,4.0
1996-02-01,48.7,sell,4.0
1996-02-02,48.35,sell,4.0
1996-10-16,55.22,sell,4.0
1996-10-17,57.24,sell,4.0
1996-10-18,59.39,sell,3.0
1996-10-21,59.99,sell,3.0
1996-10-22,58.08,sell,3.0
1997-01-08,62.39,sell,4.0
1997-01-10,66.22,sell,3.0
1997-01-13,67.54,sell,3.0
1997-01-14,66.82,sell,3.0
1997-01-17,69.46,sell,3.0
1997-06-04,78.51,sell,3.0
1997-06-24,71.88,buy,1.0
1997-07-23,43.06,buy,2.0
1997-07-24,42.51,buy,1.0
1997-07-25,43.3,buy,2.0
1997-08-19,42.21,buy,1.0
1997-09-05,48.73,sell,4.0
1997-10-08,54.72,sell,3.0
1997-10-10,57.19,sell,3.0
1997-10-13,55.86,sell,3.0
1997-12-24,45.45,buy,1.0
1998-05-04,54.32,sell,3.0
1998-06-12,42.77,buy,2.0
1998-07-24,35.34,buy,2.0
1998-07-27,36.13,buy,2.0
1998-08-05,31.19,buy,2.0
1998-08-06,31.8,buy,2.0
1998-10-22,35.62,sell,3.0
1998-10-23,34.4,sell,3.0
1999-03-11,34.69,sell,4.0
1999-06-16,45.26,sell,3.0
1999-08-10,49.77,sell,3.0
1999-10-06,35.2,buy,1.0
1999-11-18,42.53,sell,3.0
1999-12-08,36.87,buy,2.0
2000-05-03,45.25,sell,4.0
2000-08-10,52.14,sell,3.0
2000-09-25,46.73,buy,2.0
