time,price,signal
2017-02-06 00:00:00,124.49,sell
2017-02-07 00:00:00,123.62,sell
2017-03-01 00:00:00,121.68,buy
2017-06-23 00:00:00,112.88,buy
2017-07-20 00:00:00,117.14,sell
2017-07-26 00:00:00,118.3,sell
2017-08-18 00:00:00,111.65,buy
2017-08-21 00:00:00,110.06,buy
2017-08-22 00:00:00,110.78,buy
2017-09-14 00:00:00,113.0,sell
2017-10-23 00:00:00,121.32,sell
2017-10-26 00:00:00,126.16,sell
2017-11-16 00:00:00,120.3,buy
2017-12-08 00:00:00,130.75,sell
2017-12-27 00:00:00,135.88,sell
2018-03-08 00:00:00,126.0,buy
2018-03-26 00:00:00,119.81,buy
2018-04-26 00:00:00,106.17,buy
2018-04-27 00:00:00,104.78,buy
2018-04-30 00:00:00,103.86,buy
2018-05-01 00:00:00,102.51,buy
2018-05-23 00:00:00,110.36,sell
2018-05-24 00:00:00,111.19,sell
2018-05-25 00:00:00,110.53,sell
2018-07-26 00:00:00,122.81,sell
2018-07-27 00:00:00,121.93,sell
2018-08-22 00:00:00,123.96,sell
2018-09-12 00:00:00,131.43,sell
2018-09-14 00:00:00,134.4,sell
2018-09-17 00:00:00,133.88,sell
2018-10-08 00:00:00,127.43,buy
2018-10-09 00:00:00,125.97,buy
2018-10-10 00:00:00,123.39,buy
2018-10-11 00:00:00,120.22,buy
2018-10-12 00:00:00,121.5,buy
2018-10-24 00:00:00,101.74,buy
2018-10-25 00:00:00,102.06,buy
2018-10-26 00:00:00,99.74,buy
2018-10-29 00:00:00,98.44,buy
2018-12-24 00:00:00,92.76,buy
2018-12-26 00:00:00,97.4,buy
2019-02-06 00:00:00,115.24,sell
2019-02-07 00:00:00,115.0,sell
2019-07-02 00:00:00,129.77,sell
2019-10-03 00:00:00,127.93,buy
2019-10-24 00:00:00,138.76,sell
2020-02-27 00:00:00,132.77,buy
2020-02-28 00:00:00,133.24,buy
2020-03-02 00:00:00,140.09,buy
2020-03-10 00:00:00,130.22,buy
2020-03-13 00:00:00,119.14,buy
2020-03-24 00:00:00,98.62,buy
2020-06-04 00:00:00,133.57,sell
2020-06-05 00:00:00,137.8,sell
2020-06-08 00:00:00,137.76,sell
2020-07-16 00:00:00,131.61,sell
2020-08-10 00:00:00,144.58,sell
2020-08-11 00:00:00,144.54,sell
2020-08-12 00:00:00,147.05,sell
2020-08-13 00:00:00,146.63,sell
2020-09-24 00:00:00,132.96,buy
2020-10-26 00:00:00,149.0,sell
2021-01-08 00:00:00,167.44,sell
2021-01-12 00:00:00,171.92,sell
2021-01-13 00:00:00,165.66,sell
2021-02-23 00:00:00,180.25,sell
2021-02-24 00:00:00,177.99,sell
2021-06-17 00:00:00,176.52,buy
2021-06-18 00:00:00,175.31,buy
2021-06-21 00:00:00,180.07,buy
2021-09-14 00:00:00,191.16,buy
2021-10-21 00:00:00,190.81,sell
2021-10-29 00:00:00,199.37,sell
2021-11-01 00:00:00,200.62,sell
2021-12-01 00:00:00,196.05,buy
2021-12-02 00:00:00,202.46,buy
2022-01-26 00:00:00,186.24,buy
2022-01-27 00:00:00,182.75,buy
2022-01-28 00:00:00,182.78,buy
2022-02-24 00:00:00,176.14,buy
2022-04-29 00:00:00,195.36,sell
2022-06-21 00:00:00,174.12,buy
2022-07-22 00:00:00,193.69,sell
2022-07-27 00:00:00,209.71,sell
2022-07-28 00:00:00,217.16,sell
2022-07-29 00:00:00,219.02,sell
2022-08-01 00:00:00,214.77,sell
2022-11-11 00:00:00,250.61,sell
2023-04-26 00:00:00,260.02,sell
2023-04-27 00:00:00,266.99,sell
2023-04-28 00:00:00,269.32,sell
2023-05-01 00:00:00,272.86,sell
2023-05-02 00:00:00,279.78,sell
2023-05-03 00:00:00,273.27,sell
2023-05-30 00:00:00,288.88,sell
2023-06-08 00:00:00,305.66,sell
2023-08-30 00:00:00,326.76,sell
2023-11-21 00:00:00,297.43,sell
2023-12-13 00:00:00,314.92,sell
2023-12-15 00:00:00,325.43,sell
2023-12-18 00:00:00,325.11,sell
2024-03-05 00:00:00,380.65,sell
2024-04-22 00:00:00,390.56,buy
2024-05-01 00:00:00,373.3,buy
2024-05-02 00:00:00,372.94,buy
2024-09-03 00:00:00,378.96,sell
2024-10-10 00:00:00,443.45,sell
2024-10-14 00:00:00,460.5,sell
2024-10-15 00:00:00,451.39,sell
2024-11-01 00:00:00,425.7,buy
2024-11-04 00:00:00,424.92,buy
2024-12-19 00:00:00,424.55,buy
2024-12-20 00:00:00,426.8,buy
2025-01-23 00:00:00,453.79,sell
