time,price,signal,label
2021-06-01,35.61,sell,3.0
2021-06-21,34.07,buy,2.0
2021-07-19,30.49,buy,1.0
2021-07-20,31.89,buy,2.0
2021-10-27,29.38,buy,1.0
2021-10-28,29.7,buy,1.0
2021-11-08,32.76,sell,3.0
2021-11-29,28.5,buy,1.0
2021-11-30,28.13,buy,1.0
2021-12-02,28.8,buy,1.0
2022-01-05,33.32,sell,4.0
2022-01-28,30.76,buy,1.0
2022-06-03,36.63,sell,3.0
2022-07-20,34.85,sell,4.0
2022-07-21,34.75,sell,4.0
2022-08-01,37.35,sell,3.0
2022-08-02,37.2,sell,3.0
2022-09-01,35.05,buy,2.0
2022-09-02,35.02,buy,2.0
2023-02-15,43.41,sell,3.0
2023-02-16,42.95,sell,3.0
2023-06-30,49.56,sell,3.0
2023-07-03,49.13,sell,4.0
2023-11-03,47.98,sell,4.0
2024-01-12,55.54,sell,4.0
2024-02-08,59.17,sell,4.0
2024-02-14,63.38,sell,4.0
2024-02-15,63.27,sell,4.0
2024-02-16,62.82,sell,4.0
2024-05-03,78.89,sell,4.0
2024-05-06,80.18,sell,3.0
2024-05-07,79.83,sell,4.0
2024-05-08,81.42,sell,3.0
2024-06-17,80.0,buy,2.0
2024-07-31,95.7,sell,4.0
2024-08-01,94.87,sell,4.0
2024-08-02,90.16,sell,4.0
2024-12-19,109.35,buy,1.0
