time,price,signal,label
2009-01-08,64.8,buy,2.0
2009-03-16,68.7,sell,4.0
2009-03-17,72.2,sell,4.0
2009-03-18,77.76,sell,4.0
2009-03-19,73.95,sell,4.0
2009-06-03,112.5,sell,3.0
2009-06-05,114.86,sell,3.0
2009-07-10,84.7,buy,1.0
2009-07-13,89.02,buy,1.0
2009-10-19,106.03,sell,4.0
2009-12-29,112.83,sell,3.0
2009-12-30,113.41,sell,3.0
2010-01-25,101.18,buy,2.0
2010-01-27,97.0,buy,1.0
2010-06-17,122.33,sell,3.0
2010-07-06,103.91,buy,2.0
2010-07-07,106.78,buy,2.0
2010-08-16,98.21,buy,2.0
2011-01-10,114.09,buy,1.0
2011-01-12,115.4,buy,2.0
2011-02-02,120.29,sell,4.0
2011-02-11,128.78,sell,3.0
2011-02-14,130.46,sell,3.0
2011-02-15,126.74,sell,3.0
2011-05-05,114.06,buy,1.0
2011-05-06,117.6,buy,2.0
2011-06-07,113.85,buy,1.0
2011-07-05,128.51,sell,3.0
2011-07-06,127.83,sell,3.0
2011-08-04,110.84,buy,2.0
2011-08-05,110.16,buy,2.0
2011-08-08,103.91,buy,1.0
2011-08-09,113.0,buy,2.0
2012-02-07,122.77,sell,4.0
2012-02-09,131.93,sell,4.0
2012-02-10,134.83,sell,4.0
2012-02-13,133.74,sell,4.0
2012-04-05,138.6,buy,2.0
2012-12-24,125.04,buy,2.0
2012-12-26,125.0,buy,2.0
2013-01-22,134.11,sell,4.0
2013-01-23,133.56,sell,4.0
2013-01-31,138.75,sell,4.0
2013-02-08,149.0,sell,4.0
2013-05-03,172.02,sell,4.0
2013-05-06,171.68,sell,4.0
2013-10-04,193.65,sell,4.0
2013-10-07,193.0,sell,4.0
2013-10-08,189.66,sell,4.0
2013-11-21,215.71,sell,4.0
2013-11-22,217.41,sell,4.0
2013-11-25,216.32,sell,4.0
2013-12-19,222.63,sell,3.0
2014-01-16,209.33,buy,2.0
2014-01-17,206.87,buy,2.0
2014-01-21,208.0,buy,2.0
2014-09-17,201.83,sell,4.0
2014-09-18,204.05,sell,4.0
2014-09-19,203.8,sell,3.0
2014-09-22,200.76,sell,4.0
2014-11-05,217.42,sell,4.0
2014-11-06,219.92,sell,4.0
2014-11-07,218.54,sell,4.0
2015-01-14,208.0,buy,1.0
2015-01-15,205.68,buy,1.0
2015-01-16,209.4,buy,1.0
2015-02-06,228.72,sell,4.0
2015-02-10,231.3,sell,3.0
2015-02-11,231.84,sell,3.0
2015-04-22,225.61,buy,2.0
2015-05-12,239.94,sell,3.0
2015-05-13,240.08,sell,3.0
2015-06-30,223.61,buy,2.0
2015-10-28,257.67,sell,3.0
2015-10-29,261.84,sell,3.0
2015-10-30,252.4,sell,4.0
2015-12-14,245.58,buy,2.0
2016-04-20,242.6,sell,4.0
2016-05-05,254.02,sell,4.0
2016-06-20,252.2,buy,2.0
2016-08-04,278.34,sell,4.0
2016-08-05,278.07,sell,4.0
2016-08-08,276.8,sell,4.0
2016-09-27,273.53,buy,2.0
2016-09-28,270.96,buy,2.0
2016-09-29,268.4,buy,2.0
2016-09-30,269.36,buy,2.0
2016-11-07,54.43,buy,1.0
2016-11-08,54.51,buy,1.0
2016-11-09,57.34,buy,2.0
2016-12-08,59.46,sell,3.0
2016-12-09,59.66,sell,3.0
2017-02-08,57.04,sell,4.0
2017-03-17,61.4,sell,3.0
2017-06-06,61.55,sell,4.0
2017-06-08,63.79,sell,4.0
2017-06-09,63.97,sell,4.0
2017-06-12,64.43,sell,4.0
2017-09-28,68.54,sell,3.0
2017-09-29,68.7,sell,3.0
2017-10-03,69.88,sell,3.0
2017-10-04,70.46,sell,3.0
2017-10-05,70.96,sell,3.0
2017-10-06,69.03,sell,3.0
2017-10-24,65.24,buy,1.0
2017-10-25,65.91,buy,2.0
2017-11-29,69.8,sell,4.0
2017-11-30,71.45,sell,4.0
2017-12-01,72.07,sell,4.0
2017-12-04,71.83,sell,4.0
2018-01-10,74.46,sell,3.0
2018-01-11,74.38,sell,3.0
2018-02-08,67.0,buy,1.0
2018-02-09,68.45,buy,1.0
2018-02-12,68.6,buy,1.0
2018-07-05,72.7,buy,1.0
2018-07-19,75.76,sell,3.0
2018-09-04,77.34,sell,3.0
2018-09-05,76.71,sell,3.0
2018-10-12,73.3,buy,1.0
2018-11-09,79.08,sell,3.0
2018-12-19,75.08,buy,2.0
2018-12-21,72.82,buy,1.0
2018-12-24,70.68,buy,1.0
2018-12-26,73.25,buy,2.0
2019-04-02,77.37,sell,4.0
2019-04-03,77.42,sell,4.0
2019-04-04,77.26,sell,4.0
2019-06-06,85.19,sell,4.0
2019-06-07,85.38,sell,4.0
2019-06-10,86.08,sell,4.0
2019-06-11,84.94,sell,4.0
2019-07-08,89.41,sell,4.0
2019-07-09,89.6,sell,4.0
2019-07-12,91.55,sell,4.0
2019-12-13,91.91,buy,1.0
2020-01-06,94.7,sell,4.0
2020-01-31,99.74,sell,3.0
2020-08-10,99.16,sell,4.0
2020-08-17,104.05,sell,3.0
2020-08-18,104.38,sell,3.0
2020-08-19,103.53,sell,3.0
2020-10-29,95.7,buy,1.0
2020-12-02,106.56,sell,4.0
2021-01-28,112.61,buy,2.0
2021-04-12,117.71,sell,3.0
2021-04-13,118.72,sell,3.0
2021-04-14,118.19,sell,3.0
2021-04-16,120.73,sell,3.0
2021-05-07,114.81,buy,2.0
2021-06-24,118.09,sell,4.0
2021-06-25,119.32,sell,4.0
2021-06-28,118.79,sell,4.0
2021-08-16,118.04,buy,2.0
2021-08-19,116.38,buy,2.0
2021-10-11,127.57,sell,4.0
2021-10-12,127.54,sell,4.0
2021-11-29,131.9,buy,2.0
2022-01-18,126.38,buy,2.0
2022-01-19,125.81,buy,2.0
2022-03-07,132.39,sell,3.0
2022-04-13,125.83,buy,2.0
2022-04-19,122.93,buy,2.0
2022-04-25,116.85,buy,2.0
2022-04-27,116.7,buy,2.0
2022-05-06,99.81,buy,2.0
2022-05-09,96.99,buy,2.0
2022-05-10,96.47,buy,2.0
2022-06-21,93.81,buy,1.0
2022-08-05,105.02,sell,3.0
2022-09-22,94.06,buy,2.0
2022-11-14,104.1,sell,4.0
2023-01-12,109.03,sell,3.0
2023-01-13,107.63,sell,3.0
2023-02-27,101.51,buy,2.0
2023-02-28,101.8,buy,2.0
2023-03-13,97.67,buy,1.0
2023-04-05,106.22,sell,4.0
2023-04-10,106.38,sell,4.0
2023-06-16,111.68,sell,4.0
2023-07-13,117.04,sell,3.0
2023-07-14,117.51,sell,3.0
2023-07-17,116.64,sell,3.0
2023-08-04,114.0,buy,2.0
2023-08-30,117.9,sell,3.0
