time,price,signal,label
2018-07-27,97.72,sell,4.0
2018-08-22,99.52,sell,4.0
2018-10-11,95.93,buy,2.0
2018-10-12,97.14,buy,2.0
2018-10-22,93.0,buy,1.0
2018-11-09,102.86,sell,3.0
2018-12-24,86.31,buy,1.0
2018-12-26,89.61,buy,1.0
2019-04-05,112.6,sell,4.0
2019-04-30,122.61,sell,4.0
2019-05-01,122.05,sell,4.0
2019-05-02,123.27,sell,4.0
2019-05-03,124.69,sell,3.0
2019-05-06,123.44,sell,3.0
2019-08-06,119.49,buy,2.0
2019-10-03,117.61,buy,2.0
2019-10-04,118.56,buy,2.0
2019-10-08,113.02,buy,1.0
2019-10-09,114.1,buy,1.0
2019-10-29,127.87,sell,4.0
2019-10-30,127.79,sell,4.0
2019-10-31,126.89,sell,4.0
2019-11-05,130.76,sell,4.0
2020-02-06,142.41,sell,3.0
2020-02-11,144.36,sell,3.0
2020-03-02,32.8,buy,2.0
2020-03-03,31.7,buy,2.0
2020-03-04,30.95,buy,2.0
2020-03-05,26.83,buy,2.0
2020-03-06,27.79,buy,2.0
2020-04-30,29.08,sell,3.0
2020-06-08,35.03,sell,3.0
2020-06-09,33.09,sell,3.0
2020-07-16,30.68,sell,4.0
2020-07-17,30.65,sell,4.0
2020-07-21,31.65,sell,4.0
2020-08-11,35.86,sell,3.0
2020-08-12,35.61,sell,3.0
2020-08-13,35.12,sell,4.0
2020-11-10,42.75,sell,4.0
2020-11-11,42.61,sell,4.0
2021-01-28,42.64,buy,1.0
2021-02-25,46.35,sell,4.0
2021-03-08,50.55,sell,3.0
2021-03-09,48.09,sell,4.0
2021-06-18,45.5,buy,1.0
2021-06-21,46.92,buy,2.0
2021-10-01,50.87,buy,1.0
2021-11-10,58.39,sell,4.0
2022-01-26,55.94,buy,2.0
2022-01-28,55.12,buy,2.0
2022-02-24,50.33,buy,2.0
2022-02-25,51.43,buy,2.0
2022-03-02,50.44,buy,2.0
2022-03-07,44.9,buy,1.0
2022-03-08,45.94,buy,1.0
2022-04-11,46.42,buy,2.0
2022-04-12,46.25,buy,2.0
2022-05-31,47.15,sell,3.0
2022-06-21,41.86,buy,2.0
2022-07-29,49.8,sell,4.0
2022-08-01,49.13,sell,3.0
2022-09-28,44.11,buy,1.0
2022-11-07,53.24,sell,4.0
2023-01-11,56.78,sell,4.0
2023-01-13,57.53,sell,3.0
2023-03-16,53.52,buy,1.0
2023-03-20,53.91,buy,1.0
2023-09-22,64.5,buy,2.0
2023-12-12,74.26,sell,4.0
2023-12-13,73.7,sell,4.0
2024-02-05,82.91,sell,4.0
2024-02-08,85.38,sell,4.0
2024-02-09,85.9,sell,4.0
2024-02-20,86.74,sell,4.0
2024-04-18,88.97,buy,1.0
2024-04-19,88.4,buy,1.0
2024-04-22,88.63,buy,2.0
2024-07-17,98.02,sell,3.0
2024-08-06,88.15,buy,1.0
2024-11-04,94.61,buy,1.0
2024-12-17,97.55,buy,2.0
2024-12-18,92.87,buy,2.0
2024-12-19,91.26,buy,2.0
2024-12-20,92.28,buy,2.0
2024-12-23,91.79,buy,2.0
