time,price,signal
2002-03-08 00:00:00,13.05,sell
2002-03-11 00:00:00,13.08,sell
2002-06-07 00:00:00,11.3,buy
2002-07-16 00:00:00,8.51,buy
2002-07-17 00:00:00,9.65,buy
2002-09-25 00:00:00,8.11,buy
2002-09-27 00:00:00,8.0,buy
2002-10-07 00:00:00,6.11,buy
2002-10-08 00:00:00,6.3,buy
2002-12-06 00:00:00,10.51,sell
2003-01-27 00:00:00,8.45,buy
2003-01-28 00:00:00,8.6,buy
2003-02-10 00:00:00,7.5,buy
2003-02-11 00:00:00,7.6,buy
2003-03-11 00:00:00,6.9,buy
2003-04-22 00:00:00,7.83,sell
2003-04-24 00:00:00,7.96,sell
2003-07-17 00:00:00,7.98,sell
2003-08-04 00:00:00,9.85,sell
2003-09-04 00:00:00,11.44,sell
2003-09-05 00:00:00,11.45,sell
2003-09-08 00:00:00,11.61,sell
2003-09-09 00:00:00,11.42,sell
2003-09-22 00:00:00,12.19,sell
2003-12-16 00:00:00,11.27,buy
2003-12-17 00:00:00,11.33,buy
2004-04-02 00:00:00,12.67,sell
2004-04-05 00:00:00,12.85,sell
2004-04-06 00:00:00,12.71,sell
2004-08-10 00:00:00,12.16,buy
2004-12-29 00:00:00,12.73,sell
2007-09-18 00:00:00,23.04,sell
2007-09-19 00:00:00,23.14,sell
2007-09-20 00:00:00,23.54,sell
2007-09-21 00:00:00,23.74,sell
2007-10-31 00:00:00,21.9,buy
2007-11-01 00:00:00,20.92,buy
2007-11-02 00:00:00,21.42,buy
2008-02-13 00:00:00,18.53,sell
2008-02-14 00:00:00,17.92,sell
2008-07-23 00:00:00,22.13,sell
2008-07-31 00:00:00,24.36,sell
2008-08-12 00:00:00,26.99,sell
2008-10-07 00:00:00,17.84,buy
2009-02-06 00:00:00,11.72,buy
2009-02-11 00:00:00,11.11,buy
2009-03-10 00:00:00,9.14,buy
2009-03-26 00:00:00,11.54,sell
2009-03-27 00:00:00,10.84,sell
2009-05-11 00:00:00,14.3,sell
2009-05-28 00:00:00,15.58,sell
2009-06-03 00:00:00,15.86,sell
2009-07-24 00:00:00,17.27,sell
2009-09-24 00:00:00,18.04,sell
2009-10-09 00:00:00,19.38,sell
2009-10-12 00:00:00,19.51,sell
