time,price,signal,label
1985-01-17,37.5,sell,4.0
1985-01-18,36.63,sell,4.0
1985-01-24,37.88,sell,4.0
1985-02-11,40.88,sell,3.0
1985-04-12,39.5,sell,4.0
1985-04-15,40.25,sell,4.0
1985-04-16,40.0,sell,4.0
1985-04-18,40.5,sell,4.0
1985-07-05,42.63,sell,3.0
1985-07-08,43.38,sell,3.0
1985-07-09,43.5,sell,3.0
1985-07-10,43.5,sell,3.0
1985-07-12,43.75,sell,3.0
1985-09-16,35.38,buy,2.0
1985-09-17,36.0,buy,2.0
1985-11-13,40.75,sell,4.0
1985-12-06,43.75,sell,4.0
1985-12-09,44.0,sell,4.0
1985-12-10,44.38,sell,3.0
1985-12-11,44.63,sell,3.0
1986-02-28,48.0,sell,4.0
1986-03-03,47.25,sell,4.0
1986-03-10,50.0,sell,4.0
1986-03-12,52.5,sell,3.0
1986-03-13,51.0,sell,4.0
1986-05-08,51.25,buy,2.0
1986-05-09,50.88,buy,2.0
1986-05-12,50.25,buy,2.0
1986-05-13,49.25,buy,1.0
1986-05-14,50.0,buy,2.0
1986-07-16,46.38,buy,2.0
1986-07-17,46.25,buy,2.0
1986-09-10,45.63,buy,2.0
1986-09-11,44.38,buy,2.0
1986-09-12,42.75,buy,1.0
1986-09-15,43.63,buy,2.0
1986-12-03,47.0,sell,3.0
1987-04-15,41.13,buy,2.0
1987-04-16,41.25,buy,1.0
1987-08-12,43.88,sell,3.0
1987-08-13,45.25,sell,3.0
1987-08-14,44.13,sell,3.0
1987-10-20,25.25,buy,1.0
1987-10-21,28.0,buy,2.0
1987-12-01,25.62,buy,2.0
1987-12-02,26.12,buy,2.0
1987-12-04,24.25,buy,2.0
1987-12-07,23.75,buy,2.0
1987-12-08,24.25,buy,2.0
1987-12-16,21.87,buy,2.0
1988-02-17,23.12,sell,4.0
1988-03-28,22.37,buy,2.0
1988-04-04,21.5,buy,1.0
1988-05-16,26.5,sell,4.0
1988-05-17,26.25,sell,4.0
