time,price,signal,label
2021-01-07,114.82,sell,3.0
2021-01-08,113.52,sell,3.0
2021-01-28,104.63,buy,1.0
2021-02-01,101.66,buy,1.0
2021-03-11,125.06,sell,4.0
2021-03-12,126.46,sell,4.0
2021-03-15,125.88,sell,4.0
2021-05-11,140.14,sell,3.0
2021-06-18,129.68,buy,1.0
2021-06-21,132.82,buy,2.0
2021-10-26,138.27,sell,4.0
2021-11-09,144.51,sell,3.0
2021-12-20,132.83,buy,2.0
2022-01-19,128.98,buy,2.0
2022-01-21,127.96,buy,2.0
2022-03-16,135.68,sell,4.0
2022-03-17,138.03,sell,4.0
2022-03-18,141.22,sell,3.0
2022-03-21,139.89,sell,3.0
2022-04-20,147.41,sell,3.0
2022-05-10,130.16,buy,2.0
2022-05-11,130.73,buy,2.0
2022-06-14,124.32,buy,2.0
2022-06-15,124.68,buy,2.0
2022-06-17,118.69,buy,1.0
2022-06-21,121.88,buy,1.0
2022-07-26,130.8,sell,3.0
2022-07-28,135.75,sell,3.0
2022-07-29,137.3,sell,3.0
2022-08-01,129.52,sell,3.0
2022-09-06,119.91,buy,2.0
2022-09-28,110.47,buy,1.0
2022-11-14,124.08,sell,3.0
2023-07-07,121.23,sell,4.0
2023-07-12,124.43,sell,4.0
2023-08-09,136.37,sell,3.0
2023-08-10,136.7,sell,3.0
2023-08-11,136.46,sell,3.0
2024-01-12,133.83,sell,4.0
2024-01-16,132.07,sell,4.0
2024-02-08,143.17,sell,4.0
2024-02-09,145.52,sell,4.0
2024-02-12,145.52,sell,4.0
2024-03-14,149.33,sell,3.0
2024-04-01,151.23,sell,3.0
2024-07-17,149.55,sell,3.0
2024-07-18,148.75,sell,3.0
2024-09-26,154.61,sell,3.0
2024-09-27,155.53,sell,3.0
