time,price,signal,label
2021-10-05,33.43,buy,1.0
2021-12-01,33.56,buy,1.0
2021-12-02,34.16,buy,1.0
2022-01-18,38.15,sell,3.0
2022-02-25,38.3,buy,2.0
2022-05-19,34.33,buy,1.0
2022-05-20,34.58,buy,2.0
2022-07-27,37.11,sell,4.0
2022-07-29,38.74,sell,3.0
2022-08-01,38.91,sell,3.0
2022-08-02,38.56,sell,3.0
2022-09-07,38.34,buy,2.0
2022-09-28,36.57,buy,1.0
2022-12-19,36.32,buy,2.0
2023-02-17,35.67,sell,3.0
2023-04-28,32.7,buy,2.0
2023-05-01,32.57,buy,2.0
2023-05-02,32.54,buy,2.0
2023-05-03,32.79,buy,2.0
2023-05-31,31.12,buy,2.0
2023-07-21,32.58,sell,4.0
2023-07-28,33.92,sell,3.0
2023-07-31,34.01,sell,3.0
2023-08-01,34.13,sell,3.0
2023-09-29,31.57,buy,2.0
2023-10-03,31.09,buy,2.0
2023-10-06,30.07,buy,2.0
2023-10-13,28.11,buy,1.0
2024-03-27,30.59,sell,4.0
2024-04-02,30.92,sell,4.0
2024-04-25,33.84,sell,4.0
2024-04-26,33.72,sell,4.0
2024-04-29,33.7,sell,4.0
2024-04-30,33.7,sell,4.0
2024-07-10,31.95,buy,1.0
2024-07-29,34.16,sell,4.0
2024-07-30,34.12,sell,4.0
2024-07-31,34.28,sell,4.0
2024-08-02,35.07,sell,4.0
2024-08-05,34.3,sell,4.0
2024-09-04,37.23,sell,3.0
2024-10-08,36.2,buy,2.0
2024-10-29,32.88,buy,2.0
2024-10-30,32.99,buy,2.0
2024-10-31,32.95,buy,2.0
