time,price,signal,label
2001-12-18,19.7,sell,3.0
2001-12-19,19.8,sell,3.0
2001-12-20,19.75,sell,3.0
2002-01-30,18.7,buy,2.0
2002-01-31,18.76,buy,2.0
2002-02-01,18.88,buy,2.0
2002-04-29,21.55,sell,4.0
2002-05-02,22.65,sell,4.0
2002-05-03,22.38,sell,4.0
2002-05-07,23.48,sell,4.0
2002-05-09,24.52,sell,4.0
2002-05-10,24.43,sell,3.0
2002-07-22,21.26,buy,1.0
2002-07-23,22.96,buy,1.0
2002-10-07,22.36,buy,1.0
2002-12-19,20.09,buy,1.0
2002-12-20,21.25,buy,2.0
2003-03-17,23.7,sell,4.0
2003-03-18,23.62,sell,4.0
2003-03-19,23.98,sell,4.0
2003-03-20,24.22,sell,4.0
2003-03-21,24.6,sell,4.0
2003-03-24,23.73,sell,4.0
2003-05-16,25.6,sell,4.0
2003-05-19,25.59,sell,4.0
2003-05-20,25.9,sell,4.0
2003-05-21,26.0,sell,4.0
2003-09-22,27.14,sell,4.0
2003-12-23,30.03,sell,4.0
2003-12-26,30.0,sell,4.0
2004-02-02,31.78,sell,4.0
2004-02-09,32.1,sell,4.0
2004-03-08,34.12,sell,3.0
2004-08-03,34.82,sell,4.0
2004-08-04,34.56,sell,4.0
2004-09-03,34.82,sell,4.0
2004-09-14,35.58,sell,4.0
2004-09-15,35.56,sell,4.0
2004-09-16,35.95,sell,4.0
2004-09-17,35.5,sell,4.0
2004-10-29,38.9,sell,4.0
2004-11-01,39.16,sell,4.0
2004-11-02,39.43,sell,4.0
2004-11-04,39.9,sell,4.0
2004-12-02,41.68,sell,3.0
2004-12-03,41.52,sell,3.0
2004-12-31,43.42,sell,3.0
2009-09-17,24.55,buy,2.0
2009-09-18,24.55,buy,2.0
2009-09-21,22.24,buy,2.0
2009-09-22,22.36,buy,2.0
2009-12-14,26.58,sell,4.0
2009-12-15,25.91,sell,4.0
2010-03-19,29.66,sell,3.0
2010-04-20,27.12,buy,2.0
2010-04-21,25.69,buy,2.0
2010-04-22,26.06,buy,2.0
2010-04-23,26.24,buy,2.0
2010-05-11,21.76,buy,2.0
2010-06-07,18.75,buy,1.0
2010-06-08,18.96,buy,1.0
2010-09-13,25.35,sell,4.0
2010-09-14,25.09,sell,4.0
2011-01-07,29.29,sell,4.0
2011-01-10,28.73,sell,4.0
2011-03-01,31.35,sell,4.0
2011-03-31,33.91,sell,4.0
