time,price,signal
2023-07-13 00:00:00,313.41,sell
2023-07-14 00:00:00,308.87,sell
2023-09-15 00:00:00,300.31,sell
2023-10-12 00:00:00,324.16,sell
2023-11-15 00:00:00,332.71,sell
2024-02-05 00:00:00,459.41,sell
2024-02-06 00:00:00,454.72,sell
2024-04-08 00:00:00,519.25,sell
2024-04-26 00:00:00,443.29,buy
2024-04-29 00:00:00,432.62,buy
2024-04-30 00:00:00,430.17,buy
2024-06-11 00:00:00,507.47,sell
2024-06-12 00:00:00,508.84,sell
2024-08-14 00:00:00,526.76,sell
2024-09-09 00:00:00,504.79,buy
2024-09-20 00:00:00,561.35,sell
2024-09-23 00:00:00,564.41,sell
2024-09-24 00:00:00,563.33,sell
2024-12-09 00:00:00,613.57,sell
2025-01-30 00:00:00,687.0,sell
2025-01-31 00:00:00,689.18,sell
