time,price,signal,label
2010-12-08,17.75,sell,3.0
2011-01-24,15.29,buy,2.0
2011-03-11,13.89,buy,2.0
2011-04-25,15.4,sell,4.0
2011-04-27,16.09,sell,3.0
2011-04-28,16.0,sell,3.0
2011-05-02,16.72,sell,3.0
2011-06-20,14.34,buy,2.0
2011-07-18,13.6,buy,2.0
2011-10-04,10.3,buy,1.0
2012-01-20,17.59,sell,4.0
2012-01-23,17.12,sell,4.0
2012-02-28,19.27,sell,3.0
2012-05-02,21.35,sell,3.0
2012-05-23,18.62,buy,2.0
2012-05-24,18.21,buy,1.0
2012-05-25,18.5,buy,1.0
2012-07-25,17.87,buy,1.0
2012-09-27,19.99,buy,2.0
2012-10-04,18.32,buy,2.0
2012-10-05,18.26,buy,1.0
2012-11-02,19.0,sell,4.0
2012-12-04,21.43,sell,4.0
2013-02-11,24.83,sell,3.0
2013-02-12,25.0,sell,3.0
2013-02-13,24.98,sell,3.0
2013-04-19,20.99,buy,1.0
2013-04-22,21.24,buy,1.0
2013-07-16,26.01,sell,4.0
2013-07-17,26.33,sell,4.0
2013-07-18,26.15,sell,4.0
2013-08-08,28.77,sell,4.0
2013-08-09,28.34,sell,4.0
2013-08-13,29.35,sell,4.0
2013-08-14,28.97,sell,4.0
2013-10-25,32.29,buy,2.0
2013-11-29,33.4,sell,4.0
2014-02-05,31.36,buy,1.0
2014-02-06,32.41,buy,1.0
2014-03-19,38.41,sell,3.0
2014-05-28,39.47,sell,4.0
2014-06-10,41.76,sell,3.0
2014-06-11,41.41,sell,4.0
2014-08-14,43.7,sell,4.0
2014-08-21,45.7,sell,3.0
2014-10-10,35.62,buy,1.0
2014-10-13,34.68,buy,1.0
2014-10-14,34.47,buy,1.0
2014-10-15,36.21,buy,1.0
2014-11-28,48.13,sell,3.0
2014-12-04,49.16,sell,3.0
2015-02-23,52.22,sell,4.0
2015-07-01,50.93,buy,2.0
2015-07-09,47.78,buy,2.0
2015-07-10,48.65,buy,2.0
2015-08-21,46.92,buy,1.0
2015-08-24,45.5,buy,1.0
2015-08-25,45.29,buy,1.0
2015-08-26,47.14,buy,2.0
2015-10-09,54.99,sell,4.0
2015-10-28,63.02,sell,4.0
2015-10-29,61.73,sell,4.0
2015-11-25,67.87,sell,3.0
2016-01-07,57.21,buy,1.0
2016-01-08,57.37,buy,1.0
2016-01-11,58.48,buy,2.0
2016-03-07,61.51,sell,4.0
2016-04-14,65.26,sell,4.0
2016-05-26,67.86,sell,4.0
2016-05-27,68.52,sell,4.0
