time,price,signal,label
2017-02-02,17.0,buy,2.0
2017-02-27,16.4,buy,2.0
2017-03-01,16.43,buy,2.0
2017-04-13,17.22,sell,4.0
2017-04-20,18.03,sell,4.0
2017-06-13,17.66,buy,1.0
2017-06-14,17.53,buy,2.0
2017-06-15,17.0,buy,1.0
2017-06-16,17.03,buy,1.0
2017-07-19,19.01,sell,4.0
2017-07-20,18.54,sell,4.0
2017-08-31,21.75,sell,4.0
2017-09-01,22.35,sell,4.0
2017-09-05,23.4,sell,4.0
2017-09-06,23.27,sell,4.0
2017-09-07,22.97,sell,4.0
2017-10-05,25.22,sell,4.0
2017-11-09,28.56,sell,4.0
2018-02-15,41.38,sell,4.0
2018-03-15,46.71,sell,3.0
2018-05-03,36.27,buy,1.0
2018-05-07,35.4,buy,1.0
2018-08-10,50.82,sell,4.0
2018-08-13,49.99,sell,4.0
2018-08-14,48.45,sell,4.0
2018-09-12,56.05,sell,3.0
2018-09-13,59.58,sell,3.0
2018-09-14,59.21,sell,3.0
2018-09-17,58.09,sell,3.0
2018-11-08,43.67,buy,2.0
2018-11-13,41.78,buy,2.0
2019-01-25,52.37,sell,4.0
2019-01-28,52.49,sell,4.0
2019-03-08,53.03,buy,1.0
2019-03-11,53.58,buy,1.0
2019-05-09,67.15,sell,4.0
2019-05-10,67.27,sell,4.0
2019-05-14,67.92,sell,4.0
2019-05-16,74.02,sell,3.0
2019-05-17,72.89,sell,3.0
2019-07-19,76.02,sell,4.0
2019-08-08,87.17,sell,3.0
2019-09-12,76.17,buy,2.0
2019-11-06,67.04,buy,1.0
2019-11-07,69.7,buy,2.0
2019-12-20,79.86,sell,4.0
2019-12-23,80.18,sell,3.0
2019-12-24,80.94,sell,3.0
2019-12-26,82.51,sell,3.0
2019-12-27,84.03,sell,3.0
2020-02-03,80.72,buy,2.0
2020-02-06,79.51,buy,2.0
2020-02-26,66.04,buy,2.0
2020-02-27,64.8,buy,2.0
2020-02-28,65.0,buy,2.0
2020-03-13,60.47,buy,1.0
2020-03-23,48.71,buy,1.0
2020-06-03,94.01,sell,4.0
2020-06-30,107.05,sell,3.0
2020-07-01,105.67,sell,3.0
2020-08-06,113.97,sell,4.0
2020-09-09,105.56,buy,1.0
2020-10-02,111.94,sell,4.0
2020-10-28,118.52,sell,4.0
2020-11-06,132.56,sell,4.0
2020-12-07,146.07,sell,4.0
2021-01-28,141.52,buy,1.0
2021-04-28,159.13,sell,3.0
2021-06-23,161.53,sell,3.0
2021-06-24,164.27,sell,3.0
2021-06-25,161.99,sell,3.0
2021-08-11,140.45,buy,1.0
2021-09-08,158.29,sell,3.0
2021-09-09,157.71,sell,3.0
2021-09-13,162.01,sell,3.0
2021-11-24,137.41,buy,2.0
2022-01-19,116.27,buy,2.0
2022-01-20,118.66,buy,2.0
2022-03-08,87.7,buy,1.0
2022-03-09,98.93,buy,1.0
2022-04-21,77.66,buy,2.0
2022-04-22,77.3,buy,2.0
2022-04-25,82.48,buy,2.0
2022-08-23,57.75,buy,2.0
2023-01-23,52.07,sell,3.0
2023-01-24,50.85,sell,3.0
2023-03-10,35.49,buy,1.0
2023-03-13,34.79,buy,1.0
2023-03-14,36.74,buy,2.0
2023-06-02,38.97,sell,4.0
2023-06-05,38.73,sell,4.0
2023-06-06,39.72,sell,4.0
2023-06-07,39.32,sell,4.0
2023-07-13,47.62,sell,3.0
2023-07-14,48.07,sell,3.0
2023-07-17,48.49,sell,3.0
2023-07-18,47.95,sell,3.0
2023-11-02,29.18,buy,1.0
2023-11-03,29.44,buy,1.0
2023-11-06,28.45,buy,1.0
2023-11-07,29.99,buy,1.0
2023-12-29,36.5,sell,4.0
2024-01-10,38.78,sell,3.0
2024-04-17,32.28,buy,2.0
2024-07-02,29.45,buy,1.0
2024-07-17,35.55,sell,3.0
2024-07-18,34.99,sell,3.0
2024-07-19,34.67,sell,4.0
2024-08-01,37.57,sell,3.0
2024-11-04,36.23,buy,2.0
2024-11-08,30.56,buy,1.0
2024-11-11,31.94,buy,2.0
