time,price,signal,label
1983-04-11,38.02,buy,1.0
1983-05-27,51.51,sell,4.0
1983-05-31,49.91,sell,4.0
1983-07-19,47.89,buy,1.0
1983-08-26,46.87,buy,2.0
1983-10-27,48.06,sell,4.0
1983-12-12,46.27,buy,1.0
1983-12-13,46.41,buy,1.0
1984-01-06,50.99,sell,3.0
1984-01-09,51.06,sell,3.0
1984-01-10,51.2,sell,3.0
1984-01-13,51.9,sell,3.0
1984-02-02,48.38,buy,2.0
1984-02-06,46.7,buy,2.0
1984-02-07,46.27,buy,2.0
1984-03-13,42.99,buy,2.0
1984-03-14,42.28,buy,2.0
1984-03-15,41.79,buy,2.0
1984-03-16,42.71,buy,2.0
1984-04-25,46.45,sell,4.0
1984-04-26,46.24,sell,4.0
1984-06-11,49.34,sell,4.0
1984-06-12,50.47,sell,4.0
1984-06-13,51.75,sell,3.0
1984-06-14,51.18,sell,4.0
1984-06-19,53.32,sell,4.0
1984-06-20,53.67,sell,4.0
1984-06-21,51.33,sell,4.0
1984-08-02,55.95,sell,3.0
1984-08-03,57.72,sell,3.0
1984-08-06,58.36,sell,3.0
1984-08-07,58.72,sell,3.0
1984-08-08,58.15,sell,3.0
1984-09-12,19.96,buy,2.0
1984-09-13,20.1,buy,2.0
1984-09-14,20.53,buy,2.0
1984-11-07,21.46,sell,3.0
1985-02-11,21.71,sell,4.0
1985-02-14,23.08,sell,4.0
1985-02-15,23.87,sell,4.0
1985-02-19,23.87,sell,4.0
1985-02-20,25.09,sell,3.0
1985-02-21,24.88,sell,3.0
1985-04-18,27.59,sell,3.0
1985-04-19,26.94,sell,4.0
1985-06-06,29.01,sell,4.0
1985-06-07,28.72,sell,4.0
1985-06-11,29.08,sell,4.0
1985-07-11,31.63,sell,3.0
1985-07-31,29.52,buy,2.0
1985-08-21,31.05,sell,3.0
1985-08-29,32.1,sell,3.0
1985-08-30,32.03,sell,3.0
1985-09-17,27.85,buy,2.0
1985-10-09,25.36,buy,2.0
1985-10-10,24.85,buy,1.0
1985-10-11,25.07,buy,1.0
1986-01-20,23.9,buy,1.0
1986-01-21,23.9,buy,1.0
1986-01-23,23.61,buy,1.0
1986-03-06,28.38,sell,4.0
1986-07-02,30.35,sell,3.0
1986-07-03,30.35,sell,3.0
1986-12-11,23.49,buy,2.0
1986-12-12,23.57,buy,2.0
1987-02-13,27.51,sell,4.0
1987-02-17,28.27,sell,4.0
1987-02-18,27.51,sell,4.0
1987-03-17,29.15,sell,3.0
1987-03-18,29.61,sell,3.0
1987-03-19,30.83,sell,3.0
1987-03-20,30.45,sell,3.0
1987-03-23,30.52,sell,3.0
1987-06-17,25.67,buy,1.0
1987-07-16,28.97,sell,4.0
1987-07-17,29.05,sell,4.0
1987-07-20,28.51,sell,4.0
1987-08-12,31.28,sell,3.0
1987-09-03,28.92,buy,2.0
1987-09-08,27.76,buy,1.0
1987-10-20,23.35,buy,2.0
1987-10-21,23.66,buy,2.0
1987-10-22,21.81,buy,2.0
1987-10-23,20.41,buy,2.0
1987-10-26,17.78,buy,1.0
1987-10-27,17.94,buy,1.0
1987-10-28,17.55,buy,1.0
1987-12-07,16.18,buy,2.0
1988-01-19,18.68,sell,3.0
1988-07-15,20.19,sell,3.0
1988-10-04,20.31,sell,4.0
1988-10-06,20.31,sell,4.0
1988-10-10,21.04,sell,4.0
1988-10-11,21.36,sell,4.0
1988-10-12,21.2,sell,4.0
1988-11-01,22.57,sell,3.0
1988-11-02,22.73,sell,3.0
1988-11-03,22.65,sell,3.0
1988-11-04,22.32,sell,3.0
1988-12-09,18.95,buy,2.0
1988-12-12,18.55,buy,2.0
1988-12-13,18.79,buy,2.0
1989-03-07,19.16,sell,3.0
1989-03-08,19.49,sell,3.0
1989-03-09,19.32,sell,3.0
1989-09-08,15.74,buy,2.0
1989-09-11,15.99,buy,2.0
1989-09-28,15.49,buy,2.0
1989-10-06,14.65,buy,2.0
1989-10-31,13.3,buy,2.0
1989-11-01,13.13,buy,2.0
1989-11-02,12.96,buy,2.0
1989-11-03,12.71,buy,2.0
1989-11-06,12.12,buy,2.0
1989-11-07,12.37,buy,2.0
1989-11-22,10.95,buy,1.0
1989-11-24,11.21,buy,1.0
1990-02-21,11.63,buy,2.0
1990-02-23,11.12,buy,1.0
1990-02-26,10.69,buy,1.0
1990-02-27,10.99,buy,1.0
1990-03-29,10.38,buy,1.0
1990-06-15,13.39,sell,3.0
1990-06-20,14.01,sell,3.0
1990-06-21,14.01,sell,3.0
1990-07-27,10.02,buy,1.0
1990-07-30,10.02,buy,1.0
1990-07-31,10.2,buy,1.0
1990-08-23,11.84,sell,3.0
1990-08-24,11.93,sell,3.0
1990-11-20,11.93,sell,4.0
1990-11-26,12.39,sell,4.0
1990-12-06,13.07,sell,4.0
1991-01-22,14.63,sell,4.0
1991-02-05,18.5,sell,4.0
1991-02-06,17.49,sell,4.0
1991-02-13,18.59,sell,4.0
1991-03-07,19.93,sell,4.0
1991-03-25,21.14,sell,3.0
1991-04-25,17.14,buy,2.0
1991-04-26,17.6,buy,2.0
1991-04-29,17.88,buy,2.0
1991-05-31,18.59,sell,4.0
1991-06-03,18.97,sell,4.0
1991-06-04,19.06,sell,4.0
1991-06-05,18.97,sell,4.0
