time,price,signal,label
1996-12-19,44.5,sell,4.0
1996-12-20,46.88,sell,4.0
1996-12-23,46.62,sell,4.0
1996-12-24,47.0,sell,4.0
1996-12-27,50.5,sell,4.0
1997-01-23,56.0,sell,3.0
1997-01-24,54.12,sell,3.0
1997-02-12,48.0,buy,2.0
1997-03-20,32.0,buy,1.0
1997-03-21,33.75,buy,1.0
1997-06-05,37.0,buy,2.0
1997-07-31,43.62,sell,4.0
1997-08-01,43.75,sell,4.0
1997-08-04,45.25,sell,4.0
1997-08-05,45.0,sell,4.0
1997-09-23,54.5,sell,3.0
1997-12-22,29.63,buy,1.0
1997-12-23,30.38,buy,1.0
1998-02-05,32.25,sell,3.0
1998-03-31,35.5,sell,3.0
1998-07-07,44.75,sell,3.0
1998-07-08,45.38,sell,3.0
1998-07-09,47.0,sell,3.0
1998-07-10,46.63,sell,3.0
1998-09-23,58.5,sell,3.0
1998-09-24,56.38,sell,3.0
1998-10-09,43.0,buy,1.0
1998-11-06,64.81,sell,4.0
1998-11-09,64.5,sell,4.0
1998-11-11,67.38,sell,3.0
1998-12-22,43.0,sell,4.0
1999-02-10,44.19,buy,1.0
1999-03-19,54.12,sell,3.0
1999-03-22,53.88,sell,3.0
1999-03-23,48.88,sell,4.0
1999-04-14,63.25,sell,3.0
1999-08-25,64.38,sell,4.0
1999-08-26,64.25,sell,4.0
1999-09-20,77.12,sell,3.0
1999-09-21,75.12,sell,3.0
1999-11-08,95.44,sell,4.0
1999-11-09,99.5,sell,3.0
1999-11-10,97.12,sell,3.0
1999-11-18,118.75,sell,3.0
1999-12-07,146.88,sell,3.0
2000-02-14,148.31,sell,3.0
2000-02-17,174.38,sell,3.0
2000-02-18,167.25,sell,3.0
2000-03-10,236.88,sell,3.0
2000-03-27,97.25,buy,2.0
2000-03-28,95.56,buy,2.0
2000-07-17,102.0,sell,3.0
2000-07-18,99.94,sell,3.0
2000-07-21,109.38,sell,3.0
2000-08-30,111.44,sell,4.0
2000-08-31,117.0,sell,3.0
2000-09-01,115.5,sell,3.0
2000-09-21,136.5,sell,3.0
2000-10-23,140.38,sell,3.0
2001-02-08,35.25,buy,1.0
2001-02-09,38.0,buy,1.0
2001-05-03,25.86,sell,3.0
2001-08-02,15.27,sell,3.0
2001-08-03,14.5,sell,3.0
2001-09-24,8.31,buy,1.0
2001-11-07,16.57,sell,3.0
