time,price,signal
1980-12-26 00:00:00,4.88,sell
1981-01-06 00:00:00,5.08,sell
1981-01-07 00:00:00,5.03,sell
1981-04-02 00:00:00,5.13,sell
1981-06-12 00:00:00,5.46,sell
1981-06-15 00:00:00,5.7,sell
1981-06-16 00:00:00,5.8,sell
1981-06-17 00:00:00,5.67,sell
1981-08-12 00:00:00,5.86,sell
1981-09-09 00:00:00,5.5,buy
1981-11-13 00:00:00,5.86,sell
1981-11-16 00:00:00,5.92,sell
1981-11-17 00:00:00,5.89,sell
1982-02-01 00:00:00,5.65,sell
1982-02-02 00:00:00,5.71,sell
1982-02-03 00:00:00,5.71,sell
1982-04-23 00:00:00,6.26,sell
1982-04-26 00:00:00,6.33,sell
1982-04-27 00:00:00,6.23,sell
1982-05-05 00:00:00,6.47,sell
1982-08-18 00:00:00,7.09,sell
1982-08-23 00:00:00,7.55,sell
1982-08-24 00:00:00,7.52,sell
1982-10-12 00:00:00,8.16,sell
1983-01-06 00:00:00,8.61,sell
1983-01-07 00:00:00,8.61,sell
1983-01-10 00:00:00,8.72,sell
1983-01-11 00:00:00,8.83,sell
1983-01-12 00:00:00,8.83,sell
1983-01-13 00:00:00,8.87,sell
1983-03-03 00:00:00,9.5,sell
1983-03-04 00:00:00,9.39,sell
1983-04-14 00:00:00,9.58,sell
1983-04-15 00:00:00,9.66,sell
1983-04-18 00:00:00,9.66,sell
1983-04-19 00:00:00,9.7,sell
1983-06-06 00:00:00,9.7,buy
1983-06-07 00:00:00,9.58,buy
1983-06-08 00:00:00,9.58,buy
1983-06-09 00:00:00,9.56,buy
1983-06-22 00:00:00,9.44,buy
1983-06-27 00:00:00,9.21,buy
1983-06-28 00:00:00,9.21,buy
1983-07-19 00:00:00,4.64,buy
1983-07-20 00:00:00,4.8,buy
1983-07-21 00:00:00,4.8,buy
1983-08-22 00:00:00,4.88,sell
1983-09-28 00:00:00,4.93,sell
1983-10-05 00:00:00,5.21,sell
1983-10-06 00:00:00,5.21,sell
1983-10-07 00:00:00,5.09,sell
1983-12-16 00:00:00,5.01,buy
1983-12-29 00:00:00,4.93,buy
1984-02-14 00:00:00,4.52,buy
1984-02-15 00:00:00,4.56,buy
1984-02-17 00:00:00,4.35,buy
1984-05-10 00:00:00,4.74,sell
1984-06-21 00:00:00,4.63,sell
1984-09-18 00:00:00,5.23,sell
1984-09-19 00:00:00,5.23,sell
1984-10-19 00:00:00,5.72,sell
1984-10-22 00:00:00,5.72,sell
1984-10-23 00:00:00,5.63,sell
1985-05-17 00:00:00,7.03,sell
1985-05-20 00:00:00,7.12,sell
1985-05-21 00:00:00,7.12,sell
1985-05-22 00:00:00,7.03,sell
1985-07-16 00:00:00,7.33,sell
1985-07-24 00:00:00,6.83,buy
1985-09-10 00:00:00,6.95,sell
1985-10-23 00:00:00,6.99,sell
1985-10-24 00:00:00,6.99,sell
1985-10-25 00:00:00,6.95,sell
1985-10-30 00:00:00,6.99,sell
1985-11-12 00:00:00,7.47,sell
1985-11-13 00:00:00,7.47,sell
1985-11-14 00:00:00,7.42,sell
1985-12-12 00:00:00,7.5,sell
1985-12-18 00:00:00,7.79,sell
1985-12-19 00:00:00,7.69,sell
1986-02-21 00:00:00,8.66,sell
1986-02-24 00:00:00,8.8,sell
1986-02-25 00:00:00,8.75,sell
1986-02-26 00:00:00,8.66,sell
1986-06-02 00:00:00,9.03,sell
1986-07-14 00:00:00,9.73,sell
1986-07-15 00:00:00,9.94,sell
1986-07-16 00:00:00,10.24,sell
1986-07-17 00:00:00,10.04,sell
1986-08-21 00:00:00,10.94,sell
1986-08-22 00:00:00,10.94,sell
1986-08-25 00:00:00,10.84,sell
1986-09-12 00:00:00,9.81,buy
1986-09-15 00:00:00,10.02,buy
1986-10-29 00:00:00,10.12,sell
1986-10-30 00:00:00,10.17,sell
1986-10-31 00:00:00,10.17,sell
1987-01-16 00:00:00,11.21,sell
1987-01-19 00:00:00,11.21,sell
1987-04-02 00:00:00,9.28,buy
1987-04-03 00:00:00,9.34,buy
1987-04-06 00:00:00,9.55,buy
1987-08-12 00:00:00,8.96,sell
1987-08-13 00:00:00,9.01,sell
1987-08-14 00:00:00,8.96,sell
1987-09-11 00:00:00,8.68,buy
1987-09-21 00:00:00,8.28,buy
1987-10-20 00:00:00,8.06,buy
1987-12-11 00:00:00,7.48,buy
1988-01-29 00:00:00,8.17,sell
1988-03-10 00:00:00,7.64,buy
1988-03-14 00:00:00,7.58,buy
1988-03-25 00:00:00,7.52,buy
1988-04-21 00:00:00,7.11,buy
1988-05-03 00:00:00,6.81,buy
1988-06-01 00:00:00,7.64,sell
1988-06-02 00:00:00,7.58,sell
1988-12-01 00:00:00,8.98,sell
1988-12-02 00:00:00,8.98,sell
1988-12-06 00:00:00,9.04,sell
1988-12-08 00:00:00,9.1,sell
1989-01-23 00:00:00,9.15,sell
1989-05-01 00:00:00,9.66,sell
1989-05-15 00:00:00,10.11,sell
1989-05-16 00:00:00,10.05,sell
1989-07-13 00:00:00,11.08,sell
1989-07-14 00:00:00,11.08,sell
1989-08-01 00:00:00,11.15,sell
1989-08-23 00:00:00,10.88,buy
1989-09-28 00:00:00,10.67,buy
1989-11-15 00:00:00,11.27,sell
1989-11-16 00:00:00,11.27,sell
1989-11-17 00:00:00,11.14,sell
1989-12-04 00:00:00,11.67,sell
1990-01-16 00:00:00,11.39,buy
1990-02-20 00:00:00,12.01,sell
1990-05-14 00:00:00,12.7,sell
1990-05-15 00:00:00,12.7,sell
1990-05-16 00:00:00,12.84,sell
1990-05-17 00:00:00,12.63,sell
1990-08-24 00:00:00,11.57,buy
1990-08-27 00:00:00,11.71,buy
1990-10-03 00:00:00,12.64,sell
1990-10-04 00:00:00,12.86,sell
1990-10-05 00:00:00,12.86,sell
1990-10-08 00:00:00,13.07,sell
1990-10-09 00:00:00,13.0,sell
1990-12-05 00:00:00,14.51,sell
1991-03-25 00:00:00,15.36,sell
1991-03-26 00:00:00,15.5,sell
1991-03-27 00:00:00,15.43,sell
1991-07-30 00:00:00,15.9,sell
1991-08-15 00:00:00,16.58,sell
1991-08-22 00:00:00,16.81,sell
1991-09-17 00:00:00,17.21,sell
1991-09-19 00:00:00,17.21,sell
1991-09-26 00:00:00,17.67,sell
1991-11-14 00:00:00,18.82,sell
1992-04-15 00:00:00,19.67,sell
