time,price,signal
2002-03-05 00:00:00,19.82,sell
2002-03-11 00:00:00,22.1,sell
2002-03-12 00:00:00,21.35,sell
2002-05-02 00:00:00,23.8,sell
2002-06-17 00:00:00,21.3,buy
2002-06-26 00:00:00,19.7,buy
2002-07-23 00:00:00,17.4,buy
2002-07-24 00:00:00,18.15,buy
2002-11-22 00:00:00,22.0,sell
2003-01-28 00:00:00,15.59,buy
2003-01-29 00:00:00,15.08,buy
2003-01-30 00:00:00,15.6,buy
2003-03-24 00:00:00,15.55,sell
2003-05-05 00:00:00,19.05,sell
2003-05-30 00:00:00,20.76,sell
2003-06-05 00:00:00,22.43,sell
2003-06-06 00:00:00,22.01,sell
2003-07-08 00:00:00,24.65,sell
2003-07-09 00:00:00,24.91,sell
2003-07-10 00:00:00,24.52,sell
2003-07-29 00:00:00,29.44,sell
2003-07-30 00:00:00,29.22,sell
2003-11-12 00:00:00,28.75,buy
2003-11-21 00:00:00,28.6,buy
2003-12-12 00:00:00,33.25,sell
2003-12-15 00:00:00,33.08,sell
2004-01-16 00:00:00,39.31,sell
2004-01-20 00:00:00,39.7,sell
2004-01-21 00:00:00,39.95,sell
2004-02-27 00:00:00,44.25,sell
2004-03-01 00:00:00,44.99,sell
2004-03-02 00:00:00,45.38,sell
2004-03-03 00:00:00,45.3,sell
2004-03-17 00:00:00,40.06,buy
2004-04-28 00:00:00,41.36,buy
2004-04-29 00:00:00,40.76,buy
2004-04-30 00:00:00,40.53,buy
2004-05-03 00:00:00,40.8,buy
2004-06-09 00:00:00,41.41,sell
2004-07-26 00:00:00,39.98,buy
2004-07-27 00:00:00,41.19,buy
2004-09-16 00:00:00,44.17,sell
2004-09-17 00:00:00,44.58,sell
2004-09-20 00:00:00,43.67,sell
2004-10-05 00:00:00,46.45,sell
2004-12-07 00:00:00,50.59,sell
2004-12-22 00:00:00,53.95,sell
2004-12-23 00:00:00,53.9,sell
2004-12-29 00:00:00,55.25,sell
2009-09-17 00:00:00,21.07,buy
2009-09-18 00:00:00,21.07,buy
2009-09-21 00:00:00,23.24,buy
2009-10-29 00:00:00,21.35,buy
2010-02-26 00:00:00,28.27,sell
2010-03-01 00:00:00,28.36,sell
2010-03-02 00:00:00,28.41,sell
2010-03-08 00:00:00,30.23,sell
2010-03-24 00:00:00,33.13,sell
2010-07-01 00:00:00,23.47,buy
2010-07-26 00:00:00,29.26,sell
2010-07-27 00:00:00,28.16,sell
2010-09-14 00:00:00,30.03,sell
2010-10-27 00:00:00,39.57,sell
2010-10-28 00:00:00,39.97,sell
2010-10-29 00:00:00,39.54,sell
2010-12-22 00:00:00,46.3,sell
2011-03-02 00:00:00,41.18,buy
2011-03-03 00:00:00,43.08,buy
2011-04-11 00:00:00,39.7,buy
2011-04-19 00:00:00,37.98,buy
2011-05-06 00:00:00,40.69,sell
2011-05-26 00:00:00,37.67,buy
2011-06-09 00:00:00,34.2,buy
2011-06-13 00:00:00,33.24,buy
2011-07-05 00:00:00,39.15,sell
2011-07-29 00:00:00,30.62,buy
2011-08-01 00:00:00,30.26,buy
2011-08-03 00:00:00,28.89,buy
2011-08-05 00:00:00,27.0,buy
2011-08-09 00:00:00,25.72,buy
2011-10-25 00:00:00,27.94,sell
2011-11-25 00:00:00,23.19,buy
2011-11-28 00:00:00,24.89,buy
2012-01-12 00:00:00,29.52,sell
2012-01-13 00:00:00,28.75,sell
2012-02-07 00:00:00,31.07,sell
2012-02-08 00:00:00,31.52,sell
2012-02-09 00:00:00,31.52,sell
2012-04-11 00:00:00,27.11,buy
2012-05-18 00:00:00,23.46,buy
2012-05-21 00:00:00,24.24,buy
2012-08-30 00:00:00,26.9,sell
2012-09-06 00:00:00,28.72,sell
2012-09-07 00:00:00,29.57,sell
2012-09-10 00:00:00,29.13,sell
2012-09-12 00:00:00,29.61,sell
2012-10-18 00:00:00,32.57,sell
2012-10-19 00:00:00,32.01,sell
2012-11-02 00:00:00,34.74,sell
2012-11-05 00:00:00,34.97,sell
2013-01-18 00:00:00,36.9,sell
2013-02-22 00:00:00,33.73,buy
2013-03-22 00:00:00,32.03,buy
2013-04-24 00:00:00,34.29,sell
2013-04-26 00:00:00,35.92,sell
2013-04-29 00:00:00,36.24,sell
2013-04-30 00:00:00,36.53,sell
2013-05-30 00:00:00,35.83,buy
2013-06-06 00:00:00,33.29,buy
2013-07-12 00:00:00,35.57,sell
2013-07-18 00:00:00,36.77,sell
2013-08-02 00:00:00,39.09,sell
2013-10-09 00:00:00,36.51,buy
2013-10-10 00:00:00,36.94,buy
2013-10-28 00:00:00,43.41,sell
2013-10-29 00:00:00,43.06,sell
2013-12-23 00:00:00,47.05,sell
2013-12-24 00:00:00,47.44,sell
2013-12-26 00:00:00,47.14,sell
2014-04-02 00:00:00,56.57,sell
2014-04-03 00:00:00,55.68,sell
2014-07-28 00:00:00,62.58,sell
2014-09-08 00:00:00,66.41,sell
2014-09-12 00:00:00,67.21,sell
2014-10-09 00:00:00,58.18,buy
2014-10-10 00:00:00,57.82,buy
2014-10-13 00:00:00,55.35,buy
2014-10-14 00:00:00,56.61,buy
2014-12-01 00:00:00,72.29,sell
2014-12-03 00:00:00,77.82,sell
2014-12-04 00:00:00,77.46,sell
2014-12-05 00:00:00,78.37,sell
2015-01-30 00:00:00,75.55,buy
2015-02-02 00:00:00,74.74,buy
2015-02-03 00:00:00,75.0,buy
2015-02-04 00:00:00,74.34,buy
2015-04-21 00:00:00,73.91,buy
2015-09-16 00:00:00,96.71,sell
2015-09-17 00:00:00,96.47,sell
2015-10-28 00:00:00,97.57,sell
2015-11-25 00:00:00,92.66,buy
2015-12-30 00:00:00,102.73,sell
2016-01-14 00:00:00,87.9,buy
2016-01-15 00:00:00,82.92,buy
2016-01-19 00:00:00,81.08,buy
2016-01-20 00:00:00,82.44,buy
2016-02-03 00:00:00,73.83,buy
2016-03-31 00:00:00,82.15,sell
2016-04-01 00:00:00,81.88,sell
2016-04-25 00:00:00,75.0,buy
2016-06-15 00:00:00,73.81,buy
2016-06-28 00:00:00,65.63,buy
2016-06-29 00:00:00,67.83,buy
2016-09-28 00:00:00,74.21,sell
2016-11-15 00:00:00,82.97,sell
2017-01-27 00:00:00,94.56,sell
2017-01-30 00:00:00,94.4,sell
2017-01-31 00:00:00,93.63,sell
2017-05-01 00:00:00,108.41,sell
2017-05-02 00:00:00,108.07,sell
2017-05-03 00:00:00,108.1,sell
2017-07-21 00:00:00,115.1,sell
2017-07-24 00:00:00,115.73,sell
2017-07-25 00:00:00,114.91,sell
2017-08-04 00:00:00,119.65,sell
2017-09-01 00:00:00,124.24,sell
2018-01-18 00:00:00,129.32,sell
2018-03-29 00:00:00,117.74,buy
2018-06-19 00:00:00,112.3,sell
2018-08-22 00:00:00,118.33,sell
2018-08-30 00:00:00,122.91,sell
2018-09-17 00:00:00,128.74,sell
2018-09-19 00:00:00,131.24,sell
2018-10-11 00:00:00,116.85,buy
2018-10-12 00:00:00,119.05,buy
2018-10-25 00:00:00,107.94,buy
2018-10-29 00:00:00,99.52,buy
2018-10-30 00:00:00,101.81,buy
2018-12-21 00:00:00,92.52,buy
2018-12-24 00:00:00,89.48,buy
2018-12-26 00:00:00,94.47,buy
2019-01-31 00:00:00,120.05,sell
2019-04-16 00:00:00,124.11,sell
2019-04-17 00:00:00,123.24,sell
2019-05-02 00:00:00,125.77,sell
2019-10-03 00:00:00,104.18,buy
2019-12-13 00:00:00,125.64,sell
2019-12-16 00:00:00,126.2,sell
2019-12-17 00:00:00,127.05,sell
2019-12-18 00:00:00,127.59,sell
2019-12-23 00:00:00,133.4,sell
2019-12-24 00:00:00,132.96,sell
2020-01-28 00:00:00,120.43,buy
2020-02-25 00:00:00,89.55,buy
2020-02-26 00:00:00,82.34,buy
2020-02-27 00:00:00,77.0,buy
2020-02-28 00:00:00,80.41,buy
2020-03-10 00:00:00,51.67,buy
2020-03-13 00:00:00,32.33,buy
2020-05-28 00:00:00,51.7,sell
2020-06-08 00:00:00,75.12,sell
2020-06-09 00:00:00,69.91,sell
2020-08-17 00:00:00,60.29,sell
2020-09-25 00:00:00,64.59,buy
2020-10-29 00:00:00,53.83,buy
2021-02-22 00:00:00,86.23,sell
2021-02-23 00:00:00,90.05,sell
2021-02-24 00:00:00,96.66,sell
2021-02-25 00:00:00,91.63,sell
2021-06-02 00:00:00,96.98,sell
2021-07-16 00:00:00,72.39,buy
2021-07-19 00:00:00,69.51,buy
2021-07-20 00:00:00,74.89,buy
2021-09-27 00:00:00,92.41,sell
2021-09-28 00:00:00,91.97,sell
2021-09-29 00:00:00,90.67,sell
2021-11-08 00:00:00,93.71,sell
2021-11-29 00:00:00,69.89,buy
2021-11-30 00:00:00,69.82,buy
2021-12-02 00:00:00,68.88,buy
2022-03-04 00:00:00,69.6,buy
2022-03-07 00:00:00,63.28,buy
2022-03-08 00:00:00,64.54,buy
2022-03-09 00:00:00,68.06,buy
2022-05-06 00:00:00,69.85,buy
2022-05-09 00:00:00,61.41,buy
2022-05-10 00:00:00,60.92,buy
2022-05-11 00:00:00,59.94,buy
2022-05-12 00:00:00,57.78,buy
2022-05-13 00:00:00,61.63,buy
2022-06-17 00:00:00,37.3,buy
2022-09-12 00:00:00,48.04,sell
2022-09-13 00:00:00,46.44,sell
2022-09-15 00:00:00,50.83,sell
2022-09-16 00:00:00,50.44,sell
2022-12-20 00:00:00,50.88,buy
2022-12-21 00:00:00,51.81,buy
2023-01-13 00:00:00,63.48,sell
2023-01-17 00:00:00,64.16,sell
2023-02-08 00:00:00,74.51,sell
2023-02-09 00:00:00,73.53,sell
2023-03-14 00:00:00,64.57,buy
2023-03-16 00:00:00,64.87,buy
2023-05-05 00:00:00,75.61,sell
2023-05-08 00:00:00,78.35,sell
2023-05-09 00:00:00,76.96,sell
2023-06-02 00:00:00,86.23,sell
2023-06-05 00:00:00,87.6,sell
2023-06-06 00:00:00,90.72,sell
2023-06-07 00:00:00,91.01,sell
2023-06-08 00:00:00,90.24,sell
2023-10-19 00:00:00,82.08,buy
2023-10-20 00:00:00,80.04,buy
2023-10-23 00:00:00,81.28,buy
2023-11-09 00:00:00,92.6,sell
2023-11-15 00:00:00,102.1,sell
2023-12-07 00:00:00,119.49,sell
2024-03-21 00:00:00,135.79,sell
2024-03-22 00:00:00,136.02,sell
2024-05-21 00:00:00,150.75,sell
2024-05-22 00:00:00,147.37,sell
2024-06-05 00:00:00,156.33,sell
2024-06-06 00:00:00,154.55,sell
2024-07-17 00:00:00,164.46,sell
2024-08-05 00:00:00,139.77,buy
2024-08-06 00:00:00,150.26,buy
2024-09-25 00:00:00,177.41,sell
2024-10-10 00:00:00,193.59,sell
2024-10-11 00:00:00,195.69,sell
2024-10-14 00:00:00,196.78,sell
2024-10-16 00:00:00,201.74,sell
2024-11-07 00:00:00,220.52,sell
2024-11-11 00:00:00,234.82,sell
2024-11-12 00:00:00,237.42,sell
2024-11-13 00:00:00,234.25,sell
2024-12-09 00:00:00,247.14,sell
2025-01-29 00:00:00,269.09,sell
2025-01-30 00:00:00,274.79,sell
2025-01-31 00:00:00,266.6,sell
