time,price,signal,label
1999-06-28,24.0,sell,3.0
1999-06-29,24.382,sell,3.0
1999-06-30,24.75,sell,3.0
1999-07-01,25.38,sell,3.0
1999-07-02,24.442,sell,3.0
1999-08-09,18.998,buy,2.0
1999-08-25,16.808,buy,2.0
1999-08-26,16.38,buy,2.0
1999-08-27,16.5,buy,2.0
1999-08-31,10.882,buy,2.0
1999-09-01,10.628,buy,1.0
1999-09-02,11.002,buy,2.0
1999-11-02,13.058,sell,3.0
1999-11-03,12.878,sell,3.0
1999-12-31,14.25,sell,3.0
2000-01-03,14.13,sell,3.0
2000-02-02,11.19,buy,2.0
2000-04-07,12.938,sell,4.0
2000-04-10,12.938,sell,4.0
2000-04-11,12.75,sell,4.0
2000-05-12,16.312,sell,3.0
2000-05-15,16.253,sell,3.0
2000-05-16,15.878,sell,3.0
2000-07-05,15.998,sell,4.0
2000-09-01,15.382,buy,2.0
2000-09-27,12.81,buy,2.0
2000-09-28,12.938,buy,2.0
2000-10-20,11.94,buy,1.0
2000-11-08,14.812,sell,4.0
2000-11-09,14.88,sell,4.0
2001-01-31,13.748,buy,1.0
2001-02-01,14.138,buy,1.0
2001-02-02,14.662,buy,1.0
2001-03-09,18.412,sell,3.0
2001-03-12,18.758,sell,3.0
2001-03-13,18.848,sell,3.0
2001-07-10,20.018,sell,3.0
2001-09-18,17.22,buy,2.0
2001-09-19,16.852,buy,2.0
2001-09-20,16.26,buy,2.0
2001-09-21,16.5,buy,2.0
2001-12-18,19.852,sell,3.0
2002-01-31,17.4,buy,2.0
2002-02-01,16.98,buy,2.0
2002-02-04,16.748,buy,1.0
2002-02-05,16.89,buy,1.0
2002-02-28,17.948,sell,4.0
2002-03-04,18.592,sell,4.0
2002-03-05,18.45,sell,4.0
2002-05-15,20.888,sell,3.0
2002-05-16,20.572,sell,3.0
2002-06-27,19.23,buy,2.0
2002-06-28,19.072,buy,2.0
2002-07-01,19.268,buy,2.0
2002-07-24,17.182,buy,1.0
2002-08-12,20.228,sell,3.0
2002-10-30,20.602,sell,4.0
2002-11-04,21.27,sell,3.0
2002-11-05,20.888,sell,4.0
2003-05-28,22.8,sell,4.0
2003-06-02,23.798,sell,4.0
2003-06-03,23.73,sell,3.0
2003-11-14,24.428,sell,4.0
2003-11-17,24.458,sell,4.0
2003-11-18,24.45,sell,4.0
2003-11-28,25.448,sell,4.0
2003-12-02,25.92,sell,3.0
2004-08-05,27.172,buy,1.0
2004-08-06,26.858,buy,1.0
2004-08-09,27.248,buy,1.0
2004-10-07,30.248,sell,4.0
2004-11-05,31.358,sell,4.0
2004-12-08,33.608,sell,3.0
2004-12-09,33.382,sell,3.0
2004-12-10,33.578,sell,3.0
2004-12-13,33.308,sell,3.0
2005-02-03,33.33,sell,3.0
2005-02-11,30.352,buy,1.0
2005-02-14,30.63,buy,1.0
2005-04-04,33.472,sell,4.0
2005-05-05,35.85,sell,4.0
2005-06-27,35.078,buy,1.0
2005-07-18,36.78,sell,3.0
2005-07-21,37.162,sell,3.0
2005-09-22,34.23,buy,2.0
2005-09-23,34.08,buy,2.0
2005-12-19,37.342,sell,4.0
2006-03-14,40.972,sell,4.0
2006-03-15,40.898,sell,4.0
2006-03-16,41.078,sell,4.0
2006-05-16,41.46,buy,2.0
2006-08-24,38.362,buy,2.0
2006-08-25,38.25,buy,2.0
2006-09-29,40.148,sell,4.0
2006-12-26,40.74,buy,1.0
2007-01-17,42.72,sell,3.0
2007-01-18,42.278,sell,3.0
2007-02-05,43.8,sell,3.0
2007-02-08,43.462,sell,3.0
2007-03-20,27.18,buy,1.0
2007-03-21,27.68,buy,2.0
2007-03-22,27.88,buy,2.0
2007-06-05,30.69,sell,4.0
2007-07-05,31.41,sell,3.0
2007-09-20,32.34,sell,4.0
2007-10-02,33.38,sell,3.0
2007-11-09,32.77,sell,3.0
2008-04-18,31.5,sell,4.0
2008-04-21,31.18,sell,4.0
2008-05-16,32.97,sell,3.0
2008-10-03,28.35,buy,2.0
2008-10-09,22.98,buy,2.0
2008-10-10,22.5,buy,2.0
2008-10-13,24.5,buy,2.0
2009-01-07,25.28,sell,3.0
2009-02-27,19.9,buy,2.0
2009-03-02,18.74,buy,2.0
2009-03-03,18.99,buy,2.0
2009-03-04,18.64,buy,2.0
2009-03-05,17.31,buy,2.0
2009-03-06,16.47,buy,1.0
2009-03-09,16.1,buy,1.0
2009-04-13,19.81,sell,4.0
2009-04-14,19.77,sell,4.0
2009-05-04,22.76,sell,4.0
2009-05-05,23.05,sell,4.0
2009-05-06,23.16,sell,3.0
2009-05-07,22.87,sell,4.0
2009-07-16,25.94,sell,3.0
2009-07-20,26.4,sell,3.0
2009-09-09,26.54,sell,3.0
2009-09-10,26.56,sell,3.0
2009-09-17,27.05,sell,3.0
