time,price,signal,label
2012-02-27,46.91,sell,3.0
2012-02-28,45.76,sell,4.0
2012-05-03,48.3,sell,3.0
2012-05-21,44.02,buy,2.0
2012-07-17,45.8,sell,3.0
2012-07-18,45.5,sell,3.0
2012-09-10,46.85,sell,4.0
2012-09-12,47.67,sell,4.0
2012-09-13,48.34,sell,4.0
2012-09-14,49.17,sell,4.0
2012-09-17,49.1,sell,4.0
2013-01-02,55.11,sell,4.0
2013-01-03,55.23,sell,4.0
2013-01-04,55.34,sell,4.0
2013-02-15,62.75,sell,4.0
2013-02-19,63.77,sell,4.0
2013-02-20,62.2,sell,4.0
2013-03-21,63.69,sell,4.0
2013-03-25,65.2,sell,4.0
2013-03-26,66.76,sell,4.0
2013-03-27,67.29,sell,4.0
2013-03-28,67.96,sell,3.0
2013-04-01,67.98,sell,3.0
2013-05-31,64.42,buy,2.0
2013-06-03,63.97,buy,1.0
2013-06-04,63.74,buy,1.0
2013-06-05,63.24,buy,1.0
2013-06-06,64.35,buy,1.0
2013-09-09,71.46,sell,4.0
2013-09-10,72.01,sell,4.0
2013-09-20,73.14,sell,4.0
2013-10-23,78.54,sell,4.0
2013-10-24,79.56,sell,3.0
2013-10-25,79.27,sell,4.0
2013-11-26,80.99,sell,4.0
2013-12-24,87.24,sell,4.0
2013-12-26,87.5,sell,4.0
2013-12-27,87.82,sell,4.0
2014-02-14,96.52,sell,4.0
2014-02-18,97.16,sell,4.0
2014-02-19,96.11,sell,4.0
2014-04-02,104.44,sell,4.0
2014-04-03,103.96,sell,4.0
2014-04-04,103.84,sell,4.0
2014-06-09,120.45,sell,4.0
2014-06-18,125.05,sell,4.0
2014-06-19,150.62,sell,3.0
2014-06-20,138.09,sell,3.0
2014-07-28,132.71,buy,2.0
2014-07-29,131.91,buy,1.0
2014-08-01,129.46,buy,1.0
2014-09-26,136.87,buy,2.0
2014-10-10,121.65,buy,2.0
2014-10-13,109.01,buy,1.0
2014-10-14,111.48,buy,1.0
2014-10-15,115.27,buy,1.0
2014-12-02,103.45,buy,2.0
2014-12-11,93.01,buy,1.0
2015-01-14,85.49,buy,1.0
2015-04-16,105.36,sell,3.0
2015-05-29,91.95,buy,2.0
2015-06-01,91.61,buy,2.0
2015-06-02,92.69,buy,2.0
2015-06-05,89.81,buy,2.0
2015-08-07,73.92,buy,2.0
2015-08-10,77.34,buy,2.0
2015-08-21,63.62,buy,2.0
2015-08-25,58.72,buy,1.0
2015-09-25,54.0,buy,1.0
2015-09-28,50.11,buy,1.0
2015-09-29,48.92,buy,1.0
2015-09-30,51.52,buy,1.0
2015-11-04,50.13,buy,2.0
2015-11-05,50.14,buy,2.0
2015-11-13,41.45,buy,2.0
2015-12-07,26.03,buy,1.0
2015-12-08,28.05,buy,1.0
2015-12-09,31.41,buy,2.0
2016-01-07,21.46,buy,1.0
2016-01-08,22.59,buy,2.0
2016-01-14,18.79,buy,1.0
2016-01-19,16.02,buy,1.0
2016-04-14,32.11,sell,4.0
2016-04-19,37.21,sell,4.0
2016-04-20,37.79,sell,4.0
2016-04-21,38.43,sell,4.0
2016-04-22,39.67,sell,4.0
2016-04-25,37.54,sell,4.0
2016-07-29,37.26,buy,1.0
2016-11-01,43.93,buy,1.0
2016-11-22,51.83,sell,4.0
2016-12-22,57.24,sell,4.0
2017-02-24,56.38,buy,2.0
2017-05-05,50.37,buy,2.0
2017-05-08,50.37,buy,2.0
2017-08-09,44.86,buy,2.0
2017-09-07,45.57,sell,3.0
2017-09-14,47.69,sell,3.0
2017-09-15,46.93,sell,3.0
2017-10-18,44.46,buy,2.0
2017-10-19,44.49,buy,2.0
2017-10-20,43.78,buy,2.0
2017-10-23,42.77,buy,2.0
2017-10-24,42.34,buy,2.0
2017-10-25,40.35,buy,1.0
2017-10-26,40.69,buy,1.0
2018-01-04,50.37,sell,3.0
2018-01-05,48.45,sell,3.0
2018-02-06,46.48,buy,2.0
2018-02-09,45.17,buy,1.0
2018-10-24,51.5,buy,2.0
2018-10-25,52.45,buy,2.0
2018-10-26,51.44,buy,2.0
2018-10-29,51.02,buy,2.0
2018-11-21,45.99,buy,2.0
2018-12-21,36.22,buy,1.0
2018-12-24,34.11,buy,1.0
2018-12-26,36.46,buy,1.0
2019-02-20,44.89,sell,3.0
2019-07-11,41.87,sell,3.0
2019-08-02,37.15,buy,2.0
2019-08-05,35.51,buy,2.0
2019-08-06,35.55,buy,2.0
2019-08-07,34.12,buy,1.0
2019-08-08,35.96,buy,2.0
2019-09-17,41.32,sell,3.0
2019-10-09,38.14,buy,2.0
2019-12-23,40.28,sell,3.0
2019-12-24,40.31,sell,3.0
2020-01-28,38.26,buy,2.0
2020-01-31,36.5,buy,2.0
2020-03-09,13.12,buy,1.0
2020-03-10,14.15,buy,2.0
2020-03-11,14.45,buy,2.0
2020-03-12,11.12,buy,1.0
2020-03-13,12.48,buy,2.0
2020-04-29,12.22,sell,4.0
2020-04-30,12.96,sell,3.0
2020-05-01,11.81,sell,4.0
2020-05-19,16.72,sell,4.0
2020-06-05,23.41,sell,3.0
2020-06-08,26.15,sell,3.0
2020-06-09,24.23,sell,3.0
2020-11-11,20.24,sell,4.0
2020-11-17,22.65,sell,4.0
2020-11-18,22.68,sell,4.0
2021-05-07,38.23,sell,4.0
2021-05-10,37.73,sell,4.0
2021-06-04,46.26,sell,3.0
2021-06-07,47.34,sell,3.0
2021-06-08,47.13,sell,3.0
2021-06-09,45.21,sell,3.0
2021-07-19,40.04,buy,1.0
2021-07-20,41.47,buy,1.0
2021-10-05,52.22,sell,4.0
2022-01-07,55.91,sell,4.0
2022-01-10,54.57,sell,4.0
2022-02-02,61.26,sell,4.0
2022-02-03,60.32,sell,4.0
2022-03-04,69.53,sell,4.0
2022-03-07,68.62,sell,4.0
2022-05-11,68.79,buy,1.0
2022-06-03,77.35,sell,3.0
2022-07-27,66.62,sell,4.0
2022-07-28,67.35,sell,4.0
2022-07-29,69.11,sell,4.0
2022-08-01,68.42,sell,4.0
2023-03-16,68.67,buy,1.0
2023-03-20,68.62,buy,1.0
2023-05-05,71.88,buy,2.0
2023-07-03,77.01,sell,4.0
2023-07-05,76.45,sell,4.0
2023-08-10,84.21,sell,3.0
2024-01-18,82.59,buy,1.0
2024-02-16,96.94,sell,4.0
2024-02-20,96.36,sell,4.0
2024-02-21,97.47,sell,4.0
2024-02-22,98.36,sell,4.0
2024-02-23,97.03,sell,4.0
2024-04-04,114.36,sell,4.0
2024-06-13,120.24,sell,4.0
2024-06-20,126.32,sell,4.0
2024-06-21,125.1,sell,4.0
2024-06-25,129.83,sell,4.0
2024-06-26,127.5,sell,4.0
2024-09-25,155.55,sell,4.0
2024-11-06,186.04,sell,4.0
2024-11-07,187.79,sell,3.0
2024-11-08,192.28,sell,3.0
2024-11-11,194.96,sell,3.0
2024-11-12,194.31,sell,3.0
2024-12-19,172.53,buy,1.0
