time,price,signal
2013-10-09 00:00:00,39.29,buy
2013-10-10 00:00:00,40.12,buy
2013-10-30 00:00:00,41.72,sell
2014-07-10 00:00:00,48.99,sell
2014-10-08 00:00:00,46.94,buy
2014-10-13 00:00:00,41.93,buy
2014-10-14 00:00:00,42.31,buy
2014-10-15 00:00:00,42.76,buy
2014-11-28 00:00:00,54.42,sell
2014-12-01 00:00:00,54.25,sell
2014-12-04 00:00:00,55.41,sell
2015-06-09 00:00:00,52.92,buy
2015-06-10 00:00:00,54.19,buy
2015-07-09 00:00:00,48.11,buy
2015-07-10 00:00:00,49.01,buy
2015-08-25 00:00:00,43.58,buy
2015-08-26 00:00:00,45.41,buy
2015-10-09 00:00:00,50.87,sell
2015-10-23 00:00:00,58.97,sell
2015-10-26 00:00:00,58.82,sell
2015-10-27 00:00:00,58.42,sell
2016-01-08 00:00:00,50.37,buy
2016-01-11 00:00:00,51.21,buy
2016-01-19 00:00:00,48.21,buy
2016-03-31 00:00:00,57.42,sell
2016-05-25 00:00:00,60.44,sell
2016-05-26 00:00:00,60.77,sell
2016-05-27 00:00:00,61.02,sell
2016-05-31 00:00:00,60.6,sell
2016-06-24 00:00:00,60.54,sell
2016-07-27 00:00:00,71.27,sell
2016-07-28 00:00:00,70.23,sell
2016-09-12 00:00:00,67.94,buy
2016-11-22 00:00:00,74.4,sell
2016-11-23 00:00:00,74.06,sell
2017-01-25 00:00:00,78.58,sell
2017-01-26 00:00:00,79.26,sell
2017-01-27 00:00:00,78.03,sell
2017-03-02 00:00:00,78.08,sell
2017-03-08 00:00:00,79.34,sell
2017-03-13 00:00:00,81.02,sell
2017-03-14 00:00:00,81.09,sell
2017-03-16 00:00:00,81.71,sell
2017-04-13 00:00:00,77.84,buy
2017-04-17 00:00:00,78.72,buy
2017-06-09 00:00:00,80.9,sell
2017-06-28 00:00:00,78.06,buy
2017-09-18 00:00:00,86.14,sell
2017-09-19 00:00:00,86.81,sell
2017-09-20 00:00:00,85.83,sell
2017-09-25 00:00:00,87.5,sell
2017-12-20 00:00:00,104.8,sell
2017-12-21 00:00:00,104.07,sell
2018-01-18 00:00:00,116.41,sell
2018-02-09 00:00:00,100.49,buy
2018-03-26 00:00:00,106.6,buy
2018-05-11 00:00:00,109.25,sell
2018-06-05 00:00:00,117.66,sell
2018-06-06 00:00:00,118.11,sell
2018-06-07 00:00:00,117.24,sell
2018-06-28 00:00:00,109.1,buy
2018-09-13 00:00:00,105.72,buy
2018-10-11 00:00:00,99.53,buy
2018-10-25 00:00:00,91.77,buy
2018-10-26 00:00:00,90.56,buy
2018-10-29 00:00:00,90.18,buy
2018-12-26 00:00:00,92.98,buy
2019-01-25 00:00:00,104.41,sell
2019-01-28 00:00:00,102.68,sell
2019-05-14 00:00:00,109.04,buy
2019-05-15 00:00:00,110.29,buy
2019-05-21 00:00:00,107.0,buy
2019-07-25 00:00:00,127.35,sell
2019-07-26 00:00:00,128.16,sell
2019-07-29 00:00:00,129.97,sell
2019-07-30 00:00:00,128.54,sell
2019-12-12 00:00:00,126.07,sell
2019-12-13 00:00:00,126.64,sell
2019-12-16 00:00:00,127.07,sell
2020-02-28 00:00:00,114.14,buy
2020-03-10 00:00:00,112.12,buy
2020-03-13 00:00:00,106.04,buy
2020-06-04 00:00:00,128.58,sell
2020-06-05 00:00:00,131.44,sell
2020-06-08 00:00:00,132.86,sell
2020-06-09 00:00:00,132.12,sell
2020-07-21 00:00:00,135.48,sell
2020-08-13 00:00:00,137.15,sell
2020-09-03 00:00:00,141.67,sell
2020-10-12 00:00:00,154.9,sell
2020-10-13 00:00:00,154.49,sell
2020-10-14 00:00:00,152.77,sell
2020-12-02 00:00:00,162.72,sell
2021-01-11 00:00:00,171.31,sell
2021-01-13 00:00:00,171.41,sell
2021-03-29 00:00:00,186.18,sell
2021-04-06 00:00:00,194.59,sell
2021-09-15 00:00:00,197.5,sell
2021-09-16 00:00:00,196.82,sell
2021-09-27 00:00:00,200.33,sell
2021-10-14 00:00:00,192.49,buy
2022-01-21 00:00:00,175.64,buy
2022-03-30 00:00:00,187.45,sell
2022-07-21 00:00:00,166.54,sell
2022-07-22 00:00:00,163.9,sell
2022-07-28 00:00:00,175.75,sell
2022-07-29 00:00:00,178.89,sell
2022-08-01 00:00:00,178.8,sell
2022-10-03 00:00:00,159.84,buy
2022-12-21 00:00:00,168.73,buy
2022-12-23 00:00:00,164.38,buy
2023-03-31 00:00:00,186.01,sell
2023-04-03 00:00:00,184.16,sell
2023-04-26 00:00:00,164.46,buy
2023-04-27 00:00:00,165.27,buy
2023-04-28 00:00:00,167.2,buy
2023-05-30 00:00:00,176.55,sell
2023-05-31 00:00:00,173.88,sell
2023-08-07 00:00:00,168.96,buy
2023-10-16 00:00:00,154.3,buy
2023-10-20 00:00:00,147.81,buy
2023-10-23 00:00:00,146.32,buy
2023-10-24 00:00:00,146.92,buy
2023-10-26 00:00:00,144.01,buy
2023-11-20 00:00:00,155.54,sell
2023-11-21 00:00:00,153.43,sell
2023-12-14 00:00:00,168.78,sell
2023-12-15 00:00:00,168.64,sell
2023-12-18 00:00:00,167.42,sell
2024-03-05 00:00:00,170.64,sell
2024-03-08 00:00:00,172.3,sell
2024-04-22 00:00:00,163.43,buy
2024-07-17 00:00:00,204.26,sell
2024-08-06 00:00:00,186.95,buy
2024-11-11 00:00:00,215.87,sell
2024-12-19 00:00:00,184.47,buy
2025-02-21 00:00:00,202.0,sell
