time,price,signal,label
2002-01-08,39.0,buy,1.0
2002-01-09,38.97,buy,1.0
2002-01-10,38.58,buy,1.0
2002-02-20,39.87,buy,2.0
2002-03-01,38.6,buy,1.0
2002-04-09,44.14,sell,4.0
2002-06-03,48.98,sell,3.0
2002-07-11,44.75,buy,2.0
2002-10-15,55.83,sell,3.0
2002-10-16,56.2,sell,3.0
2002-11-11,43.0,buy,1.0
2002-11-12,43.7,buy,1.0
2003-02-18,37.0,buy,1.0
2003-02-19,37.78,buy,2.0
2003-03-31,40.77,sell,3.0
2003-04-01,40.12,sell,3.0
2003-05-14,43.87,sell,3.0
2003-05-15,43.4,sell,3.0
2003-06-16,41.57,buy,2.0
2003-07-15,46.08,sell,4.0
2003-07-16,45.27,sell,4.0
2003-07-30,52.0,sell,3.0
2003-07-31,51.25,sell,3.0
2003-09-09,50.77,sell,3.0
2003-09-29,49.48,buy,2.0
2003-10-22,44.71,buy,1.0
2003-10-23,44.34,buy,1.0
2003-10-24,44.92,buy,1.0
2003-11-14,50.3,sell,4.0
2003-11-17,50.38,sell,4.0
2003-11-20,51.72,sell,4.0
2004-03-02,45.45,buy,2.0
2004-03-03,46.0,buy,2.0
2004-03-04,47.75,buy,2.0
2004-08-16,43.72,buy,2.0
2004-10-21,39.87,buy,1.0
2004-10-22,41.18,buy,1.0
2004-12-09,47.79,sell,4.0
2004-12-10,48.51,sell,4.0
2004-12-13,48.0,sell,4.0
2009-09-17,59.15,sell,3.0
2009-09-18,59.15,sell,4.0
2009-09-21,62.31,sell,3.0
2009-09-22,62.38,sell,3.0
2009-10-29,60.72,buy,2.0
2009-11-02,57.21,buy,2.0
2009-12-17,30.3,buy,1.0
2009-12-18,30.52,buy,2.0
2009-12-21,31.12,buy,2.0
2010-03-23,35.95,sell,3.0
2010-07-02,36.59,buy,2.0
2010-07-06,36.43,buy,2.0
2010-08-25,32.8,buy,1.0
2010-08-27,31.63,buy,1.0
2010-09-21,36.73,sell,4.0
2011-01-14,45.97,sell,3.0
2011-01-18,46.26,sell,4.0
2011-01-19,43.67,sell,4.0
2011-03-03,48.06,sell,4.0
2011-03-04,47.66,sell,4.0
2011-04-04,50.94,sell,4.0
2011-04-05,50.88,sell,4.0
2011-04-06,50.07,sell,4.0
2011-08-02,45.59,buy,2.0
2011-08-03,45.58,buy,2.0
2011-08-04,42.32,buy,2.0
2011-08-05,41.86,buy,2.0
2011-08-08,36.89,buy,1.0
2011-08-09,38.36,buy,2.0
2011-09-23,35.38,buy,2.0
2012-02-29,44.61,sell,3.0
2012-05-10,40.5,buy,2.0
2012-05-16,38.74,buy,2.0
2012-09-14,43.65,sell,3.0
2012-09-17,43.94,sell,3.0
2012-09-18,44.61,sell,3.0
2012-09-19,44.83,sell,3.0
2012-09-20,45.31,sell,3.0
2012-09-21,45.28,sell,3.0
2012-10-22,44.22,buy,2.0
2012-10-24,43.27,buy,1.0
2012-10-25,43.61,buy,2.0
2012-10-31,41.39,buy,1.0
2012-11-01,43.66,buy,2.0
2012-12-19,49.46,sell,4.0
2012-12-20,49.38,sell,4.0
2012-12-21,48.49,sell,4.0
2013-01-16,53.38,sell,4.0
2013-01-17,54.78,sell,4.0
2013-01-18,55.46,sell,4.0
2013-01-22,56.42,sell,4.0
2013-01-23,55.18,sell,4.0
2013-05-01,65.31,sell,4.0
2013-09-19,73.51,sell,4.0
2013-10-21,80.4,sell,4.0
2013-12-20,79.4,buy,2.0
2014-01-13,83.99,sell,3.0
2014-01-15,85.8,sell,3.0
2014-03-11,77.11,buy,2.0
2014-03-12,76.77,buy,2.0
2014-03-13,75.1,buy,1.0
2014-03-14,74.59,buy,1.0
2014-03-17,74.35,buy,1.0
2014-05-22,88.24,sell,4.0
2014-05-27,89.06,sell,4.0
2014-06-06,94.82,sell,4.0
2014-07-29,109.04,sell,4.0
2014-07-30,108.12,sell,4.0
2014-10-02,105.75,buy,2.0
2015-02-27,113.35,sell,4.0
2015-03-02,114.49,sell,4.0
2015-03-03,112.73,sell,4.0
2015-03-05,114.88,sell,4.0
2015-03-24,120.0,sell,4.0
2015-05-28,129.94,sell,4.0
2015-06-26,142.69,sell,3.0
2015-06-29,141.32,sell,3.0
2015-08-25,132.18,buy,2.0
2015-08-26,136.9,buy,2.0
2015-09-29,121.16,buy,2.0
2015-09-30,124.81,buy,2.0
2015-10-23,115.95,buy,2.0
2016-03-04,115.54,sell,4.0
2016-03-30,125.33,sell,4.0
2016-03-31,124.72,sell,4.0
2016-04-27,132.12,sell,4.0
2016-04-28,134.91,sell,4.0
2016-04-29,133.68,sell,4.0
2016-07-29,129.53,buy,2.0
2016-08-01,128.22,buy,2.0
2016-08-02,125.28,buy,2.0
2016-08-03,127.94,buy,2.0
2016-12-09,112.07,buy,2.0
2016-12-12,111.98,buy,2.0
2016-12-14,101.55,buy,1.0
2016-12-15,108.57,buy,2.0
2017-01-18,113.6,sell,4.0
2017-02-13,117.88,sell,4.0
2017-02-14,121.3,sell,4.0
2017-02-15,122.41,sell,4.0
2017-02-16,122.13,sell,3.0
2017-02-17,122.95,sell,3.0
2017-02-22,123.75,sell,3.0
2017-05-25,117.31,buy,2.0
2017-06-01,115.8,buy,2.0
2017-06-29,121.88,sell,3.0
2017-06-30,122.08,sell,3.0
2017-07-03,121.54,sell,3.0
