time,price,signal
2002-01-17 00:00:00,4.887,buy
2002-01-31 00:00:00,5.238,sell
2002-02-01 00:00:00,5.087,buy
2002-03-04 00:00:00,5.461,sell
2002-03-06 00:00:00,5.57,buy
2002-03-07 00:00:00,5.744,sell
2002-03-08 00:00:00,5.681,buy
2002-03-11 00:00:00,5.583,sell
2002-03-14 00:00:00,5.868,buy
2002-03-18 00:00:00,5.911,sell
2002-03-20 00:00:00,6.279,buy
2002-03-22 00:00:00,6.171,sell
2002-04-05 00:00:00,6.207,buy
2002-04-12 00:00:00,6.006,sell
2002-04-24 00:00:00,5.941,buy
2002-05-10 00:00:00,5.905,sell
2002-05-22 00:00:00,6.013,buy
2002-05-30 00:00:00,5.908,sell
2002-06-05 00:00:00,5.928,buy
2002-06-17 00:00:00,5.845,sell
2002-06-21 00:00:00,6.043,buy
2002-06-26 00:00:00,5.964,sell
2002-07-09 00:00:00,6.003,buy
2002-07-25 00:00:00,6.228,sell
2002-08-08 00:00:00,6.357,buy
2002-08-14 00:00:00,6.294,sell
2002-08-19 00:00:00,6.377,buy
2002-08-30 00:00:00,6.426,sell
2002-09-06 00:00:00,6.466,buy
2002-09-09 00:00:00,6.456,sell
2002-09-11 00:00:00,6.562,buy
2002-09-16 00:00:00,6.509,sell
2002-09-23 00:00:00,6.519,buy
2002-10-09 00:00:00,6.201,sell
2002-10-29 00:00:00,5.953,buy
2002-11-13 00:00:00,5.963,sell
2002-11-25 00:00:00,5.953,buy
2002-11-27 00:00:00,5.943,sell
2002-11-29 00:00:00,6.067,buy
2002-12-06 00:00:00,5.894,sell
2002-12-13 00:00:00,5.67,buy
2003-01-03 00:00:00,6.236,sell
2003-01-14 00:00:00,6.837,buy
2003-02-10 00:00:00,7.681,sell
2003-02-20 00:00:00,7.88,buy
2003-02-21 00:00:00,7.78,sell
2003-02-28 00:00:00,8.034,buy
2003-03-07 00:00:00,8.058,sell
2003-03-10 00:00:00,8.242,buy
2003-03-12 00:00:00,7.458,sell
2003-03-26 00:00:00,7.328,buy
2003-04-10 00:00:00,7.477,sell
2003-04-15 00:00:00,7.477,buy
2003-04-22 00:00:00,7.835,sell
2003-05-16 00:00:00,7.487,buy
2003-05-26 00:00:00,7.353,sell
2003-06-02 00:00:00,7.388,buy
2003-06-09 00:00:00,7.269,sell
2003-06-13 00:00:00,7.36,buy
2003-06-24 00:00:00,7.46,sell
2003-07-03 00:00:00,7.656,buy
2003-07-10 00:00:00,7.54,sell
2003-07-28 00:00:00,7.314,buy
2003-08-14 00:00:00,7.299,sell
2003-08-21 00:00:00,7.249,buy
2003-08-22 00:00:00,7.239,sell
2003-09-04 00:00:00,7.149,buy
2003-09-08 00:00:00,7.129,sell
2003-09-16 00:00:00,7.109,buy
2003-09-22 00:00:00,6.958,sell
2003-09-24 00:00:00,7.003,buy
2003-09-26 00:00:00,6.587,sell
2003-10-09 00:00:00,6.722,buy
2003-10-14 00:00:00,6.442,sell
2003-10-22 00:00:00,5.86,buy
2003-10-23 00:00:00,5.85,sell
2003-10-27 00:00:00,5.604,buy
2003-10-30 00:00:00,5.232,sell
2003-11-10 00:00:00,4.023,buy
2003-11-13 00:00:00,3.858,sell
2003-11-14 00:00:00,3.928,buy
2003-12-04 00:00:00,4.761,sell
2003-12-19 00:00:00,4.575,buy
2004-01-02 00:00:00,4.761,sell
2004-01-13 00:00:00,4.691,buy
2004-02-09 00:00:00,5.478,sell
2004-02-17 00:00:00,5.709,buy
2004-02-24 00:00:00,5.408,sell
2004-03-03 00:00:00,5.845,buy
2004-03-09 00:00:00,5.624,sell
2004-03-23 00:00:00,5.468,buy
2004-03-24 00:00:00,5.498,sell
2004-03-26 00:00:00,5.549,buy
2004-04-08 00:00:00,5.764,sell
2004-04-29 00:00:00,4.555,buy
2004-05-27 00:00:00,5.112,sell
2004-05-28 00:00:00,5.042,buy
2004-05-31 00:00:00,5.057,sell
2004-06-23 00:00:00,4.541,buy
2004-07-01 00:00:00,4.419,sell
2004-07-02 00:00:00,4.338,buy
2004-07-12 00:00:00,4.119,sell
2004-07-19 00:00:00,4.368,buy
2004-07-26 00:00:00,4.048,sell
2004-08-05 00:00:00,4.053,buy
2004-08-12 00:00:00,3.9,sell
2004-08-25 00:00:00,3.743,buy
2004-08-27 00:00:00,3.646,sell
2004-08-31 00:00:00,3.707,buy
2004-09-03 00:00:00,3.621,sell
2004-09-07 00:00:00,3.61,buy
2004-09-08 00:00:00,3.6,sell
2004-09-15 00:00:00,3.453,buy
2004-09-28 00:00:00,3.748,sell
2004-10-08 00:00:00,4.271,buy
2004-10-14 00:00:00,3.91,sell
2004-10-27 00:00:00,3.697,buy
2004-11-03 00:00:00,3.59,sell
2004-11-04 00:00:00,3.549,buy
2004-11-05 00:00:00,3.61,sell
2004-11-09 00:00:00,3.631,buy
2004-11-17 00:00:00,3.565,sell
2004-11-23 00:00:00,3.809,buy
2004-12-08 00:00:00,3.834,sell
2004-12-23 00:00:00,3.804,buy
2004-12-30 00:00:00,3.641,sell
2005-01-12 00:00:00,3.539,buy
2005-01-17 00:00:00,3.331,sell
2005-01-25 00:00:00,3.209,buy
2005-01-28 00:00:00,2.98,sell
2005-02-03 00:00:00,3.041,buy
2005-03-02 00:00:00,3.29,sell
2005-03-11 00:00:00,3.427,buy
2005-03-15 00:00:00,3.443,sell
2005-03-17 00:00:00,3.387,buy
2005-03-21 00:00:00,3.488,sell
2005-03-22 00:00:00,3.295,buy
2005-03-23 00:00:00,3.204,sell
2005-03-29 00:00:00,3.443,buy
2005-04-08 00:00:00,3.615,sell
2005-04-25 00:00:00,3.0,buy
2005-04-26 00:00:00,3.005,sell
2005-04-27 00:00:00,2.944,buy
2005-04-28 00:00:00,2.756,sell
2005-05-11 00:00:00,2.665,buy
2005-05-24 00:00:00,2.644,sell
2005-05-27 00:00:00,2.654,buy
2005-06-03 00:00:00,2.583,sell
2005-06-08 00:00:00,2.807,buy
2005-06-13 00:00:00,2.247,sell
2005-06-27 00:00:00,2.054,buy
2005-07-01 00:00:00,1.693,sell
2005-07-14 00:00:00,1.587,buy
2005-08-05 00:00:00,2.073,sell
2005-08-10 00:00:00,2.44,buy
2005-08-17 00:00:00,2.291,sell
2005-08-25 00:00:00,2.403,buy
2005-08-31 00:00:00,2.284,sell
2005-09-02 00:00:00,2.446,buy
2005-09-07 00:00:00,2.434,sell
2005-09-09 00:00:00,2.428,buy
2005-09-22 00:00:00,2.571,sell
2005-10-12 00:00:00,2.596,buy
2005-10-20 00:00:00,2.365,sell
2005-10-26 00:00:00,2.203,buy
2005-10-27 00:00:00,1.986,sell
2005-11-02 00:00:00,2.123,buy
2005-11-11 00:00:00,1.905,sell
2005-11-17 00:00:00,1.942,buy
2005-11-28 00:00:00,1.942,sell
2005-11-30 00:00:00,1.954,buy
2005-12-01 00:00:00,1.93,sell
2005-12-12 00:00:00,1.855,buy
2005-12-23 00:00:00,1.942,sell
2005-12-30 00:00:00,1.998,buy
2006-01-12 00:00:00,2.123,sell
2006-01-13 00:00:00,2.123,buy
2006-01-17 00:00:00,2.235,sell
2006-01-18 00:00:00,2.315,buy
2006-02-07 00:00:00,2.328,sell
2006-03-03 00:00:00,2.147,buy
2006-03-10 00:00:00,2.147,sell
2006-04-11 00:00:00,2.328,buy
2006-04-25 00:00:00,2.048,sell
2006-05-11 00:00:00,2.197,buy
2006-05-25 00:00:00,2.596,sell
2006-05-30 00:00:00,2.733,buy
2006-06-01 00:00:00,2.664,sell
2006-06-06 00:00:00,2.795,buy
2006-06-08 00:00:00,2.428,sell
2006-06-20 00:00:00,2.403,buy
2006-07-05 00:00:00,2.459,sell
2006-07-24 00:00:00,2.533,buy
2006-08-03 00:00:00,2.477,sell
2006-08-16 00:00:00,2.484,buy
2006-09-06 00:00:00,2.932,sell
2006-09-07 00:00:00,2.863,buy
2006-09-08 00:00:00,3.006,sell
2006-09-11 00:00:00,3.031,buy
2006-09-13 00:00:00,2.832,sell
2006-10-10 00:00:00,2.857,buy
2006-10-17 00:00:00,2.726,sell
2006-10-31 00:00:00,2.589,buy
2006-11-09 00:00:00,2.583,sell
2006-11-10 00:00:00,2.558,buy
2006-11-13 00:00:00,2.403,sell
2006-11-16 00:00:00,2.44,buy
2006-11-17 00:00:00,2.44,sell
2006-11-23 00:00:00,2.471,buy
2006-12-07 00:00:00,2.596,sell
2006-12-21 00:00:00,2.633,buy
2006-12-29 00:00:00,2.589,sell
2007-01-10 00:00:00,2.801,buy
2007-01-29 00:00:00,3.237,sell
2007-02-07 00:00:00,3.423,buy
2007-02-28 00:00:00,3.834,sell
2007-03-09 00:00:00,4.071,buy
2007-03-19 00:00:00,4.587,sell
2007-03-20 00:00:00,4.768,buy
2007-03-30 00:00:00,4.899,sell
2007-04-06 00:00:00,5.291,buy
2007-04-20 00:00:00,5.87,sell
2007-04-24 00:00:00,6.455,buy
2007-04-26 00:00:00,6.249,sell
2007-05-08 00:00:00,6.834,buy
2007-05-15 00:00:00,6.828,sell
2007-05-23 00:00:00,8.148,buy
2007-05-31 00:00:00,6.411,sell
2007-06-12 00:00:00,5.552,buy
2007-06-26 00:00:00,5.733,sell
2007-07-10 00:00:00,5.39,buy
2007-08-02 00:00:00,6.094,sell
2007-08-09 00:00:00,6.903,buy
2007-08-14 00:00:00,7.258,sell
2007-08-15 00:00:00,7.413,buy
2007-08-20 00:00:00,7.345,sell
2007-08-29 00:00:00,8.198,buy
2007-08-31 00:00:00,8.086,sell
2007-09-11 00:00:00,7.644,buy
2007-09-12 00:00:00,7.264,sell
2007-09-19 00:00:00,7.992,buy
2007-09-27 00:00:00,7.351,sell
2007-10-09 00:00:00,7.961,buy
2007-10-15 00:00:00,7.525,sell
2007-10-18 00:00:00,8.135,buy
2007-10-25 00:00:00,6.754,sell
2007-11-01 00:00:00,7.743,buy
2007-11-12 00:00:00,6.99,sell
2007-11-15 00:00:00,8.285,buy
2007-11-27 00:00:00,8.496,sell
2007-12-06 00:00:00,8.745,buy
2007-12-18 00:00:00,8.913,sell
2007-12-25 00:00:00,9.673,buy
2008-01-10 00:00:00,11.223,sell
2008-01-28 00:00:00,8.602,buy
2008-01-29 00:00:00,8.832,sell
2008-02-05 00:00:00,9.063,buy
2008-03-07 00:00:00,10.301,sell
2008-03-21 00:00:00,8.92,buy
2008-04-03 00:00:00,7.799,sell
2008-04-08 00:00:00,8.957,buy
2008-04-18 00:00:00,7.227,sell
2008-04-25 00:00:00,7.893,buy
2008-05-15 00:00:00,9.468,sell
2008-05-30 00:00:00,8.437,buy
2008-06-10 00:00:00,7.089,sell
2008-06-25 00:00:00,6.65,buy
2008-07-11 00:00:00,7.471,sell
2008-07-23 00:00:00,7.406,buy
2008-07-31 00:00:00,6.862,sell
2008-08-15 00:00:00,5.27,buy
2008-08-19 00:00:00,4.823,sell
2008-08-22 00:00:00,4.953,buy
2008-08-28 00:00:00,4.718,sell
2008-09-01 00:00:00,4.872,buy
2008-09-08 00:00:00,4.239,sell
2008-09-19 00:00:00,4.458,buy
2008-10-09 00:00:00,4.637,sell
2008-10-23 00:00:00,4.149,buy
2008-10-28 00:00:00,3.784,sell
2008-10-29 00:00:00,3.532,buy
2008-10-30 00:00:00,3.711,sell
2008-10-31 00:00:00,3.613,buy
2008-11-04 00:00:00,3.54,sell
2008-11-06 00:00:00,3.557,buy
2008-11-21 00:00:00,4.296,sell
2008-12-01 00:00:00,4.734,buy
2008-12-12 00:00:00,4.564,sell
2008-12-23 00:00:00,4.369,buy
2008-12-24 00:00:00,4.158,sell
2008-12-26 00:00:00,4.247,buy
2008-12-29 00:00:00,4.214,sell
2009-01-07 00:00:00,4.369,buy
2009-02-06 00:00:00,5.205,sell
2009-02-09 00:00:00,5.335,buy
2009-02-12 00:00:00,5.846,sell
2009-02-16 00:00:00,6.017,buy
2009-02-18 00:00:00,5.432,sell
2009-03-06 00:00:00,5.254,buy
2009-03-26 00:00:00,5.554,sell
2009-04-01 00:00:00,5.692,buy
2009-04-07 00:00:00,5.562,sell
2009-04-15 00:00:00,5.782,buy
2009-04-24 00:00:00,6.001,sell
2009-05-05 00:00:00,6.131,buy
2009-05-12 00:00:00,6.123,sell
2009-05-20 00:00:00,6.317,buy
2009-05-25 00:00:00,6.285,sell
2009-06-03 00:00:00,6.447,buy
2009-06-10 00:00:00,6.317,sell
2009-06-19 00:00:00,6.115,buy
2009-06-23 00:00:00,5.91,sell
2009-07-01 00:00:00,5.943,buy
2009-07-20 00:00:00,6.353,sell
2009-07-23 00:00:00,6.533,buy
2009-07-27 00:00:00,6.484,sell
2009-08-03 00:00:00,7.376,buy
2009-08-12 00:00:00,7.171,sell
2009-08-25 00:00:00,6.402,buy
2009-09-01 00:00:00,5.64,sell
2009-09-09 00:00:00,6.066,buy
2009-09-23 00:00:00,6.181,sell
2009-10-14 00:00:00,6.369,buy
2009-10-26 00:00:00,6.614,sell
2009-11-04 00:00:00,7.138,buy
2009-11-20 00:00:00,7.621,sell
2009-12-03 00:00:00,7.736,buy
2009-12-14 00:00:00,7.752,sell
2009-12-29 00:00:00,7.556,buy
2010-01-14 00:00:00,8.849,sell
2010-01-19 00:00:00,9.046,buy
2010-01-21 00:00:00,8.538,sell
2010-02-03 00:00:00,8.26,buy
2010-02-12 00:00:00,8.194,sell
2010-02-23 00:00:00,8.669,buy
2010-03-05 00:00:00,9.66,sell
2010-03-08 00:00:00,9.652,buy
2010-03-09 00:00:00,9.823,sell
2010-03-19 00:00:00,9.93,buy
2010-03-25 00:00:00,9.242,sell
2010-04-07 00:00:00,9.758,buy
2010-04-19 00:00:00,9.463,sell
2010-04-26 00:00:00,10.143,buy
2010-04-28 00:00:00,9.201,sell
2010-05-14 00:00:00,7.605,buy
2010-06-02 00:00:00,7.883,sell
2010-06-17 00:00:00,7.728,buy
2010-06-21 00:00:00,7.482,sell
2010-06-23 00:00:00,7.515,buy
2010-06-28 00:00:00,7.048,sell
2010-07-08 00:00:00,6.189,buy
2010-08-04 00:00:00,7.654,sell
2010-08-10 00:00:00,7.425,buy
2010-08-11 00:00:00,7.605,sell
2010-08-18 00:00:00,7.761,buy
2010-08-23 00:00:00,7.728,sell
2010-08-24 00:00:00,8.055,buy
2010-08-27 00:00:00,8.342,sell
2010-08-30 00:00:00,8.686,buy
2010-09-10 00:00:00,8.767,sell
2010-10-08 00:00:00,8.514,buy
2010-10-15 00:00:00,8.088,sell
2010-10-22 00:00:00,8.571,buy
2010-11-04 00:00:00,8.89,sell
2010-11-08 00:00:00,9.455,buy
2010-11-15 00:00:00,8.653,sell
2010-11-25 00:00:00,8.645,buy
2010-12-09 00:00:00,8.08,sell
2010-12-17 00:00:00,8.358,buy
2010-12-24 00:00:00,8.006,sell
2011-01-05 00:00:00,7.769,buy
2011-01-12 00:00:00,7.466,sell
2011-01-21 00:00:00,7.515,buy
2011-02-21 00:00:00,9.021,sell
2011-02-25 00:00:00,9.799,buy
2011-02-28 00:00:00,10.192,sell
2011-03-01 00:00:00,10.184,buy
2011-03-04 00:00:00,10.11,sell
2011-03-15 00:00:00,11.624,buy
2011-03-18 00:00:00,11.043,sell
2011-03-30 00:00:00,10.97,buy
2011-03-31 00:00:00,10.388,sell
2011-04-11 00:00:00,11.281,buy
2011-04-21 00:00:00,13.0,sell
2011-05-11 00:00:00,12.279,buy
2011-05-17 00:00:00,11.174,sell
2011-06-01 00:00:00,10.722,buy
2011-06-17 00:00:00,10.22,sell
2011-06-27 00:00:00,10.941,buy
2011-07-11 00:00:00,11.852,sell
2011-07-13 00:00:00,12.363,buy
2011-07-19 00:00:00,11.77,sell
2011-08-02 00:00:00,12.098,buy
2011-08-09 00:00:00,10.521,sell
2011-08-15 00:00:00,11.716,buy
2011-08-22 00:00:00,11.159,sell
2011-08-29 00:00:00,11.688,buy
2011-09-01 00:00:00,11.369,sell
2011-09-16 00:00:00,10.394,buy
2011-09-20 00:00:00,10.093,sell
2011-09-22 00:00:00,10.384,buy
2011-09-30 00:00:00,9.856,sell
2011-10-13 00:00:00,10.157,buy
2011-10-19 00:00:00,9.263,sell
2011-10-26 00:00:00,8.698,buy
2011-11-11 00:00:00,8.406,sell
2011-11-16 00:00:00,8.497,buy
2011-11-17 00:00:00,8.515,sell
2011-12-02 00:00:00,7.102,buy
2011-12-05 00:00:00,6.738,sell
2011-12-08 00:00:00,6.865,buy
2011-12-14 00:00:00,6.09,sell
2011-12-19 00:00:00,6.008,buy
2011-12-22 00:00:00,5.835,sell
2011-12-23 00:00:00,5.908,buy
2012-01-06 00:00:00,5.425,sell
2012-01-10 00:00:00,6.118,buy
2012-02-01 00:00:00,5.598,sell
2012-02-07 00:00:00,6.82,buy
2012-02-21 00:00:00,7.622,sell
2012-02-23 00:00:00,7.494,buy
2012-02-24 00:00:00,7.494,sell
2012-03-07 00:00:00,7.595,buy
2012-03-15 00:00:00,6.929,sell
2012-04-09 00:00:00,6.136,buy
2012-04-25 00:00:00,6.528,sell
2012-05-09 00:00:00,6.245,buy
2012-05-16 00:00:00,6.227,sell
2012-05-18 00:00:00,6.154,buy
2012-05-21 00:00:00,6.09,sell
2012-05-30 00:00:00,6.282,buy
2012-06-05 00:00:00,5.851,sell
2012-06-15 00:00:00,5.741,buy
2012-06-25 00:00:00,5.365,sell
2012-07-03 00:00:00,5.154,buy
2012-07-06 00:00:00,5.163,sell
2012-07-09 00:00:00,5.016,buy
2012-07-11 00:00:00,4.888,sell
2012-07-12 00:00:00,4.943,buy
2012-07-17 00:00:00,4.705,sell
2012-07-20 00:00:00,4.851,buy
2012-07-30 00:00:00,4.65,sell
2012-08-02 00:00:00,4.668,buy
2012-08-14 00:00:00,4.751,sell
2012-08-27 00:00:00,4.595,buy
2012-08-28 00:00:00,4.613,sell
2012-09-06 00:00:00,4.549,buy
2012-09-18 00:00:00,4.677,sell
2012-10-08 00:00:00,4.631,buy
2012-10-24 00:00:00,4.769,sell
2012-11-02 00:00:00,4.64,buy
2012-11-09 00:00:00,4.457,sell
2012-11-22 00:00:00,4.237,buy
2012-11-28 00:00:00,3.916,sell
2012-12-06 00:00:00,3.907,buy
2012-12-20 00:00:00,4.118,sell
2012-12-27 00:00:00,4.209,buy
2012-12-28 00:00:00,4.319,sell
2013-01-09 00:00:00,4.475,buy
2013-01-14 00:00:00,4.42,sell
2013-01-16 00:00:00,4.64,buy
2013-01-23 00:00:00,4.439,sell
2013-02-01 00:00:00,4.42,buy
2013-02-25 00:00:00,4.466,sell
2013-03-04 00:00:00,4.347,buy
2013-03-05 00:00:00,4.494,sell
2013-03-06 00:00:00,4.576,buy
2013-03-12 00:00:00,4.329,sell
2013-03-22 00:00:00,4.393,buy
2013-03-29 00:00:00,4.209,sell
2013-04-11 00:00:00,4.09,buy
2013-04-22 00:00:00,4.109,sell
2013-05-07 00:00:00,3.962,buy
2013-05-24 00:00:00,4.099,sell
2013-05-29 00:00:00,4.136,buy
2013-06-03 00:00:00,4.154,sell
2013-06-19 00:00:00,3.824,buy
2013-06-20 00:00:00,3.668,sell
2013-06-27 00:00:00,3.1,buy
2013-06-28 00:00:00,3.026,sell
2013-07-03 00:00:00,3.109,buy
2013-07-22 00:00:00,3.155,sell
2013-07-25 00:00:00,3.384,buy
2013-07-30 00:00:00,3.393,sell
2013-08-02 00:00:00,3.329,buy
2013-08-05 00:00:00,3.347,sell
2013-08-12 00:00:00,3.467,buy
2013-08-19 00:00:00,3.54,sell
2013-08-30 00:00:00,3.65,buy
2013-09-09 00:00:00,3.76,sell
2013-09-24 00:00:00,3.769,buy
2013-09-27 00:00:00,3.531,sell
2013-10-10 00:00:00,3.613,buy
2013-10-17 00:00:00,3.595,sell
2013-10-23 00:00:00,3.567,buy
2013-10-24 00:00:00,3.522,sell
2013-10-30 00:00:00,4.145,buy
2013-11-14 00:00:00,4.182,sell
2013-11-20 00:00:00,4.439,buy
2013-11-29 00:00:00,4.934,sell
2013-12-16 00:00:00,4.43,buy
2013-12-18 00:00:00,4.246,sell
2013-12-25 00:00:00,4.072,buy
2013-12-27 00:00:00,3.934,sell
2013-12-31 00:00:00,3.98,buy
2014-01-07 00:00:00,3.788,sell
2014-01-13 00:00:00,3.797,buy
2014-01-21 00:00:00,3.797,sell
2014-01-23 00:00:00,3.916,buy
2014-02-14 00:00:00,4.411,sell
2014-02-17 00:00:00,4.448,buy
2014-02-20 00:00:00,4.998,sell
2014-02-21 00:00:00,4.576,buy
2014-02-24 00:00:00,4.485,sell
2014-03-05 00:00:00,4.567,buy
2014-03-06 00:00:00,4.558,sell
2014-03-07 00:00:00,4.677,buy
2014-03-11 00:00:00,4.274,sell
2014-03-21 00:00:00,4.264,buy
2014-03-31 00:00:00,4.136,sell
2014-04-03 00:00:00,4.319,buy
2014-04-14 00:00:00,4.695,sell
2014-04-15 00:00:00,4.705,buy
2014-04-16 00:00:00,4.842,sell
2014-04-17 00:00:00,4.76,buy
2014-04-18 00:00:00,4.659,sell
2014-05-07 00:00:00,4.2,buy
2014-05-20 00:00:00,4.613,sell
2014-05-21 00:00:00,4.613,buy
2014-05-23 00:00:00,4.576,sell
2014-05-27 00:00:00,4.778,buy
2014-06-03 00:00:00,5.145,sell
2014-06-04 00:00:00,5.108,buy
2014-06-10 00:00:00,5.402,sell
2014-06-26 00:00:00,5.071,buy
2014-07-07 00:00:00,4.879,sell
2014-07-17 00:00:00,5.053,buy
2014-08-04 00:00:00,5.163,sell
2014-08-13 00:00:00,5.255,buy
2014-08-15 00:00:00,5.117,sell
2014-08-20 00:00:00,5.503,buy
2014-08-27 00:00:00,5.438,sell
2014-08-29 00:00:00,5.668,buy
2014-09-09 00:00:00,5.842,sell
2014-09-23 00:00:00,5.924,buy
2014-10-10 00:00:00,5.906,sell
2014-10-22 00:00:00,5.484,buy
2014-10-23 00:00:00,5.897,sell
2014-10-24 00:00:00,5.585,buy
2014-10-28 00:00:00,5.448,sell
2014-10-29 00:00:00,5.521,buy
2014-11-12 00:00:00,5.668,sell
2014-11-20 00:00:00,5.768,buy
2014-12-02 00:00:00,5.897,sell
2014-12-05 00:00:00,5.86,buy
2014-12-08 00:00:00,5.842,sell
2014-12-16 00:00:00,5.934,buy
