time,price,signal,label
1997-03-12,1.425,buy,1.0
1997-03-21,1.627,sell,3.0
1997-04-09,1.956,buy,2.0
1997-04-14,1.924,sell,4.0
1997-04-21,1.973,buy,1.0
1997-04-30,2.229,sell,3.0
1997-05-05,2.3,buy,1.0
1997-05-09,2.544,sell,3.0
1997-06-19,2.304,buy,1.0
1997-07-07,2.548,sell,3.0
1997-09-04,1.878,buy,2.0
1997-09-09,1.834,sell,4.0
1997-09-26,1.524,buy,1.0
1997-10-16,1.656,sell,3.0
1997-12-23,1.745,buy,2.0
1997-12-30,1.673,sell,4.0
1998-02-16,1.778,buy,1.0
1998-03-03,1.968,sell,3.0
1998-03-04,1.968,buy,1.0
1998-03-09,2.145,sell,3.0
1998-04-28,2.097,buy,2.0
1998-05-07,2.042,sell,4.0
1998-07-27,2.035,buy,2.0
1998-08-05,1.908,sell,4.0
1998-09-08,1.638,buy,1.0
1998-09-18,1.729,sell,3.0
1998-11-03,1.546,buy,1.0
1998-11-16,1.68,sell,3.0
1999-01-08,1.464,buy,2.0
1999-01-15,1.421,sell,4.0
1999-06-11,1.102,buy,1.0
1999-06-28,1.609,sell,3.0
1999-06-29,1.77,buy,2.0
1999-07-01,1.463,sell,4.0
1999-09-29,0.974,buy,2.0
1999-10-20,0.976,sell,4.0
2000-01-26,0.841,buy,2.0
2000-01-28,0.819,sell,4.0
2000-03-21,0.898,buy,1.0
2000-04-05,0.952,sell,3.0
2000-05-18,0.877,buy,1.0
2000-06-06,1.023,sell,3.0
2000-07-27,0.973,buy,2.0
2000-08-03,1.017,sell,4.0
2000-09-28,1.002,buy,1.0
2000-10-27,1.15,sell,3.0
2000-11-20,1.192,buy,2.0
2000-11-27,1.185,sell,4.0
2001-03-15,1.248,buy,2.0
2001-03-30,1.271,sell,4.0
2001-07-10,1.197,buy,2.0
2001-07-17,1.153,sell,4.0
2001-09-11,0.893,buy,2.0
2001-09-18,0.866,sell,4.0
2001-11-20,0.783,buy,1.0
2001-12-06,0.852,sell,3.0
2002-01-21,0.727,buy,1.0
2002-02-07,0.899,sell,3.0
2002-02-08,0.894,buy,1.0
2002-02-27,0.943,sell,3.0
2002-02-28,0.961,buy,1.0
2002-03-07,1.023,sell,3.0
2002-03-22,1.074,buy,1.0
2002-04-09,1.233,sell,3.0
2002-08-23,1.135,buy,2.0
2002-09-05,1.068,sell,4.0
2002-12-13,0.886,buy,2.0
2002-12-17,0.872,sell,4.0
2003-01-08,0.81,buy,1.0
2003-01-29,0.915,sell,3.0
2003-04-16,1.216,buy,2.0
2003-04-22,1.216,sell,4.0
2003-09-19,1.19,buy,2.0
2003-09-23,1.157,sell,4.0
2003-11-21,1.17,buy,1.0
2003-12-16,1.367,sell,3.0
2003-12-17,1.436,buy,1.0
2003-12-25,1.565,sell,3.0
2004-01-09,1.749,buy,1.0
2004-01-12,1.837,sell,3.0
2004-02-05,1.875,buy,2.0
2004-02-09,1.84,sell,4.0
2004-03-11,1.932,buy,1.0
2004-03-25,2.062,sell,3.0
2004-06-15,1.815,buy,2.0
2004-06-21,1.739,sell,4.0
2004-09-16,1.701,buy,1.0
2004-10-11,1.829,sell,3.0
2004-12-06,1.715,buy,2.0
2004-12-09,1.678,sell,4.0
2005-03-30,1.283,buy,1.0
2005-03-31,1.37,sell,3.0
2005-04-01,1.466,buy,1.0
2005-04-18,1.578,sell,3.0
2005-05-23,1.483,buy,2.0
2005-05-26,1.397,sell,4.0
2005-06-07,1.372,buy,1.0
2005-07-04,1.633,sell,3.0
2005-08-31,1.435,buy,2.0
2005-09-09,1.422,sell,4.0
2005-12-12,1.241,buy,1.0
2005-12-28,1.314,sell,3.0
2006-02-08,1.364,buy,2.0
2006-02-17,1.293,sell,4.0
2006-03-30,1.25,buy,1.0
2006-04-10,1.367,sell,3.0
2006-04-27,1.247,buy,1.0
2006-05-08,1.313,sell,3.0
2006-05-09,1.32,buy,1.0
2006-05-19,1.444,sell,3.0
2006-06-19,1.36,buy,2.0
2006-07-05,1.362,sell,4.0
2006-08-09,1.21,buy,1.0
2006-09-04,1.275,sell,3.0
2006-11-20,1.404,buy,1.0
2006-12-11,1.716,sell,3.0
2006-12-18,1.805,buy,2.0
2006-12-21,1.751,sell,4.0
2007-01-08,2.096,buy,1.0
2007-01-17,2.37,sell,3.0
2007-04-04,2.872,buy,1.0
2007-04-16,3.223,sell,3.0
2007-04-18,3.277,buy,2.0
2007-04-20,3.385,sell,4.0
2007-04-23,3.563,buy,1.0
2007-04-30,3.805,sell,3.0
2007-07-10,3.403,buy,1.0
2007-08-02,3.908,sell,3.0
2007-09-18,6.067,buy,2.0
2007-09-20,5.76,sell,4.0
2008-01-04,5.007,buy,2.0
2008-01-09,4.899,sell,4.0
2008-05-23,2.678,buy,2.0
2008-06-06,2.741,sell,4.0
2008-09-11,2.278,buy,2.0
2008-09-16,2.318,sell,4.0
2008-09-17,2.226,buy,1.0
2008-09-19,2.367,sell,3.0
2008-10-29,2.059,buy,1.0
2008-11-10,2.186,sell,3.0
2008-11-11,2.145,buy,1.0
2008-11-25,2.353,sell,3.0
2008-12-09,2.629,buy,1.0
2009-03-09,3.116,sell,3.0
2009-03-30,3.024,buy,2.0
2009-04-01,2.96,sell,4.0
2009-07-21,3.197,buy,2.0
2009-07-22,3.324,sell,4.0
2009-09-04,2.675,buy,1.0
2009-09-23,2.82,sell,3.0
2009-11-17,3.209,buy,2.0
2009-11-23,3.167,sell,4.0
2010-03-18,2.592,buy,2.0
2010-04-08,2.595,sell,4.0
2010-07-21,2.227,buy,2.0
2010-08-04,2.267,sell,4.0
2010-11-02,2.444,buy,2.0
2010-11-11,2.493,sell,4.0
2011-03-07,2.306,buy,2.0
2011-03-14,2.23,sell,4.0
2011-06-23,2.166,buy,2.0
2011-07-08,2.163,sell,4.0
2011-08-10,1.899,buy,1.0
2011-08-25,2.021,sell,3.0
2011-10-26,1.89,buy,1.0
2011-11-08,2.049,sell,3.0
2011-11-30,1.819,buy,2.0
2011-12-01,1.801,sell,4.0
2011-12-09,1.724,buy,1.0
2011-12-30,1.828,sell,3.0
2012-03-21,1.926,buy,2.0
2012-03-23,1.88,sell,4.0
2012-06-01,1.837,buy,1.0
2012-06-19,2.034,sell,3.0
2012-09-06,2.015,buy,2.0
2012-09-14,1.969,sell,4.0
2012-11-22,2.306,buy,2.0
2012-11-29,2.333,sell,4.0
2013-02-25,2.799,buy,2.0
2013-03-05,2.73,sell,4.0
2013-03-15,2.772,buy,1.0
2013-04-01,2.928,sell,3.0
2013-04-22,2.781,buy,1.0
2013-05-22,3.005,sell,3.0
2013-06-26,2.527,buy,1.0
2013-07-15,2.908,sell,3.0
2013-08-01,2.624,buy,1.0
2013-08-16,2.759,sell,3.0
2013-10-08,2.759,buy,1.0
2013-10-21,2.953,sell,3.0
2013-11-20,3.177,buy,2.0
