time,price,signal,label
2019-03-12 10:00:00,5.006,buy,2.0
2019-03-13 10:30:00,5.09,sell,4.0
2019-03-15 10:00:00,4.661,buy,2.0
2019-03-19 11:00:00,4.73,sell,4.0
2019-03-20 15:00:00,4.753,buy,2.0
2019-03-22 10:30:00,4.722,sell,4.0
2019-03-25 10:00:00,4.645,buy,2.0
2019-03-25 10:30:00,4.63,sell,4.0
2019-03-26 11:00:00,4.569,buy,2.0
2019-03-26 13:30:00,4.469,sell,4.0
2019-03-26 14:00:00,4.423,buy,2.0
2019-03-28 14:30:00,4.431,sell,4.0
2019-03-29 13:30:00,4.507,buy,2.0
2019-04-01 14:00:00,4.684,sell,4.0
2019-04-01 15:00:00,4.791,buy,2.0
2019-04-02 10:00:00,4.776,sell,4.0
2019-04-03 11:00:00,4.906,buy,2.0
2019-04-04 11:00:00,4.967,sell,4.0
2019-04-08 15:00:00,4.799,buy,2.0
2019-04-10 10:30:00,4.737,sell,4.0
2019-04-10 14:00:00,4.753,buy,2.0
2019-04-11 11:00:00,4.722,sell,4.0
2019-04-12 15:00:00,4.599,buy,2.0
2019-04-15 15:00:00,4.599,sell,4.0
2019-04-16 13:30:00,4.63,buy,2.0
2019-04-17 14:00:00,4.661,sell,4.0
2019-04-19 13:30:00,4.561,buy,2.0
2019-04-22 11:30:00,4.538,sell,4.0
2019-04-23 13:30:00,4.438,buy,2.0
2019-04-24 10:30:00,4.431,sell,4.0
2019-04-24 11:00:00,4.423,buy,2.0
2019-04-24 13:30:00,4.431,sell,4.0
2019-04-24 14:00:00,4.438,buy,2.0
2019-04-25 14:30:00,4.438,sell,4.0
2019-04-29 11:00:00,4.04,buy,2.0
2019-05-06 10:30:00,3.871,sell,4.0
2019-05-07 10:30:00,3.741,buy,2.0
2019-05-09 10:30:00,3.725,sell,4.0
2019-05-09 11:30:00,3.756,buy,2.0
2019-05-09 15:00:00,3.741,sell,4.0
2019-05-10 10:30:00,3.825,buy,2.0
2019-05-10 11:00:00,3.802,sell,4.0
2019-05-13 10:00:00,3.81,buy,2.0
2019-05-13 14:30:00,3.787,sell,4.0
2019-05-14 14:30:00,3.741,buy,2.0
2019-05-14 15:00:00,3.718,sell,4.0
2019-05-15 10:30:00,3.756,buy,2.0
2019-05-16 10:30:00,3.848,sell,4.0
2019-05-16 11:00:00,3.825,buy,2.0
2019-05-16 11:30:00,3.833,sell,4.0
2019-05-16 14:30:00,3.825,buy,2.0
2019-05-16 15:00:00,3.825,sell,4.0
2019-05-20 11:30:00,3.641,buy,2.0
2019-05-22 10:00:00,3.702,sell,4.0
2019-05-24 10:30:00,3.58,buy,2.0
2019-05-27 11:30:00,3.618,sell,4.0
2019-05-27 13:30:00,3.679,buy,2.0
2019-05-28 14:00:00,3.771,sell,4.0
2019-05-29 13:30:00,3.779,buy,2.0
2019-05-30 10:30:00,3.787,sell,4.0
2019-05-31 10:00:00,3.894,buy,2.0
2019-05-31 15:00:00,3.971,sell,4.0
2019-06-03 10:30:00,4.369,buy,2.0
2019-06-03 14:00:00,4.193,sell,4.0
2019-06-05 13:30:00,3.756,buy,2.0
2019-06-06 10:30:00,3.641,sell,4.0
2019-06-10 10:00:00,3.664,buy,2.0
2019-06-10 15:00:00,3.626,sell,4.0
2019-06-11 11:00:00,3.687,buy,2.0
2019-06-12 11:00:00,3.679,sell,4.0
2019-06-13 11:00:00,3.695,buy,2.0
2019-06-14 11:00:00,3.664,sell,4.0
2019-06-17 10:00:00,3.695,buy,2.0
2019-06-18 10:30:00,3.672,sell,4.0
2019-06-18 11:30:00,3.664,buy,2.0
2019-06-18 14:00:00,3.664,sell,4.0
2019-06-19 10:30:00,3.725,buy,2.0
2019-06-20 10:30:00,3.756,sell,4.0
2019-06-20 11:00:00,3.779,buy,2.0
2019-06-20 14:30:00,3.81,sell,4.0
2019-06-21 10:00:00,3.802,buy,2.0
2019-06-21 10:30:00,3.825,sell,4.0
2019-06-21 11:00:00,3.817,buy,2.0
2019-06-21 13:30:00,3.802,sell,4.0
2019-06-25 14:30:00,3.687,buy,2.0
2019-06-27 11:30:00,3.718,sell,4.0
2019-06-28 15:00:00,3.672,buy,2.0
2019-07-02 11:00:00,3.779,sell,4.0
2019-07-03 13:30:00,3.741,buy,2.0
2019-07-03 15:00:00,3.718,sell,4.0
2019-07-04 10:30:00,3.756,buy,2.0
2019-07-04 15:00:00,3.733,sell,4.0
2019-07-05 10:00:00,3.741,buy,2.0
2019-07-08 10:30:00,3.679,sell,4.0
2019-07-09 11:00:00,3.641,buy,2.0
2019-07-10 11:30:00,3.679,sell,4.0
2019-07-10 13:30:00,3.679,buy,2.0
2019-07-10 14:00:00,3.664,sell,4.0
2019-07-11 10:30:00,3.672,buy,2.0
2019-07-11 13:30:00,3.641,sell,4.0
2019-07-12 10:30:00,3.656,buy,2.0
2019-07-15 10:30:00,3.649,sell,4.0
2019-07-15 11:30:00,3.695,buy,2.0
2019-07-16 11:00:00,3.679,sell,4.0
2019-07-16 13:30:00,3.687,buy,2.0
2019-07-16 14:00:00,3.679,sell,4.0
2019-07-17 10:30:00,3.695,buy,2.0
2019-07-17 15:00:00,3.71,sell,4.0
2019-07-19 11:00:00,3.704,buy,2.0
2019-07-19 14:30:00,3.672,sell,4.0
2019-07-23 11:00:00,3.554,buy,2.0
2019-07-24 15:00:00,3.578,sell,4.0
2019-07-26 10:30:00,3.554,buy,2.0
2019-07-26 11:30:00,3.522,sell,4.0
2019-07-26 14:30:00,3.538,buy,2.0
2019-07-29 14:30:00,3.546,sell,4.0
2019-07-30 10:30:00,3.57,buy,2.0
2019-07-30 15:00:00,3.57,sell,4.0
2019-07-31 10:00:00,3.538,buy,2.0
2019-07-31 10:30:00,3.522,sell,4.0
2019-07-31 15:00:00,3.53,buy,2.0
2019-08-01 10:00:00,3.507,sell,4.0
2019-08-02 10:00:00,3.396,buy,2.0
2019-08-02 11:00:00,3.396,sell,4.0
2019-08-02 11:30:00,3.373,buy,2.0
2019-08-02 13:30:00,3.333,sell,4.0
2019-08-02 15:00:00,3.381,buy,2.0
2019-08-05 14:00:00,3.333,sell,4.0
2019-08-06 14:00:00,3.215,buy,2.0
2019-08-08 10:00:00,3.207,sell,4.0
2019-08-08 10:30:00,3.207,buy,2.0
2019-08-09 10:00:00,3.325,sell,4.0
2019-08-09 10:30:00,3.278,buy,2.0
2019-08-09 11:00:00,3.255,sell,4.0
2019-08-12 14:30:00,3.223,buy,2.0
2019-08-13 11:00:00,3.199,sell,4.0
2019-08-14 10:30:00,3.231,buy,2.0
2019-08-15 10:00:00,3.168,sell,4.0
2019-08-15 15:00:00,3.207,buy,2.0
2019-08-19 10:30:00,3.294,sell,4.0
2019-08-19 11:30:00,3.333,buy,2.0
2019-08-20 10:30:00,3.349,sell,4.0
2019-08-21 11:00:00,3.365,buy,2.0
2019-08-21 15:00:00,3.349,sell,4.0
2019-08-22 15:00:00,3.341,buy,2.0
2019-08-26 10:30:00,3.357,sell,4.0
2019-08-27 10:00:00,3.483,buy,2.0
2019-08-28 10:30:00,3.475,sell,4.0
2019-08-29 14:00:00,3.609,buy,2.0
2019-08-30 11:00:00,3.585,sell,4.0
2019-09-02 13:30:00,3.53,buy,2.0
2019-09-03 11:00:00,3.452,sell,4.0
2019-09-03 15:00:00,3.483,buy,2.0
2019-09-05 13:30:00,3.641,sell,4.0
2019-09-05 14:00:00,3.617,buy,2.0
2019-09-05 14:30:00,3.601,sell,4.0
2019-09-09 10:00:00,3.554,buy,2.0
2019-09-10 10:30:00,3.53,sell,4.0
2019-09-10 14:30:00,3.53,buy,2.0
2019-09-10 15:00:00,3.53,sell,4.0
2019-09-11 11:00:00,3.538,buy,2.0
2019-09-11 15:00:00,3.522,sell,4.0
2019-09-12 10:30:00,3.522,buy,2.0
2019-09-12 11:00:00,3.546,sell,4.0
2019-09-12 11:30:00,3.546,buy,2.0
2019-09-16 10:00:00,3.538,sell,4.0
2019-09-16 11:00:00,3.554,buy,2.0
2019-09-16 14:00:00,3.554,sell,4.0
2019-09-18 11:30:00,3.444,buy,2.0
2019-09-19 10:30:00,3.404,sell,4.0
2019-09-19 11:00:00,3.404,buy,2.0
2019-09-19 14:00:00,3.396,sell,4.0
2019-09-19 15:00:00,3.42,buy,2.0
2019-09-20 15:00:00,3.444,sell,4.0
2019-09-24 10:30:00,3.404,buy,2.0
2019-09-24 14:30:00,3.373,sell,4.0
2019-09-26 14:30:00,3.294,buy,2.0
2019-09-27 14:00:00,3.286,sell,4.0
2019-09-27 14:30:00,3.286,buy,2.0
2019-10-08 10:00:00,3.388,sell,4.0
2019-10-08 10:30:00,3.381,buy,2.0
2019-10-08 11:30:00,3.381,sell,4.0
2019-10-08 13:30:00,3.365,buy,2.0
2019-10-08 14:00:00,3.349,sell,4.0
2019-10-09 10:30:00,3.412,buy,2.0
2019-10-09 14:00:00,3.491,sell,4.0
2019-10-10 10:30:00,3.538,buy,2.0
2019-10-10 11:30:00,3.515,sell,4.0
2019-10-11 14:00:00,3.522,buy,2.0
2019-10-14 14:00:00,3.538,sell,4.0
2019-10-15 14:30:00,3.475,buy,2.0
2019-10-16 14:30:00,3.467,sell,4.0
2019-10-18 11:00:00,3.404,buy,2.0
2019-10-18 11:30:00,3.381,sell,4.0
2019-10-18 14:30:00,3.349,buy,2.0
2019-10-21 10:30:00,3.325,sell,4.0
2019-10-21 11:00:00,3.318,buy,2.0
2019-10-23 10:30:00,3.349,sell,4.0
2019-10-24 11:00:00,3.349,buy,2.0
2019-10-24 14:00:00,3.333,sell,4.0
2019-10-24 15:00:00,3.333,buy,2.0
2019-10-25 10:30:00,3.333,sell,4.0
2019-10-25 11:00:00,3.365,buy,2.0
2019-10-29 10:30:00,3.396,sell,4.0
2019-10-30 11:00:00,3.349,buy,2.0
2019-10-30 13:30:00,3.333,sell,4.0
2019-10-31 13:30:00,3.318,buy,2.0
2019-10-31 14:00:00,3.318,sell,4.0
2019-10-31 15:00:00,3.294,buy,2.0
2019-11-01 10:00:00,3.302,sell,4.0
2019-11-01 10:30:00,3.294,buy,2.0
2019-11-05 10:00:00,3.325,sell,4.0
2019-11-05 13:30:00,3.349,buy,2.0
2019-11-06 11:30:00,3.325,sell,4.0
2019-11-07 11:00:00,3.333,buy,2.0
2019-11-08 14:30:00,3.333,sell,4.0
2019-11-12 14:00:00,3.223,buy,2.0
2019-11-13 14:30:00,3.199,sell,4.0
2019-11-14 10:30:00,3.223,buy,2.0
2019-11-14 14:00:00,3.215,sell,4.0
2019-11-14 14:30:00,3.215,buy,2.0
2019-11-15 15:00:00,3.207,sell,4.0
2019-11-18 13:30:00,3.207,buy,2.0
2019-11-18 14:00:00,3.207,sell,4.0
2019-11-19 10:30:00,3.255,buy,2.0
2019-11-19 15:00:00,3.262,sell,4.0
2019-11-20 10:00:00,3.247,buy,2.0
2019-11-20 10:30:00,3.247,sell,4.0
2019-11-21 10:30:00,3.239,buy,2.0
2019-11-21 15:00:00,3.255,sell,4.0
2019-11-22 10:30:00,3.255,buy,2.0
2019-11-22 11:00:00,3.255,sell,4.0
2019-11-22 14:00:00,3.255,buy,2.0
2019-11-22 15:00:00,3.247,sell,4.0
2019-11-25 10:30:00,3.302,buy,2.0
2019-11-26 11:00:00,3.286,sell,4.0
2019-11-27 11:30:00,3.278,buy,2.0
