time,price,signal,label
2021-10-27,415.554,buy,1.0
2021-11-09,516.68,sell,3.0
2021-11-12,541.734,buy,2.0
2021-11-15,533.088,sell,4.0
2021-11-23,572.99,buy,1.0
2021-11-29,606.689,sell,3.0
2021-11-30,590.683,buy,2.0
2021-12-03,579.298,sell,4.0
2021-12-14,614.137,buy,2.0
2021-12-21,551.251,sell,4.0
2022-01-11,450.272,buy,2.0
2022-01-12,452.054,sell,4.0
2022-01-17,456.407,buy,2.0
2022-01-25,461.543,sell,4.0
2022-01-26,445.564,buy,2.0
2022-01-28,409.192,sell,4.0
2022-02-11,407.223,buy,1.0
2022-02-23,437.474,sell,3.0
2022-02-24,427.944,buy,2.0
2022-03-08,438.592,sell,4.0
2022-03-17,462.099,buy,2.0
2022-03-28,432.632,sell,4.0
2022-04-18,354.946,buy,2.0
2022-04-26,332.872,sell,4.0
2022-04-28,330.167,buy,2.0
2022-04-29,326.296,sell,4.0
2022-05-12,317.813,buy,1.0
2022-05-26,354.05,sell,3.0
2022-06-06,384.613,buy,2.0
2022-06-08,398.306,sell,4.0
2022-06-09,367.26,buy,2.0
2022-06-10,368.802,sell,4.0
2022-06-27,352.28,buy,2.0
2022-07-05,332.592,sell,4.0
2022-07-22,316.573,buy,1.0
2022-08-15,363.484,sell,3.0
2022-09-08,315.091,buy,2.0
2022-09-21,264.663,sell,4.0
2022-10-13,241.284,buy,1.0
2022-10-28,261.485,sell,3.0
2022-11-04,288.222,buy,2.0
2022-11-10,265.782,sell,4.0
2022-11-16,297.613,buy,1.0
2022-11-22,313.339,sell,3.0
2022-11-23,317.415,buy,2.0
2022-11-28,301.05,sell,4.0
2022-12-05,327.207,buy,2.0
2022-12-09,337.687,sell,4.0
2022-12-12,336.198,buy,2.0
2022-12-14,301.679,sell,4.0
2022-12-28,281.398,buy,2.0
2023-01-03,274.444,sell,4.0
2023-01-10,261.775,buy,2.0
2023-01-12,256.51,sell,4.0
2023-01-13,253.792,buy,1.0
2023-02-07,274.594,sell,3.0
2023-03-02,256.9,buy,2.0
2023-03-09,249.676,sell,4.0
2023-03-15,250.955,buy,2.0
2023-03-28,234.09,sell,4.0
2023-04-04,266.001,buy,1.0
2023-04-14,290.04,sell,3.0
2023-04-17,276.752,buy,2.0
2023-04-18,275.653,sell,4.0
2023-05-04,230.024,buy,2.0
2023-05-22,226.0,sell,4.0
2023-06-01,226.97,buy,2.0
2023-06-15,234.76,sell,4.0
2023-06-28,229.0,buy,2.0
2023-07-03,218.38,sell,4.0
2023-07-05,221.7,buy,2.0
2023-07-18,231.7,sell,4.0
2023-07-27,228.31,buy,2.0
2023-07-28,231.0,sell,4.0
2023-08-01,238.4,buy,2.0
2023-08-08,231.0,sell,4.0
2023-08-25,165.77,buy,1.0
2023-08-29,174.92,sell,3.0
2023-08-30,182.87,buy,2.0
2023-09-13,182.12,sell,4.0
2023-09-19,194.17,buy,2.0
2023-09-22,196.3,sell,4.0
2023-09-25,193.72,buy,2.0
2023-09-27,185.57,sell,4.0
2023-10-27,151.33,buy,1.0
2023-11-17,164.13,sell,3.0
2023-11-29,161.88,buy,2.0
2023-12-06,150.51,sell,4.0
2023-12-11,153.56,buy,2.0
2023-12-20,147.47,sell,4.0
2023-12-29,146.3,buy,2.0
2024-01-05,132.5,sell,4.0
2024-01-19,115.32,buy,2.0
2024-01-23,111.61,sell,4.0
2024-01-24,109.51,buy,2.0
2024-01-30,100.52,sell,4.0
2024-02-07,106.95,buy,2.0
2024-02-29,110.25,sell,4.0
2024-03-19,113.64,buy,2.0
2024-03-26,103.7,sell,4.0
2024-04-18,89.72,buy,2.0
2024-05-09,91.62,sell,4.0
2024-05-21,85.52,buy,1.0
2024-06-07,94.73,sell,3.0
2024-06-14,105.2,buy,2.0
2024-06-20,109.0,sell,4.0
2024-06-21,114.2,buy,2.0
2024-06-25,106.36,sell,4.0
2024-07-11,88.66,buy,2.0
2024-07-26,83.0,sell,4.0
2024-08-01,92.38,buy,2.0
2024-08-07,84.01,sell,4.0
2024-08-09,83.47,buy,2.0
2024-08-12,82.72,sell,4.0
2024-08-20,80.79,buy,2.0
2024-08-23,74.32,sell,4.0
2024-08-28,76.25,buy,2.0
2024-09-09,72.55,sell,4.0
2024-09-13,74.16,buy,2.0
2024-09-23,68.09,sell,4.0
2024-09-25,75.07,buy,1.0
2024-10-14,111.77,sell,3.0
2024-10-28,124.46,buy,2.0
2024-10-31,111.46,sell,4.0
2024-11-07,117.42,buy,2.0
2024-11-18,100.8,sell,4.0
2024-11-29,106.92,buy,2.0
2024-12-16,102.03,sell,4.0
2024-12-27,100.32,buy,2.0
2025-01-02,86.99,sell,4.0
