time,price,signal
2018-11-21 00:00:00,2.31,buy
2018-11-27 00:00:00,2.23,sell
2018-12-14 00:00:00,1.91,buy
2018-12-19 00:00:00,1.86,sell
2018-12-24 00:00:00,1.83,buy
2018-12-28 00:00:00,1.71,sell
2019-01-02 00:00:00,1.74,buy
2019-01-16 00:00:00,1.91,sell
2019-01-17 00:00:00,1.93,buy
2019-01-24 00:00:00,2.0,sell
2019-01-28 00:00:00,2.06,buy
2019-01-30 00:00:00,1.99,sell
2019-02-12 00:00:00,2.1,buy
2019-02-20 00:00:00,2.14,sell
2019-02-22 00:00:00,2.26,buy
2019-02-28 00:00:00,2.17,sell
2019-03-06 00:00:00,2.23,buy
2019-03-07 00:00:00,2.16,sell
2019-03-21 00:00:00,2.01,buy
2019-03-26 00:00:00,1.89,sell
2019-04-02 00:00:00,2.06,buy
2019-04-12 00:00:00,1.97,sell
2019-04-17 00:00:00,2.05,buy
2019-04-18 00:00:00,2.08,sell
2019-05-08 00:00:00,1.87,buy
2019-05-10 00:00:00,1.85,sell
2019-05-14 00:00:00,1.77,buy
2019-05-16 00:00:00,1.76,sell
2019-05-27 00:00:00,1.72,buy
2019-06-06 00:00:00,1.74,sell
2019-06-20 00:00:00,1.75,buy
2019-07-04 00:00:00,1.83,sell
2019-07-17 00:00:00,1.81,buy
2019-07-29 00:00:00,1.78,sell
2019-08-08 00:00:00,1.66,buy
2019-08-16 00:00:00,1.53,sell
2019-08-22 00:00:00,1.62,buy
2019-08-29 00:00:00,1.59,sell
2019-09-06 00:00:00,1.67,buy
2019-09-18 00:00:00,2.03,sell
2019-10-09 00:00:00,1.87,buy
2019-10-17 00:00:00,1.9,sell
2019-10-18 00:00:00,1.89,buy
2019-10-24 00:00:00,1.89,sell
2019-11-05 00:00:00,1.97,buy
2019-11-12 00:00:00,1.86,sell
2019-11-25 00:00:00,1.83,buy
2019-11-29 00:00:00,1.8,sell
2019-12-11 00:00:00,1.72,buy
2019-12-23 00:00:00,1.75,sell
2020-01-03 00:00:00,1.75,buy
2020-01-09 00:00:00,1.73,sell
2020-01-13 00:00:00,1.84,buy
2020-01-22 00:00:00,1.82,sell
2020-02-07 00:00:00,1.7,buy
2020-02-25 00:00:00,1.72,sell
2020-03-06 00:00:00,1.69,buy
2020-03-09 00:00:00,1.55,sell
2020-03-20 00:00:00,1.26,buy
2020-04-02 00:00:00,1.22,sell
2020-04-14 00:00:00,1.27,buy
