time,price,signal,label
2022-03-31,13.11,buy,2.0
2022-04-01,12.81,sell,4.0
2022-04-29,12.0,buy,2.0
2022-05-06,10.62,sell,4.0
2022-05-16,10.95,buy,2.0
2022-05-26,10.84,sell,4.0
2022-05-31,11.78,buy,2.0
2022-06-14,11.89,sell,4.0
2022-06-22,12.7,buy,1.0
2022-06-30,13.58,sell,3.0
2022-07-06,14.59,buy,2.0
2022-07-11,14.06,sell,4.0
2022-07-22,13.59,buy,2.0
2022-07-26,13.45,sell,4.0
2022-08-05,13.05,buy,2.0
2022-08-18,12.46,sell,4.0
2022-08-26,12.58,buy,2.0
2022-09-05,11.7,sell,4.0
2022-09-28,10.0,buy,2.0
2022-10-11,9.675,sell,4.0
2022-10-17,10.46,buy,2.0
2022-10-25,10.1,sell,4.0
2022-10-28,10.13,buy,2.0
2022-10-31,10.0,sell,4.0
2022-11-02,11.48,buy,2.0
2022-11-11,11.93,sell,4.0
2022-11-14,12.77,buy,2.0
2022-11-18,12.84,sell,4.0
2022-12-01,12.6,buy,2.0
2022-12-15,13.18,sell,4.0
2022-12-28,13.38,buy,1.0
2023-01-13,15.35,sell,3.0
2023-01-16,15.47,buy,2.0
2023-01-17,14.95,sell,4.0
2023-01-30,14.96,buy,2.0
2023-01-31,14.54,sell,4.0
2023-02-03,15.01,buy,2.0
2023-02-07,14.4,sell,4.0
2023-02-21,13.57,buy,2.0
2023-02-23,13.53,sell,4.0
2023-02-24,13.28,buy,2.0
2023-02-27,13.12,sell,4.0
2023-03-02,13.57,buy,2.0
2023-03-09,12.72,sell,4.0
2023-03-20,12.21,buy,2.0
2023-03-21,12.78,sell,4.0
2023-03-22,12.8,buy,2.0
2023-03-31,12.3,sell,4.0
2023-04-11,13.01,buy,2.0
2023-04-21,12.93,sell,4.0
2023-05-05,12.79,buy,2.0
2023-05-10,12.34,sell,4.0
2023-05-17,11.89,buy,2.0
2023-05-18,11.72,sell,4.0
2023-05-23,11.94,buy,2.0
2023-05-29,11.15,sell,4.0
2023-06-05,11.27,buy,2.0
2023-06-14,10.93,sell,4.0
2023-06-19,11.34,buy,2.0
2023-06-21,10.54,sell,4.0
2023-07-04,11.03,buy,2.0
2023-07-11,10.56,sell,4.0
2023-07-14,10.8,buy,2.0
2023-07-20,10.59,sell,4.0
2023-07-25,11.05,buy,2.0
2023-08-03,10.99,sell,4.0
2023-08-23,9.82,buy,2.0
2023-09-06,10.05,sell,4.0
2023-09-18,10.44,buy,2.0
2023-09-22,10.2,sell,4.0
2023-09-28,10.22,buy,2.0
2023-10-04,9.77,sell,4.0
2023-10-10,10.05,buy,2.0
2023-10-19,10.0,sell,4.0
2023-10-30,11.11,buy,2.0
2023-11-10,11.31,sell,4.0
2023-11-29,11.09,buy,2.0
2023-11-30,11.18,sell,4.0
2023-12-13,10.02,buy,2.0
2023-12-22,9.62,sell,4.0
2023-12-29,10.32,buy,2.0
2024-01-08,9.36,sell,4.0
2024-01-12,9.565,buy,2.0
2024-01-15,9.585,sell,4.0
2024-01-25,8.88,buy,2.0
2024-01-30,8.1,sell,4.0
2024-02-07,8.09,buy,1.0
2024-03-01,8.63,sell,3.0
2024-03-13,9.0,buy,2.0
2024-03-20,8.52,sell,4.0
2024-04-09,8.04,buy,2.0
2024-04-16,7.45,sell,4.0
2024-04-23,7.66,buy,1.0
2024-05-09,8.6,sell,3.0
2024-05-13,8.71,buy,2.0
2024-05-14,8.76,sell,4.0
2024-06-05,8.05,buy,2.0
2024-06-13,8.065,sell,4.0
2024-06-14,8.01,buy,2.0
2024-06-19,7.96,sell,4.0
2024-06-27,7.585,buy,2.0
2024-06-28,7.515,sell,4.0
2024-07-08,7.38,buy,2.0
2024-07-10,7.295,sell,4.0
2024-07-12,7.745,buy,2.0
2024-07-24,7.555,sell,4.0
2024-08-01,7.645,buy,2.0
2024-08-15,7.95,sell,4.0
2024-08-19,8.09,buy,2.0
2024-08-20,8.02,sell,4.0
2024-08-30,8.025,buy,2.0
2024-09-05,7.9,sell,4.0
2024-09-16,8.145,buy,1.0
2024-10-09,9.895,sell,3.0
2024-10-24,9.58,buy,2.0
2024-10-31,9.155,sell,4.0
2024-11-06,9.32,buy,2.0
2024-11-14,8.9,sell,4.0
2024-11-22,8.69,buy,2.0
2024-11-25,8.785,sell,4.0
2024-11-26,8.825,buy,2.0
2024-12-11,9.17,sell,4.0
2024-12-31,8.685,buy,2.0
2025-01-03,8.4,sell,4.0
2025-01-10,8.18,buy,2.0
2025-01-14,8.33,sell,4.0
2025-01-15,8.275,buy,1.0
2025-02-12,9.16,sell,3.0
2025-02-17,9.745,buy,2.0
2025-02-18,9.905,sell,4.0
