time,price,signal
2013-07-31 00:00:00,49.38,buy
2013-08-07 00:00:00,49.15,sell
2013-08-26 00:00:00,47.22,buy
2013-08-28 00:00:00,46.17,sell
2013-08-30 00:00:00,46.28,buy
2013-09-23 00:00:00,47.56,sell
2013-10-07 00:00:00,46.64,buy
2013-10-09 00:00:00,45.69,sell
2013-10-11 00:00:00,46.98,buy
2013-10-24 00:00:00,46.95,sell
2013-10-30 00:00:00,48.78,buy
2013-11-12 00:00:00,49.85,sell
2013-11-14 00:00:00,50.36,buy
2013-11-19 00:00:00,49.45,sell
2013-12-03 00:00:00,49.56,buy
2013-12-12 00:00:00,48.11,sell
2013-12-19 00:00:00,49.66,buy
2014-01-03 00:00:00,49.61,sell
2014-01-15 00:00:00,50.02,buy
2014-01-27 00:00:00,48.22,sell
2014-02-06 00:00:00,48.35,buy
2014-02-21 00:00:00,51.12,sell
2014-03-06 00:00:00,51.57,buy
2014-03-14 00:00:00,50.09,sell
2014-03-20 00:00:00,53.22,buy
2014-03-28 00:00:00,52.84,sell
2014-04-02 00:00:00,54.06,buy
2014-04-07 00:00:00,53.12,sell
2014-04-10 00:00:00,52.49,buy
2014-04-11 00:00:00,52.09,sell
2014-04-21 00:00:00,52.9,buy
2014-04-28 00:00:00,50.99,sell
2014-05-09 00:00:00,51.25,buy
2014-05-16 00:00:00,51.6,sell
2014-05-19 00:00:00,51.98,buy
2014-05-22 00:00:00,51.74,sell
2014-05-27 00:00:00,53.02,buy
2014-06-03 00:00:00,52.47,sell
2014-06-10 00:00:00,55.79,buy
2014-06-19 00:00:00,54.93,sell
2014-07-02 00:00:00,54.41,buy
2014-07-14 00:00:00,53.85,sell
2014-07-31 00:00:00,49.64,buy
2014-08-01 00:00:00,50.01,sell
2014-08-07 00:00:00,48.93,buy
2014-08-08 00:00:00,49.54,sell
2014-08-11 00:00:00,49.93,buy
2014-08-26 00:00:00,52.21,sell
2014-09-17 00:00:00,49.63,buy
2014-10-01 00:00:00,48.24,sell
2014-10-16 00:00:00,44.6,buy
2014-11-05 00:00:00,50.03,sell
2014-11-06 00:00:00,50.22,buy
2014-11-14 00:00:00,50.62,sell
2014-11-17 00:00:00,50.35,buy
2014-11-18 00:00:00,51.26,sell
2014-11-19 00:00:00,50.75,buy
2014-11-20 00:00:00,51.17,sell
2014-11-25 00:00:00,51.71,buy
2014-12-09 00:00:00,56.37,sell
2014-12-19 00:00:00,56.75,buy
2014-12-30 00:00:00,55.55,sell
2015-01-09 00:00:00,54.72,buy
2015-01-14 00:00:00,53.51,sell
2015-01-20 00:00:00,54.39,buy
2015-01-29 00:00:00,53.23,sell
2015-02-04 00:00:00,53.78,buy
2015-02-26 00:00:00,58.88,sell
2015-03-17 00:00:00,58.76,buy
2015-03-26 00:00:00,57.41,sell
2015-03-31 00:00:00,63.0,buy
2015-04-15 00:00:00,63.92,sell
