time,price,signal
2007-10-19 00:00:00,54.89,buy
2007-10-22 00:00:00,56.33,sell
2007-10-25 00:00:00,56.3,buy
2007-10-26 00:00:00,58.55,sell
2007-10-29 00:00:00,58.66,buy
2007-11-08 00:00:00,64.33,sell
2007-11-14 00:00:00,64.22,buy
2007-11-15 00:00:00,66.37,sell
2007-11-21 00:00:00,66.2,buy
2007-11-26 00:00:00,65.3,sell
2007-11-29 00:00:00,67.55,buy
2007-12-03 00:00:00,65.01,sell
2007-12-14 00:00:00,65.86,buy
2007-12-28 00:00:00,67.73,sell
2008-01-07 00:00:00,64.44,buy
2008-01-17 00:00:00,64.84,sell
2008-01-31 00:00:00,64.78,buy
2008-02-07 00:00:00,61.24,sell
2008-02-19 00:00:00,61.87,buy
2008-03-03 00:00:00,62.63,sell
2008-03-19 00:00:00,60.69,buy
2008-04-01 00:00:00,63.92,sell
2008-04-02 00:00:00,63.25,buy
2008-04-04 00:00:00,61.73,sell
2008-04-16 00:00:00,64.87,buy
2008-04-24 00:00:00,64.97,sell
2008-04-25 00:00:00,65.08,buy
2008-04-29 00:00:00,66.08,sell
2008-04-30 00:00:00,65.0,buy
2008-05-05 00:00:00,66.54,sell
2008-05-07 00:00:00,67.45,buy
2008-05-09 00:00:00,64.77,sell
2008-05-15 00:00:00,67.65,buy
2008-05-22 00:00:00,66.84,sell
2008-05-28 00:00:00,67.97,buy
2008-06-05 00:00:00,70.06,sell
2008-06-06 00:00:00,68.73,buy
2008-06-09 00:00:00,69.48,sell
2008-06-18 00:00:00,69.39,buy
2008-06-23 00:00:00,68.11,sell
2008-07-03 00:00:00,68.18,buy
2008-07-15 00:00:00,65.12,sell
2008-07-30 00:00:00,64.52,buy
2008-08-01 00:00:00,60.75,sell
2008-08-14 00:00:00,58.5,buy
2008-09-05 00:00:00,58.41,sell
2008-09-09 00:00:00,55.91,buy
2008-09-10 00:00:00,57.21,sell
2008-09-15 00:00:00,55.17,buy
2008-09-16 00:00:00,55.48,sell
2008-09-19 00:00:00,54.51,buy
2008-10-02 00:00:00,49.44,sell
2008-10-14 00:00:00,43.15,buy
2008-10-24 00:00:00,36.87,sell
2008-10-27 00:00:00,32.28,buy
2008-10-28 00:00:00,35.51,sell
2008-11-14 00:00:00,19.98,buy
2008-11-18 00:00:00,16.99,sell
2008-11-24 00:00:00,16.84,buy
2008-12-12 00:00:00,22.27,sell
2008-12-17 00:00:00,25.1,buy
2008-12-24 00:00:00,26.24,sell
2008-12-30 00:00:00,28.9,buy
2009-01-08 00:00:00,30.81,sell
2009-01-29 00:00:00,27.16,buy
2009-02-03 00:00:00,27.15,sell
2009-02-04 00:00:00,26.15,buy
2009-02-05 00:00:00,25.82,sell
2009-02-06 00:00:00,25.63,buy
2009-02-18 00:00:00,23.61,sell
2009-03-11 00:00:00,18.83,buy
2009-03-30 00:00:00,20.32,sell
2009-04-06 00:00:00,23.54,buy
2009-04-21 00:00:00,27.5,sell
2009-04-23 00:00:00,29.46,buy
2009-04-28 00:00:00,27.36,sell
2009-05-11 00:00:00,23.58,buy
2009-05-12 00:00:00,23.31,sell
2009-05-19 00:00:00,23.51,buy
2009-05-21 00:00:00,22.0,sell
2009-05-26 00:00:00,23.57,buy
2009-06-10 00:00:00,25.09,sell
2009-06-11 00:00:00,25.27,buy
2009-06-15 00:00:00,23.87,sell
2009-06-26 00:00:00,24.07,buy
2009-07-06 00:00:00,22.93,sell
2009-07-14 00:00:00,23.31,buy
2009-07-29 00:00:00,25.0,sell
2009-08-10 00:00:00,27.42,buy
2009-08-18 00:00:00,27.74,sell
2009-08-24 00:00:00,29.49,buy
2009-09-02 00:00:00,28.12,sell
2009-09-10 00:00:00,29.6,buy
2009-09-18 00:00:00,29.23,sell
2009-09-22 00:00:00,31.46,buy
2009-09-25 00:00:00,31.41,sell
2009-09-28 00:00:00,31.41,buy
2009-10-02 00:00:00,30.85,sell
2009-10-07 00:00:00,33.04,buy
2009-10-12 00:00:00,31.94,sell
2009-10-21 00:00:00,31.34,buy
2009-10-27 00:00:00,30.08,sell
2009-11-05 00:00:00,30.4,buy
2009-11-18 00:00:00,31.3,sell
2009-11-27 00:00:00,30.26,buy
2009-11-30 00:00:00,30.56,sell
2009-12-03 00:00:00,30.29,buy
2009-12-04 00:00:00,30.35,sell
2009-12-15 00:00:00,29.63,buy
2010-01-15 00:00:00,30.5,sell
2010-01-25 00:00:00,32.1,buy
2010-02-08 00:00:00,30.16,sell
2010-02-17 00:00:00,30.71,buy
2010-03-01 00:00:00,30.65,sell
2010-03-04 00:00:00,30.97,buy
2010-03-16 00:00:00,33.14,sell
2010-03-17 00:00:00,33.5,buy
2010-03-19 00:00:00,33.2,sell
2010-03-29 00:00:00,34.37,buy
2010-04-08 00:00:00,34.76,sell
2010-04-19 00:00:00,34.89,buy
2010-04-20 00:00:00,35.0,sell
2010-04-30 00:00:00,36.43,buy
2010-05-10 00:00:00,36.54,sell
2010-05-11 00:00:00,36.26,buy
2010-05-18 00:00:00,35.29,sell
2010-05-28 00:00:00,34.7,buy
2010-06-08 00:00:00,34.12,sell
2010-06-14 00:00:00,35.75,buy
2010-06-23 00:00:00,36.42,sell
2010-07-08 00:00:00,35.85,buy
2010-07-22 00:00:00,36.93,sell
2010-08-02 00:00:00,38.25,buy
2010-08-05 00:00:00,37.61,sell
2010-08-06 00:00:00,37.61,buy
2010-08-12 00:00:00,36.85,sell
2010-08-19 00:00:00,36.72,buy
2010-08-20 00:00:00,36.36,sell
2010-08-30 00:00:00,36.01,buy
2010-09-20 00:00:00,40.6,sell
2010-09-21 00:00:00,40.32,buy
2010-09-22 00:00:00,39.95,sell
2010-09-29 00:00:00,40.37,buy
2010-10-05 00:00:00,41.36,sell
2010-10-06 00:00:00,41.36,buy
2010-10-08 00:00:00,40.89,sell
2010-10-19 00:00:00,41.1,buy
