time,price,signal
2000-11-06 00:00:00,56.5,buy
2000-11-10 00:00:00,49.13,sell
2000-12-06 00:00:00,32.38,buy
2000-12-15 00:00:00,33.31,sell
2000-12-28 00:00:00,23.87,buy
2001-01-02 00:00:00,19.75,sell
2001-01-04 00:00:00,20.88,buy
2001-01-08 00:00:00,18.62,sell
2001-01-11 00:00:00,24.5,buy
2001-01-23 00:00:00,32.12,sell
2001-01-24 00:00:00,35.38,buy
2001-01-26 00:00:00,29.75,sell
2001-02-13 00:00:00,22.94,buy
2001-02-14 00:00:00,21.75,sell
2001-02-16 00:00:00,21.25,buy
2001-02-20 00:00:00,19.8,sell
2001-02-26 00:00:00,20.06,buy
2001-03-01 00:00:00,17.0,sell
2001-03-02 00:00:00,14.81,buy
2001-03-05 00:00:00,13.25,sell
2001-03-14 00:00:00,11.25,buy
2001-03-16 00:00:00,8.22,sell
2001-03-20 00:00:00,8.88,buy
2001-04-03 00:00:00,5.81,sell
2001-04-06 00:00:00,7.22,buy
2001-04-24 00:00:00,9.24,sell
2001-05-03 00:00:00,10.14,buy
2001-05-11 00:00:00,9.34,sell
2001-05-18 00:00:00,10.01,buy
2001-05-29 00:00:00,11.13,sell
2001-06-13 00:00:00,8.53,buy
2001-06-14 00:00:00,7.6,sell
2001-06-21 00:00:00,6.94,buy
2001-07-06 00:00:00,7.86,sell
2001-07-16 00:00:00,7.92,buy
2001-07-17 00:00:00,8.64,sell
2001-07-18 00:00:00,7.96,buy
2001-07-24 00:00:00,8.03,sell
2001-08-02 00:00:00,8.13,buy
2001-08-08 00:00:00,6.89,sell
2001-08-22 00:00:00,4.95,buy
2001-08-31 00:00:00,4.21,sell
2001-09-19 00:00:00,2.95,buy
2001-10-02 00:00:00,2.8,sell
2001-10-04 00:00:00,3.72,buy
2001-10-17 00:00:00,3.6,sell
2001-11-05 00:00:00,3.19,buy
2001-11-23 00:00:00,5.9,sell
2001-11-27 00:00:00,6.27,buy
2001-11-29 00:00:00,5.87,sell
2001-12-07 00:00:00,5.85,buy
2001-12-10 00:00:00,5.59,sell
2001-12-19 00:00:00,5.31,buy
2002-01-08 00:00:00,5.65,sell
2002-01-28 00:00:00,4.88,buy
2002-02-05 00:00:00,3.59,sell
2002-02-13 00:00:00,3.91,buy
2002-02-19 00:00:00,3.24,sell
2002-02-28 00:00:00,3.11,buy
2002-03-01 00:00:00,3.19,sell
2002-03-04 00:00:00,3.92,buy
2002-03-14 00:00:00,4.16,sell
2002-03-25 00:00:00,4.09,buy
2002-03-26 00:00:00,4.06,sell
2002-04-09 00:00:00,3.77,buy
2002-04-22 00:00:00,3.35,sell
2002-05-06 00:00:00,2.0,buy
2002-05-07 00:00:00,1.9,sell
2002-05-09 00:00:00,2.12,buy
2002-05-23 00:00:00,2.25,sell
2002-06-11 00:00:00,1.65,buy
2002-06-13 00:00:00,1.56,sell
2002-06-17 00:00:00,1.64,buy
2002-06-20 00:00:00,1.09,sell
2002-06-27 00:00:00,1.12,buy
2002-07-11 00:00:00,1.34,sell
2002-07-12 00:00:00,1.26,buy
2002-07-15 00:00:00,1.29,sell
2002-07-17 00:00:00,1.5,buy
2002-07-22 00:00:00,1.2,sell
2002-08-07 00:00:00,1.11,buy
2002-08-14 00:00:00,0.9,sell
2002-08-20 00:00:00,0.89,buy
2002-08-29 00:00:00,0.96,sell
2002-09-11 00:00:00,1.0,buy
2002-09-17 00:00:00,0.94,sell
2002-09-27 00:00:00,0.89,buy
2002-09-30 00:00:00,0.83,sell
2002-10-01 00:00:00,0.85,buy
2002-10-07 00:00:00,0.67,sell
2002-10-09 00:00:00,0.71,buy
2002-10-21 00:00:00,0.84,sell
2002-10-28 00:00:00,0.95,buy
2002-10-30 00:00:00,0.92,sell
2002-10-31 00:00:00,0.97,buy
2002-11-11 00:00:00,0.96,sell
2002-11-19 00:00:00,1.22,buy
2002-11-27 00:00:00,2.11,sell
2002-12-13 00:00:00,1.65,buy
2002-12-31 00:00:00,1.73,sell
2003-01-15 00:00:00,1.76,buy
2003-01-17 00:00:00,1.54,sell
2003-01-30 00:00:00,1.39,buy
2003-02-05 00:00:00,1.26,sell
2003-02-07 00:00:00,1.43,buy
2003-02-13 00:00:00,1.23,sell
2003-02-18 00:00:00,1.43,buy
2003-03-03 00:00:00,1.5,sell
2003-03-14 00:00:00,1.36,buy
2003-03-25 00:00:00,1.41,sell
2003-03-31 00:00:00,1.41,buy
2003-04-01 00:00:00,1.41,sell
2003-04-03 00:00:00,1.45,buy
2003-04-11 00:00:00,1.4,sell
2003-04-22 00:00:00,2.02,buy
2003-05-12 00:00:00,3.49,sell
2003-05-13 00:00:00,3.67,buy
2003-05-19 00:00:00,3.0,sell
2003-05-27 00:00:00,3.75,buy
2003-06-04 00:00:00,3.9,sell
2003-06-05 00:00:00,4.47,buy
2003-06-10 00:00:00,4.56,sell
2003-06-11 00:00:00,5.03,buy
2003-06-23 00:00:00,5.04,sell
2003-07-08 00:00:00,5.29,buy
2003-07-17 00:00:00,5.05,sell
2003-07-29 00:00:00,5.13,buy
2003-08-01 00:00:00,3.97,sell
2003-08-12 00:00:00,3.91,buy
2003-08-25 00:00:00,3.94,sell
2003-09-03 00:00:00,4.89,buy
