time,price,signal,label
2002-01-07,11.95,buy,2.0
2002-01-08,11.95,sell,4.0
2002-01-23,11.74,buy,2.0
2002-02-04,11.67,sell,4.0
2002-02-06,11.9,buy,2.0
2002-02-08,11.86,sell,4.0
2002-02-13,12.08,buy,2.0
2002-02-20,12.18,sell,4.0
2002-02-21,11.76,buy,2.0
2002-02-22,12.04,sell,4.0
2002-03-04,12.58,buy,2.0
2002-03-20,13.18,sell,4.0
2002-03-28,13.78,buy,2.0
2002-04-04,13.48,sell,4.0
2002-04-08,13.52,buy,2.0
2002-04-09,13.66,sell,4.0
2002-04-11,14.08,buy,2.0
2002-04-19,14.32,sell,4.0
2002-05-01,14.69,buy,1.0
2002-05-13,15.55,sell,3.0
2002-05-15,15.68,buy,2.0
2002-05-16,15.88,sell,4.0
2002-05-24,15.9,buy,2.0
2002-05-28,15.58,sell,4.0
2002-06-03,15.76,buy,2.0
2002-06-04,15.68,sell,4.0
2002-06-06,16.02,buy,2.0
2002-06-13,15.57,sell,4.0
2002-06-18,16.18,buy,2.0
2002-06-20,15.76,sell,4.0
2002-07-02,15.54,buy,2.0
2002-07-11,15.02,sell,4.0
2002-07-25,14.45,buy,2.0
2002-08-06,14.63,sell,4.0
2002-08-08,15.38,buy,2.0
2002-08-20,15.4,sell,4.0
2002-09-11,14.76,buy,2.0
2002-09-13,14.47,sell,4.0
2002-09-27,12.8,buy,2.0
2002-09-30,12.64,sell,4.0
2002-10-02,13.3,buy,2.0
2002-10-08,12.5,sell,4.0
2002-10-14,12.9,buy,1.0
2002-10-25,13.88,sell,3.0
2002-10-31,14.06,buy,2.0
2002-11-08,14.35,sell,4.0
2002-11-18,14.86,buy,2.0
2002-11-27,15.46,sell,4.0
2002-11-29,15.58,buy,2.0
2002-12-04,15.5,sell,4.0
2002-12-27,14.01,buy,2.0
2003-01-15,14.02,sell,4.0
2003-02-04,13.28,buy,2.0
2003-02-06,12.96,sell,4.0
2003-02-11,12.56,buy,2.0
2003-02-12,12.48,sell,4.0
2003-02-24,12.0,buy,2.0
2003-02-25,12.09,sell,4.0
2003-02-26,11.9,buy,2.0
2003-02-28,12.24,sell,4.0
2003-03-03,12.06,buy,2.0
2003-03-05,11.56,sell,4.0
2003-03-14,11.45,buy,1.0
2003-03-26,12.18,sell,3.0
2003-04-04,12.12,buy,2.0
2003-04-07,12.4,sell,4.0
2003-04-08,12.28,buy,2.0
2003-04-10,12.16,sell,4.0
2003-04-16,12.36,buy,1.0
2003-05-02,13.32,sell,3.0
2003-05-06,13.35,buy,2.0
2003-05-07,13.24,sell,4.0
2003-05-28,13.19,buy,2.0
2003-06-10,13.48,sell,4.0
2003-06-17,14.24,buy,2.0
