time,price,signal,label
2020-06-08,10.5,buy,2.0
2020-06-09,10.2,sell,4.0
2020-06-17,10.27,buy,2.0
2020-06-25,10.01,sell,4.0
2020-07-01,10.33,buy,2.0
2020-07-10,10.51,sell,4.0
2020-07-16,10.75,buy,2.0
2020-07-24,10.67,sell,4.0
2020-08-05,10.69,buy,1.0
2020-08-19,11.29,sell,3.0
2020-08-31,11.06,buy,2.0
2020-09-08,10.77,sell,4.0
2020-09-15,11.21,buy,2.0
2020-09-22,11.04,sell,4.0
2020-09-30,11.05,buy,2.0
2020-10-20,11.19,sell,4.0
2020-11-03,11.14,buy,1.0
2020-11-13,11.79,sell,3.0
2020-11-17,11.93,buy,2.0
2020-11-18,11.84,sell,4.0
2020-12-07,11.35,buy,2.0
2020-12-08,11.54,sell,4.0
2020-12-09,11.61,buy,2.0
2020-12-15,11.54,sell,4.0
2020-12-16,11.4,buy,2.0
2020-12-17,11.56,sell,4.0
2020-12-18,11.66,buy,2.0
2021-01-05,11.46,sell,4.0
2021-01-22,11.09,buy,2.0
2021-01-26,11.21,sell,4.0
2021-01-27,11.06,buy,2.0
2021-02-18,11.42,sell,4.0
2021-03-03,11.47,buy,2.0
2021-03-16,11.5,sell,4.0
2021-03-24,11.31,buy,2.0
2021-04-08,11.57,sell,4.0
2021-04-16,11.95,buy,2.0
2021-04-21,11.94,sell,4.0
2021-04-22,11.65,buy,2.0
2021-04-23,11.73,sell,4.0
2021-04-30,11.75,buy,1.0
2021-05-13,12.38,sell,3.0
2021-06-01,11.89,buy,2.0
2021-06-16,11.82,sell,4.0
2021-06-28,11.55,buy,2.0
2021-07-09,11.51,sell,4.0
2021-07-12,11.51,buy,2.0
2021-07-19,11.25,sell,4.0
2021-07-27,11.53,buy,1.0
2021-08-18,12.14,sell,3.0
2021-08-20,12.79,buy,2.0
2021-08-24,12.62,sell,4.0
2021-08-31,12.85,buy,2.0
2021-09-02,12.75,sell,4.0
2021-09-27,11.87,buy,2.0
2021-09-29,11.73,sell,4.0
2021-10-04,11.63,buy,2.0
2021-10-13,11.67,sell,4.0
2021-10-15,11.95,buy,2.0
2021-10-27,12.03,sell,4.0
2021-11-10,12.34,buy,2.0
2021-11-18,12.02,sell,4.0
2021-12-03,11.31,buy,2.0
2021-12-06,11.57,sell,4.0
2021-12-07,11.59,buy,2.0
2021-12-20,11.6,sell,4.0
2021-12-29,11.95,buy,2.0
2022-01-07,12.12,sell,4.0
2022-01-14,12.37,buy,2.0
2022-01-21,11.95,sell,4.0
2022-02-01,12.2,buy,2.0
2022-02-07,11.49,sell,4.0
2022-02-16,11.77,buy,2.0
2022-02-24,11.48,sell,4.0
2022-02-28,11.63,buy,2.0
2022-03-02,11.42,sell,4.0
2022-03-15,11.24,buy,2.0
2022-03-24,11.28,sell,4.0
2022-03-31,11.33,buy,2.0
2022-04-01,11.54,sell,4.0
2022-04-04,11.48,buy,2.0
2022-04-13,11.7,sell,4.0
2022-04-21,11.93,buy,2.0
2022-04-25,11.65,sell,4.0
2022-04-28,12.14,buy,2.0
2022-05-03,11.97,sell,4.0
2022-05-05,12.64,buy,2.0
2022-05-11,12.51,sell,4.0
2022-05-16,12.94,buy,2.0
2022-05-19,12.96,sell,4.0
2022-05-31,13.1,buy,2.0
2022-06-09,13.17,sell,4.0
2022-06-24,12.41,buy,2.0
2022-07-11,12.6,sell,4.0
2022-07-20,12.48,buy,2.0
2022-08-03,12.72,sell,4.0
2022-08-12,12.81,buy,2.0
2022-08-19,12.48,sell,4.0
2022-08-26,12.42,buy,2.0
2022-08-29,12.26,sell,4.0
2022-09-08,12.18,buy,2.0
2022-09-15,11.79,sell,4.0
2022-09-29,10.75,buy,2.0
2022-10-11,10.78,sell,4.0
2022-10-14,10.84,buy,2.0
2022-11-03,10.77,sell,4.0
2022-11-11,11.64,buy,2.0
2022-11-29,12.11,sell,4.0
2022-12-01,12.38,buy,2.0
2022-12-06,12.15,sell,4.0
2022-12-13,12.56,buy,2.0
2022-12-15,12.26,sell,4.0
2022-12-30,11.91,buy,2.0
2023-01-18,11.88,sell,4.0
2023-01-30,11.78,buy,2.0
2023-02-08,11.26,sell,4.0
