time,price,signal,label
1984-04-16,46.38,buy,2.0
1984-04-24,47.25,sell,4.0
1984-04-25,46.63,buy,2.0
1984-04-27,46.38,sell,4.0
1984-05-10,45.88,buy,2.0
1984-05-14,44.38,sell,4.0
1984-05-29,40.25,buy,2.0
1984-06-12,41.63,sell,4.0
1984-06-21,43.0,buy,2.0
1984-06-26,41.5,sell,4.0
1984-07-05,42.38,buy,2.0
1984-07-11,40.0,sell,4.0
1984-07-20,40.38,buy,1.0
1984-08-15,46.13,sell,3.0
1984-08-20,47.38,buy,2.0
1984-08-24,47.75,sell,4.0
1984-09-17,45.75,buy,2.0
1984-09-26,44.63,sell,4.0
1984-10-10,42.63,buy,2.0
1984-10-11,42.25,sell,4.0
1984-10-15,43.5,buy,2.0
1984-11-01,44.75,sell,4.0
1984-11-07,45.38,buy,2.0
1984-11-09,45.13,sell,4.0
1984-11-13,45.25,buy,2.0
1984-11-14,45.38,sell,4.0
1984-11-15,45.38,buy,2.0
1984-11-19,44.75,sell,4.0
1984-11-28,45.38,buy,2.0
1984-12-04,44.5,sell,4.0
1984-12-06,45.63,buy,2.0
1984-12-21,46.88,sell,4.0
1985-01-10,46.88,buy,2.0
1985-01-17,45.38,sell,4.0
1985-01-23,48.0,buy,2.0
1985-02-07,48.63,sell,4.0
1985-02-14,50.5,buy,2.0
1985-02-22,49.5,sell,4.0
1985-03-08,49.0,buy,2.0
1985-03-19,49.25,sell,4.0
1985-03-20,48.63,buy,2.0
1985-03-21,48.63,sell,4.0
1985-04-10,48.0,buy,2.0
1985-04-30,48.75,sell,4.0
1985-05-09,50.0,buy,2.0
1985-05-24,52.38,sell,4.0
1985-06-06,53.38,buy,2.0
1985-06-12,52.88,sell,4.0
1985-06-21,54.0,buy,2.0
1985-07-03,53.5,sell,4.0
1985-07-15,54.88,buy,2.0
1985-07-26,56.63,sell,4.0
1985-07-29,56.38,buy,2.0
1985-07-30,55.25,sell,4.0
1985-08-02,56.75,buy,2.0
1985-08-07,56.25,sell,4.0
1985-08-16,56.38,buy,2.0
1985-08-22,54.0,sell,4.0
1985-09-09,52.5,buy,2.0
1985-09-11,52.25,sell,4.0
1985-09-18,52.0,buy,2.0
1985-10-01,52.88,sell,4.0
1985-10-02,52.5,buy,2.0
1985-10-03,54.25,sell,4.0
1985-10-04,54.75,buy,2.0
1985-10-11,53.63,sell,4.0
1985-10-24,54.75,buy,1.0
1985-11-19,58.38,sell,3.0
1985-11-25,60.38,buy,2.0
1985-11-27,62.38,sell,4.0
