time,price,signal,label
1978-06-05,39.0,buy,2.0
1978-06-09,37.75,sell,4.0
1978-06-28,35.63,buy,2.0
1978-07-24,36.0,sell,4.0
1978-07-27,38.0,buy,2.0
1978-08-07,39.88,sell,4.0
1978-08-25,38.25,buy,2.0
1978-08-28,37.13,sell,4.0
1978-09-06,37.0,buy,2.0
1978-09-15,35.25,sell,4.0
1978-09-28,34.75,buy,2.0
1978-10-09,34.63,sell,4.0
1978-10-13,34.75,buy,2.0
1978-10-18,33.63,sell,4.0
1978-10-31,30.62,buy,2.0
1978-11-07,30.12,sell,4.0
1978-11-13,31.0,buy,2.0
1978-11-27,31.87,sell,4.0
1978-11-28,31.37,buy,2.0
1978-11-29,31.25,sell,4.0
1978-12-05,32.38,buy,2.0
1978-12-12,31.0,sell,4.0
1978-12-26,30.75,buy,2.0
1979-01-03,29.12,sell,4.0
1979-01-05,31.0,buy,2.0
1979-01-18,31.75,sell,4.0
1979-01-22,31.5,buy,2.0
1979-01-23,31.5,sell,4.0
1979-02-09,29.75,buy,2.0
1979-02-22,28.75,sell,4.0
1979-03-02,29.12,buy,2.0
1979-03-14,29.12,sell,4.0
1979-03-21,30.12,buy,2.0
1979-04-03,31.12,sell,4.0
1979-04-17,31.37,buy,2.0
1979-04-23,31.12,sell,4.0
1979-05-09,30.62,buy,1.0
1979-05-25,33.25,sell,3.0
1979-06-05,34.75,buy,2.0
1979-06-08,34.75,sell,4.0
1979-06-21,35.88,buy,2.0
1979-06-28,35.0,sell,4.0
1979-07-11,34.5,buy,2.0
1979-07-18,33.13,sell,4.0
1979-07-26,34.13,buy,1.0
1979-08-16,36.13,sell,3.0
1979-08-20,36.13,buy,2.0
1979-08-21,36.25,sell,4.0
1979-09-14,33.63,buy,2.0
1979-09-26,34.38,sell,4.0
1979-09-27,34.5,buy,2.0
1979-10-01,32.88,sell,4.0
1979-10-15,29.75,buy,2.0
1979-10-16,30.37,sell,4.0
1979-10-17,30.37,buy,2.0
1979-10-22,29.5,sell,4.0
1979-10-24,30.0,buy,2.0
1979-11-05,29.37,sell,4.0
1979-11-13,28.75,buy,2.0
1979-11-19,28.37,sell,4.0
1979-11-20,29.0,buy,1.0
1979-12-06,32.25,sell,3.0
1979-12-07,31.5,buy,2.0
1979-12-10,31.12,sell,4.0
1979-12-21,30.37,buy,2.0
1979-12-27,30.37,sell,4.0
1979-12-28,30.0,buy,2.0
1979-12-31,29.87,sell,4.0
1980-01-07,31.0,buy,2.0
1980-01-17,31.87,sell,4.0
1980-02-13,29.5,buy,2.0
1980-02-26,28.12,sell,4.0
1980-03-13,26.0,buy,2.0
1980-03-18,26.25,sell,4.0
1980-03-19,26.25,buy,2.0
1980-03-25,25.75,sell,4.0
1980-03-26,26.62,buy,1.0
1980-04-08,28.62,sell,3.0
1980-04-11,30.37,buy,2.0
1980-04-16,30.0,sell,4.0
1980-04-18,30.87,buy,1.0
1980-05-01,33.13,sell,3.0
1980-05-15,33.38,buy,2.0
1980-05-29,33.0,sell,4.0
1980-06-05,34.13,buy,2.0
1980-06-17,35.0,sell,4.0
1980-06-26,36.25,buy,2.0
1980-06-30,34.88,sell,4.0
1980-07-17,35.75,buy,2.0
1980-08-06,36.63,sell,4.0
1980-08-12,37.13,buy,2.0
1980-08-13,36.88,sell,4.0
1980-08-22,37.13,buy,2.0
1980-08-26,36.0,sell,4.0
1980-09-04,35.75,buy,2.0
1980-09-09,35.0,sell,4.0
1980-09-11,35.63,buy,2.0
1980-09-29,35.25,sell,4.0
1980-10-07,37.75,buy,2.0
1980-10-15,37.88,sell,4.0
1980-10-16,36.75,buy,2.0
1980-10-17,36.88,sell,4.0
1980-11-03,34.25,buy,2.0
1980-11-21,34.63,sell,4.0
1980-12-03,36.38,buy,2.0
1980-12-09,35.25,sell,4.0
1980-12-16,37.5,buy,1.0
1981-01-05,41.5,sell,3.0
1981-01-06,43.88,buy,2.0
1981-01-09,43.38,sell,4.0
1981-01-28,42.25,buy,2.0
1981-02-12,42.5,sell,4.0
1981-02-24,42.75,buy,1.0
1981-03-12,46.88,sell,3.0
1981-03-13,46.63,buy,2.0
1981-03-20,47.38,sell,4.0
1981-04-08,45.5,buy,2.0
1981-04-16,43.13,sell,4.0
1981-04-23,45.5,buy,2.0
1981-05-04,43.13,sell,4.0
1981-05-14,43.0,buy,1.0
1981-06-02,48.63,sell,3.0
1981-06-08,50.75,buy,2.0
1981-06-10,51.13,sell,4.0
1981-06-12,53.13,buy,2.0
1981-06-19,50.38,sell,4.0
1981-07-10,45.88,buy,2.0
1981-07-14,44.88,sell,4.0
1981-07-15,45.0,buy,2.0
1981-07-23,43.88,sell,4.0
1981-07-27,45.5,buy,2.0
1981-08-07,46.13,sell,4.0
1981-08-12,47.0,buy,2.0
1981-08-14,45.75,sell,4.0
1981-08-31,42.0,buy,2.0
1981-09-01,43.0,sell,4.0
1981-09-02,42.88,buy,2.0
1981-09-04,40.25,sell,4.0
1981-09-10,42.25,buy,2.0
1981-09-21,41.38,sell,4.0
1981-09-30,41.25,buy,1.0
1981-10-12,44.75,sell,3.0
1981-10-28,43.5,buy,1.0
1981-11-11,47.5,sell,3.0
1981-11-25,46.75,buy,2.0
1981-12-03,46.13,sell,4.0
1981-12-07,45.88,buy,2.0
1981-12-08,45.75,sell,4.0
1981-12-21,43.38,buy,2.0
1981-12-22,42.75,sell,4.0
1981-12-28,43.75,buy,2.0
1982-01-06,42.25,sell,4.0
1982-01-08,44.0,buy,2.0
1982-01-13,41.13,sell,4.0
1982-01-25,41.63,buy,2.0
1982-01-27,40.75,sell,4.0
1982-01-28,43.25,buy,2.0
1982-02-09,42.13,sell,4.0
1982-02-18,43.5,buy,1.0
1982-03-04,46.25,sell,3.0
1982-03-22,45.63,buy,2.0
1982-03-31,47.0,sell,4.0
1982-04-02,48.75,buy,2.0
1982-04-15,49.13,sell,4.0
1982-04-20,49.75,buy,2.0
1982-04-21,49.88,sell,4.0
1982-05-05,49.38,buy,2.0
1982-05-14,47.25,sell,4.0
1982-06-10,41.38,buy,2.0
1982-06-21,40.88,sell,4.0
1982-06-24,41.75,buy,2.0
1982-06-28,41.25,sell,4.0
1982-06-29,40.25,buy,2.0
1982-06-30,40.25,sell,4.0
1982-07-09,39.0,buy,2.0
1982-07-16,37.63,sell,4.0
1982-07-21,39.25,buy,2.0
1982-07-29,38.38,sell,4.0
1982-08-16,37.38,buy,1.0
1982-09-07,47.25,sell,3.0
1982-09-16,49.25,buy,2.0
1982-09-20,48.25,sell,4.0
1982-09-22,49.13,buy,2.0
1982-09-27,49.38,sell,4.0
1982-10-07,52.25,buy,2.0
1982-10-15,54.63,sell,4.0
1982-10-21,60.0,buy,2.0
1982-10-26,58.5,sell,4.0
1982-10-28,58.0,buy,2.0
1982-10-29,58.5,sell,4.0
1982-11-02,59.75,buy,1.0
1982-11-16,65.5,sell,3.0
1982-12-01,68.75,buy,2.0
1982-12-09,64.0,sell,4.0
1982-12-20,61.88,buy,2.0
1983-01-03,61.38,sell,4.0
1983-01-07,65.25,buy,2.0
1983-01-20,64.75,sell,4.0
1983-01-28,63.75,buy,2.0
1983-02-09,63.63,sell,4.0
1983-02-11,50.75,buy,2.0
1983-02-14,51.75,sell,4.0
1983-02-25,58.5,buy,2.0
1983-03-09,57.25,sell,4.0
1983-03-18,57.38,buy,1.0
1983-04-05,60.88,sell,3.0
1983-04-12,63.63,buy,1.0
1983-04-20,67.37,sell,3.0
1983-04-22,68.87,buy,2.0
1983-04-26,68.25,sell,4.0
1983-05-06,70.12,buy,2.0
1983-05-13,67.87,sell,4.0
1983-05-25,71.37,buy,2.0
1983-06-06,68.12,sell,4.0
1983-06-14,69.75,buy,2.0
1983-06-24,70.75,sell,4.0
1983-07-05,70.0,buy,2.0
1983-07-07,68.25,sell,4.0
1983-07-20,69.12,buy,2.0
1983-07-28,64.75,sell,4.0
1983-08-10,65.0,buy,2.0
1983-08-12,43.5,sell,4.0
1983-08-26,41.63,buy,2.0
1983-09-07,41.38,sell,4.0
1983-09-08,40.5,buy,2.0
1983-09-12,38.63,sell,4.0
1983-09-19,39.25,buy,2.0
1983-09-27,36.75,sell,4.0
1983-10-07,39.63,buy,2.0
1983-10-17,35.75,sell,4.0
1983-10-26,34.5,buy,2.0
1983-10-31,33.13,sell,4.0
1983-11-01,33.0,buy,2.0
1983-11-11,33.25,sell,4.0
1983-11-15,33.75,buy,2.0
1983-11-25,34.63,sell,4.0
1983-12-08,32.63,buy,2.0
1983-12-09,32.25,sell,4.0
1983-12-16,30.75,buy,2.0
1984-01-03,31.12,sell,4.0
1984-01-09,33.25,buy,2.0
1984-01-12,32.25,sell,4.0
1984-01-17,33.13,buy,2.0
1984-01-20,32.0,sell,4.0
1984-02-02,31.25,buy,2.0
1984-02-07,28.5,sell,4.0
1984-02-15,29.0,buy,2.0
1984-02-23,28.25,sell,4.0
1984-02-27,30.5,buy,2.0
1984-03-07,29.0,sell,4.0
1984-03-15,29.5,buy,1.0
1984-03-30,31.62,sell,3.0
1984-04-23,28.25,buy,1.0
1984-05-10,30.87,sell,3.0
1984-05-16,31.5,buy,2.0
1984-05-18,29.87,sell,4.0
1984-06-04,28.37,buy,2.0
1984-06-12,26.5,sell,4.0
1984-06-19,27.87,buy,2.0
1984-07-06,28.62,sell,4.0
1984-07-10,28.62,buy,2.0
1984-07-11,27.62,sell,4.0
1984-07-27,27.75,buy,1.0
1984-08-13,33.75,sell,3.0
1984-08-23,33.88,buy,2.0
1984-08-31,32.75,sell,4.0
1984-09-12,32.75,buy,2.0
1984-09-24,33.88,sell,4.0
1984-10-11,34.13,buy,1.0
1984-10-24,37.5,sell,3.0
1984-11-02,36.88,buy,2.0
1984-11-09,36.0,sell,4.0
1984-11-21,36.5,buy,2.0
1984-11-30,35.38,sell,4.0
1984-12-12,35.25,buy,2.0
1985-01-03,36.75,sell,4.0
1985-01-11,38.63,buy,2.0
1985-01-23,40.0,sell,4.0
1985-01-24,39.88,buy,1.0
1985-02-04,42.63,sell,3.0
1985-02-05,43.0,buy,2.0
1985-02-07,43.13,sell,4.0
1985-02-27,42.5,buy,2.0
1985-03-07,41.88,sell,4.0
1985-03-20,43.0,buy,2.0
1985-03-29,41.38,sell,4.0
1985-04-11,42.25,buy,2.0
1985-04-19,41.38,sell,4.0
1985-04-23,43.5,buy,2.0
1985-04-30,43.13,sell,4.0
1985-05-08,44.0,buy,2.0
1985-05-22,45.5,sell,4.0
1985-05-30,45.75,buy,2.0
1985-06-11,46.75,sell,4.0
1985-06-19,46.5,buy,2.0
1985-06-20,46.5,sell,4.0
1985-06-24,48.25,buy,2.0
1985-06-27,48.25,sell,4.0
1985-07-12,47.25,buy,2.0
1985-07-16,47.5,sell,4.0
1985-07-17,48.25,buy,2.0
1985-07-22,46.38,sell,4.0
1985-08-01,45.0,buy,2.0
1985-08-13,43.5,sell,4.0
1985-08-22,42.0,buy,2.0
1985-08-26,41.88,sell,4.0
1985-08-28,42.25,buy,2.0
1985-09-03,41.0,sell,4.0
1985-09-06,42.38,buy,2.0
1985-09-18,40.63,sell,4.0
1985-09-23,42.63,buy,2.0
1985-09-30,41.5,sell,4.0
1985-10-02,41.5,buy,2.0
1985-10-03,41.88,sell,4.0
1985-10-15,42.38,buy,2.0
1985-10-28,43.13,sell,4.0
1985-10-30,45.88,buy,2.0
1985-11-15,47.88,sell,4.0
1985-11-25,48.25,buy,2.0
1985-11-26,48.5,sell,4.0
1985-12-05,50.25,buy,2.0
1985-12-09,51.13,sell,4.0
1985-12-10,51.13,buy,2.0
1985-12-19,52.63,sell,4.0
1985-12-31,53.0,buy,2.0
1986-01-09,52.13,sell,4.0
1986-01-17,52.63,buy,2.0
1986-01-22,51.0,sell,4.0
1986-01-24,54.13,buy,1.0
1986-02-12,59.0,sell,3.0
1986-02-18,62.25,buy,2.0
1986-02-20,63.13,sell,4.0
1986-02-21,64.5,buy,2.0
1986-02-26,65.0,sell,4.0
1986-02-28,65.75,buy,2.0
1986-03-03,66.12,sell,4.0
1986-03-10,66.5,buy,2.0
1986-03-11,68.0,sell,4.0
1986-03-12,67.37,buy,2.0
1986-03-13,67.62,sell,4.0
1986-03-17,68.25,buy,2.0
1986-03-18,68.5,sell,4.0
1986-03-31,68.75,buy,2.0
1986-04-04,64.5,sell,4.0
1986-04-10,66.37,buy,2.0
1986-04-21,65.87,sell,4.0
1986-05-06,61.0,buy,2.0
1986-05-09,58.0,sell,4.0
1986-05-13,59.38,buy,2.0
1986-05-19,57.5,sell,4.0
1986-05-21,56.88,buy,2.0
1986-05-22,59.13,sell,4.0
1986-05-23,60.0,buy,2.0
1986-06-05,61.88,sell,4.0
1986-06-16,61.13,buy,2.0
1986-06-20,59.75,sell,4.0
1986-06-26,61.38,buy,2.0
1986-07-08,59.13,sell,4.0
1986-07-21,59.75,buy,2.0
1986-07-30,59.38,sell,4.0
1986-08-08,60.0,buy,1.0
1986-08-20,64.37,sell,3.0
1986-08-21,64.12,buy,2.0
