time,price,signal,label
1982-11-29,46.88,buy,2.0
1982-12-13,48.88,sell,4.0
1982-12-23,47.25,buy,2.0
1982-12-27,49.13,sell,4.0
1982-12-28,49.38,buy,2.0
1983-01-04,46.63,sell,4.0
1983-01-07,49.25,buy,2.0
1983-01-13,47.5,sell,4.0
1983-01-26,47.0,buy,2.0
1983-02-09,46.5,sell,4.0
1983-02-24,47.5,buy,1.0
1983-03-09,51.63,sell,3.0
1983-03-23,52.25,buy,2.0
1983-03-31,51.63,sell,4.0
1983-04-13,53.25,buy,2.0
1983-04-26,55.88,sell,4.0
1983-05-18,53.88,buy,2.0
1983-05-27,54.0,sell,4.0
1983-06-14,55.5,buy,1.0
1983-06-29,58.75,sell,3.0
1983-07-05,58.75,buy,2.0
1983-07-06,59.5,sell,4.0
1983-07-19,59.25,buy,2.0
1983-08-01,59.38,sell,4.0
1983-08-11,59.0,buy,2.0
1983-08-24,58.13,sell,4.0
1983-09-02,59.75,buy,2.0
1983-09-13,58.75,sell,4.0
1983-09-21,60.75,buy,2.0
1983-09-29,59.88,sell,4.0
1983-10-07,59.88,buy,2.0
1983-10-13,58.13,sell,4.0
1983-10-28,54.63,buy,2.0
1983-11-04,53.0,sell,4.0
1983-11-14,54.0,buy,2.0
1983-11-21,25.75,sell,4.0
1983-12-02,21.37,buy,2.0
1983-12-16,22.0,sell,4.0
1983-12-20,22.75,buy,2.0
1983-12-28,22.75,sell,4.0
1983-12-29,22.5,buy,2.0
1983-12-30,23.25,sell,4.0
1984-01-03,23.25,buy,2.0
1984-01-10,23.75,sell,4.0
1984-01-30,21.0,buy,2.0
1984-02-09,20.0,sell,4.0
1984-02-27,18.37,buy,2.0
1984-03-07,16.87,sell,4.0
1984-03-12,17.5,buy,2.0
1984-03-26,17.0,sell,4.0
1984-04-05,16.87,buy,2.0
1984-04-12,16.5,sell,4.0
1984-04-18,16.37,buy,1.0
1984-05-04,17.62,sell,3.0
1984-05-29,16.12,buy,2.0
1984-05-30,15.88,sell,4.0
1984-06-07,15.88,buy,2.0
1984-06-15,14.88,sell,4.0
1984-06-21,15.38,buy,2.0
1984-06-28,15.13,sell,4.0
1984-06-29,15.38,buy,2.0
1984-07-06,14.25,sell,4.0
1984-07-16,14.38,buy,1.0
1984-07-31,15.5,sell,3.0
1984-08-02,16.62,buy,1.0
1984-08-09,17.5,sell,3.0
1984-08-22,16.75,buy,2.0
1984-08-30,16.87,sell,4.0
1984-09-07,16.25,buy,2.0
1984-09-10,16.12,sell,4.0
1984-09-14,16.0,buy,2.0
1984-09-17,16.0,sell,4.0
1984-10-05,13.75,buy,2.0
1984-10-24,14.0,sell,4.0
1984-11-02,14.13,buy,2.0
1984-11-12,14.0,sell,4.0
1984-12-07,12.38,buy,2.0
1984-12-20,12.88,sell,4.0
1985-01-02,13.13,buy,2.0
1985-01-11,13.13,sell,4.0
1985-01-24,14.63,buy,2.0
1985-02-04,14.75,sell,4.0
1985-02-22,14.38,buy,2.0
1985-02-26,14.25,sell,4.0
1985-03-01,14.5,buy,2.0
1985-03-13,14.88,sell,4.0
1985-03-21,15.25,buy,2.0
1985-03-29,15.75,sell,4.0
1985-04-12,15.88,buy,2.0
1985-04-24,15.63,sell,4.0
1985-05-10,15.0,buy,2.0
1985-05-23,15.13,sell,4.0
1985-05-30,15.13,buy,2.0
1985-06-06,15.13,sell,4.0
1985-06-18,16.0,buy,2.0
1985-06-26,15.88,sell,4.0
1985-07-10,15.88,buy,2.0
1985-07-16,15.0,sell,4.0
1985-07-19,15.38,buy,2.0
1985-07-29,14.63,sell,4.0
1985-08-16,13.75,buy,2.0
1985-08-20,14.0,sell,4.0
1985-08-21,14.25,buy,2.0
1985-09-05,14.13,sell,4.0
1985-09-20,13.75,buy,2.0
1985-09-26,12.88,sell,4.0
1985-10-09,13.0,buy,2.0
1985-10-23,13.38,sell,4.0
1985-11-06,13.25,buy,2.0
1985-11-13,13.25,sell,4.0
1985-11-14,14.0,buy,2.0
1985-11-21,13.5,sell,4.0
1985-11-29,15.13,buy,2.0
1985-12-19,15.0,sell,4.0
1985-12-30,15.5,buy,2.0
1986-01-09,15.88,sell,4.0
1986-01-13,16.37,buy,2.0
1986-01-20,16.0,sell,4.0
1986-02-03,16.0,buy,2.0
1986-02-05,15.5,sell,4.0
1986-02-12,15.25,buy,2.0
1986-02-13,15.5,sell,4.0
1986-02-14,15.88,buy,1.0
1986-03-04,17.37,sell,3.0
1986-03-11,17.87,buy,1.0
1986-03-24,19.0,sell,3.0
1986-04-08,18.75,buy,2.0
1986-04-24,19.0,sell,4.0
1986-05-07,19.0,buy,2.0
1986-05-19,19.0,sell,4.0
1986-05-27,20.75,buy,2.0
1986-06-03,20.0,sell,4.0
1986-06-16,20.0,buy,2.0
1986-06-20,19.25,sell,4.0
1986-07-03,18.5,buy,2.0
1986-07-08,17.5,sell,4.0
1986-07-10,18.12,buy,2.0
1986-07-25,18.25,sell,4.0
1986-07-28,18.12,buy,2.0
1986-07-29,18.0,sell,4.0
1986-08-01,18.75,buy,2.0
1986-08-13,19.0,sell,4.0
1986-08-27,18.0,buy,2.0
1986-08-28,17.62,sell,4.0
1986-09-04,18.12,buy,2.0
1986-09-10,17.12,sell,4.0
1986-09-23,15.75,buy,2.0
1986-09-29,15.63,sell,4.0
1986-10-01,16.5,buy,2.0
1986-10-08,16.0,sell,4.0
1986-10-10,16.25,buy,1.0
1986-10-22,17.5,sell,3.0
1986-10-24,18.25,buy,2.0
1986-11-05,18.12,sell,4.0
1986-11-14,18.62,buy,2.0
1986-11-18,18.0,sell,4.0
1986-11-26,18.37,buy,1.0
1986-12-12,20.0,sell,3.0
1986-12-17,20.0,buy,2.0
1986-12-18,19.87,sell,4.0
1987-01-06,20.87,buy,1.0
1987-01-19,22.5,sell,3.0
1987-01-28,23.0,buy,2.0
1987-02-10,23.25,sell,4.0
1987-02-13,25.37,buy,2.0
1987-02-20,25.37,sell,4.0
1987-03-06,25.0,buy,2.0
1987-03-10,24.75,sell,4.0
1987-03-12,24.62,buy,2.0
1987-03-13,25.37,sell,4.0
1987-03-16,24.5,buy,2.0
1987-03-17,25.0,sell,4.0
1987-03-19,25.0,buy,2.0
1987-03-25,24.75,sell,4.0
1987-04-03,24.87,buy,2.0
1987-04-13,23.5,sell,4.0
1987-04-22,24.25,buy,2.0
1987-05-05,25.37,sell,4.0
1987-05-06,25.12,buy,2.0
1987-05-08,24.87,sell,4.0
1987-05-11,23.5,buy,2.0
1987-05-12,24.12,sell,4.0
1987-05-26,23.0,buy,2.0
1987-06-08,23.37,sell,4.0
1987-06-09,23.25,buy,2.0
1987-06-12,23.12,sell,4.0
1987-06-22,24.12,buy,2.0
1987-07-02,24.25,sell,4.0
1987-07-07,24.75,buy,2.0
1987-07-13,24.37,sell,4.0
1987-07-15,24.87,buy,2.0
1987-07-20,24.62,sell,4.0
1987-07-28,24.37,buy,2.0
1987-07-29,24.5,sell,4.0
1987-07-30,26.25,buy,2.0
1987-08-13,26.75,sell,4.0
1987-08-26,26.62,buy,2.0
1987-08-28,26.37,sell,4.0
1987-09-01,27.0,buy,2.0
1987-09-03,26.5,sell,4.0
1987-09-14,28.12,buy,2.0
1987-09-22,27.5,sell,4.0
1987-09-25,28.12,buy,2.0
1987-10-07,27.75,sell,4.0
1987-10-22,21.75,buy,1.0
1987-11-05,23.12,sell,3.0
1987-11-13,22.5,buy,2.0
1987-12-01,21.0,sell,4.0
1987-12-08,22.87,buy,2.0
1987-12-14,21.62,sell,4.0
1987-12-17,22.37,buy,2.0
1987-12-29,21.87,sell,4.0
1988-01-04,23.37,buy,2.0
1988-01-11,22.62,sell,4.0
1988-01-18,23.12,buy,2.0
1988-01-20,22.12,sell,4.0
1988-01-22,23.5,buy,2.0
1988-02-04,23.25,sell,4.0
1988-02-11,24.0,buy,2.0
1988-03-07,24.87,sell,4.0
1988-03-17,25.62,buy,2.0
1988-03-21,24.12,sell,4.0
1988-04-07,23.25,buy,2.0
1988-04-15,22.25,sell,4.0
1988-04-26,22.62,buy,2.0
1988-04-29,21.75,sell,4.0
1988-05-13,20.12,buy,2.0
1988-05-19,19.5,sell,4.0
1988-05-20,19.87,buy,1.0
1988-06-10,21.5,sell,3.0
1988-06-22,21.5,buy,2.0
1988-06-24,20.37,sell,4.0
1988-07-07,20.75,buy,2.0
1988-07-12,19.87,sell,4.0
1988-07-15,19.75,buy,2.0
1988-07-20,19.62,sell,4.0
1988-07-22,19.87,buy,2.0
1988-07-28,19.87,sell,4.0
1988-08-01,20.12,buy,2.0
1988-08-10,19.75,sell,4.0
1988-08-22,19.75,buy,2.0
1988-08-23,19.75,sell,4.0
1988-08-25,20.0,buy,2.0
1988-09-20,20.62,sell,4.0
1988-10-07,17.62,buy,2.0
1988-10-18,18.0,sell,4.0
1988-10-27,17.87,buy,2.0
1988-11-03,17.62,sell,4.0
1988-11-16,16.75,buy,2.0
1988-11-17,16.5,sell,4.0
1988-11-22,16.62,buy,1.0
1988-12-13,17.62,sell,3.0
1988-12-22,17.62,buy,2.0
1989-01-03,17.62,sell,4.0
1989-01-05,18.12,buy,2.0
1989-01-10,18.0,sell,4.0
1989-01-12,19.0,buy,2.0
1989-01-17,18.62,sell,4.0
1989-01-20,19.0,buy,2.0
1989-01-24,19.25,sell,4.0
1989-01-25,19.75,buy,2.0
1989-01-27,19.25,sell,4.0
1989-02-02,20.37,buy,2.0
1989-02-07,20.37,sell,4.0
1989-02-08,20.37,buy,2.0
1989-02-09,20.12,sell,4.0
1989-03-03,19.0,buy,2.0
1989-03-20,19.37,sell,4.0
1989-03-31,19.5,buy,2.0
1989-04-07,19.5,sell,4.0
1989-04-11,19.25,buy,2.0
1989-04-12,19.37,sell,4.0
1989-04-18,19.5,buy,2.0
1989-04-24,18.87,sell,4.0
1989-04-27,19.75,buy,2.0
1989-05-09,19.37,sell,4.0
1989-05-12,20.25,buy,1.0
1989-05-24,21.62,sell,3.0
1989-05-25,21.62,buy,2.0
1989-05-31,21.62,sell,4.0
1989-06-15,21.12,buy,2.0
1989-06-29,20.87,sell,4.0
1989-07-10,21.25,buy,2.0
1989-07-17,21.0,sell,4.0
1989-07-21,21.0,buy,2.0
1989-07-24,21.25,sell,4.0
1989-07-25,21.62,buy,1.0
1989-08-10,23.62,sell,3.0
1989-08-18,24.37,buy,2.0
1989-08-23,23.87,sell,4.0
1989-09-14,22.5,buy,2.0
1989-09-20,22.25,sell,4.0
1989-09-25,22.25,buy,2.0
1989-09-26,22.37,sell,4.0
1989-09-27,23.0,buy,2.0
1989-10-09,23.37,sell,4.0
1989-10-20,22.25,buy,2.0
1989-10-30,22.5,sell,4.0
1989-11-03,22.5,buy,2.0
1989-11-06,22.5,sell,4.0
1989-11-09,22.87,buy,1.0
1989-12-06,24.87,sell,3.0
1989-12-22,24.87,buy,2.0
1990-01-08,25.5,sell,4.0
1990-01-22,24.12,buy,2.0
1990-01-24,24.12,sell,4.0
1990-01-25,24.37,buy,2.0
1990-01-30,23.5,sell,4.0
1990-02-08,24.5,buy,2.0
1990-02-21,23.87,sell,4.0
1990-02-28,24.87,buy,2.0
1990-03-13,24.12,sell,4.0
1990-03-26,24.0,buy,2.0
1990-04-03,24.62,sell,4.0
1990-04-04,24.37,buy,2.0
1990-04-05,22.87,sell,4.0
1990-04-20,21.37,buy,2.0
1990-04-24,21.0,sell,4.0
1990-05-02,21.5,buy,1.0
1990-05-16,22.62,sell,3.0
1990-06-01,23.37,buy,1.0
1990-06-20,25.0,sell,3.0
1990-06-21,25.12,buy,2.0
1990-06-25,24.37,sell,4.0
1990-07-09,24.62,buy,1.0
1990-07-23,26.0,sell,3.0
1990-08-10,24.37,buy,2.0
1990-08-20,23.25,sell,4.0
1990-08-27,23.75,buy,2.0
1990-09-12,23.75,sell,4.0
1990-09-24,22.87,buy,2.0
1990-09-25,23.62,sell,4.0
1990-09-26,23.5,buy,1.0
1990-10-10,24.75,sell,3.0
1990-10-16,25.5,buy,2.0
1990-10-26,25.62,sell,4.0
1990-11-06,26.25,buy,2.0
1990-11-09,26.12,sell,4.0
1990-11-12,26.37,buy,2.0
1990-11-21,26.12,sell,4.0
1990-11-28,27.25,buy,2.0
1990-12-10,28.37,sell,4.0
1990-12-27,27.75,buy,2.0
1990-12-28,27.87,sell,4.0
1990-12-31,27.87,buy,2.0
1991-01-03,26.87,sell,4.0
1991-01-14,26.5,buy,1.0
1991-02-05,30.0,sell,3.0
1991-02-06,30.12,buy,2.0
1991-02-08,30.25,sell,4.0
1991-02-12,30.5,buy,2.0
1991-02-13,30.62,sell,4.0
1991-02-20,30.75,buy,2.0
1991-02-21,31.12,sell,4.0
1991-03-05,32.0,buy,2.0
1991-03-13,32.0,sell,4.0
1991-03-22,32.5,buy,1.0
1991-04-02,34.13,sell,3.0
1991-04-03,34.63,buy,2.0
1991-04-08,34.63,sell,4.0
1991-04-12,35.25,buy,2.0
1991-04-22,35.38,sell,4.0
1991-05-03,35.0,buy,2.0
1991-05-08,34.88,sell,4.0
1991-05-10,34.0,buy,2.0
1991-05-13,34.25,sell,4.0
1991-05-17,33.13,buy,2.0
1991-06-03,33.5,sell,4.0
1991-06-14,32.88,buy,2.0
1991-06-19,31.87,sell,4.0
1991-06-21,32.5,buy,2.0
1991-06-25,32.25,sell,4.0
1991-06-26,32.38,buy,2.0
1991-07-12,32.38,sell,4.0
1991-07-17,34.13,buy,2.0
1991-07-24,33.25,sell,4.0
1991-07-29,35.0,buy,2.0
1991-08-06,35.63,sell,4.0
1991-08-07,35.5,buy,2.0
1991-08-09,35.75,sell,4.0
1991-08-13,35.38,buy,2.0
1991-08-14,34.88,sell,4.0
1991-08-22,35.63,buy,2.0
1991-09-05,35.25,sell,4.0
1991-09-18,34.38,buy,2.0
1991-09-27,34.0,sell,4.0
1991-10-07,34.25,buy,2.0
1991-10-10,33.38,sell,4.0
1991-10-15,33.75,buy,1.0
1991-11-05,37.13,sell,3.0
1991-11-12,39.25,buy,2.0
1991-11-15,35.0,sell,4.0
1991-11-29,36.38,buy,2.0
1991-12-04,36.75,sell,4.0
1991-12-05,36.88,buy,2.0
1991-12-19,37.75,sell,4.0
1991-12-24,38.63,buy,2.0
1991-12-26,39.5,sell,4.0
1991-12-27,39.75,buy,2.0
1992-01-02,39.25,sell,4.0
1992-02-03,37.25,buy,2.0
1992-02-11,36.38,sell,4.0
1992-02-24,35.38,buy,2.0
1992-03-05,35.25,sell,4.0
1992-03-12,36.13,buy,2.0
1992-03-26,36.63,sell,4.0
1992-04-03,37.38,buy,2.0
1992-04-08,35.13,sell,4.0
1992-04-13,37.38,buy,2.0
1992-04-21,36.63,sell,4.0
1992-04-30,37.38,buy,2.0
1992-05-15,36.75,sell,4.0
1992-05-20,38.38,buy,2.0
1992-05-27,37.88,sell,4.0
1992-05-29,38.63,buy,2.0
1992-06-03,37.88,sell,4.0
1992-06-16,36.13,buy,2.0
1992-06-30,36.38,sell,4.0
1992-07-02,37.38,buy,2.0
1992-07-08,37.0,sell,4.0
1992-07-13,37.5,buy,2.0
1992-07-15,37.5,sell,4.0
1992-07-20,38.0,buy,2.0
1992-07-23,37.88,sell,4.0
1992-07-28,37.88,buy,2.0
1992-07-29,38.0,sell,4.0
1992-08-03,38.38,buy,2.0
1992-08-05,37.88,sell,4.0
1992-08-17,38.0,buy,2.0
1992-08-25,37.13,sell,4.0
1992-09-04,36.13,buy,2.0
1992-09-09,34.88,sell,4.0
1992-09-14,35.63,buy,2.0
1992-09-17,34.63,sell,4.0
1992-09-21,34.88,buy,2.0
1992-09-25,32.5,sell,4.0
1992-09-29,32.88,buy,2.0
1992-10-02,31.75,sell,4.0
1992-10-09,31.25,buy,1.0
1992-10-29,33.13,sell,3.0
1992-11-02,33.63,buy,2.0
1992-11-04,32.63,sell,4.0
1992-11-10,33.88,buy,2.0
1992-11-27,35.25,sell,4.0
1992-12-09,34.38,buy,2.0
1992-12-16,33.63,sell,4.0
1992-12-23,33.13,buy,2.0
