time,price,signal
2019-09-18 00:00:00,115.66,buy
2019-10-01 00:00:00,115.58,sell
2019-10-08 00:00:00,116.48,buy
2019-10-14 00:00:00,115.18,sell
2019-10-21 00:00:00,115.27,buy
2019-10-22 00:00:00,114.68,sell
2019-10-31 00:00:00,115.15,buy
2019-11-05 00:00:00,115.26,sell
2019-11-08 00:00:00,114.88,buy
2019-11-11 00:00:00,115.1,sell
2019-11-13 00:00:00,117.4,buy
2019-11-27 00:00:00,118.44,sell
2019-12-18 00:00:00,116.43,buy
2020-01-08 00:00:00,117.01,sell
2020-01-17 00:00:00,116.53,buy
2020-02-05 00:00:00,123.77,sell
2020-02-07 00:00:00,122.54,buy
2020-02-10 00:00:00,123.69,sell
2020-02-27 00:00:00,121.23,buy
2020-02-28 00:00:00,114.0,sell
2020-03-05 00:00:00,115.95,buy
2020-03-06 00:00:00,116.77,sell
2020-03-20 00:00:00,79.69,buy
2020-03-24 00:00:00,78.15,sell
2020-03-25 00:00:00,80.0,buy
2020-04-14 00:00:00,100.51,sell
2020-04-15 00:00:00,98.09,buy
2020-04-17 00:00:00,102.0,sell
2020-04-20 00:00:00,102.96,buy
2020-04-22 00:00:00,100.2,sell
2020-05-06 00:00:00,97.48,buy
2020-05-20 00:00:00,100.49,sell
2020-05-28 00:00:00,102.63,buy
2020-06-05 00:00:00,97.84,sell
2020-06-17 00:00:00,101.04,buy
2020-06-22 00:00:00,100.05,sell
2020-07-02 00:00:00,95.09,buy
2020-07-10 00:00:00,91.55,sell
2020-07-16 00:00:00,92.91,buy
2020-07-24 00:00:00,89.46,sell
2020-08-06 00:00:00,85.0,buy
2020-08-07 00:00:00,88.06,sell
2020-08-10 00:00:00,85.54,buy
2020-08-27 00:00:00,92.41,sell
2020-09-15 00:00:00,89.61,buy
2020-09-24 00:00:00,89.3,sell
2020-10-02 00:00:00,87.49,buy
2020-10-07 00:00:00,84.89,sell
2020-10-26 00:00:00,80.63,buy
2020-11-04 00:00:00,87.0,sell
2020-11-05 00:00:00,83.05,buy
2020-11-27 00:00:00,91.71,sell
2020-12-02 00:00:00,93.73,buy
2020-12-09 00:00:00,88.88,sell
2020-12-16 00:00:00,90.43,buy
2020-12-31 00:00:00,93.12,sell
2021-01-04 00:00:00,92.61,buy
2021-01-05 00:00:00,92.55,sell
2021-01-07 00:00:00,96.79,buy
2021-01-14 00:00:00,95.78,sell
2021-02-02 00:00:00,97.49,buy
2021-02-08 00:00:00,92.01,sell
2021-02-17 00:00:00,96.02,buy
2021-03-03 00:00:00,96.02,sell
2021-03-08 00:00:00,105.38,buy
2021-03-18 00:00:00,102.4,sell
2021-04-05 00:00:00,101.51,buy
2021-04-26 00:00:00,104.94,sell
2021-04-27 00:00:00,103.98,buy
2021-04-28 00:00:00,102.71,sell
2021-05-05 00:00:00,109.64,buy
2021-05-18 00:00:00,109.91,sell
2021-06-01 00:00:00,110.63,buy
2021-06-21 00:00:00,118.04,sell
2021-06-23 00:00:00,118.69,buy
2021-06-29 00:00:00,119.97,sell
2021-07-13 00:00:00,116.36,buy
2021-07-14 00:00:00,116.21,sell
2021-07-22 00:00:00,117.02,buy
2021-07-28 00:00:00,116.8,sell
2021-08-03 00:00:00,122.43,buy
2021-08-18 00:00:00,122.63,sell
2021-09-01 00:00:00,127.29,buy
2021-09-08 00:00:00,124.97,sell
2021-09-13 00:00:00,124.4,buy
2021-09-14 00:00:00,124.23,sell
2021-09-23 00:00:00,123.85,buy
2021-09-29 00:00:00,125.18,sell
2021-09-30 00:00:00,123.86,buy
2021-10-04 00:00:00,123.41,sell
2021-10-08 00:00:00,126.37,buy
2021-10-20 00:00:00,127.03,sell
2021-10-22 00:00:00,129.34,buy
2021-11-05 00:00:00,133.27,sell
2021-11-17 00:00:00,129.49,buy
2021-11-18 00:00:00,129.51,sell
2021-11-26 00:00:00,128.88,buy
2021-12-02 00:00:00,129.78,sell
2021-12-03 00:00:00,129.08,buy
2021-12-10 00:00:00,132.05,sell
2021-12-13 00:00:00,130.69,buy
2021-12-15 00:00:00,129.86,sell
2021-12-17 00:00:00,128.25,buy
2021-12-20 00:00:00,125.97,sell
2021-12-27 00:00:00,129.8,buy
2022-01-05 00:00:00,124.49,sell
2022-01-12 00:00:00,124.58,buy
2022-01-14 00:00:00,118.16,sell
2022-01-20 00:00:00,120.35,buy
2022-01-26 00:00:00,114.85,sell
2022-01-31 00:00:00,118.53,buy
2022-02-14 00:00:00,120.58,sell
2022-02-28 00:00:00,117.29,buy
2022-03-09 00:00:00,115.08,sell
2022-03-18 00:00:00,116.8,buy
2022-03-25 00:00:00,114.73,sell
2022-04-04 00:00:00,112.92,buy
2022-04-05 00:00:00,113.18,sell
2022-04-07 00:00:00,117.94,buy
2022-04-19 00:00:00,117.78,sell
2022-04-29 00:00:00,112.98,buy
2022-05-02 00:00:00,111.96,sell
2022-05-05 00:00:00,111.29,buy
2022-05-06 00:00:00,111.25,sell
2022-05-16 00:00:00,109.28,buy
2022-05-19 00:00:00,105.56,sell
2022-05-23 00:00:00,107.64,buy
2022-06-09 00:00:00,113.62,sell
2022-06-24 00:00:00,114.94,buy
2022-07-13 00:00:00,118.11,sell
2022-07-21 00:00:00,124.0,buy
2022-08-01 00:00:00,116.53,sell
2022-08-15 00:00:00,119.35,buy
2022-08-24 00:00:00,122.49,sell
2022-09-07 00:00:00,123.69,buy
2022-09-15 00:00:00,119.14,sell
2022-09-29 00:00:00,117.73,buy
2022-10-11 00:00:00,118.06,sell
2022-10-14 00:00:00,116.11,buy
2022-10-17 00:00:00,120.15,sell
2022-10-18 00:00:00,121.99,buy
2022-11-04 00:00:00,128.3,sell
2022-11-17 00:00:00,123.71,buy
2022-11-30 00:00:00,126.84,sell
2022-12-01 00:00:00,126.82,buy
2022-12-08 00:00:00,126.82,sell
2022-12-22 00:00:00,124.26,buy
2023-01-05 00:00:00,123.77,sell
2023-01-17 00:00:00,123.62,buy
2023-01-19 00:00:00,122.29,sell
2023-01-27 00:00:00,122.1,buy
2023-02-03 00:00:00,124.26,sell
2023-02-06 00:00:00,126.25,buy
2023-02-17 00:00:00,129.09,sell
2023-02-21 00:00:00,128.46,buy
2023-02-22 00:00:00,128.27,sell
2023-03-14 00:00:00,124.61,buy
2023-04-10 00:00:00,133.19,sell
2023-04-17 00:00:00,137.55,buy
2023-04-27 00:00:00,138.2,sell
2023-05-11 00:00:00,139.04,buy
2023-05-18 00:00:00,137.25,sell
2023-05-23 00:00:00,135.55,buy
2023-05-24 00:00:00,135.53,sell
2023-06-05 00:00:00,135.06,buy
2023-06-07 00:00:00,133.03,sell
2023-06-08 00:00:00,135.64,buy
2023-06-22 00:00:00,137.41,sell
2023-07-03 00:00:00,137.4,buy
2023-07-11 00:00:00,137.6,sell
2023-07-12 00:00:00,136.46,buy
2023-07-13 00:00:00,140.48,sell
2023-07-14 00:00:00,141.63,buy
2023-07-28 00:00:00,140.36,sell
2023-08-07 00:00:00,146.29,buy
2023-08-23 00:00:00,150.12,sell
2023-08-29 00:00:00,150.27,buy
2023-08-30 00:00:00,149.89,sell
2023-09-08 00:00:00,153.06,buy
2023-09-14 00:00:00,150.64,sell
2023-09-20 00:00:00,155.13,buy
2023-10-11 00:00:00,161.58,sell
2023-10-17 00:00:00,163.57,buy
2023-10-19 00:00:00,162.73,sell
2023-11-01 00:00:00,165.68,buy
2023-11-03 00:00:00,169.5,sell
2023-11-06 00:00:00,174.08,buy
2023-11-20 00:00:00,176.8,sell
2023-11-27 00:00:00,180.4,buy
2023-11-30 00:00:00,182.19,sell
2023-12-01 00:00:00,180.26,buy
2023-12-04 00:00:00,181.78,sell
2023-12-19 00:00:00,176.99,buy
2024-01-04 00:00:00,173.55,sell
2024-01-12 00:00:00,180.68,buy
2024-01-29 00:00:00,183.5,sell
2024-02-08 00:00:00,184.16,buy
2024-02-28 00:00:00,195.78,sell
2024-03-18 00:00:00,183.7,buy
2024-03-26 00:00:00,178.11,sell
2024-04-01 00:00:00,181.87,buy
2024-04-04 00:00:00,181.57,sell
2024-04-05 00:00:00,180.93,buy
2024-04-10 00:00:00,180.0,sell
2024-04-22 00:00:00,179.99,buy
2024-05-03 00:00:00,179.67,sell
2024-05-07 00:00:00,184.245,buy
2024-05-13 00:00:00,182.145,sell
2024-05-22 00:00:00,184.0,buy
2024-05-24 00:00:00,182.58,sell
2024-06-12 00:00:00,169.4,buy
2024-06-14 00:00:00,167.6,sell
2024-06-18 00:00:00,169.4,buy
2024-06-27 00:00:00,170.27,sell
2024-07-02 00:00:00,171.39,buy
2024-07-03 00:00:00,170.92,sell
2024-07-12 00:00:00,169.5,buy
2024-07-30 00:00:00,187.05,sell
2024-08-07 00:00:00,202.24,buy
2024-08-16 00:00:00,202.94,sell
2024-08-21 00:00:00,206.93,buy
2024-08-28 00:00:00,209.02,sell
2024-09-10 00:00:00,211.81,buy
2024-09-13 00:00:00,209.59,sell
2024-09-18 00:00:00,210.66,buy
2024-09-19 00:00:00,206.94,sell
2024-10-02 00:00:00,211.85,buy
2024-10-10 00:00:00,206.8,sell
2024-10-16 00:00:00,210.695,buy
2024-10-29 00:00:00,212.21,sell
2024-11-06 00:00:00,201.36,buy
2024-11-07 00:00:00,199.76,sell
2024-11-19 00:00:00,204.98,buy
2024-12-03 00:00:00,212.12,sell
2024-12-19 00:00:00,193.8,buy
2024-12-20 00:00:00,191.61,sell
2024-12-26 00:00:00,196.55,buy
2025-01-07 00:00:00,190.84,sell
2025-01-15 00:00:00,192.41,buy
2025-02-03 00:00:00,209.55,sell
2025-02-04 00:00:00,209.19,buy
2025-02-06 00:00:00,207.0,sell
