time,price,signal
2014-07-25 00:00:00,31.01,buy
2014-07-28 00:00:00,31.0,sell
2014-07-29 00:00:00,31.12,buy
2014-08-05 00:00:00,31.02,sell
2014-08-06 00:00:00,31.11,buy
2014-08-08 00:00:00,30.85,sell
2014-08-12 00:00:00,31.27,buy
2014-08-28 00:00:00,32.95,sell
2014-09-17 00:00:00,31.33,buy
2014-09-24 00:00:00,30.97,sell
2014-10-01 00:00:00,30.36,buy
2014-10-02 00:00:00,30.1,sell
2014-10-06 00:00:00,30.57,buy
2014-10-08 00:00:00,30.16,sell
2014-10-20 00:00:00,28.95,buy
2014-11-07 00:00:00,32.59,sell
2014-11-19 00:00:00,32.9,buy
2014-11-20 00:00:00,32.9,sell
2014-11-24 00:00:00,34.91,buy
2014-12-02 00:00:00,34.38,sell
2014-12-15 00:00:00,33.21,buy
2014-12-16 00:00:00,33.26,sell
2014-12-18 00:00:00,34.66,buy
2015-01-02 00:00:00,34.86,sell
2015-01-09 00:00:00,35.71,buy
2015-01-16 00:00:00,35.77,sell
2015-02-04 00:00:00,35.13,buy
2015-03-02 00:00:00,38.0,sell
2015-03-17 00:00:00,36.26,buy
2015-03-27 00:00:00,37.82,sell
2015-03-30 00:00:00,37.75,buy
2015-04-01 00:00:00,36.74,sell
2015-04-09 00:00:00,38.37,buy
2015-04-20 00:00:00,38.31,sell
2015-04-22 00:00:00,38.93,buy
2015-04-28 00:00:00,38.73,sell
2015-05-18 00:00:00,37.54,buy
2015-05-20 00:00:00,36.72,sell
2015-05-22 00:00:00,37.03,buy
2015-05-27 00:00:00,36.87,sell
2015-05-29 00:00:00,37.1,buy
2015-06-05 00:00:00,36.58,sell
2015-06-11 00:00:00,36.85,buy
2015-06-16 00:00:00,36.43,sell
2015-06-19 00:00:00,36.81,buy
2015-06-25 00:00:00,36.47,sell
2015-07-13 00:00:00,34.4,buy
2015-07-21 00:00:00,33.73,sell
2015-07-24 00:00:00,33.6,buy
2015-07-27 00:00:00,33.31,sell
2015-07-29 00:00:00,35.05,buy
2015-08-13 00:00:00,38.82,sell
2015-08-27 00:00:00,40.1,buy
2015-09-08 00:00:00,40.3,sell
2015-09-09 00:00:00,40.4,buy
2015-09-21 00:00:00,40.56,sell
2015-10-01 00:00:00,41.0,buy
2015-10-21 00:00:00,43.7,sell
2015-10-23 00:00:00,44.81,buy
2015-10-26 00:00:00,44.33,sell
2015-11-05 00:00:00,46.26,buy
2015-11-09 00:00:00,42.76,sell
2015-11-18 00:00:00,44.15,buy
2015-12-01 00:00:00,44.17,sell
2015-12-07 00:00:00,44.1,buy
2015-12-10 00:00:00,43.85,sell
2015-12-17 00:00:00,42.69,buy
2015-12-18 00:00:00,42.39,sell
2015-12-23 00:00:00,42.77,buy
2016-01-04 00:00:00,40.94,sell
2016-01-20 00:00:00,37.05,buy
2016-02-04 00:00:00,37.61,sell
2016-02-11 00:00:00,33.69,buy
2016-03-03 00:00:00,40.85,sell
2016-03-04 00:00:00,40.83,buy
2016-03-09 00:00:00,40.54,sell
2016-03-16 00:00:00,41.15,buy
2016-03-21 00:00:00,41.13,sell
2016-03-30 00:00:00,41.51,buy
2016-04-11 00:00:00,41.62,sell
2016-04-14 00:00:00,42.05,buy
2016-04-21 00:00:00,42.18,sell
2016-05-05 00:00:00,40.48,buy
2016-05-24 00:00:00,41.86,sell
2016-06-02 00:00:00,42.65,buy
2016-06-14 00:00:00,42.43,sell
2016-06-24 00:00:00,39.69,buy
2016-06-27 00:00:00,39.36,sell
2016-07-01 00:00:00,40.3,buy
2016-08-03 00:00:00,44.22,sell
2016-08-08 00:00:00,44.99,buy
2016-08-12 00:00:00,45.29,sell
2016-08-31 00:00:00,44.65,buy
2016-09-02 00:00:00,44.77,sell
2016-09-06 00:00:00,45.01,buy
2016-09-12 00:00:00,44.28,sell
2016-09-16 00:00:00,44.9,buy
2016-09-27 00:00:00,45.67,sell
2016-10-14 00:00:00,44.32,buy
2016-10-17 00:00:00,44.19,sell
2016-10-24 00:00:00,44.93,buy
2016-11-03 00:00:00,44.01,sell
2016-11-08 00:00:00,44.57,buy
2016-11-11 00:00:00,46.49,sell
2016-11-14 00:00:00,48.78,buy
2016-11-29 00:00:00,51.78,sell
2016-12-07 00:00:00,54.36,buy
2016-12-12 00:00:00,53.05,sell
2016-12-27 00:00:00,53.31,buy
2017-01-03 00:00:00,51.54,sell
2017-01-11 00:00:00,52.96,buy
2017-01-20 00:00:00,52.02,sell
2017-02-02 00:00:00,52.81,buy
2017-02-22 00:00:00,59.91,sell
2017-03-10 00:00:00,59.2,buy
2017-03-13 00:00:00,59.27,sell
2017-03-16 00:00:00,60.6,buy
2017-03-22 00:00:00,58.06,sell
2017-04-03 00:00:00,57.65,buy
2017-04-12 00:00:00,56.71,sell
2017-04-20 00:00:00,58.18,buy
2017-05-02 00:00:00,59.04,sell
2017-05-10 00:00:00,59.76,buy
2017-05-15 00:00:00,59.01,sell
2017-05-17 00:00:00,58.84,buy
2017-05-18 00:00:00,56.5,sell
2017-05-25 00:00:00,59.39,buy
2017-06-12 00:00:00,60.98,sell
2017-06-20 00:00:00,62.89,buy
2017-06-28 00:00:00,63.41,sell
2017-07-12 00:00:00,63.45,buy
2017-07-24 00:00:00,63.51,sell
2017-08-02 00:00:00,63.82,buy
2017-08-07 00:00:00,63.81,sell
2017-08-17 00:00:00,61.44,buy
2017-08-18 00:00:00,60.39,sell
2017-08-23 00:00:00,61.08,buy
2017-09-06 00:00:00,59.86,sell
2017-09-14 00:00:00,61.67,buy
2017-10-06 00:00:00,69.64,sell
2017-10-10 00:00:00,70.3,buy
2017-10-11 00:00:00,69.04,sell
2017-10-24 00:00:00,69.96,buy
2017-11-02 00:00:00,70.0,sell
2017-11-06 00:00:00,70.2,buy
2017-11-08 00:00:00,67.85,sell
2017-11-21 00:00:00,66.41,buy
2017-12-07 00:00:00,69.02,sell
2017-12-11 00:00:00,70.27,buy
2017-12-15 00:00:00,68.45,sell
2017-12-20 00:00:00,70.4,buy
2017-12-22 00:00:00,69.2,sell
2017-12-29 00:00:00,69.49,buy
2018-01-02 00:00:00,69.76,sell
2018-01-04 00:00:00,73.06,buy
2018-01-11 00:00:00,72.73,sell
2018-01-19 00:00:00,75.21,buy
2018-01-26 00:00:00,75.68,sell
2018-01-30 00:00:00,74.99,buy
2018-01-31 00:00:00,74.79,sell
2018-02-02 00:00:00,75.92,buy
2018-02-05 00:00:00,73.81,sell
2018-02-16 00:00:00,71.46,buy
2018-03-02 00:00:00,73.14,sell
2018-03-07 00:00:00,74.58,buy
2018-03-09 00:00:00,74.38,sell
2018-03-12 00:00:00,75.32,buy
2018-03-16 00:00:00,75.83,sell
2018-03-19 00:00:00,73.98,buy
2018-03-20 00:00:00,75.21,sell
2018-04-06 00:00:00,67.95,buy
2018-04-09 00:00:00,68.45,sell
2018-04-11 00:00:00,69.83,buy
2018-04-24 00:00:00,70.74,sell
2018-05-02 00:00:00,76.06,buy
2018-05-04 00:00:00,75.52,sell
2018-05-08 00:00:00,76.59,buy
2018-05-23 00:00:00,80.17,sell
2018-05-24 00:00:00,80.31,buy
2018-05-30 00:00:00,81.4,sell
2018-06-06 00:00:00,85.05,buy
2018-06-13 00:00:00,83.78,sell
2018-06-18 00:00:00,85.04,buy
2018-06-20 00:00:00,84.29,sell
2018-07-05 00:00:00,81.75,buy
2018-07-23 00:00:00,86.53,sell
2018-08-03 00:00:00,85.23,buy
2018-08-13 00:00:00,84.76,sell
2018-08-15 00:00:00,85.23,buy
2018-08-16 00:00:00,85.85,sell
2018-08-17 00:00:00,85.98,buy
2018-09-04 00:00:00,87.71,sell
2018-09-12 00:00:00,88.98,buy
2018-09-19 00:00:00,89.05,sell
2018-10-16 00:00:00,84.46,buy
2018-10-25 00:00:00,81.02,sell
2018-11-01 00:00:00,89.23,buy
2018-11-14 00:00:00,87.23,sell
2018-11-27 00:00:00,88.77,buy
2018-12-10 00:00:00,90.62,sell
2018-12-27 00:00:00,79.46,buy
2019-01-23 00:00:00,81.39,sell
2019-01-28 00:00:00,82.07,buy
2019-02-25 00:00:00,95.57,sell
2019-03-12 00:00:00,95.99,buy
2019-03-25 00:00:00,95.66,sell
2019-04-02 00:00:00,99.27,buy
2019-04-18 00:00:00,105.39,sell
2019-05-03 00:00:00,109.09,buy
2019-05-09 00:00:00,105.39,sell
2019-05-17 00:00:00,104.34,buy
2019-05-24 00:00:00,103.19,sell
2019-06-05 00:00:00,103.18,buy
2019-06-17 00:00:00,104.21,sell
2019-06-21 00:00:00,108.59,buy
2019-07-09 00:00:00,112.76,sell
2019-07-15 00:00:00,115.92,buy
2019-07-17 00:00:00,113.48,sell
2019-07-29 00:00:00,112.91,buy
2019-07-30 00:00:00,113.58,sell
2019-08-01 00:00:00,118.52,buy
2019-08-06 00:00:00,108.34,sell
2019-08-12 00:00:00,112.36,buy
2019-08-16 00:00:00,111.69,sell
2019-08-19 00:00:00,114.31,buy
2019-08-26 00:00:00,112.77,sell
2019-09-04 00:00:00,118.06,buy
2019-09-11 00:00:00,112.81,sell
2019-09-19 00:00:00,121.8,buy
2019-10-02 00:00:00,119.82,sell
2019-10-08 00:00:00,122.99,buy
2019-10-18 00:00:00,123.91,sell
2019-10-28 00:00:00,125.99,buy
2019-11-08 00:00:00,133.52,sell
2019-11-14 00:00:00,132.82,buy
2019-11-15 00:00:00,136.55,sell
2019-11-18 00:00:00,137.64,buy
2019-11-25 00:00:00,138.02,sell
2019-11-26 00:00:00,136.99,buy
2019-11-27 00:00:00,136.45,sell
