time,price,signal,label
2014-07-25,31.01,buy,2.0
2014-07-28,31.0,sell,4.0
2014-07-29,31.12,buy,2.0
2014-08-05,31.02,sell,4.0
2014-08-06,31.11,buy,2.0
2014-08-08,30.85,sell,4.0
2014-08-12,31.27,buy,1.0
2014-08-28,32.95,sell,3.0
2014-09-17,31.33,buy,2.0
2014-09-24,30.97,sell,4.0
2014-10-01,30.36,buy,2.0
2014-10-02,30.1,sell,4.0
2014-10-06,30.57,buy,2.0
2014-10-08,30.16,sell,4.0
2014-10-20,28.95,buy,1.0
2014-11-07,32.59,sell,3.0
2014-11-19,32.9,buy,2.0
2014-11-20,32.9,sell,4.0
2014-11-24,34.91,buy,2.0
2014-12-02,34.38,sell,4.0
2014-12-15,33.21,buy,2.0
2014-12-16,33.26,sell,4.0
2014-12-18,34.66,buy,2.0
2015-01-02,34.86,sell,4.0
2015-01-09,35.71,buy,2.0
2015-01-16,35.77,sell,4.0
2015-02-04,35.13,buy,1.0
2015-03-02,38.0,sell,3.0
2015-03-17,36.26,buy,2.0
2015-03-27,37.82,sell,4.0
2015-03-30,37.75,buy,2.0
2015-04-01,36.74,sell,4.0
2015-04-09,38.37,buy,2.0
2015-04-20,38.31,sell,4.0
2015-04-22,38.93,buy,2.0
2015-04-28,38.73,sell,4.0
2015-05-18,37.54,buy,2.0
2015-05-20,36.72,sell,4.0
2015-05-22,37.03,buy,2.0
2015-05-27,36.87,sell,4.0
2015-05-29,37.1,buy,2.0
2015-06-05,36.58,sell,4.0
2015-06-11,36.85,buy,2.0
2015-06-16,36.43,sell,4.0
2015-06-19,36.81,buy,2.0
2015-06-25,36.47,sell,4.0
2015-07-13,34.4,buy,2.0
2015-07-21,33.73,sell,4.0
2015-07-24,33.6,buy,2.0
2015-07-27,33.31,sell,4.0
2015-07-29,35.05,buy,1.0
2015-08-13,38.82,sell,3.0
2015-08-27,40.1,buy,2.0
2015-09-08,40.3,sell,4.0
2015-09-09,40.4,buy,2.0
2015-09-21,40.56,sell,4.0
2015-10-01,41.0,buy,1.0
2015-10-21,43.7,sell,3.0
2015-10-23,44.81,buy,2.0
2015-10-26,44.33,sell,4.0
2015-11-05,46.26,buy,2.0
2015-11-09,42.76,sell,4.0
2015-11-18,44.15,buy,2.0
2015-12-01,44.17,sell,4.0
2015-12-07,44.1,buy,2.0
2015-12-10,43.85,sell,4.0
2015-12-17,42.69,buy,2.0
2015-12-18,42.39,sell,4.0
2015-12-23,42.77,buy,2.0
2016-01-04,40.94,sell,4.0
2016-01-20,37.05,buy,2.0
2016-02-04,37.61,sell,4.0
2016-02-11,33.69,buy,1.0
2016-03-03,40.85,sell,3.0
2016-03-04,40.83,buy,2.0
2016-03-09,40.54,sell,4.0
2016-03-16,41.15,buy,2.0
2016-03-21,41.13,sell,4.0
2016-03-30,41.51,buy,2.0
2016-04-11,41.62,sell,4.0
2016-04-14,42.05,buy,2.0
2016-04-21,42.18,sell,4.0
2016-05-05,40.48,buy,2.0
2016-05-24,41.86,sell,4.0
2016-06-02,42.65,buy,2.0
2016-06-14,42.43,sell,4.0
2016-06-24,39.69,buy,2.0
2016-06-27,39.36,sell,4.0
2016-07-01,40.3,buy,1.0
2016-08-03,44.22,sell,3.0
2016-08-08,44.99,buy,2.0
2016-08-12,45.29,sell,4.0
2016-08-31,44.65,buy,2.0
2016-09-02,44.77,sell,4.0
2016-09-06,45.01,buy,2.0
2016-09-12,44.28,sell,4.0
2016-09-16,44.9,buy,2.0
2016-09-27,45.67,sell,4.0
2016-10-14,44.32,buy,2.0
2016-10-17,44.19,sell,4.0
2016-10-24,44.93,buy,2.0
2016-11-03,44.01,sell,4.0
2016-11-08,44.57,buy,2.0
2016-11-11,46.49,sell,4.0
2016-11-14,48.78,buy,1.0
2016-11-29,51.78,sell,3.0
2016-12-07,54.36,buy,2.0
2016-12-12,53.05,sell,4.0
2016-12-27,53.31,buy,2.0
2017-01-03,51.54,sell,4.0
2017-01-11,52.96,buy,2.0
2017-01-20,52.02,sell,4.0
2017-02-02,52.81,buy,1.0
2017-02-22,59.91,sell,3.0
2017-03-10,59.2,buy,2.0
2017-03-13,59.27,sell,4.0
2017-03-16,60.6,buy,2.0
2017-03-22,58.06,sell,4.0
2017-04-03,57.65,buy,2.0
2017-04-12,56.71,sell,4.0
2017-04-20,58.18,buy,2.0
2017-05-02,59.04,sell,4.0
2017-05-10,59.76,buy,2.0
2017-05-15,59.01,sell,4.0
2017-05-17,58.84,buy,2.0
2017-05-18,56.5,sell,4.0
2017-05-25,59.39,buy,2.0
2017-06-12,60.98,sell,4.0
2017-06-20,62.89,buy,2.0
2017-06-28,63.41,sell,4.0
2017-07-12,63.45,buy,2.0
2017-07-24,63.51,sell,4.0
2017-08-02,63.82,buy,2.0
2017-08-07,63.81,sell,4.0
2017-08-17,61.44,buy,2.0
2017-08-18,60.39,sell,4.0
2017-08-23,61.08,buy,2.0
2017-09-06,59.86,sell,4.0
2017-09-14,61.67,buy,1.0
2017-10-06,69.64,sell,3.0
2017-10-10,70.3,buy,2.0
2017-10-11,69.04,sell,4.0
2017-10-24,69.96,buy,2.0
2017-11-02,70.0,sell,4.0
2017-11-06,70.2,buy,2.0
2017-11-08,67.85,sell,4.0
2017-11-21,66.41,buy,2.0
2017-12-07,69.02,sell,4.0
2017-12-11,70.27,buy,2.0
2017-12-15,68.45,sell,4.0
2017-12-20,70.4,buy,2.0
2017-12-22,69.2,sell,4.0
2017-12-29,69.49,buy,2.0
2018-01-02,69.76,sell,4.0
2018-01-04,73.06,buy,2.0
2018-01-11,72.73,sell,4.0
2018-01-19,75.21,buy,2.0
2018-01-26,75.68,sell,4.0
2018-01-30,74.99,buy,2.0
2018-01-31,74.79,sell,4.0
2018-02-02,75.92,buy,2.0
2018-02-05,73.81,sell,4.0
2018-02-16,71.46,buy,2.0
2018-03-02,73.14,sell,4.0
2018-03-07,74.58,buy,2.0
2018-03-09,74.38,sell,4.0
2018-03-12,75.32,buy,2.0
2018-03-16,75.83,sell,4.0
2018-03-19,73.98,buy,2.0
2018-03-20,75.21,sell,4.0
2018-04-06,67.95,buy,2.0
2018-04-09,68.45,sell,4.0
2018-04-11,69.83,buy,2.0
2018-04-24,70.74,sell,4.0
2018-05-02,76.06,buy,2.0
2018-05-04,75.52,sell,4.0
2018-05-08,76.59,buy,2.0
2018-05-23,80.17,sell,4.0
2018-05-24,80.31,buy,2.0
2018-05-30,81.4,sell,4.0
2018-06-06,85.05,buy,2.0
2018-06-13,83.78,sell,4.0
2018-06-18,85.04,buy,2.0
2018-06-20,84.29,sell,4.0
2018-07-05,81.75,buy,1.0
2018-07-23,86.53,sell,3.0
2018-08-03,85.23,buy,2.0
2018-08-13,84.76,sell,4.0
2018-08-15,85.23,buy,2.0
2018-08-16,85.85,sell,4.0
2018-08-17,85.98,buy,2.0
2018-09-04,87.71,sell,4.0
2018-09-12,88.98,buy,2.0
2018-09-19,89.05,sell,4.0
2018-10-16,84.46,buy,2.0
2018-10-25,81.02,sell,4.0
2018-11-01,89.23,buy,2.0
2018-11-14,87.23,sell,4.0
2018-11-27,88.77,buy,2.0
2018-12-10,90.62,sell,4.0
2018-12-27,79.46,buy,2.0
2019-01-23,81.39,sell,4.0
2019-01-28,82.07,buy,1.0
2019-02-25,95.57,sell,3.0
2019-03-12,95.99,buy,2.0
2019-03-25,95.66,sell,4.0
2019-04-02,99.27,buy,1.0
2019-04-18,105.39,sell,3.0
2019-05-03,109.09,buy,2.0
2019-05-09,105.39,sell,4.0
2019-05-17,104.34,buy,2.0
2019-05-24,103.19,sell,4.0
2019-06-05,103.18,buy,2.0
2019-06-17,104.21,sell,4.0
2019-06-21,108.59,buy,2.0
2019-07-09,112.76,sell,4.0
2019-07-15,115.92,buy,2.0
2019-07-17,113.48,sell,4.0
2019-07-29,112.91,buy,2.0
2019-07-30,113.58,sell,4.0
2019-08-01,118.52,buy,2.0
2019-08-06,108.34,sell,4.0
2019-08-12,112.36,buy,2.0
2019-08-16,111.69,sell,4.0
2019-08-19,114.31,buy,2.0
2019-08-26,112.77,sell,4.0
2019-09-04,118.06,buy,2.0
2019-09-11,112.81,sell,4.0
2019-09-19,121.8,buy,2.0
2019-10-02,119.82,sell,4.0
2019-10-08,122.99,buy,2.0
2019-10-18,123.91,sell,4.0
2019-10-28,125.99,buy,1.0
2019-11-08,133.52,sell,3.0
2019-11-14,132.82,buy,2.0
2019-11-15,136.55,sell,4.0
2019-11-18,137.64,buy,2.0
2019-11-25,138.02,sell,4.0
2019-11-26,136.99,buy,2.0
2019-11-27,136.45,sell,4.0
2019-12-09,134.34,buy,1.0
2019-12-31,142.84,sell,3.0
2020-01-14,143.96,buy,2.0
2020-01-21,136.08,sell,4.0
2020-02-04,136.15,buy,2.0
2020-02-24,129.54,sell,4.0
2020-03-05,113.81,buy,2.0
2020-03-06,111.58,sell,4.0
2020-03-12,91.47,buy,1.0
2020-03-13,101.3,sell,3.0
2020-03-16,86.97,buy,2.0
2020-03-17,87.28,sell,4.0
2020-03-19,88.27,buy,2.0
2020-04-03,86.89,sell,4.0
2020-04-08,102.27,buy,2.0
2020-04-21,98.85,sell,4.0
2020-04-28,107.12,buy,2.0
2020-05-07,106.67,sell,4.0
2020-05-19,105.99,buy,1.0
2020-06-10,121.71,sell,3.0
2020-06-24,111.49,buy,2.0
2020-06-25,112.44,sell,4.0
2020-07-01,115.53,buy,2.0
2020-07-09,112.51,sell,4.0
2020-07-16,116.7,buy,2.0
2020-07-27,116.3,sell,4.0
2020-08-04,119.52,buy,2.0
2020-08-07,114.77,sell,4.0
2020-08-13,114.58,buy,2.0
2020-08-14,113.52,sell,4.0
2020-08-26,111.17,buy,2.0
2020-09-04,114.25,sell,4.0
2020-09-16,113.91,buy,2.0
2020-09-22,110.17,sell,4.0
2020-09-28,116.5,buy,1.0
2020-10-15,129.8,sell,3.0
2020-11-03,130.72,buy,1.0
2020-11-13,137.59,sell,3.0
2020-11-25,131.94,buy,2.0
2020-11-27,132.23,sell,4.0
2020-12-02,131.21,buy,2.0
2020-12-22,130.75,sell,4.0
2021-01-04,127.16,buy,2.0
2021-01-05,127.84,sell,4.0
2021-01-07,131.97,buy,2.0
2021-01-26,134.24,sell,4.0
2021-02-02,141.44,buy,1.0
2021-02-19,160.75,sell,3.0
2021-03-11,159.99,buy,2.0
2021-03-19,158.03,sell,4.0
2021-03-29,165.06,buy,1.0
2021-04-20,180.74,sell,3.0
2021-04-28,182.03,buy,2.0
2021-04-29,182.5,sell,4.0
2021-05-17,169.14,buy,2.0
2021-05-27,167.18,sell,4.0
2021-06-07,165.76,buy,2.0
2021-06-18,165.78,sell,4.0
2021-06-28,173.79,buy,2.0
2021-07-09,177.98,sell,4.0
2021-07-22,177.46,buy,1.0
2021-08-09,189.63,sell,3.0
2021-08-12,197.91,buy,2.0
2021-08-18,195.27,sell,4.0
2021-08-26,198.07,buy,2.0
2021-09-08,200.39,sell,4.0
2021-09-24,193.06,buy,2.0
2021-09-29,185.39,sell,4.0
2021-10-15,177.72,buy,2.0
2021-10-28,185.94,sell,4.0
2021-11-10,188.8,buy,2.0
2021-11-23,195.84,sell,4.0
2021-11-26,191.16,buy,2.0
2021-11-29,194.8,sell,4.0
2021-12-07,198.21,buy,2.0
2021-12-14,189.69,sell,4.0
2021-12-22,198.87,buy,2.0
2022-01-06,206.21,sell,4.0
2022-01-27,181.73,buy,2.0
2022-02-11,178.75,sell,4.0
2022-02-28,172.46,buy,2.0
2022-03-08,164.78,sell,4.0
2022-03-10,170.12,buy,2.0
2022-03-25,176.15,sell,4.0
2022-03-30,178.82,buy,2.0
2022-03-31,178.89,sell,4.0
2022-04-20,179.0,buy,2.0
2022-04-25,170.65,sell,4.0
2022-05-04,177.11,buy,2.0
2022-05-11,164.45,sell,4.0
2022-05-18,163.73,buy,2.0
2022-05-19,161.95,sell,4.0
2022-05-27,171.1,buy,2.0
2022-06-10,167.34,sell,4.0
2022-06-27,165.78,buy,2.0
2022-07-01,157.0,sell,4.0
2022-07-08,161.53,buy,1.0
2022-08-03,181.96,sell,3.0
2022-08-16,183.55,buy,2.0
2022-08-24,184.4,sell,4.0
2022-08-26,179.69,buy,2.0
2022-08-29,178.0,sell,4.0
2022-09-09,175.57,buy,2.0
2022-09-16,170.83,sell,4.0
2022-09-29,158.97,buy,2.0
2022-10-03,159.91,sell,4.0
2022-10-04,166.34,buy,2.0
2022-10-11,152.6,sell,4.0
2022-10-18,161.18,buy,1.0
2022-11-03,172.83,sell,3.0
2022-11-11,184.35,buy,2.0
2022-11-18,185.6,sell,4.0
2022-11-21,185.12,buy,2.0
2022-11-29,184.08,sell,4.0
2022-12-02,190.02,buy,2.0
2022-12-06,184.74,sell,4.0
2022-12-13,192.98,buy,2.0
2022-12-16,181.28,sell,4.0
2022-12-30,178.58,buy,1.0
2023-01-25,192.12,sell,3.0
2023-02-02,202.08,buy,2.0
2023-02-22,203.99,sell,4.0
2023-03-07,199.33,buy,2.0
2023-03-08,199.98,sell,4.0
2023-03-16,193.58,buy,2.0
2023-03-29,188.3,sell,4.0
2023-03-31,194.89,buy,2.0
2023-04-06,185.5,sell,4.0
2023-04-19,165.12,buy,2.0
2023-04-20,164.68,sell,4.0
