time,price,signal,label
2012-02-28,21.8,buy,2.0
2012-03-01,22.01,sell,4.0
2012-03-02,22.2,buy,2.0
2012-03-12,22.21,sell,4.0
2012-03-20,24.12,buy,2.0
2012-03-23,23.26,sell,4.0
2012-04-03,23.59,buy,2.0
2012-04-10,22.59,sell,4.0
2012-04-13,23.84,buy,1.0
2012-04-27,25.07,sell,3.0
2012-05-02,25.43,buy,2.0
2012-05-08,25.48,sell,4.0
2012-05-24,24.05,buy,2.0
2012-05-31,23.85,sell,4.0
2012-06-01,23.34,buy,2.0
2012-06-05,23.68,sell,4.0
2012-06-06,24.71,buy,2.0
2012-06-13,23.86,sell,4.0
2012-06-18,24.83,buy,2.0
2012-06-22,24.58,sell,4.0
2012-07-03,26.9,buy,2.0
2012-07-19,26.31,sell,4.0
2012-07-31,26.66,buy,2.0
2012-08-14,26.58,sell,4.0
2012-08-17,27.59,buy,2.0
2012-08-22,26.89,sell,4.0
2012-08-28,27.22,buy,2.0
2012-09-10,27.04,sell,4.0
2012-09-24,26.27,buy,2.0
2012-10-03,26.8,sell,4.0
2012-10-05,27.28,buy,2.0
2012-10-12,26.53,sell,4.0
2012-10-25,24.09,buy,2.0
2012-10-26,23.32,sell,4.0
2012-11-13,21.54,buy,2.0
2012-11-15,20.98,sell,4.0
2012-11-16,22.24,buy,1.0
2012-12-06,26.01,sell,3.0
2012-12-07,25.8,buy,2.0
2012-12-10,25.83,sell,4.0
2012-12-14,26.02,buy,1.0
2012-12-27,27.76,sell,3.0
2012-12-28,27.63,buy,2.0
2012-12-31,27.66,sell,4.0
2013-01-03,28.69,buy,2.0
2013-01-04,29.13,sell,4.0
2013-01-07,29.04,buy,2.0
2013-01-09,29.49,sell,4.0
2013-01-11,30.0,buy,2.0
2013-01-14,30.24,sell,4.0
2013-01-16,30.11,buy,2.0
2013-01-17,30.5,sell,4.0
2013-01-30,29.56,buy,2.0
2013-01-31,29.5,sell,4.0
2013-02-04,31.26,buy,2.0
2013-02-12,30.72,sell,4.0
2013-02-13,30.64,buy,2.0
2013-02-19,30.3,sell,4.0
2013-02-25,31.85,buy,1.0
2013-03-12,34.23,sell,3.0
2013-03-22,35.11,buy,2.0
2013-04-04,35.14,sell,4.0
2013-04-09,34.84,buy,2.0
2013-04-10,35.04,sell,4.0
2013-04-12,35.7,buy,2.0
2013-04-16,35.5,sell,4.0
2013-04-18,36.37,buy,2.0
2013-04-25,35.41,sell,4.0
2013-05-07,38.21,buy,2.0
2013-05-13,36.85,sell,4.0
2013-05-31,32.12,buy,2.0
2013-06-04,31.67,sell,4.0
2013-06-07,31.52,buy,2.0
2013-06-13,31.0,sell,4.0
2013-06-14,30.96,buy,2.0
2013-06-21,30.13,sell,4.0
2013-06-26,30.61,buy,2.0
2013-07-09,31.82,sell,4.0
2013-07-15,33.18,buy,2.0
2013-07-23,32.76,sell,4.0
2013-07-26,35.36,buy,2.0
2013-07-31,33.96,sell,4.0
2013-08-12,35.52,buy,2.0
2013-08-16,32.1,sell,4.0
2013-09-05,31.75,buy,1.0
2013-09-27,34.71,sell,3.0
2013-10-14,33.15,buy,2.0
2013-10-31,32.44,sell,4.0
2013-11-14,30.82,buy,2.0
2013-12-03,29.04,sell,4.0
2013-12-16,29.41,buy,1.0
2014-01-03,31.64,sell,3.0
2014-01-15,33.03,buy,2.0
2014-01-28,31.65,sell,4.0
2014-02-10,30.75,buy,2.0
2014-03-03,31.25,sell,4.0
2014-03-05,31.86,buy,2.0
2014-03-10,30.84,sell,4.0
2014-03-13,30.45,buy,2.0
2014-03-14,30.5,sell,4.0
2014-03-24,30.59,buy,2.0
2014-04-11,30.28,sell,4.0
2014-05-05,30.35,buy,2.0
2014-05-22,30.85,sell,4.0
2014-05-28,31.2,buy,2.0
2014-05-29,31.59,sell,4.0
2014-05-30,31.7,buy,2.0
2014-06-11,33.1,sell,4.0
2014-06-20,33.21,buy,2.0
2014-06-26,32.72,sell,4.0
2014-07-02,33.91,buy,2.0
2014-07-11,33.59,sell,4.0
2014-07-23,34.48,buy,2.0
2014-07-31,32.66,sell,4.0
2014-08-11,34.71,buy,2.0
2014-08-22,35.1,sell,4.0
2014-09-03,35.86,buy,2.0
2014-09-11,35.73,sell,4.0
2014-09-30,32.87,buy,1.0
2014-10-20,35.08,sell,3.0
2014-10-21,34.8,buy,2.0
2014-10-23,35.06,sell,4.0
2014-10-27,35.6,buy,1.0
2014-11-14,37.93,sell,3.0
2014-11-28,38.06,buy,2.0
2014-12-15,37.76,sell,4.0
2014-12-23,38.4,buy,1.0
2015-01-12,41.78,sell,3.0
2015-01-15,43.32,buy,2.0
2015-01-21,42.79,sell,4.0
2015-01-23,43.82,buy,2.0
2015-01-29,44.27,sell,4.0
2015-01-30,43.81,buy,2.0
2015-02-02,43.45,sell,4.0
2015-02-05,45.24,buy,2.0
2015-02-09,42.68,sell,4.0
2015-02-12,47.0,buy,2.0
2015-02-25,47.57,sell,4.0
2015-03-13,46.99,buy,2.0
2015-03-26,48.92,sell,4.0
2015-04-06,50.34,buy,2.0
2015-04-08,50.34,sell,4.0
2015-04-09,50.46,buy,2.0
2015-04-16,49.35,sell,4.0
2015-04-24,50.35,buy,2.0
2015-04-29,47.96,sell,4.0
2015-05-11,46.72,buy,2.0
2015-05-27,47.43,sell,4.0
2015-06-15,46.73,buy,2.0
2015-06-23,45.9,sell,4.0
2015-07-02,47.08,buy,2.0
2015-07-17,48.25,sell,4.0
2015-07-27,49.74,buy,2.0
2015-08-05,49.18,sell,4.0
2015-08-13,50.04,buy,2.0
2015-08-24,46.36,sell,4.0
2015-08-31,48.69,buy,2.0
2015-09-11,49.17,sell,4.0
2015-09-15,50.83,buy,2.0
2015-09-24,50.85,sell,4.0
2015-10-02,52.67,buy,2.0
2015-10-15,55.12,sell,4.0
2015-10-16,56.8,buy,2.0
2015-10-21,56.12,sell,4.0
2015-11-04,56.85,buy,2.0
2015-11-10,56.11,sell,4.0
2015-11-12,56.84,buy,2.0
2015-11-25,59.01,sell,4.0
2015-12-17,57.42,buy,2.0
2015-12-30,56.86,sell,4.0
2016-01-07,57.15,buy,2.0
2016-01-14,57.16,sell,4.0
2016-01-15,57.18,buy,2.0
2016-01-20,56.63,sell,4.0
2016-01-22,60.45,buy,2.0
2016-02-04,63.25,sell,4.0
2016-02-16,60.2,buy,1.0
2016-03-01,65.0,sell,3.0
2016-03-11,67.1,buy,2.0
2016-03-31,70.01,sell,4.0
2016-04-05,69.35,buy,2.0
2016-04-06,70.84,sell,4.0
2016-04-08,70.75,buy,2.0
2016-04-13,70.07,sell,4.0
2016-04-18,72.74,buy,2.0
2016-04-21,70.46,sell,4.0
2016-04-27,72.3,buy,1.0
2016-05-11,76.28,sell,3.0
2016-05-25,75.32,buy,1.0
2016-06-15,82.66,sell,3.0
2016-06-17,84.17,buy,2.0
2016-06-21,84.69,sell,4.0
2016-06-29,87.27,buy,2.0
2016-06-30,88.69,sell,4.0
2016-07-01,87.56,buy,2.0
2016-07-05,89.57,sell,4.0
2016-07-06,90.15,buy,2.0
2016-07-12,87.38,sell,4.0
2016-07-25,85.22,buy,2.0
2016-07-29,82.53,sell,4.0
2016-08-02,80.61,buy,2.0
2016-08-03,80.08,sell,4.0
2016-08-11,79.77,buy,2.0
2016-08-24,78.91,sell,4.0
2016-09-06,80.94,buy,2.0
2016-09-14,75.43,sell,4.0
2016-09-22,77.72,buy,2.0
2016-10-03,74.0,sell,4.0
2016-10-11,73.96,buy,2.0
2016-10-27,72.01,sell,4.0
2016-11-10,67.27,buy,2.0
2016-11-11,66.8,sell,4.0
2016-11-16,66.77,buy,2.0
2016-11-18,68.67,sell,4.0
2016-11-21,68.86,buy,2.0
2016-12-02,68.41,sell,4.0
2016-12-08,74.66,buy,2.0
2016-12-21,77.96,sell,4.0
2017-01-04,82.95,buy,2.0
2017-01-10,82.0,sell,4.0
2017-01-17,83.95,buy,2.0
2017-01-30,86.08,sell,4.0
2017-02-13,86.15,buy,2.0
2017-02-14,85.26,sell,4.0
2017-02-17,86.37,buy,2.0
2017-03-06,89.11,sell,4.0
2017-03-16,88.12,buy,2.0
2017-03-28,87.92,sell,4.0
2017-03-31,90.05,buy,2.0
2017-04-17,92.93,sell,4.0
2017-04-20,94.18,buy,2.0
2017-04-24,92.64,sell,4.0
2017-04-28,97.85,buy,2.0
