time,price,signal,label
2011-04-26,32.2,buy,2.0
2011-05-06,32.95,sell,4.0
2011-05-12,33.71,buy,2.0
2011-05-20,33.63,sell,4.0
2011-05-31,35.07,buy,2.0
2011-06-02,32.24,sell,4.0
2011-06-14,33.45,buy,2.0
2011-06-24,33.44,sell,4.0
2011-07-01,34.0,buy,2.0
2011-07-12,33.27,sell,4.0
2011-07-20,33.22,buy,2.0
2011-07-21,33.41,sell,4.0
2011-07-22,33.2,buy,2.0
2011-07-25,32.48,sell,4.0
2011-08-04,30.4,buy,1.0
2011-08-22,31.94,sell,3.0
2011-08-30,35.76,buy,2.0
2011-09-09,34.68,sell,4.0
2011-09-15,37.39,buy,2.0
2011-09-22,36.01,sell,4.0
2011-09-30,37.76,buy,2.0
2011-10-04,37.22,sell,4.0
2011-10-06,37.88,buy,1.0
2011-10-21,40.0,sell,3.0
2011-10-26,39.87,buy,2.0
2011-10-27,39.77,sell,4.0
2011-11-09,38.71,buy,2.0
2011-11-10,38.96,sell,4.0
2011-11-14,39.72,buy,2.0
2011-11-18,39.71,sell,4.0
2011-11-30,40.57,buy,2.0
2011-12-08,39.99,sell,4.0
2011-12-12,41.32,buy,2.0
2011-12-20,40.86,sell,4.0
2011-12-28,41.43,buy,2.0
2012-01-04,41.36,sell,4.0
2012-01-05,41.36,buy,2.0
2012-01-09,40.85,sell,4.0
2012-01-17,41.38,buy,2.0
2012-01-31,42.61,sell,4.0
2012-02-01,42.32,buy,2.0
2012-02-02,42.3,sell,4.0
2012-02-10,42.89,buy,2.0
2012-02-14,42.49,sell,4.0
2012-02-29,42.06,buy,1.0
2012-03-19,44.75,sell,3.0
2012-03-26,47.25,buy,2.0
2012-03-28,46.0,sell,4.0
2012-04-03,47.0,buy,2.0
2012-04-11,45.86,sell,4.0
2012-04-19,46.64,buy,2.0
2012-04-25,46.3,sell,4.0
2012-04-27,47.78,buy,2.0
2012-05-09,46.84,sell,4.0
2012-05-22,45.9,buy,2.0
2012-05-23,46.9,sell,4.0
2012-05-24,47.65,buy,2.0
2012-06-06,48.7,sell,4.0
2012-06-08,50.29,buy,2.0
2012-06-22,52.6,sell,4.0
2012-06-26,54.95,buy,2.0
2012-06-28,53.73,sell,4.0
2012-07-10,55.6,buy,2.0
2012-07-12,54.0,sell,4.0
2012-08-02,51.47,buy,2.0
2012-08-10,51.77,sell,4.0
2012-08-14,52.31,buy,2.0
2012-08-16,51.22,sell,4.0
2012-08-31,51.07,buy,2.0
2012-09-11,48.83,sell,4.0
2012-09-14,50.16,buy,2.0
2012-09-28,51.54,sell,4.0
2012-10-17,48.24,buy,2.0
2012-11-12,46.71,sell,4.0
2012-11-16,48.7,buy,2.0
2012-12-04,47.94,sell,4.0
2012-12-17,44.13,buy,2.0
2012-12-27,43.12,sell,4.0
2013-01-02,42.92,buy,1.0
2013-01-31,46.22,sell,3.0
2013-02-22,46.03,buy,2.0
2013-03-08,47.79,sell,4.0
2013-03-21,49.81,buy,2.0
2013-04-01,50.62,sell,4.0
2013-04-17,51.9,buy,2.0
2013-05-01,52.03,sell,4.0
2013-05-08,53.42,buy,2.0
2013-05-10,52.8,sell,4.0
2013-05-20,53.84,buy,2.0
2013-05-30,53.67,sell,4.0
2013-06-12,51.09,buy,2.0
2013-06-21,50.21,sell,4.0
2013-06-27,51.64,buy,2.0
2013-07-16,53.9,sell,4.0
2013-07-25,54.23,buy,2.0
2013-08-07,54.12,sell,4.0
2013-08-20,53.37,buy,2.0
2013-08-30,53.97,sell,4.0
2013-09-06,56.96,buy,2.0
2013-09-17,57.33,sell,4.0
2013-09-19,58.49,buy,2.0
2013-09-23,58.19,sell,4.0
2013-10-03,57.75,buy,2.0
2013-10-09,56.7,sell,4.0
2013-10-14,57.05,buy,2.0
2013-10-15,56.75,sell,4.0
2013-10-18,58.89,buy,2.0
2013-10-31,57.78,sell,4.0
2013-11-12,58.47,buy,2.0
2013-11-21,57.94,sell,4.0
2013-11-27,57.35,buy,2.0
2013-11-29,56.94,sell,4.0
2013-12-06,60.2,buy,2.0
2013-12-17,59.03,sell,4.0
2013-12-24,61.47,buy,2.0
2013-12-30,60.7,sell,4.0
2014-01-03,60.98,buy,2.0
2014-01-06,59.61,sell,4.0
2014-01-10,62.87,buy,2.0
2014-01-17,60.1,sell,4.0
2014-02-03,55.51,buy,2.0
2014-02-04,55.79,sell,4.0
2014-02-05,56.14,buy,2.0
2014-02-14,57.26,sell,4.0
2014-02-18,58.02,buy,2.0
2014-03-05,59.71,sell,4.0
2014-03-24,56.29,buy,2.0
2014-03-25,55.2,sell,4.0
2014-04-02,57.22,buy,2.0
2014-04-08,55.45,sell,4.0
2014-04-10,55.45,buy,2.0
2014-04-11,54.74,sell,4.0
2014-04-21,55.09,buy,2.0
2014-05-09,56.74,sell,4.0
2014-05-27,56.3,buy,2.0
2014-05-30,53.78,sell,4.0
2014-06-04,56.62,buy,1.0
2014-06-12,60.19,sell,3.0
2014-06-23,61.66,buy,2.0
2014-06-26,61.68,sell,4.0
2014-07-21,55.33,buy,2.0
2014-08-13,57.01,sell,4.0
2014-08-19,63.59,buy,2.0
2014-08-29,63.99,sell,4.0
2014-09-15,63.47,buy,2.0
2014-09-16,63.86,sell,4.0
2014-09-17,63.6,buy,2.0
2014-09-19,63.1,sell,4.0
2014-10-03,62.41,buy,2.0
2014-10-13,58.47,sell,4.0
2014-10-20,61.52,buy,2.0
2014-11-03,63.1,sell,4.0
2014-11-05,63.32,buy,2.0
2014-11-06,64.01,sell,4.0
2014-11-10,64.46,buy,2.0
2014-11-13,64.84,sell,4.0
2014-11-19,66.1,buy,2.0
2014-11-25,65.38,sell,4.0
2014-12-03,66.69,buy,2.0
2014-12-04,67.79,sell,4.0
2014-12-08,68.51,buy,2.0
2014-12-17,71.02,sell,4.0
2014-12-19,68.56,buy,2.0
2014-12-22,68.66,sell,4.0
2014-12-30,71.1,buy,2.0
2015-01-07,70.27,sell,4.0
2015-01-21,66.97,buy,2.0
2015-01-29,67.9,sell,4.0
2015-02-05,68.49,buy,2.0
2015-02-13,68.82,sell,4.0
2015-02-17,69.56,buy,2.0
2015-03-04,71.95,sell,4.0
2015-03-13,74.3,buy,2.0
2015-03-26,74.78,sell,4.0
2015-04-02,75.56,buy,2.0
2015-04-08,76.08,sell,4.0
2015-04-09,75.67,buy,2.0
2015-04-14,75.29,sell,4.0
2015-04-22,75.83,buy,2.0
2015-04-29,73.85,sell,4.0
2015-05-11,74.84,buy,2.0
2015-05-15,74.71,sell,4.0
2015-05-18,74.49,buy,2.0
2015-05-20,72.88,sell,4.0
2015-05-26,72.95,buy,2.0
2015-05-28,73.11,sell,4.0
2015-05-29,72.59,buy,2.0
2015-06-01,72.81,sell,4.0
2015-06-03,76.0,buy,2.0
2015-06-24,78.38,sell,4.0
2015-06-29,77.88,buy,2.0
2015-06-30,77.74,sell,4.0
2015-07-08,78.41,buy,2.0
2015-07-09,78.19,sell,4.0
2015-07-13,80.18,buy,2.0
2015-07-23,79.82,sell,4.0
2015-07-31,80.37,buy,2.0
2015-08-10,78.76,sell,4.0
2015-08-14,79.23,buy,2.0
2015-08-24,74.67,sell,4.0
2015-09-16,71.01,buy,2.0
2015-09-29,70.33,sell,4.0
2015-10-01,71.44,buy,2.0
2015-10-02,71.32,sell,4.0
2015-10-14,65.11,buy,2.0
2015-10-15,66.39,sell,4.0
2015-10-19,67.08,buy,2.0
2015-10-26,65.96,sell,4.0
2015-10-29,67.29,buy,2.0
2015-11-10,66.04,sell,4.0
2015-11-19,62.61,buy,1.0
2015-12-14,71.01,sell,3.0
2015-12-17,71.54,buy,2.0
2015-12-21,71.56,sell,4.0
2015-12-23,72.12,buy,2.0
2015-12-24,72.22,sell,4.0
2015-12-30,72.1,buy,2.0
2015-12-31,71.87,sell,4.0
2016-01-06,72.71,buy,2.0
2016-01-08,71.46,sell,4.0
2016-01-20,70.23,buy,2.0
2016-02-04,72.86,sell,4.0
2016-02-17,74.27,buy,2.0
2016-03-04,74.88,sell,4.0
2016-03-11,85.01,buy,2.0
2016-03-21,84.62,sell,4.0
2016-03-30,86.14,buy,2.0
2016-04-06,84.6,sell,4.0
2016-04-19,83.49,buy,2.0
2016-04-29,81.91,sell,4.0
2016-05-03,82.93,buy,2.0
2016-05-13,81.54,sell,4.0
2016-05-24,83.42,buy,1.0
2016-06-09,91.69,sell,3.0
2016-06-10,91.44,buy,2.0
2016-06-13,90.74,sell,4.0
2016-06-22,91.94,buy,2.0
2016-07-13,92.43,sell,4.0
2016-07-21,94.04,buy,2.0
2016-08-01,94.06,sell,4.0
2016-08-15,92.13,buy,2.0
2016-08-16,89.49,sell,4.0
2016-08-18,91.69,buy,2.0
2016-08-26,75.5,sell,4.0
2016-09-13,70.38,buy,2.0
2016-09-28,70.5,sell,4.0
2016-10-07,69.66,buy,2.0
2016-10-20,67.98,sell,4.0
2016-10-27,67.45,buy,2.0
2016-10-28,68.34,sell,4.0
2016-10-31,69.09,buy,2.0
2016-11-07,69.77,sell,4.0
2016-11-08,69.72,buy,1.0
2016-11-28,78.66,sell,3.0
2016-12-08,76.92,buy,2.0
2016-12-20,77.27,sell,4.0
2016-12-22,74.36,buy,2.0
2016-12-23,74.14,sell,4.0
2017-01-05,74.52,buy,2.0
2017-01-09,73.73,sell,4.0
2017-01-11,73.42,buy,2.0
2017-01-12,73.59,sell,4.0
2017-01-18,72.44,buy,2.0
2017-01-19,71.01,sell,4.0
2017-01-25,71.96,buy,2.0
2017-01-30,72.0,sell,4.0
2017-01-31,73.82,buy,2.0
2017-02-14,77.14,sell,4.0
2017-02-15,77.38,buy,2.0
2017-02-17,77.67,sell,4.0
2017-02-21,77.86,buy,2.0
2017-02-23,75.92,sell,4.0
2017-03-10,72.89,buy,2.0
2017-03-21,70.01,sell,4.0
2017-03-30,70.86,buy,2.0
2017-04-05,68.5,sell,4.0
2017-04-07,69.33,buy,2.0
2017-04-17,69.12,sell,4.0
2017-04-18,69.07,buy,1.0
2017-05-02,73.77,sell,3.0
2017-05-03,73.99,buy,2.0
2017-05-05,73.62,sell,4.0
2017-05-23,70.71,buy,2.0
2017-05-24,70.21,sell,4.0
2017-05-26,72.32,buy,2.0
2017-06-08,73.69,sell,4.0
2017-06-21,71.73,buy,2.0
2017-06-26,70.41,sell,4.0
2017-06-28,71.48,buy,2.0
2017-07-07,70.23,sell,4.0
2017-07-17,71.89,buy,2.0
2017-08-03,74.49,sell,4.0
2017-08-08,76.71,buy,2.0
2017-08-11,75.49,sell,4.0
2017-08-23,76.33,buy,2.0
2017-09-01,72.54,sell,4.0
2017-09-08,75.56,buy,2.0
2017-09-20,77.55,sell,4.0
2017-09-26,79.33,buy,2.0
2017-10-05,81.48,sell,4.0
2017-10-12,82.18,buy,2.0
2017-10-25,83.97,sell,4.0
2017-11-10,84.15,buy,2.0
2017-11-28,87.73,sell,4.0
2017-11-29,88.68,buy,2.0
2017-12-01,87.98,sell,4.0
2017-12-07,93.37,buy,2.0
2017-12-08,93.38,sell,4.0
2017-12-26,92.48,buy,2.0
2018-01-10,94.78,sell,4.0
2018-01-12,99.1,buy,1.0
2018-01-26,105.3,sell,3.0
2018-01-29,105.34,buy,2.0
2018-01-31,103.12,sell,4.0
2018-02-15,98.45,buy,2.0
2018-02-21,95.27,sell,4.0
2018-02-26,97.55,buy,2.0
2018-03-01,95.31,sell,4.0
2018-03-14,89.2,buy,2.0
