time,price,signal,label
1985-09-30,11.14,buy,2.0
1985-10-18,11.52,sell,4.0
1985-10-23,11.76,buy,2.0
1985-10-24,11.81,sell,4.0
1985-10-29,12.15,buy,2.0
1985-11-08,12.58,sell,4.0
1985-11-12,12.77,buy,2.0
1985-11-13,12.68,sell,4.0
1985-12-02,12.66,buy,1.0
1985-12-18,13.89,sell,3.0
1986-01-02,13.69,buy,2.0
1986-01-10,13.64,sell,4.0
1986-01-16,13.64,buy,2.0
1986-01-17,13.69,sell,4.0
1986-01-22,13.74,buy,1.0
1986-02-14,15.16,sell,3.0
1986-02-19,15.55,buy,2.0
1986-02-20,15.85,sell,4.0
1986-02-21,15.9,buy,2.0
1986-02-26,15.78,sell,4.0
1986-03-06,15.83,buy,2.0
1986-03-07,15.78,sell,4.0
1986-03-12,15.98,buy,2.0
1986-03-13,15.93,sell,4.0
1986-03-26,15.78,buy,2.0
1986-04-08,15.83,sell,4.0
1986-04-15,15.98,buy,2.0
1986-04-24,16.03,sell,4.0
1986-05-06,15.73,buy,2.0
1986-05-19,15.63,sell,4.0
1986-05-22,15.76,buy,2.0
1986-06-05,16.22,sell,4.0
1986-06-06,16.07,buy,2.0
1986-06-09,16.07,sell,4.0
1986-06-17,16.02,buy,1.0
1986-07-01,17.44,sell,3.0
1986-07-02,17.9,buy,2.0
1986-07-08,17.44,sell,4.0
1986-07-14,18.15,buy,2.0
1986-07-22,18.92,sell,4.0
1986-07-23,19.53,buy,2.0
1986-07-25,19.58,sell,4.0
1986-08-08,19.42,buy,2.0
1986-08-11,19.83,sell,4.0
1986-08-12,19.93,buy,2.0
1986-08-25,20.42,sell,4.0
1986-09-17,18.51,buy,2.0
1986-09-30,18.3,sell,4.0
1986-10-07,18.46,buy,2.0
1986-10-14,18.3,sell,4.0
1986-10-16,18.51,buy,1.0
1986-10-31,19.54,sell,3.0
1986-11-13,19.8,buy,2.0
1986-11-19,19.54,sell,4.0
1986-11-25,19.85,buy,2.0
1986-11-28,19.85,sell,4.0
1986-12-01,19.9,buy,2.0
1986-12-08,19.79,sell,4.0
1987-01-05,19.58,buy,2.0
1987-01-19,19.9,sell,4.0
1987-01-22,20.63,buy,2.0
1987-01-27,20.53,sell,4.0
1987-02-25,19.26,buy,2.0
1987-02-27,19.26,sell,4.0
1987-03-05,19.1,buy,2.0
1987-03-06,19.31,sell,4.0
1987-03-09,19.0,buy,2.0
1987-03-10,18.78,sell,4.0
1987-03-16,18.68,buy,2.0
1987-03-31,19.26,sell,4.0
1987-04-16,18.09,buy,2.0
1987-04-29,18.09,sell,4.0
1987-05-01,18.41,buy,2.0
1987-05-11,18.25,sell,4.0
1987-05-26,18.04,buy,2.0
1987-06-12,18.85,sell,4.0
1987-06-16,18.69,buy,2.0
1987-06-17,18.63,sell,4.0
1987-07-06,18.69,buy,2.0
1987-07-07,18.53,sell,4.0
1987-07-16,18.04,buy,2.0
1987-07-27,17.93,sell,4.0
1987-07-31,18.09,buy,2.0
1987-08-05,17.88,sell,4.0
1987-08-07,18.2,buy,1.0
1987-08-20,19.66,sell,3.0
1987-08-21,19.66,buy,2.0
1987-08-25,19.33,sell,4.0
1987-09-09,18.56,buy,2.0
1987-09-10,18.4,sell,4.0
1987-09-14,18.4,buy,2.0
1987-09-15,18.23,sell,4.0
1987-09-16,18.29,buy,2.0
1987-09-25,18.23,sell,4.0
1987-09-30,18.4,buy,1.0
1987-10-15,19.99,sell,3.0
1987-10-16,19.33,buy,2.0
1987-10-19,16.47,sell,4.0
1987-10-26,18.78,buy,2.0
1987-11-03,18.84,sell,4.0
1987-11-06,19.06,buy,2.0
1987-11-18,19.33,sell,4.0
1987-12-03,18.28,buy,2.0
1987-12-22,18.62,sell,4.0
1988-01-05,18.9,buy,2.0
1988-01-11,18.9,sell,4.0
1988-01-19,19.29,buy,1.0
1988-02-02,20.52,sell,3.0
1988-02-22,20.07,buy,2.0
1988-02-26,19.74,sell,4.0
1988-03-02,20.14,buy,2.0
1988-03-08,19.45,sell,4.0
1988-03-16,19.63,buy,2.0
1988-03-25,19.17,sell,4.0
1988-04-07,19.45,buy,2.0
1988-04-15,19.06,sell,4.0
1988-04-25,19.17,buy,2.0
1988-05-03,19.23,sell,4.0
1988-05-09,19.23,buy,2.0
1988-05-10,19.23,sell,4.0
1988-05-16,19.45,buy,2.0
1988-05-24,19.47,sell,4.0
1988-05-25,19.58,buy,2.0
1988-06-07,19.81,sell,4.0
