time,price,signal
1999-10-07 00:00:00,150.13,buy
1999-10-13 00:00:00,137.0,sell
1999-10-21 00:00:00,148.5,buy
1999-10-29 00:00:00,135.13,sell
1999-11-09 00:00:00,134.88,buy
1999-11-30 00:00:00,165.06,sell
1999-12-07 00:00:00,163.75,buy
1999-12-08 00:00:00,162.44,sell
1999-12-23 00:00:00,142.31,buy
1999-12-27 00:00:00,134.0,sell
1999-12-29 00:00:00,143.56,buy
2000-01-03 00:00:00,141.25,sell
2000-01-04 00:00:00,128.0,buy
2000-01-25 00:00:00,137.5,sell
2000-01-28 00:00:00,147.56,buy
2000-02-10 00:00:00,162.38,sell
2000-02-24 00:00:00,164.0,buy
2000-03-16 00:00:00,219.5,sell
2000-03-17 00:00:00,218.94,buy
2000-03-21 00:00:00,214.5,sell
2000-03-23 00:00:00,223.56,buy
2000-03-24 00:00:00,243.75,sell
2000-03-27 00:00:00,239.81,buy
2000-03-29 00:00:00,199.0,sell
2000-04-10 00:00:00,155.69,buy
2000-04-11 00:00:00,155.56,sell
2000-04-19 00:00:00,150.31,buy
2000-05-04 00:00:00,136.94,sell
2000-05-16 00:00:00,134.88,buy
2000-05-24 00:00:00,129.94,sell
2000-05-25 00:00:00,60.5,buy
2000-05-26 00:00:00,61.94,sell
2000-06-08 00:00:00,71.69,buy
2000-06-14 00:00:00,62.75,sell
2000-06-30 00:00:00,54.31,buy
2000-07-11 00:00:00,43.94,sell
2000-07-13 00:00:00,53.44,buy
2000-07-25 00:00:00,56.25,sell
2000-08-07 00:00:00,50.0,buy
2000-08-15 00:00:00,51.88,sell
2000-08-16 00:00:00,57.5,buy
2000-08-22 00:00:00,56.75,sell
2000-08-25 00:00:00,62.19,buy
2000-08-30 00:00:00,61.06,sell
2000-09-01 00:00:00,62.88,buy
2000-09-11 00:00:00,64.75,sell
2000-09-15 00:00:00,67.44,buy
2000-09-20 00:00:00,76.56,sell
2000-09-21 00:00:00,71.19,buy
2000-09-27 00:00:00,63.5,sell
2000-10-10 00:00:00,57.94,buy
2000-10-11 00:00:00,53.0,sell
2000-10-17 00:00:00,52.75,buy
2000-10-27 00:00:00,51.38,sell
2000-11-03 00:00:00,54.81,buy
2000-11-10 00:00:00,46.06,sell
2000-11-27 00:00:00,38.19,buy
2000-12-15 00:00:00,38.0,sell
2000-12-27 00:00:00,35.25,buy
2001-01-03 00:00:00,9.84,sell
2001-01-16 00:00:00,10.95,buy
2001-01-29 00:00:00,13.08,sell
2001-01-30 00:00:00,13.3,buy
2001-02-01 00:00:00,12.06,sell
2001-02-14 00:00:00,12.55,buy
2001-02-21 00:00:00,11.42,sell
2001-03-07 00:00:00,10.62,buy
2001-03-12 00:00:00,7.89,sell
2001-03-20 00:00:00,8.83,buy
2001-03-22 00:00:00,9.16,sell
2001-03-23 00:00:00,9.3,buy
2001-03-30 00:00:00,9.05,sell
2001-04-09 00:00:00,9.5,buy
2001-04-24 00:00:00,11.14,sell
2001-05-02 00:00:00,13.42,buy
2001-05-24 00:00:00,15.82,sell
2001-06-06 00:00:00,16.14,buy
2001-06-13 00:00:00,15.45,sell
2001-06-18 00:00:00,15.74,buy
2001-06-19 00:00:00,15.79,sell
2001-06-21 00:00:00,17.48,buy
2001-07-02 00:00:00,17.04,sell
2001-07-13 00:00:00,16.75,buy
2001-07-25 00:00:00,15.44,sell
2001-08-06 00:00:00,15.88,buy
2001-08-13 00:00:00,15.18,sell
2001-08-21 00:00:00,14.48,buy
2001-08-22 00:00:00,14.23,sell
2001-08-23 00:00:00,13.76,buy
2001-08-24 00:00:00,14.75,sell
2001-08-27 00:00:00,14.1,buy
2001-08-29 00:00:00,13.48,sell
2001-09-04 00:00:00,13.61,buy
2001-09-06 00:00:00,13.77,sell
2001-09-07 00:00:00,13.24,buy
2001-09-10 00:00:00,13.64,sell
2001-09-17 00:00:00,12.35,buy
2001-09-18 00:00:00,12.5,sell
2001-09-25 00:00:00,11.72,buy
2001-10-18 00:00:00,14.76,sell
2001-10-26 00:00:00,14.25,buy
2001-10-29 00:00:00,13.13,sell
2001-11-07 00:00:00,14.15,buy
2001-11-21 00:00:00,15.22,sell
2001-11-26 00:00:00,16.29,buy
2001-11-29 00:00:00,16.56,sell
2001-11-30 00:00:00,17.02,buy
2001-12-06 00:00:00,17.54,sell
2001-12-27 00:00:00,16.54,buy
2002-01-10 00:00:00,16.5,sell
2002-01-28 00:00:00,14.92,buy
2002-02-05 00:00:00,13.62,sell
2002-02-11 00:00:00,14.32,buy
2002-02-20 00:00:00,13.59,sell
2002-03-04 00:00:00,14.86,buy
2002-03-14 00:00:00,14.17,sell
2002-03-25 00:00:00,14.35,buy
2002-03-27 00:00:00,14.29,sell
2002-04-09 00:00:00,13.3,buy
2002-04-12 00:00:00,13.52,sell
