time,price,signal,label
2002-01-15,48.93,buy,2.0
2002-01-16,48.4,sell,4.0
2002-01-31,46.34,buy,2.0
2002-02-26,47.37,sell,4.0
2002-03-04,48.68,buy,1.0
2002-03-27,53.4,sell,3.0
2002-04-09,53.1,buy,2.0
2002-04-17,53.35,sell,4.0
2002-04-29,51.94,buy,2.0
2002-05-09,51.6,sell,4.0
2002-05-23,51.8,buy,2.0
2002-06-12,53.51,sell,4.0
2002-06-18,54.78,buy,2.0
2002-06-25,55.35,sell,4.0
2002-07-17,49.33,buy,2.0
2002-07-19,47.5,sell,4.0
2002-07-25,46.74,buy,1.0
2002-08-09,50.36,sell,3.0
2002-08-19,51.3,buy,2.0
2002-09-03,51.85,sell,4.0
2002-09-26,50.31,buy,2.0
2002-10-03,48.69,sell,4.0
2002-10-09,45.25,buy,2.0
2002-10-10,46.58,sell,4.0
2002-10-11,46.8,buy,2.0
2002-10-24,46.19,sell,4.0
2002-10-28,46.75,buy,2.0
2002-11-11,48.35,sell,4.0
2002-11-15,49.98,buy,2.0
2002-11-19,49.6,sell,4.0
2002-11-22,50.8,buy,2.0
2002-12-05,50.44,sell,4.0
2002-12-23,51.29,buy,2.0
2003-01-08,51.02,sell,4.0
2003-01-30,49.65,buy,2.0
2003-02-12,49.8,sell,4.0
2003-02-19,50.5,buy,2.0
2003-02-25,50.49,sell,4.0
2003-02-26,50.54,buy,2.0
2003-03-07,50.81,sell,4.0
2003-03-17,51.7,buy,2.0
2003-03-26,53.55,sell,4.0
2003-04-03,54.0,buy,2.0
2003-04-14,54.49,sell,4.0
2003-04-21,55.34,buy,2.0
2003-04-28,55.2,sell,4.0
2003-05-05,56.65,buy,2.0
2003-05-15,57.08,sell,4.0
2003-05-22,58.25,buy,2.0
2003-05-29,56.47,sell,4.0
2003-06-04,58.55,buy,2.0
2003-06-13,57.97,sell,4.0
2003-06-26,56.7,buy,2.0
2003-06-27,57.25,sell,4.0
2003-06-30,57.25,buy,2.0
2003-07-17,57.8,sell,4.0
2003-07-28,59.25,buy,2.0
2003-08-14,62.1,sell,4.0
2003-08-15,61.5,buy,2.0
2003-08-18,61.75,sell,4.0
2003-08-21,63.5,buy,2.0
2003-08-26,63.59,sell,4.0
2003-08-27,63.52,buy,2.0
2003-09-02,63.58,sell,4.0
2003-09-03,64.49,buy,2.0
2003-09-11,64.5,sell,4.0
2003-10-01,61.58,buy,2.0
2003-10-02,62.1,sell,4.0
2003-10-06,63.0,buy,2.0
2003-10-20,63.15,sell,4.0
2003-11-05,61.35,buy,2.0
2003-11-19,62.1,sell,4.0
2003-11-26,63.75,buy,2.0
2003-12-08,65.11,sell,4.0
2003-12-09,65.17,buy,2.0
2003-12-11,65.49,sell,4.0
2003-12-12,66.08,buy,2.0
2003-12-16,64.75,sell,4.0
2003-12-26,65.88,buy,2.0
2003-12-31,64.22,sell,4.0
2004-01-14,62.9,buy,2.0
2004-01-21,61.26,sell,4.0
2004-01-23,61.57,buy,2.0
2004-02-05,61.95,sell,4.0
2004-02-12,63.25,buy,2.0
2004-02-19,61.8,sell,4.0
2004-02-26,63.05,buy,2.0
2004-03-11,64.65,sell,4.0
2004-03-18,66.6,buy,2.0
2004-03-23,65.77,sell,4.0
2004-04-01,66.45,buy,2.0
2004-04-07,64.2,sell,4.0
2004-04-16,62.4,buy,2.0
2004-04-21,61.05,sell,4.0
2004-04-22,61.7,buy,2.0
2004-04-30,60.95,sell,4.0
2004-05-04,62.7,buy,2.0
2004-05-11,62.34,sell,4.0
2004-05-19,61.32,buy,2.0
2004-05-20,63.33,sell,4.0
2004-05-21,63.67,buy,2.0
2004-06-10,65.59,sell,4.0
2004-06-16,67.0,buy,2.0
2004-06-21,68.8,sell,4.0
2004-06-22,68.94,buy,2.0
2004-06-29,67.44,sell,4.0
2004-07-07,69.34,buy,2.0
2004-07-09,67.8,sell,4.0
2004-07-16,68.51,buy,2.0
2004-07-23,66.7,sell,4.0
2004-08-04,67.97,buy,2.0
2004-08-16,68.3,sell,4.0
2004-08-18,70.8,buy,2.0
2004-09-02,73.6,sell,4.0
2004-09-07,74.39,buy,2.0
2004-09-09,73.84,sell,4.0
2004-09-17,74.63,buy,2.0
2004-09-23,72.04,sell,4.0
2004-10-04,73.35,buy,1.0
2004-10-25,77.18,sell,3.0
2004-10-28,78.76,buy,2.0
2004-11-01,79.06,sell,4.0
2004-11-05,80.18,buy,2.0
2004-11-08,80.94,sell,4.0
2004-11-15,83.7,buy,2.0
2004-11-18,79.84,sell,4.0
2004-11-26,81.3,buy,2.0
2004-12-17,84.5,sell,4.0
2007-09-18,118.43,buy,2.0
2007-09-28,117.57,sell,4.0
2007-10-03,123.07,buy,2.0
2007-10-12,123.5,sell,4.0
2007-10-25,118.36,buy,2.0
2007-11-02,111.7,sell,4.0
2007-11-14,106.59,buy,2.0
2007-11-27,100.25,sell,4.0
2007-11-29,101.49,buy,2.0
2007-12-05,102.02,sell,4.0
2007-12-06,105.98,buy,2.0
2007-12-12,100.66,sell,4.0
2007-12-26,98.35,buy,2.0
2007-12-31,97.49,sell,4.0
2008-01-02,95.81,buy,2.0
2008-01-03,92.0,sell,4.0
2008-01-10,91.34,buy,1.0
2008-02-06,101.81,sell,3.0
2008-02-14,105.78,buy,2.0
2008-02-20,106.98,sell,4.0
2008-02-21,106.27,buy,2.0
2008-02-28,106.2,sell,4.0
2008-03-12,108.05,buy,2.0
2008-03-27,112.9,sell,4.0
2008-04-02,117.66,buy,2.0
2008-04-03,119.17,sell,4.0
2008-04-04,116.47,buy,2.0
2008-04-07,116.97,sell,4.0
2008-04-17,118.42,buy,2.0
2008-04-30,119.0,sell,4.0
2008-05-14,120.27,buy,2.0
2008-05-22,115.68,sell,4.0
2008-05-29,120.1,buy,2.0
2008-06-03,118.58,sell,4.0
2008-06-04,119.73,buy,2.0
2008-06-10,115.63,sell,4.0
2008-06-17,116.09,buy,2.0
2008-06-18,114.35,sell,4.0
2008-07-02,107.75,buy,2.0
2008-07-11,105.32,sell,4.0
2008-07-17,115.54,buy,2.0
2008-07-29,120.5,sell,4.0
2008-08-04,118.9,buy,2.0
2008-08-05,123.61,sell,4.0
2008-08-06,119.43,buy,2.0
2008-08-07,115.76,sell,4.0
2008-08-12,119.61,buy,2.0
2008-08-13,120.8,sell,4.0
2008-08-15,122.16,buy,2.0
2008-08-19,116.21,sell,4.0
2008-08-29,117.35,buy,2.0
2008-09-05,117.89,sell,4.0
2008-09-08,121.99,buy,2.0
2008-09-10,115.73,sell,4.0
2008-09-17,112.3,buy,1.0
2008-09-18,129.0,sell,3.0
2008-09-19,125.5,buy,2.0
2008-10-03,112.5,sell,4.0
2008-10-14,101.4,buy,2.0
2008-10-16,89.55,sell,4.0
2008-10-29,95.0,buy,2.0
2008-11-05,79.2,sell,4.0
2008-11-14,72.97,buy,2.0
2008-11-17,69.19,sell,4.0
2008-11-24,78.1,buy,1.0
2008-12-10,82.63,sell,3.0
2008-12-18,76.55,buy,2.0
2008-12-19,79.29,sell,4.0
2009-01-02,74.98,buy,2.0
2009-01-12,63.11,sell,4.0
2009-01-20,65.72,buy,2.0
2009-02-02,65.47,sell,4.0
2009-02-23,53.05,buy,2.0
2009-03-03,53.78,sell,4.0
2009-03-04,56.49,buy,1.0
2009-03-17,66.16,sell,3.0
2009-03-18,66.54,buy,2.0
2009-03-20,56.54,sell,4.0
2009-04-03,68.52,buy,2.0
2009-04-15,65.53,sell,4.0
2009-04-27,63.14,buy,2.0
2009-04-28,63.41,sell,4.0
2009-04-30,63.49,buy,2.0
2009-05-01,61.9,sell,4.0
2009-05-07,64.28,buy,2.0
2009-05-14,63.7,sell,4.0
2009-05-27,64.75,buy,2.0
2009-06-08,67.13,sell,4.0
2009-06-25,62.68,buy,2.0
2009-07-06,62.42,sell,4.0
2009-07-07,59.89,buy,2.0
2009-07-08,58.69,sell,4.0
2009-07-14,59.38,buy,1.0
2009-08-03,65.5,sell,3.0
2009-08-05,72.41,buy,2.0
2009-08-07,75.16,sell,4.0
2009-08-24,73.57,buy,2.0
2009-09-02,70.11,sell,4.0
2009-09-09,75.39,buy,1.0
2009-09-24,81.15,sell,3.0
2009-10-09,78.66,buy,2.0
2009-10-21,75.72,sell,4.0
2009-11-04,78.41,buy,2.0
2009-11-18,80.84,sell,4.0
2009-12-02,82.99,buy,2.0
2009-12-29,85.25,sell,4.0
2010-01-12,82.46,buy,2.0
2010-01-13,84.14,sell,4.0
2010-01-14,84.87,buy,2.0
2010-01-22,80.89,sell,4.0
2010-02-10,78.42,buy,1.0
2010-03-10,89.86,sell,3.0
2010-03-17,93.42,buy,2.0
2010-03-19,92.17,sell,4.0
2010-04-05,93.35,buy,1.0
2010-04-20,98.17,sell,3.0
2010-04-23,103.99,buy,2.0
2010-04-28,104.0,sell,4.0
2010-04-30,105.82,buy,2.0
2010-05-03,110.24,sell,4.0
2010-05-04,110.94,buy,2.0
2010-05-06,105.09,sell,4.0
2010-05-13,109.31,buy,2.0
2010-05-17,108.94,sell,4.0
2010-05-18,107.21,buy,2.0
2010-05-20,101.33,sell,4.0
2010-05-28,105.23,buy,2.0
2010-06-02,103.28,sell,4.0
2010-06-10,105.58,buy,2.0
2010-06-23,103.62,sell,4.0
2010-07-08,101.85,buy,2.0
2010-07-21,100.91,sell,4.0
2010-07-26,106.6,buy,2.0
2010-07-30,105.11,sell,4.0
2010-08-03,107.11,buy,2.0
2010-08-06,106.04,sell,4.0
2010-08-26,103.55,buy,1.0
2010-09-10,109.49,sell,3.0
2010-09-14,109.83,buy,2.0
2010-09-15,110.38,sell,4.0
2010-09-21,111.95,buy,2.0
2010-09-22,110.63,sell,4.0
2010-10-05,110.6,buy,2.0
2010-10-27,113.97,sell,4.0
2010-11-05,116.94,buy,2.0
2010-11-10,112.11,sell,4.0
2010-11-23,108.4,buy,2.0
2010-12-08,112.65,sell,4.0
2010-12-22,114.04,buy,2.0
2011-01-05,116.1,sell,4.0
2011-01-19,112.33,buy,2.0
2011-01-20,110.77,sell,4.0
2011-01-25,115.49,buy,2.0
2011-02-07,113.87,sell,4.0
2011-02-11,115.9,buy,2.0
2011-02-18,117.14,sell,4.0
2011-02-22,117.72,buy,2.0
2011-02-24,117.51,sell,4.0
2011-02-28,123.78,buy,2.0
2011-03-02,118.3,sell,4.0
2011-03-15,119.8,buy,2.0
2011-03-25,122.05,sell,4.0
2011-03-28,121.55,buy,2.0
2011-03-30,122.02,sell,4.0
2011-04-01,124.95,buy,2.0
2011-04-12,123.81,sell,4.0
2011-04-18,125.63,buy,1.0
2011-05-03,134.5,sell,3.0
2011-05-20,132.72,buy,2.0
2011-05-23,131.24,sell,4.0
2011-05-26,134.6,buy,2.0
2011-06-03,135.62,sell,4.0
2011-06-06,134.77,buy,2.0
2011-06-07,137.17,sell,4.0
2011-06-08,136.53,buy,2.0
2011-06-13,133.34,sell,4.0
2011-06-21,137.71,buy,2.0
2011-06-24,133.96,sell,4.0
2011-07-01,137.59,buy,2.0
2011-07-14,138.83,sell,4.0
2011-07-22,143.49,buy,2.0
2011-07-28,138.36,sell,4.0
2011-08-02,139.01,buy,2.0
2011-08-03,136.74,sell,4.0
2011-08-10,130.8,buy,2.0
2011-08-22,131.83,sell,4.0
2011-08-29,141.7,buy,2.0
2011-09-06,139.23,sell,4.0
2011-09-08,144.16,buy,2.0
2011-09-12,140.9,sell,4.0
2011-10-05,120.13,buy,1.0
2011-10-31,142.76,sell,3.0
2011-11-14,134.61,buy,2.0
2011-11-17,130.68,sell,4.0
2011-11-30,132.85,buy,2.0
2011-12-13,131.9,sell,4.0
2011-12-16,137.54,buy,2.0
2011-12-30,141.11,sell,4.0
2012-01-18,140.84,buy,2.0
2012-01-23,140.07,sell,4.0
2012-01-25,144.2,buy,2.0
2012-02-08,145.27,sell,4.0
2012-02-27,140.77,buy,1.0
2012-03-19,148.0,sell,3.0
2012-03-20,148.43,buy,2.0
2012-03-22,145.77,sell,4.0
2012-03-28,148.58,buy,2.0
2012-04-09,149.62,sell,4.0
2012-04-16,153.77,buy,2.0
2012-04-27,158.74,sell,4.0
2012-05-25,151.3,buy,2.0
2012-05-29,152.7,sell,4.0
2012-05-30,149.05,buy,2.0
2012-05-31,150.46,sell,4.0
2012-06-01,147.96,buy,2.0
2012-06-04,146.97,sell,4.0
2012-06-06,153.48,buy,2.0
2012-06-13,149.58,sell,4.0
2012-06-15,152.4,buy,2.0
2012-06-22,149.22,sell,4.0
2012-06-27,149.08,buy,2.0
2012-06-28,150.71,sell,4.0
2012-07-02,155.41,buy,2.0
2012-07-19,157.42,sell,4.0
2012-08-22,151.65,buy,2.0
2012-09-04,153.25,sell,4.0
2012-09-05,153.49,buy,2.0
2012-09-11,153.62,sell,4.0
2012-09-14,155.44,buy,2.0
2012-09-18,154.35,sell,4.0
2012-10-03,147.48,buy,2.0
2012-10-10,146.53,sell,4.0
2012-10-11,146.07,buy,2.0
2012-10-15,145.6,sell,4.0
2012-10-17,146.02,buy,2.0
2012-10-24,145.91,sell,4.0
2012-11-01,147.81,buy,2.0
2012-11-07,145.06,sell,4.0
2012-11-20,140.02,buy,2.0
2012-12-17,143.64,sell,4.0
2012-12-19,143.9,buy,2.0
2012-12-20,146.66,sell,4.0
2012-12-21,146.23,buy,2.0
2012-12-24,147.4,sell,4.0
2013-01-04,148.92,buy,2.0
2013-01-22,153.82,sell,4.0
2013-01-23,154.42,buy,2.0
2013-01-25,154.27,sell,4.0
2013-02-13,152.85,buy,2.0
2013-02-22,151.48,sell,4.0
2013-03-06,150.79,buy,2.0
2013-03-22,149.97,sell,4.0
2013-04-02,152.38,buy,2.0
2013-04-16,156.91,sell,4.0
2013-04-30,157.05,buy,2.0
2013-05-23,164.31,sell,4.0
2013-06-10,156.0,buy,2.0
2013-06-13,157.09,sell,4.0
2013-06-14,156.7,buy,2.0
2013-06-20,148.43,sell,4.0
2013-06-25,156.5,buy,1.0
2013-07-22,169.6,sell,3.0
2013-08-21,146.1,buy,2.0
2013-09-03,141.49,sell,4.0
2013-09-05,142.11,buy,1.0
2013-09-23,150.75,sell,3.0
2013-10-03,148.31,buy,2.0
2013-10-04,149.11,sell,4.0
2013-10-07,150.26,buy,1.0
2013-10-25,163.21,sell,3.0
2013-10-28,162.61,buy,2.0
2013-10-29,162.24,sell,4.0
2013-11-04,164.0,buy,2.0
2013-11-06,159.6,sell,4.0
2013-11-14,159.95,buy,2.0
2013-11-20,153.12,sell,4.0
2013-12-04,150.65,buy,2.0
2013-12-12,146.27,sell,4.0
2013-12-24,144.39,buy,1.0
2014-01-21,154.45,sell,3.0
2014-01-23,154.64,buy,2.0
2014-01-24,152.58,sell,4.0
2014-01-31,158.37,buy,2.0
2014-02-14,166.19,sell,4.0
2014-03-03,168.56,buy,2.0
2014-03-10,166.51,sell,4.0
2014-03-21,166.18,buy,2.0
2014-04-04,170.12,sell,4.0
2014-04-17,167.89,buy,1.0
2014-05-14,179.47,sell,3.0
2014-06-02,181.41,buy,2.0
2014-06-10,179.48,sell,4.0
2014-06-19,183.08,buy,2.0
2014-07-07,185.8,sell,4.0
2014-07-09,186.59,buy,2.0
2014-07-22,191.33,sell,4.0
2014-07-23,191.52,buy,2.0
2014-07-28,193.02,sell,4.0
2014-08-14,189.74,buy,2.0
2014-08-26,191.94,sell,4.0
2014-09-04,193.91,buy,2.0
2014-09-11,189.36,sell,4.0
2014-09-29,179.82,buy,2.0
2014-10-08,181.25,sell,4.0
2014-10-09,181.55,buy,1.0
2014-11-06,201.36,sell,3.0
2014-11-25,200.13,buy,2.0
2014-12-08,203.75,sell,4.0
2014-12-09,205.28,buy,2.0
2014-12-15,201.44,sell,4.0
2014-12-19,208.16,buy,2.0
2014-12-31,206.6,sell,4.0
2015-01-07,217.46,buy,2.0
2015-01-21,225.94,sell,4.0
2015-01-27,229.29,buy,2.0
2015-01-28,227.31,sell,4.0
2015-02-06,223.7,buy,2.0
2015-02-09,222.13,sell,4.0
2015-02-13,226.69,buy,2.0
2015-02-20,226.56,sell,4.0
2015-02-23,228.48,buy,2.0
2015-02-25,222.38,sell,4.0
2015-03-03,223.5,buy,2.0
2015-03-05,226.19,sell,4.0
2015-03-06,219.36,buy,2.0
2015-03-09,222.17,sell,4.0
2015-03-11,223.58,buy,2.0
2015-03-25,233.13,sell,4.0
2015-04-17,222.46,buy,2.0
2015-05-01,224.63,sell,4.0
2015-05-11,221.2,buy,2.0
2015-05-12,222.32,sell,4.0
2015-05-18,224.89,buy,2.0
2015-05-22,221.81,sell,4.0
2015-05-28,224.98,buy,2.0
2015-06-04,216.08,sell,4.0
2015-06-15,214.0,buy,2.0
2015-06-24,215.05,sell,4.0
2015-07-02,218.31,buy,2.0
2015-07-20,224.82,sell,4.0
2015-07-21,223.55,buy,2.0
2015-07-22,224.27,sell,4.0
2015-08-04,225.31,buy,2.0
2015-08-05,224.42,sell,4.0
2015-08-07,227.0,buy,2.0
2015-08-20,227.61,sell,4.0
2015-08-31,214.62,buy,2.0
2015-09-01,210.18,sell,4.0
2015-09-14,212.51,buy,2.0
2015-09-25,218.48,sell,4.0
2015-10-01,225.68,buy,2.0
2015-10-15,231.03,sell,4.0
2015-10-19,237.55,buy,2.0
2015-10-22,231.99,sell,4.0
2015-11-06,218.74,buy,2.0
2015-11-09,216.19,sell,4.0
2015-11-12,218.87,buy,1.0
2015-12-01,235.36,sell,3.0
2015-12-02,228.92,buy,2.0
2015-12-03,227.61,sell,4.0
2015-12-15,235.0,buy,2.0
2015-12-22,234.38,sell,4.0
2015-12-24,238.37,buy,2.0
2016-01-04,237.32,sell,4.0
2016-01-20,224.48,buy,2.0
2016-01-21,221.0,sell,4.0
2016-01-27,220.44,buy,2.0
2016-01-28,210.78,sell,4.0
2016-02-02,208.32,buy,2.0
2016-02-03,210.38,sell,4.0
2016-02-05,202.5,buy,2.0
2016-02-08,198.17,sell,4.0
2016-02-17,201.57,buy,1.0
2016-03-10,220.67,sell,3.0
2016-03-14,221.11,buy,2.0
2016-03-15,221.32,sell,4.0
2016-03-23,228.51,buy,2.0
2016-03-28,228.27,sell,4.0
2016-03-29,233.67,buy,2.0
2016-04-06,232.4,sell,4.0
2016-04-19,229.27,buy,2.0
2016-04-22,224.51,sell,4.0
2016-04-25,227.46,buy,2.0
2016-04-29,220.45,sell,4.0
2016-05-05,228.87,buy,2.0
2016-05-13,227.75,sell,4.0
2016-05-26,227.08,buy,2.0
2016-06-02,218.05,sell,4.0
2016-06-15,216.38,buy,2.0
2016-06-27,216.47,sell,4.0
2016-06-29,224.52,buy,2.0
2016-07-15,226.6,sell,4.0
2016-08-01,234.62,buy,2.0
2016-08-12,229.42,sell,4.0
2016-08-30,225.75,buy,2.0
2016-09-12,225.02,sell,4.0
2016-09-20,226.04,buy,2.0
2016-09-29,225.63,sell,4.0
2016-10-14,208.72,buy,2.0
2016-10-25,204.62,sell,4.0
2016-10-26,207.48,buy,2.0
2016-11-10,213.41,sell,4.0
2016-11-29,215.87,buy,1.0
2016-12-29,229.52,sell,3.0
2017-01-06,233.74,buy,2.0
2017-01-10,230.1,sell,4.0
2017-01-24,226.71,buy,2.0
2017-01-26,225.38,sell,4.0
2017-02-03,223.08,buy,2.0
2017-03-02,231.74,sell,4.0
2017-03-16,232.96,buy,2.0
2017-03-28,233.0,sell,4.0
2017-04-10,235.27,buy,2.0
2017-04-21,235.49,sell,4.0
2017-04-26,241.03,buy,2.0
2017-05-12,252.67,sell,4.0
2017-05-15,253.93,buy,2.0
2017-05-18,255.88,sell,4.0
2017-05-30,255.19,buy,2.0
2017-05-31,256.92,sell,4.0
2017-06-01,258.49,buy,2.0
2017-06-08,265.68,sell,4.0
2017-06-09,266.23,buy,2.0
2017-06-13,262.31,sell,4.0
2017-06-19,268.39,buy,2.0
2017-06-23,265.79,sell,4.0
2017-07-17,257.87,buy,2.0
2017-07-31,261.7,sell,4.0
2017-08-10,262.53,buy,2.0
2017-08-14,263.46,sell,4.0
2017-08-15,265.08,buy,2.0
2017-08-18,260.76,sell,4.0
2017-08-23,267.16,buy,2.0
2017-08-30,266.35,sell,4.0
2017-08-31,265.97,buy,2.0
