time,price,signal,label
1991-04-19,26.58,buy,2.0
1991-04-22,26.33,sell,4.0
1991-05-02,25.59,buy,2.0
1991-05-21,25.59,sell,4.0
1991-05-31,26.58,buy,2.0
1991-06-14,27.32,sell,4.0
1991-06-17,27.56,buy,2.0
1991-06-19,27.56,sell,4.0
1991-06-20,27.56,buy,2.0
1991-06-24,27.56,sell,4.0
1991-06-26,27.07,buy,2.0
1991-06-27,27.56,sell,4.0
1991-07-15,27.56,buy,1.0
1991-08-01,29.53,sell,3.0
1991-08-02,29.29,buy,2.0
1991-08-09,28.79,sell,4.0
1991-08-23,30.27,buy,2.0
1991-09-09,30.27,sell,4.0
1991-09-25,26.09,buy,2.0
1991-09-27,25.1,sell,4.0
1991-10-01,25.1,buy,2.0
1991-10-02,25.1,sell,4.0
1991-10-07,25.1,buy,2.0
1991-10-08,25.59,sell,4.0
1991-10-09,25.35,buy,2.0
1991-10-15,25.72,sell,4.0
1991-10-16,25.84,buy,2.0
1991-10-23,25.59,sell,4.0
1991-10-25,25.35,buy,2.0
1991-10-29,25.47,sell,4.0
1991-11-01,25.84,buy,2.0
1991-11-05,26.09,sell,4.0
1991-11-06,26.09,buy,2.0
1991-11-12,26.09,sell,4.0
1991-11-13,26.09,buy,2.0
1991-11-15,25.59,sell,4.0
1991-11-19,25.59,buy,2.0
1991-11-20,26.58,sell,4.0
1991-11-21,25.1,buy,2.0
1991-11-22,25.1,sell,4.0
1991-11-27,26.46,buy,2.0
1991-12-05,26.46,sell,4.0
1991-12-09,26.33,buy,2.0
1991-12-13,25.84,sell,4.0
1991-12-19,26.33,buy,2.0
1991-12-20,27.32,sell,4.0
1991-12-23,27.19,buy,1.0
1992-01-07,31.01,sell,3.0
1992-01-09,32.85,buy,2.0
1992-01-17,33.71,sell,4.0
1992-01-30,32.48,buy,2.0
1992-02-21,33.71,sell,4.0
1992-02-27,33.47,buy,2.0
1992-02-28,33.22,sell,4.0
1992-03-06,34.21,buy,2.0
1992-03-10,33.22,sell,4.0
1992-03-17,33.22,buy,2.0
1992-03-24,33.47,sell,4.0
1992-04-01,32.98,buy,2.0
1992-04-07,32.48,sell,4.0
1992-04-20,29.78,buy,2.0
